Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
17;730;1;730;T-P11856;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1988;-6.435897193;42.87678161;3 - UTM10x10 + Elevation;900;V32
18;921;1;921;T-P36741;V38;V38;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;25;1993;-7.493380493;42.53579211;1 - UTM1x1 + Elevation;310;V32
19;922;1;922;T-P36742;V38;V38;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;16;1993;-7.553086558;42.55323795;1 - UTM1x1 + Elevation;350;V32
20;923;1;923;T-P36743;V38;V33;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;30;1993;-7.550788816;42.55513008;1 - UTM1x1 + Elevation;350;V32
21;809;1;809;T-P12303;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1988;-6.450563657;42.87634;3 - UTM10x10 + Elevation;900;V32
22;924;1;924;T-P36744;V37;V32;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;40;1993;-7.558539154;42.5278113;1 - UTM1x1 + Elevation;330;V32
23;638;1;638;T-P06617;V39;V38;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Urtico dioicae-Sambucetum ebuli;;NA;10;1995;-1.944384538;42.75963173;2 - UTM1x1 + Centroid;470;V32
24;1150;1;1150;R-P22238;V38;V38;Weed;V15B;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Echio rosulati-Silybetum mariani;W;NA;5;1999;-8.025036267;41.90686225;3 - UTM10x10 + Elevation;710;V32
25;256;1;256;R-P24042;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;15;10;1986;-6.859602957;42.40586269;3 - UTM10x10 + Elevation;350;V32
26;91;1;91;Q-P09968;V37;V32;Ruderal;V37;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Comunidad de Silybum marianum y Carduus tenuiflorus;;NA;6;2000;-6.788335231;41.82475275;3 - UTM10x10 + Elevation;640;V32
27;653;1;653;T-P06641;V38;V33;Ruderal;V37;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;60;1995;-1.325925728;42.67299118;3 - UTM10x10 + Elevation;440;V32
28;201;1;201;R-P22237;V38;V33;Ruderal;V37;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Echio rosulati-Silybetum mariani;S;NA;20;1999;-8.04015333;41.8845907;1 - UTM1x1 + Elevation;670;V32
29;90;1;90;Q-P09967;V37;V32;Ruderal;V37;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Comunidad de Silybum marianum y Carduus tenuiflorus;SW;9;16;2000;-6.80007697;41.85646934;4 - UTM10x10 + Centroid;600;V32
30;257;1;257;R-P24045;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;10;1986;-6.849793121;42.40439221;3 - UTM10x10 + Elevation;350;V32
31;254;1;254;R-P24040;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;15;1986;-6.826418776;42.41958264;3 - UTM10x10 + Elevation;350;V32
32;657;1;657;T-P06651;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;8;1995;-2.692878036;42.64529005;4 - UTM10x10 + Centroid;560;V32
33;258;1;258;R-P24046;V38;V38;Ruderal;V37;6;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;10;4;1986;-6.80201604;42.33755677;3 - UTM10x10 + Elevation;880;V32
34;260;1;260;R-P24048;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;20;2;1986;-6.809750844;42.30488424;3 - UTM10x10 + Elevation;900;V32
35;656;1;656;T-P06650;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;30;1995;-2.758844096;42.63093277;4 - UTM10x10 + Centroid;420;V32
36;259;1;259;R-P24047;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;4;1986;-6.815516372;42.40013733;3 - UTM10x10 + Elevation;680;V32
37;658;1;658;T-P06652;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;8;1995;-2.724059494;42.77314126;2 - UTM1x1 + Centroid;410;V32
38;505;1;505;T-P02602;V39;V38;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;SE;45;10;1984;-6.211862764;42.47449169;3 - UTM10x10 + Elevation;1000;V32
39;247;1;247;R-P24029;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.787157083;42.33264664;3 - UTM10x10 + Elevation;990;V32
40;249;1;249;R-P24031;V37;V32;Ruderal;V37;0;NA;NA;NA;;NW;20;10;NA;-7.048942545;42.36510634;3 - UTM10x10 + Elevation;960;V32
41;261;1;261;R-P24049;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;W;10;3;1986;-6.797320285;42.29989455;3 - UTM10x10 + Elevation;1000;V32
42;252;1;252;R-P24034;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;1;NA;-6.805775828;42.3194233;3 - UTM10x10 + Elevation;1000;V32
43;274;1;274;R-P24652;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;15;2012;-6.807093734;42.46164624;1 - UTM1x1 + Elevation;381;V32
44;217;1;217;R-P23932;V37;V37;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;NA;10;1986;-6.811675658;42.3768543;3 - UTM10x10 + Elevation;1200;V32
45;241;1;241;R-P24023;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1986;-7.048826985;42.36330962;3 - UTM10x10 + Elevation;960;V32
46;272;1;272;R-P24650;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;4;2012;-6.505303681;42.32721412;1 - UTM1x1 + Elevation;991;V32
47;97;1;97;Q-P10032;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum;;NA;6;2000;-6.927495113;41.85609022;3 - UTM10x10 + Elevation;600;V32
48;232;1;232;R-P23990;V37;V37;Ruderal;V37;5;Chenopodietea;Chenopodietalia;Geranio pusilli-Anthriscion caucalidis;Anthrisco-Geranietum lucidi;;NA;2;1986;-6.80765505;42.31035653;3 - UTM10x10 + Elevation;900;V32
49;821;1;821;T-P13234;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-2.381017305;42.85105387;2 - UTM1x1 + Centroid;570;V32
50;243;1;243;R-P24025;V37;V32;Ruderal;V37;0;NA;NA;NA;;S;30;4;NA;-6.826785866;42.34573582;3 - UTM10x10 + Elevation;580;V32
51;269;1;269;R-P24647;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;SW;5;6;2012;-6.553245783;42.27351033;1 - UTM1x1 + Elevation;891;V32
52;834;1;834;T-P13248;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;8;1997;-1.667074668;42.69908271;3 - UTM10x10 + Elevation;620;V32
53;42;1;42;Q-P07041;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59;V32
54;248;1;248;R-P24030;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;20;NA;-6.857728847;42.37531167;3 - UTM10x10 + Elevation;680;V32
55;250;1;250;R-P24032;V37;V32;Ruderal;V37;0;NA;NA;NA;;SE;60;2;NA;-7.023439688;42.38401365;3 - UTM10x10 + Elevation;960;V32
56;836;1;836;T-P13250;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-3.025006039;43.36870566;2 - UTM1x1 + Centroid;40;V32
57;251;1;251;R-P24033;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.803679291;42.32489553;3 - UTM10x10 + Elevation;1000;V32
58;92;1;92;Q-P10027;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum;SE;25;6;2000;-6.725117844;41.89706054;3 - UTM10x10 + Elevation;660;V32
59;216;1;216;R-P23931;V37;V32;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;W;5;30;1986;-6.792262196;42.29646044;3 - UTM10x10 + Elevation;1000;V32
60;826;1;826;T-P13240;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1997;-2.768570459;42.6454025;4 - UTM10x10 + Centroid;510;V32
61;926;1;926;T-P36746;V37;V32;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;20;1993;-7.554151701;42.50097598;1 - UTM1x1 + Elevation;280;V32
62;239;1;239;R-P24021;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1986;-6.797279383;42.33951481;3 - UTM10x10 + Elevation;1000;V32
63;87;1;87;Q-P09946;V37;V32;Ruderal;V37;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Carduus carpetanus;;NA;6;2000;-6.830072255;41.71711066;3 - UTM10x10 + Elevation;900;V32
64;253;1;253;R-P24035;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.776178187;42.39243749;3 - UTM10x10 + Elevation;1250;V32
65;108;1;108;Q-P10096;V37;R57;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Comunidad de Chaerophyllum temulum y Urtica dioica;NE;36;20;2000;-7.024882606;41.87252308;3 - UTM10x10 + Elevation;800;V32
66;485;1;485;S-P20429;V39;V32;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galactito tomentosae-Digitaletum purpureae;N;NA;9;1972;-8.675814513;42.28514656;3 - UTM10x10 + Elevation;20;V32
67;944;1;944;T-P36814;V37;V32;Ruderal;V37;0;Chenopodietea;Brometalia rubenti-tectorum;Echio-Galactition tomentosae;Coleostepho myconis-Galactitetum tomentosae;;20;15;1993;-7.492993562;42.53040526;1 - UTM1x1 + Elevation;300;V32
68;213;1;213;R-P22298;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;NW;NA;10;1999;-7.941424446;41.97892401;1 - UTM1x1 + Elevation;580;V32
69;214;1;214;R-P22299;V37;V32;Ruderal;V39;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;NW;NA;10;1999;-7.943690447;41.97702558;1 - UTM1x1 + Elevation;590;V32
70;162;1;162;R-P12746;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Helmintio echioidis-Melilotetum albae;;NA;30;1997;-3.044310574;42.75546012;1 - UTM1x1 + Elevation;490;V32
71;980;1;980;U-P00608;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;3;2002;-5.127319845;42.84736866;1 - UTM1x1 + Elevation;960;V32
72;946;1;946;T-P36816;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;10;1993;-7.526591519;42.52367829;1 - UTM1x1 + Elevation;290;V32
73;949;1;949;T-P36819;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;20;1993;-7.471014783;42.52946593;1 - UTM1x1 + Elevation;320;V32
74;951;1;951;T-P36821;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;20;1993;-7.521606945;42.5220748;1 - UTM1x1 + Elevation;290;V32
75;950;1;950;T-P36820;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;30;1993;-7.495550365;42.53210546;1 - UTM1x1 + Elevation;300;V32
76;947;1;947;T-P36817;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;25;1993;-7.569957369;42.48413941;1 - UTM1x1 + Elevation;300;V32
77;948;1;948;T-P36818;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;0;10;1993;-7.615647268;42.4769026;1 - UTM1x1 + Elevation;290;V32
78;318;1;318;R-P27091;V37;V32;Ruderal;V37;0;Chenopodietea;Brometalia rubenti-tectorum;Echio-Galactition tomentosae;Coleostepho myconis-Galactitetum tomentosae;;NA;10;1985;-7.868039742;42.34399505;3 - UTM10x10 + Elevation;110;V32
79;312;1;312;R-P27076;V37;V32;Ruderal;V37;0;Chenopodietea;Brometalia rubenti-tectorum;Echio-Galactition tomentosae;Coleostepho myconis-Galactitetum tomentosae;;0;8;1985;-8.68617551;42.39985767;3 - UTM10x10 + Elevation;5;V32
80;202;1;202;R-P22239;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Echio rosulati-Silybetum mariani;;NA;9;1999;-7.958154108;41.94578957;1 - UTM1x1 + Elevation;810;V32
81;723;2;723;T-P11686;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;7;1988;-5.650045362;42.93730836;3 - UTM10x10 + Elevation;1130;V33
82;726;2;726;T-P11689;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1988;-5.701622197;42.93970367;3 - UTM10x10 + Elevation;1200;V33
83;722;2;722;T-P11685;V37;R;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;12;1988;-5.662288369;42.93702408;3 - UTM10x10 + Elevation;1130;V33
84;724;2;724;T-P11687;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;12;1988;-5.709125862;42.94312798;3 - UTM10x10 + Elevation;1200;V33
85;718;2;718;T-P11681;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;S;1.8;25;1988;-5.633247428;42.91697961;4 - UTM10x10 + Centroid;1020;V33
86;725;2;725;T-P11688;V37;R;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1988;-5.766523388;42.91113911;3 - UTM10x10 + Elevation;1190;V33
87;721;2;721;T-P11684;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1988;-5.664736949;42.93696707;3 - UTM10x10 + Elevation;1140;V33
88;733;2;733;T-P11859;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1988;-5.664736949;42.93696707;3 - UTM10x10 + Elevation;1140;V33
89;719;2;719;T-P11682;V37;R;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;6;1988;-5.718361471;42.87447482;3 - UTM10x10 + Elevation;1100;V33
90;720;2;720;T-P11683;V39;R36;Ruderal;V39;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;7;1988;-5.698714819;42.87313904;3 - UTM10x10 + Elevation;1100;V33
91;992;2;992;U-P06048;V37;V37;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Senecioni duriaei-Chenopodietum boni-henrici;;NA;10;1988;-5.397736603;42.87804133;3 - UTM10x10 + Elevation;1050;V33
92;996;2;996;U-P06053;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;25;1988;-5.381024606;42.88919593;3 - UTM10x10 + Elevation;1170;V33
93;997;2;997;U-P06054;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;12;1988;-5.400741827;42.8923858;3 - UTM10x10 + Elevation;1100;V33
94;504;2;504;T-P02595;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo-Hordeetum murini;;NA;3;1984;-6.168679445;42.49469735;4 - UTM10x10 + Centroid;900;V33
95;998;2;998;U-P06055;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;12;1988;-5.39284309;42.87814377;3 - UTM10x10 + Elevation;1050;V33
96;94;2;94;Q-P10029;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum;;NA;2;2000;-6.803064813;41.91071034;3 - UTM10x10 + Elevation;1000;V33
97;830;2;830;T-P13244;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1997;-2.624613223;43.04662303;1 - UTM1x1 + Elevation;590;V33
98;95;2;95;Q-P10030;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum;;NA;5;2000;-6.695830527;41.89080433;3 - UTM10x10 + Elevation;660;V33
99;240;2;240;R-P24022;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1986;-6.826874911;42.38715228;3 - UTM10x10 + Elevation;680;V33
100;270;2;270;R-P24648;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;40;2012;-6.455859282;42.31070755;1 - UTM1x1 + Elevation;1250;V33
101;831;2;831;T-P13245;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-2.608260023;42.91509368;1 - UTM1x1 + Elevation;530;V33
102;98;2;98;Q-P10033;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum;;NA;6;2000;-7.038993386;41.82880563;3 - UTM10x10 + Elevation;740;V33
103;501;2;501;T-P02591;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo-Hordeetum murini;;NA;2;1984;-6.168679445;42.49469735;4 - UTM10x10 + Centroid;900;V33
104;242;2;242;R-P24024;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;S;10;2;1986;-6.792326103;42.33787812;3 - UTM10x10 + Elevation;950;V33
105;345;2;345;S-P11128;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;15;1989;-4.414395552;42.92503589;1 - UTM1x1 + Elevation;1220;V33
106;964;2;964;U-P00121;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;8;2001;-5.013435233;43.03312621;1 - UTM1x1 + Elevation;1100;V33
107;502;2;502;T-P02592;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo-Hordeetum murini;E;4.5;3;1984;-6.168679445;42.49469735;4 - UTM10x10 + Centroid;900;V33
