Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation
1928;1017;5;1017;NEW-OMAR-BA38;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;;0;15;1981;-5.707241301;43.32530597;500;190
1924;1018;5;1018;NEW-OMAR-BA42;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;S;5;4;1981;-5.707241301;43.32530597;500;190
1883;1019;5;1019;NEW-OMAR-BA43;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;;0;12;1981;-5.707241301;43.32530597;500;190
386;7;3;7;NEW-OMAR-BA58;V39;NA;Ruderal;V39;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;10;100;1981;-5.694921052;43.32559713;500;200
495;8;3;8;NEW-OMAR-CA01;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673083717;43.27902792;10;252
470;9;3;9;NEW-OMAR-CA02;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.67282991;43.2791419;10;252
494;10;3;10;NEW-OMAR-CA03;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.672872063;43.27897884;10;254
541;11;3;11;NEW-OMAR-CA04;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673663223;43.27875325;10;255
534;12;3;12;NEW-OMAR-CA05;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673593878;43.27829566;10;257
442;13;3;13;NEW-OMAR-CA06;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673457181;43.27855097;10;254
484;14;3;14;NEW-OMAR-CA07;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673290343;43.27868093;10;254
443;15;3;15;NEW-OMAR-CA08;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.673131087;43.27870267;10;255
533;16;3;16;NEW-OMAR-CA09;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.6741795;43.27872316;10;256
537;17;3;17;NEW-OMAR-CA10;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.674394578;43.27800681;10;257
174;2148;1;2148;NEW-OMAR-CC86;U37;NA;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Comunidad de Cymbalaria muralis;NO;90;10;1981;-5.682600619;43.32588696;500;275
1214;1789;4;1789;NEW-OMAR-LF10;V37;NA;Trampled;V35;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;0;9;1981;-5.682204615;43.31689226;500;210
886;18;3;18;NEW-OMAR-LF109;V39;NA;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;;5;10;1981;-5.707241301;43.32530597;500;200
550;19;3;19;NEW-OMAR-LF95;V39;NA;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;S;0;40;1981;-5.682204615;43.31689226;500;230
452;20;3;20;NEW-OMAR-MO01;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.680778937;43.29204762;10;224
2055;21;5;21;NEW-OMAR-MO02;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.680075536;43.29174898;10;223
481;22;3;22;NEW-OMAR-MO03;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.679180719;43.29130174;10;223
473;23;3;23;NEW-OMAR-MO04;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.678167126;43.29095633;10;224
472;24;3;24;NEW-OMAR-MO05;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.676976812;43.29051601;10;225
1431;25;4;25;NEW-OMAR-MO06;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.677426808;43.29065854;10;226
453;26;3;26;NEW-OMAR-MO07;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.678678368;43.29080929;10;227
486;27;3;27;NEW-OMAR-MO08;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.67961729;43.29113844;10;226
1435;28;4;28;NEW-OMAR-MO09;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.680003752;43.29123743;10;230
1538;29;4;29;NEW-OMAR-MO10;V37;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.679940332;43.29063565;10;233
1133;30;3;30;NEW-OMAR-NI01;V39;NA;Ruderal;V39;0;NA;NA;NA;;;0;1;2020;-5.702776474;43.3133463;10;203
455;31;3;31;NEW-OMAR-NI02;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.702508627;43.31314554;10;203
493;32;3;32;NEW-OMAR-NI03;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.702204227;43.31295465;10;203
466;33;3;33;NEW-OMAR-NI04;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.701880334;43.31260214;10;204
458;34;3;34;NEW-OMAR-NI05;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.701143268;43.31266459;10;203
1496;35;4;35;NEW-OMAR-NI06;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.701055091;43.31290077;10;203
531;36;3;36;NEW-OMAR-NI07;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.700902534;43.31307545;10;202
957;37;3;37;NEW-OMAR-NI10;V39;NA;Ruderal;V39;0;NA;NA;NA;;;0;1;2020;-5.70073096;43.31365576;10;201
995;38;3;38;NEW-OMAR-PA102;V39;NA;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;SE;0;20;1981;-5.654043577;43.23651311;500;325
487;39;3;39;NEW-OMAR-PA104;V38;NA;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;SE;15;80;1981;-5.654043577;43.23651311;500;250
1535;1790;4;1790;NEW-OMAR-PA30;V35;NA;Trampled;V35;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Comunidad de Poa annua;;0;3;1981;-5.657174634;43.30847288;500;340
1935;1020;5;1020;NEW-OMAR-PA35;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;S;5;20;1981;-5.669491805;43.30818588;500;335
12;2149;1;2149;NEW-OMAR-PA68;U37;NA;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Comunidad de Cymbalaria muralis;NO;90;10;1981;-5.654043577;43.23651311;500;425
461;40;3;40;NEW-OMAR-PA97;V38;NA;Ruderal;V37;0;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Picridi echioides-Melilotetum albi;S;0;40;1981;-5.654043577;43.23651311;500;360
504;41;3;41;NEW-OMAR-PA98;V37;NA;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;0;15;1981;-5.654043577;43.23651311;500;360
565;1791;3;1791;NEW-OMAR-RE27;V35;NA;Trampled;V35;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Comunidad de Poa annua;O;5;3;1981;-5.669491805;43.30818588;500;225
34;2150;1;2150;NEW-OMAR-TU92;U37;NA;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Comunidad de Cymbalaria muralis;S;90;5;1981;-5.666346277;43.23622682;500;325
2026;1021;5;1021;P-P22131;V37;R;Weed;V15A;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Allio vineale-Ranunculetum sardoi;;0;1000;2005;-1.381462446;43.44279511;3 - UTM10x10 + Elevation;5
2029;1022;5;1022;P-P22132;V37;V;Weed;V15A;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Allio vineale-Ranunculetum sardoi;;0;400;2005;-1.319948701;43.43290349;3 - UTM10x10 + Elevation;5
2023;1023;5;1023;P-P22135;V37;R;Weed;V15A;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Allio vineale-Ranunculetum sardoi;;0;500;2005;-1.253309719;43.43010393;3 - UTM10x10 + Elevation;2
2037;1024;5;1024;P-P22136;V37;R;Weed;V15A;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Allio vineale-Ranunculetum sardoi;;0;600;2005;-1.253257937;43.43190397;3 - UTM10x10 + Elevation;2
2036;1025;5;1025;P-P22137;V37;R;Weed;V15A;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Allio vineale-Ranunculetum sardoi;;0;1000;2005;-1.253257937;43.43190397;3 - UTM10x10 + Elevation;2
39;2151;1;2151;Q-P02778;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;40;1969;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
43;2152;1;2152;Q-P02779;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;20;1969;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21
37;2153;1;2153;Q-P02780;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;20;1969;-3.907740505;43.45562794;4 - UTM10x10 + Centroid;32
6;2154;1;2154;Q-P02781;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;50;1969;-4.047456892;43.39183754;4 - UTM10x10 + Centroid;49
10;2155;1;2155;Q-P02782;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;10;1969;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21
1;2156;1;2156;Q-P02783;U37;V15;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;10;1969;-3.919741838;43.03362154;4 - UTM10x10 + Centroid;839
2;2157;1;2157;Q-P02785;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;20;1969;-2.198835209;43.21460969;4 - UTM10x10 + Centroid;313
7;2158;1;2158;Q-P02786;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.198835209;43.21460969;4 - UTM10x10 + Centroid;313
8;2159;1;2159;Q-P02787;U37;Sa;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.32194203;43.2154056;4 - UTM10x10 + Centroid;348
11;2160;1;2160;Q-P02788;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.204357764;43.28045619;4 - UTM10x10 + Centroid;82
9;2161;1;2161;Q-P02789;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.204357764;43.28045619;4 - UTM10x10 + Centroid;82
98;2162;1;2162;Q-P02790;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.204357764;43.28045619;4 - UTM10x10 + Centroid;82
96;2163;1;2163;Q-P02791;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;20;1969;-2.198835209;43.21460969;4 - UTM10x10 + Centroid;313
99;2164;1;2164;Q-P02792;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;50;1969;-8.693960952;42.8571451;4 - UTM10x10 + Centroid;202
100;2165;1;2165;Q-P02793;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;50;1969;-8.693960952;42.8571451;4 - UTM10x10 + Centroid;202
126;2166;1;2166;Q-P02794;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;100;1969;-8.693537785;42.9471732;4 - UTM10x10 + Centroid;275
127;2167;1;2167;Q-P07031;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59
97;2168;1;2168;Q-P07039;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59
378;42;3;42;Q-P07041;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59
2012;1026;5;1026;Q-P07045;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Oxalidi latifoliae-Veronicetum persicae;;NA;20;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59
1702;1027;5;1027;Q-P07736;V15;V;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-7.089128404;43.53843902;4 - UTM10x10 + Centroid;40
1726;1028;5;1028;Q-P07737;V15;V15;Weed;V15A;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-7.089128404;43.53843902;4 - UTM10x10 + Centroid;40
2074;1029;5;1029;Q-P07763;V15;V37;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;100;1953;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
2076;1030;5;1030;Q-P07764;V15;V15;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;100;1953;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
1842;1031;5;1031;Q-P07765;V15;V37;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;100;1953;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
2069;1032;5;1032;Q-P07766;V15;V37;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;100;1953;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
2233;1033;5;1033;Q-P07767;V15;V37;Weed;V15B;0;NA;NA;NA;Associació-Desconeguda;;NA;100;1953;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43
1674;1034;5;1034;Q-P07847;V15;V;Weed;V15C;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-4.047456892;43.39183754;4 - UTM10x10 + Centroid;49
1882;1035;5;1035;Q-P07849;V15;V15;Weed;V15A;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-4.116472128;42.87622565;4 - UTM10x10 + Centroid;999.5
1918;1036;5;1036;Q-P07850;V15;V;Weed;V15A;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-4.116472128;42.87622565;4 - UTM10x10 + Centroid;999.5
2137;43;5;43;Q-P07851;V15;V15;Ruderal;V37;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-4.116472128;42.87622565;4 - UTM10x10 + Centroid;999.5
1741;1037;5;1037;Q-P07852;V15;V15;Weed;V15A;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1953;-4.116472128;42.87622565;4 - UTM10x10 + Centroid;999.5
1396;1792;4;1792;Q-P08150;V34;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Coronopodetum squamati;;NA;1;2004;-8.555662357;41.10094791;3 - UTM10x10 + Elevation;40
1946;1038;5;1038;Q-P08170;V37;V32;Weed;V15A;0;Chenopodietea;Chenopodietalia;Chenopodion muralis;Chenopodio muralis-Malvetum parviflorae;S;NA;2;2004;-8.583023967;41.14560961;4 - UTM10x10 + Centroid;350
1945;1039;5;1039;Q-P08361;V37;V32;Weed;V15A;0;Chenopodietea;Chenopodietalia;Chenopodion muralis;Chenopodio muralis-Malvetum parviflorae;S;NA;2;2003;-8.583023967;41.14560961;4 - UTM10x10 + Centroid;350
1116;44;3;44;Q-P08687;V39;V32;Ruderal;V39;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Alliarion petiolatae;;NA;15;1990;-4.602567992;42.90454586;3 - UTM10x10 + Elevation;1160
1583;1040;5;1040;Q-P08735;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;40;1990;-4.490192325;42.81601335;3 - UTM10x10 + Elevation;1090
2132;1041;5;1041;Q-P08736;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;40;1990;-4.509713355;42.81395656;3 - UTM10x10 + Elevation;1040
1973;1042;5;1042;Q-P08737;V15;V15;Weed;V15A;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;40;1990;-4.675998898;42.81164292;3 - UTM10x10 + Elevation;1120
2134;1043;5;1043;Q-P08738;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;40;1990;-4.504996992;42.82122277;3 - UTM10x10 + Elevation;1110
1673;1044;5;1044;Q-P08739;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;80;1990;-4.77611585;42.9334869;4 - UTM10x10 + Centroid;1020
943;45;3;45;Q-P08740;V15;V15;Ruderal;V37;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;20;1990;-4.528495991;42.84729103;4 - UTM10x10 + Centroid;970
1775;1045;5;1045;Q-P08741;V15;V15;Weed;V15B;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;20;1990;-4.61429613;42.88457007;3 - UTM10x10 + Elevation;1130
363;46;3;46;Q-P08742;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1990;-4.646560297;42.80846808;3 - UTM10x10 + Elevation;1120
370;47;3;47;Q-P08743;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;12;1990;-4.741715289;42.79985585;3 - UTM10x10 + Elevation;1100
375;48;3;48;Q-P08744;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;18;1990;-4.946753488;42.86499029;3 - UTM10x10 + Elevation;1200
704;49;3;49;Q-P08747;V39;V;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Urtico dioicae-Sambucetum ebuli;;NA;20;1990;-4.504036138;42.88246998;3 - UTM10x10 + Elevation;1000
1114;50;3;50;Q-P08748;V39;R57;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Urtico dioicae-Sambucetum ebuli;;NA;40;1990;-4.690827121;42.90687801;3 - UTM10x10 + Elevation;1250
996;51;3;51;Q-P08749;V39;R57;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Urtico dioicae-Sambucetum ebuli;;NA;20;1990;-4.512128657;42.91298042;3 - UTM10x10 + Elevation;1070
1027;52;3;52;Q-P08750;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;S;10;40;1990;-4.514005163;42.88954259;3 - UTM10x10 + Elevation;1000
1065;53;3;53;Q-P08751;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;NA;12;1990;-4.534039347;42.90728585;3 - UTM10x10 + Elevation;1070
989;54;3;54;Q-P08752;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Cariolophetum sempervirentis;;NA;20;1990;-4.67882657;42.91605961;3 - UTM10x10 + Elevation;1300
1026;55;3;55;Q-P08753;V39;R55;Ruderal;V39;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Cariolophetum sempervirentis;;NA;12;1990;-4.487894143;42.92410402;3 - UTM10x10 + Elevation;1080
236;56;2;56;Q-P08754;V38;V38;Ruderal;V38;0;NA;NA;NA;;N;5;20;NA;-4.666943542;42.83879034;3 - UTM10x10 + Elevation;1250
231;57;2;57;Q-P08755;V38;V38;Ruderal;V38;0;NA;NA;NA;;;NA;70;NA;-4.749295633;42.89519337;3 - UTM10x10 + Elevation;1240
230;58;2;58;Q-P08756;V38;V38;Ruderal;V38;0;NA;NA;NA;;N;5;350;NA;-4.677118412;42.85304978;3 - UTM10x10 + Elevation;1330
195;59;2;59;Q-P08758;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;100;1990;-4.66851798;42.80634914;3 - UTM10x10 + Elevation;1130
227;60;2;60;Q-P08760;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;50;1990;-4.498878138;42.87173158;3 - UTM10x10 + Elevation;1000
244;61;2;61;Q-P08761;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;40;1990;-4.550416473;42.87644814;3 - UTM10x10 + Elevation;1050
245;62;2;62;Q-P08762;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;20;1990;-4.543611372;42.89815216;3 - UTM10x10 + Elevation;1070
271;63;2;63;Q-P08763;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;10;1990;-4.528495991;42.84729103;4 - UTM10x10 + Centroid;970
200;64;2;64;Q-P08764;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;100;1990;-4.527275081;42.83173387;3 - UTM10x10 + Elevation;1100
