"Relevé number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"2","NEW-OMAR-BA13","Veronica persica","Veronica persica","+",1
"2","NEW-OMAR-BA13","Dipsacus fullonum","Dipsacus fullonum","1",5
"2","NEW-OMAR-BA13","Calystegia sepium","Calystegia sepium","2",15
"2","NEW-OMAR-BA13","Artemisia vulgaris","Artemisia vulgaris","3",37.5
"2","NEW-OMAR-BA13","Lolium perenne ","Lolium perenne","+",1
"2","NEW-OMAR-BA13","Alliaria petiolata","Alliaria petiolata","1",5
"2","NEW-OMAR-BA13","Stellaria media","Stellaria media","+",1
"2","NEW-OMAR-BA13","Galium aparine","Galium aparine","1",5
"2","NEW-OMAR-BA13","Ceratochloa cathartica","Ceratochloa cathartica","+",1
"2","NEW-OMAR-BA13","Conium maculatum","Conium maculatum","+",1
"2","NEW-OMAR-BA13","Rumex crispus","Rumex crispus","1",5
"2","NEW-OMAR-BA13","Silene vulgaris","Silene vulgaris","+",1
"2","NEW-OMAR-BA13","Rubus ulmifolius ","Rubus ulmifolius","+",1
"2","NEW-OMAR-BA13","Lactuca serriola ","Lactuca serriola","+",1
"2","NEW-OMAR-BA13","Lolium multiflorum","Lolium multiflorum","1",5
"2","NEW-OMAR-BA13","Oxalis corniculata","Oxalis corniculata","+",1
"2","NEW-OMAR-BA13","Hirschfeldia incana ","Hirschfeldia incana","1",5
"2","NEW-OMAR-BA13","Chenopodium album","Chenopodium album","+",1
"2","NEW-OMAR-BA13","Anisantha sterilis","Anisantha sterilis","1",5
"2","NEW-OMAR-BA13","Geranium rotundifolium","Geranium rotundifolium","+",1
"3","NEW-OMAR-BA15","Elytrigia repens","Elytrigia repens","+",1
"3","NEW-OMAR-BA15","Chenopodium ambrosioides","Dysphania ambrosioides","+",1
"3","NEW-OMAR-BA15","Hypericum perforatum","Hypericum perforatum","+",1
"3","NEW-OMAR-BA15","Epilobium hirsutum","Epilobium hirsutum","+",1
"3","NEW-OMAR-BA15","Plantago major","Plantago major","1",5
"3","NEW-OMAR-BA15","Tussilago farfara","Tussilago farfara","1",5
"3","NEW-OMAR-BA15","Piptatherum miliaceum ","Piptatherum miliaceum","1",5
"3","NEW-OMAR-BA15","Urtica dioica","Urtica dioica","1",5
"3","NEW-OMAR-BA15","Rubus caesius","Rubus caesius","+",1
"3","NEW-OMAR-BA15","Verbena officinalis","Verbena officinalis","1",5
"3","NEW-OMAR-BA15","Persicaria lapathifolia","Persicaria lapathifolia","+",1
"3","NEW-OMAR-BA15","Arctium minus","Arctium minus","4",62.5
"3","NEW-OMAR-BA15","Clematis vitalba ","Clematis vitalba","+",1
"3","NEW-OMAR-BA15","Cirsium vulgare ","Cirsium vulgare","1",5
"3","NEW-OMAR-BA15","Equisetum arvense","Equisetum arvense","+",1
"3","NEW-OMAR-BA15","Robinia pseudoacacia ","Robinia pseudoacacia","+",1
"3","NEW-OMAR-BA15","Polypogon monspeliensis","Polypogon monspeliensis","+",1
"3","NEW-OMAR-BA15","Daucus carota","Daucus carota","+",1
"3","NEW-OMAR-BA15","Polypogon viridis","Polypogon viridis","+",1
"3","NEW-OMAR-BA15","Rumex crispus","Rumex crispus","+",1
"3","NEW-OMAR-BA15","Taraxacum gr. officinale","Taraxacum","+",1
"3","NEW-OMAR-BA15","Jacobaea aquatica","Jacobaea aquatica","+",1
"3","NEW-OMAR-BA15","Erigeron canadensis","Erigeron canadensis","1",5
"3","NEW-OMAR-BA15","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"3","NEW-OMAR-BA15","agrostis canina","Agrostis canina","+",1
"3","NEW-OMAR-BA15","Dipsacus fullonum","Dipsacus fullonum","2",15
"3","NEW-OMAR-BA15","Lactuca serriola ","Lactuca serriola","+",1
"3","NEW-OMAR-BA15","Torilis japonica","Torilis japonica","+",1
"3","NEW-OMAR-BA15","Hirschfeldia incana ","Hirschfeldia incana","2",15
"3","NEW-OMAR-BA15","Verbascum pulverulentum ","Verbascum pulverulentum","+",1
"3","NEW-OMAR-BA15","Holcus lanatus ","Holcus lanatus","+",1
"3","NEW-OMAR-BA15","Mentha suaveolens","Mentha suaveolens","+",1
"3","NEW-OMAR-BA15","Vicia cracca","Vicia cracca","+",1
"4","NEW-OMAR-LF109","Conium maculatum","Conium maculatum","3",37.5
"4","NEW-OMAR-LF109","Rumex obtusifolius","Rumex obtusifolius","+",1
"4","NEW-OMAR-LF109","Calystegia sepium","Calystegia sepium","1",5
"4","NEW-OMAR-LF109","Malva multiflora","Malva multiflora","1",5
"4","NEW-OMAR-LF109","Bidens aurea","Bidens aureus","1",5
"4","NEW-OMAR-LF109","Arctium minus","Arctium minus","3",37.5
"4","NEW-OMAR-LF109","Chelidonium majus","Chelidonium majus","+",1
"4","NEW-OMAR-LF109","Torilis japonica","Torilis japonica","+",1
"4","NEW-OMAR-LF109","Lactuca serriola ","Lactuca serriola","+",1
"4","NEW-OMAR-LF109","Agrostis capillaris","Agrostis capillaris","+",1
"4","NEW-OMAR-LF109","Avena barbata","Avena barbata","1",5
"4","NEW-OMAR-LF109","Urtica dioica","Urtica dioica","+",1
"4","NEW-OMAR-LF109","Lapsana communis","Lapsana communis","+",1
"5","NEW-OMAR-LF95","Arctium minus","Arctium minus","4",62.5
"5","NEW-OMAR-LF95","Torilis japonica","Torilis japonica","1",5
"5","NEW-OMAR-LF95","Calystegia sepium","Calystegia sepium","+",1
"5","NEW-OMAR-LF95","Dipsacus fullonum","Dipsacus fullonum","1",5
"5","NEW-OMAR-LF95","Urtica dioica","Urtica dioica","2",15
"5","NEW-OMAR-LF95","Plantago lanceolata ","Plantago lanceolata","+",1
"5","NEW-OMAR-LF95","Hypericum perforatum","Hypericum perforatum","+",1
"5","NEW-OMAR-LF95","Taraxacum gr. officinale","Taraxacum","+",1
"5","NEW-OMAR-LF95","Centaurea nigra ","Centaurea nigra","+",1
"5","NEW-OMAR-LF95","Erigeron canadensis","Erigeron canadensis","+",1
"5","NEW-OMAR-LF95","Cirsium vulgare ","Cirsium vulgare","+",1
"5","NEW-OMAR-LF95","Verbena officinalis","Verbena officinalis","+",1
"5","NEW-OMAR-LF95","Piptatherum miliaceum ","Piptatherum miliaceum","+",1
"5","NEW-OMAR-LF95","Holcus lanatus ","Holcus lanatus","+",1
"5","NEW-OMAR-LF95","Dactylis glomerata","Dactylis glomerata","+",1
"5","NEW-OMAR-LF95","Malva multiflora","Malva multiflora","+",1
"5","NEW-OMAR-LF95","Picris hieracioides","Picris hieracioides","+",1
"5","NEW-OMAR-LF95","Anisantha madritensis","Anisantha madritensis","1",5
"5","NEW-OMAR-LF95","Poa trivialis","Poa trivialis","+",1
"5","NEW-OMAR-LF95","Cyperus eragrostis","Cyperus eragrostis","+",1
"5","NEW-OMAR-LF95","Inula montana","Inula montana","1",5
"5","NEW-OMAR-LF95","Galium aparine","Galium aparine","+",1
"6","NEW-OMAR-PA102","Daucus carota","Daucus carota","1",5
"6","NEW-OMAR-PA102","Piptatherum miliaceum ","Piptatherum miliaceum","+",1
"6","NEW-OMAR-PA102","Tussilago farfara","Tussilago farfara","+",1
"6","NEW-OMAR-PA102","Lactuca serriola ","Lactuca serriola","+",1
"6","NEW-OMAR-PA102","Persicaria maculosa","Persicaria maculosa","1",5
"6","NEW-OMAR-PA102","Arctium minus","Arctium minus","1",5
"6","NEW-OMAR-PA102","Holcus lanatus ","Holcus lanatus","+",1
"6","NEW-OMAR-PA102","Galium aparine","Galium aparine","3",37.5
"6","NEW-OMAR-PA102","Sonchus asper","Sonchus asper","+",1
"6","NEW-OMAR-PA102","Dipsacus fullonum","Dipsacus fullonum","1",5
"6","NEW-OMAR-PA102","achillea millefolium","Achillea millefolium","+",1
"6","NEW-OMAR-PA102","Senecio sylvaticus","Senecio sylvaticus","+",1
"6","NEW-OMAR-PA102","Anisantha madritensis","Anisantha madritensis","1",5
"6","NEW-OMAR-PA102","Cirsium vulgare ","Cirsium vulgare","1",5
"6","NEW-OMAR-PA102","Rubus gr. silvaticus","Rubus ulmifolius","2",15
"6","NEW-OMAR-PA102","Angelica sylvestris","Angelica sylvestris","+",1
"6","NEW-OMAR-PA102","Calystegia sepium","Calystegia sepium","+",1
"6","NEW-OMAR-PA102","Artemisia vulgaris","Artemisia vulgaris","1",5
"7","NEW-OMAR-PA104","achillea millefolium","Achillea millefolium","1",5
"7","NEW-OMAR-PA104","Persicaria maculosa","Persicaria maculosa","+",1
"7","NEW-OMAR-PA104","Melilotus albus","Melilotus albus","1",5
"7","NEW-OMAR-PA104","Picris hieracioides","Picris hieracioides","+",1
"7","NEW-OMAR-PA104","Centaurea nigra ","Centaurea nigra","1",5
"7","NEW-OMAR-PA104","Cirsium vulgare ","Cirsium vulgare","+",1
"7","NEW-OMAR-PA104","Salix atrocinerea","Salix cinerea subsp. oleifolia","1",5
"7","NEW-OMAR-PA104","Plantago lanceolata ","Plantago lanceolata","+",1
"7","NEW-OMAR-PA104","Dipsacus fullonum","Dipsacus fullonum","2",15
"7","NEW-OMAR-PA104","Holcus lanatus ","Holcus lanatus","1",5
"7","NEW-OMAR-PA104","Rubus gr. silvaticus","Rubus ulmifolius","1",5
"7","NEW-OMAR-PA104","Lotus corniculatus subsp. corniculatus","Lotus corniculatus","+",1
"7","NEW-OMAR-PA104","Daucus carota","Daucus carota","+",1
"7","NEW-OMAR-PA104","Trifolium campestre ","Trifolium campestre","1",5
"7","NEW-OMAR-PA104","Artemisia vulgaris","Artemisia vulgaris","2",15
"7","NEW-OMAR-PA104","Hypericum perforatum","Hypericum perforatum","1",5
"7","NEW-OMAR-PA104","Verbascum pulverulentum ","Verbascum pulverulentum","1",5
"7","NEW-OMAR-PA104","Urtica dioica","Urtica dioica","+",1
"7","NEW-OMAR-PA104","Angelica sylvestris","Angelica sylvestris","+",1
"7","NEW-OMAR-PA104","Trifolium pratense ","Trifolium pratense","+",1
"8","P-P22131","Agrostis stolonifera","Agrostis stolonifera","1",5
"8","P-P22131","Allium vineale","Allium vineale","+",1
"8","P-P22131","Barbarea intermedia","Barbarea intermedia","1",5
"8","P-P22131","Cardamine hirsuta","Cardamine hirsuta","2",15
"8","P-P22131","Cerastium glomeratum","Cerastium glomeratum","+",1
"8","P-P22131","Poa annua","Ochlopoa annua","2",15
"8","P-P22131","Poa trivialis","Poa trivialis","+",1
"8","P-P22131","Ranunculus acris","Ranunculus acris","+",1
"8","P-P22131","Ranunculus repens","Ranunculus repens","+",1
"8","P-P22131","Ranunculus sardous","Ranunculus sardous","4",62.5
"8","P-P22131","Rumex conglomeratus","Rumex conglomeratus","+",1
"8","P-P22131","Sonchus asper","Sonchus asper","+",1
"9","P-P22132","Agrostis stolonifera","Agrostis stolonifera","1",5
"9","P-P22132","Allium vineale","Allium vineale","1",5
"9","P-P22132","Barbarea intermedia","Barbarea intermedia","+",1
"9","P-P22132","Cardamine hirsuta","Cardamine hirsuta","1",5
"9","P-P22132","Cerastium glomeratum","Cerastium glomeratum","1",5
"9","P-P22132","Geranium dissectum","Geranium dissectum","+",1
"9","P-P22132","Glyceria declinata","Glyceria declinata","1",5
"9","P-P22132","Poa annua","Ochlopoa annua","2",15
"9","P-P22132","Ranunculus acris","Ranunculus acris","+",1
"9","P-P22132","Ranunculus repens","Ranunculus repens","+",1
"9","P-P22132","Ranunculus sardous","Ranunculus sardous","4",62.5
"9","P-P22132","Sonchus asper","Sonchus asper","1",5
"9","P-P22132","Trifolium repens","Trifolium repens","+",1
"10","P-P22135","Agrostis stolonifera","Agrostis stolonifera","1",5
"10","P-P22135","Cardamine hirsuta","Cardamine hirsuta","2",15
"10","P-P22135","Epilobium hirsutum","Epilobium hirsutum","+",1
"10","P-P22135","Ficaria verna","Ficaria verna","+",1
"10","P-P22135","Montia fontana subsp. chondrosperma","Montia arvensis","+",1
"10","P-P22135","Poa annua","Ochlopoa annua","1",5
"10","P-P22135","Oenanthe pimpinelloides","Oenanthe pimpinelloides","+",1
"10","P-P22135","Ranunculus sardous","Ranunculus sardous","4",62.5
"10","P-P22135","Senecio vulgaris","Senecio vulgaris","+",1
"11","P-P22136","Agrostis stolonifera","Agrostis stolonifera","1",5
"11","P-P22136","Cardamine hirsuta","Cardamine hirsuta","1",5
"11","P-P22136","Convolvulus arvensis","Convolvulus arvensis","1",5
"11","P-P22136","Epilobium hirsutum","Epilobium hirsutum","+",1
"11","P-P22136","Ficaria verna","Ficaria verna","+",1
"11","P-P22136","Montia fontana subsp. chondrosperma","Montia arvensis","+",1
"11","P-P22136","Oenanthe pimpinelloides","Oenanthe pimpinelloides","+",1
"11","P-P22136","Ranunculus sardous","Ranunculus sardous","5",87.5
"11","P-P22136","Senecio vulgaris","Senecio vulgaris","+",1
"12","P-P22137","Cardamine hirsuta","Cardamine hirsuta","1",5
"12","P-P22137","Convolvulus arvensis","Convolvulus arvensis","1",5
"12","P-P22137","Medicago arabica","Medicago arabica","+",1
"12","P-P22137","Poa annua","Ochlopoa annua","2",15
"12","P-P22137","Ranunculus sardous","Ranunculus sardous","5",87.5
"12","P-P22137","Rumex conglomeratus","Rumex conglomeratus","+",1
"12","P-P22137","Sonchus oleraceus","Sonchus oleraceus","+",1
"13","Q-P08687","Agrimonia eupatoria","Agrimonia eupatoria","1",5
"13","Q-P08687","Chenopodium album","Chenopodium album","+",1
"13","Q-P08687","Coronilla scorpioides","Coronilla scorpioides","1",5
"13","Q-P08687","Eryngium campestre","Eryngium campestre","+",1
"13","Q-P08687","Galium verum","Galium verum","1",5
"13","Q-P08687","Geranium lucidum","Geranium lucidum","1",5
"13","Q-P08687","Geranium pyrenaicum","Geranium pyrenaicum","1",5
"13","Q-P08687","Lapsana communis","Lapsana communis","1",5
"13","Q-P08687","Lathyrus aphaca","Lathyrus aphaca","2",15
"13","Q-P08687","Ligusticum lucidum subsp. lucidum","Ligusticum lucidum","4",62.5
"13","Q-P08687","Medicago sativa","Medicago sativa","+",1
"13","Q-P08687","Ononis repens subsp. spinosa","Ononis spinosa","+",1
"13","Q-P08687","Papaver rhoeas","Papaver rhoeas","+",1
"13","Q-P08687","Plantago lanceolata","Plantago lanceolata","+",1
"13","Q-P08687","Tordylium maximum","Tordylium maximum","1",5
"13","Q-P08687","Torilis arvensis subsp. purpurea","Torilis africana","1",5
"14","Q-P08747","Arctium minus","Arctium minus","1",5
"14","Q-P08747","Chaerophyllum hirsutum","Chaerophyllum hirsutum","3",37.5
"14","Q-P08747","Convolvulus arvensis","Convolvulus arvensis","1",5
"14","Q-P08747","Elytrigia repens","Elytrigia repens","1",5
"14","Q-P08747","Lactuca virosa","Lactuca serriola","+",1
"14","Q-P08747","Malva sylvestris","Malva sylvestris","2",15
"14","Q-P08747","Rumex crispus","Rumex crispus","+",1
"14","Q-P08747","Sambucus ebulus","Sambucus ebulus","4",62.5
"14","Q-P08747","Saponaria officinalis","Saponaria officinalis","+",1
"14","Q-P08747","Urtica dioica","Urtica dioica","f",15
"14","Q-P08747","Verbena officinalis","Verbena officinalis","1",5
"15","Q-P08748","Alliaria petiolata","Alliaria petiolata","2",15
"15","Q-P08748","Bromus sterilis","Anisantha sterilis","1",5
"15","Q-P08748","Arctium minus","Arctium minus","1",5
"15","Q-P08748","Arrhenatherum bulbosum","Arrhenatherum elatius","1",5
"15","Q-P08748","Ballota nigra subsp. foetida","Ballota nigra","1",5
"15","Q-P08748","Cirsium arvense","Cirsium arvense","+",1
"15","Q-P08748","Conium maculatum","Conium maculatum","+",1
"15","Q-P08748","Galeopsis tetrahit","Galeopsis tetrahit","+",1
"15","Q-P08748","Galium aparine","Galium aparine","3",37.5
"15","Q-P08748","Poa pratensis","Poa pratensis","1",5
"15","Q-P08748","Rumex crispus","Rumex crispus","+",1
"15","Q-P08748","Sambucus ebulus","Sambucus ebulus","5",87.5
"15","Q-P08748","Tordylium maximum","Tordylium maximum","1",5
"15","Q-P08748","Urtica dioica","Urtica dioica","1",5
"16","Q-P08749","Agrimonia eupatoria","Agrimonia eupatoria","1",5
"16","Q-P08749","Centaurea cephalariifolia","Centaurea scabiosa","1",5
"16","Q-P08749","Chaerophyllum hirsutum","Chaerophyllum hirsutum","f",15
"16","Q-P08749","Cirsium vulgare","Cirsium vulgare","1",5
"16","Q-P08749","Daucus carota","Daucus carota","1",5
"16","Q-P08749","Dipsacus fullonum","Dipsacus fullonum","1",5
"16","Q-P08749","Galium verum","Galium verum","+",1
"16","Q-P08749","Lapsana communis","Lapsana communis","a",5
"16","Q-P08749","Lathyrus aphaca","Lathyrus aphaca","1",5
"16","Q-P08749","Rumex crispus","Rumex crispus","1",5
"16","Q-P08749","Rumex papillaris","Rumex papillaris","+",1
"16","Q-P08749","Sambucus ebulus","Sambucus ebulus","j",37.5
"16","Q-P08749","Tordylium maximum","Tordylium maximum","+",1
"16","Q-P08749","Trifolium pratense","Trifolium pratense","+",1
"16","Q-P08749","Urtica dioica","Urtica dioica","1",5
"17","Q-P08750","Alliaria petiolata","Alliaria petiolata","1",5
"17","Q-P08750","Bromus sterilis","Anisantha sterilis","a",5
"17","Q-P08750","Bryonia cretica subsp. dioica","Bryonia dioica","+",1
"17","Q-P08750","Chaerophyllum hirsutum","Chaerophyllum hirsutum","2",15
"17","Q-P08750","Cirsium arvense","Cirsium arvense","+",1
"17","Q-P08750","Conium maculatum","Conium maculatum","3",37.5
"17","Q-P08750","Dipsacus fullonum","Dipsacus fullonum","+",1
"17","Q-P08750","Fumaria wirtgenii","Fumaria officinalis","+",1
"17","Q-P08750","Galium aparine","Galium aparine","4",62.5
"17","Q-P08750","Geranium pyrenaicum","Geranium pyrenaicum","1",5
"17","Q-P08750","Hirschfeldia incana","Hirschfeldia incana","+",1
"17","Q-P08750","Lamium purpureum","Lamium purpureum","1",5
"17","Q-P08750","Lathyrus aphaca","Lathyrus aphaca","1",5
"17","Q-P08750","Muscari comosum","Leopoldia comosa","+",1
"17","Q-P08750","Lepidium heterophyllum","Lepidium heterophyllum","1",5
"17","Q-P08750","Lithospermum officinale","Lithospermum officinale","+",1
"17","Q-P08750","Malva sylvestris","Malva sylvestris","+",1
"17","Q-P08750","Medicago lupulina","Medicago lupulina","+",1
"17","Q-P08750","Poa pratensis","Poa pratensis","1",5
"17","Q-P08750","Silene vulgaris","Silene vulgaris","+",1
"17","Q-P08750","Stellaria media subsp. media","Stellaria media","1",5
"17","Q-P08750","Urtica dioica","Urtica dioica","3",37.5
"17","Q-P08750","Valerianella locusta","Valerianella locusta","+",1
"17","Q-P08750","Veronica chamaedrys","Veronica chamaedrys","+",1
"18","Q-P08751","Agrimonia eupatoria","Agrimonia eupatoria","1",5
"18","Q-P08751","Chaerophyllum hirsutum","Chaerophyllum hirsutum","2",15
"18","Q-P08751","Cirsium vulgare","Cirsium vulgare","+",1
"18","Q-P08751","Conium maculatum","Conium maculatum","3",37.5
"18","Q-P08751","Daucus carota","Daucus carota","1",5
"18","Q-P08751","Dipsacus fullonum","Dipsacus fullonum","1",5
"18","Q-P08751","Galium aparine","Galium aparine","1",5
"18","Q-P08751","Galium verum","Galium verum","1",5
"18","Q-P08751","Rumex crispus","Rumex crispus","1",5
"18","Q-P08751","Tordylium maximum","Tordylium maximum","1",5
"18","Q-P08751","Urtica dioica","Urtica dioica","2",15
"19","Q-P08752","Alliaria petiolata","Alliaria petiolata","a",5
"19","Q-P08752","Alopecurus pratensis","Alopecurus pratensis","+",1
"19","Q-P08752","Bromus sterilis","Anisantha sterilis","1",5
"19","Q-P08752","Anthriscus caucalis","Anthriscus caucalis","a",5
"19","Q-P08752","Arctium minus","Arctium minus","+",1
"19","Q-P08752","Barbarea intermedia","Barbarea intermedia","+",1
"19","Q-P08752","Bromus hordeaceus","Bromus hordeaceus","+",1
"19","Q-P08752","Chaerophyllum hirsutum","Chaerophyllum hirsutum","2",15
"19","Q-P08752","Cynoglossum officinale","Cynoglossum creticum","1",5
"19","Q-P08752","Dactylis glomerata","Dactylis glomerata","+",1
"19","Q-P08752","Galium aparine","Galium aparine","1",5
"19","Q-P08752","Geranium pyrenaicum","Geranium pyrenaicum","1",5
"19","Q-P08752","Glechoma hederacea","Glechoma hederacea","a",5
"19","Q-P08752","Hirschfeldia incana","Hirschfeldia incana","+",1
"19","Q-P08752","Lamium album","Lamium album","3",37.5
"19","Q-P08752","Pentaglottis sempervirens","Pentaglottis sempervirens","f",15
"19","Q-P08752","Poa pratensis","Poa pratensis","2",15
"19","Q-P08752","Stellaria media","Stellaria media","a",5
"19","Q-P08752","Taraxacum officinale","Taraxacum","+",1
"19","Q-P08752","Torilis arvensis subsp. purpurea","Torilis africana","1",5
"19","Q-P08752","Urtica dioica","Urtica dioica","f",15
"20","Q-P08753","Arctium minus","Arctium minus","a",5
"20","Q-P08753","Chaerophyllum hirsutum","Chaerophyllum hirsutum","a",5
"20","Q-P08753","Cirsium vulgare","Cirsium vulgare","1",5
"20","Q-P08753","Galium aparine","Galium aparine","1",5
"20","Q-P08753","Geranium pyrenaicum","Geranium pyrenaicum","a",5
"20","Q-P08753","Geum urbanum","Geum urbanum","1",5
"20","Q-P08753","Hirschfeldia incana","Hirschfeldia incana","+",1
"20","Q-P08753","Lamium maculatum","Lamium maculatum","2",15
"20","Q-P08753","Lapsana communis","Lapsana communis","1",5
"20","Q-P08753","Pentaglottis sempervirens","Pentaglottis sempervirens","1",5
"20","Q-P08753","Rumex crispus","Rumex crispus","1",5
"20","Q-P08753","Stellaria media","Stellaria media","1",5
"20","Q-P08753","Urtica dioica","Urtica dioica","j",37.5
"21","Q-P09152","Digitalis purpurea","Digitalis purpurea","+",1
"21","Q-P09152","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","3",37.5
"21","Q-P09152","Hordeum murinum","Hordeum murinum","1",5
"21","Q-P09152","Senecio jacobaea","Jacobaea vulgaris","+",1
"21","Q-P09152","Plantago lanceolata","Plantago lanceolata","+",1
"21","Q-P09152","Silene latifolia","Silene latifolia","+",1
"21","Q-P09152","Stellaria media","Stellaria media","1",5
"21","Q-P09152","Tanacetum parthenium","Tanacetum parthenium","+",1
"21","Q-P09152","Taraxacum officinale","Taraxacum","+",1
"21","Q-P09152","Urtica dioica","Urtica dioica","2",15
"22","Q-P09153","Galium aparine","Galium aparine","2",15
"22","Q-P09153","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","1",5
"22","Q-P09153","Poa trivialis","Poa trivialis","1",5
"22","Q-P09153","Rumex obtusifolius","Rumex obtusifolius","1",5
"22","Q-P09153","Senecio lividus","Senecio lividus","1",5
"22","Q-P09153","Silene latifolia","Silene latifolia","1",5
"22","Q-P09153","Sonchus asper","Sonchus asper","+",1
"22","Q-P09153","Stellaria media","Stellaria media","1",5
"22","Q-P09153","Urtica dioica","Urtica dioica","1",5
"23","Q-P09154","Dactylis glomerata subsp. lusitanica","Dactylis glomerata","1",5
"23","Q-P09154","Digitalis purpurea","Digitalis purpurea","1",5
"23","Q-P09154","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","2",15
"23","Q-P09154","Lamium maculatum","Lamium maculatum","+",1
"23","Q-P09154","Rumex obtusifolius","Rumex obtusifolius","1",5
"23","Q-P09154","Senecio lividus","Senecio lividus","1",5
"23","Q-P09154","Silene latifolia","Silene latifolia","1",5
"23","Q-P09154","Sonchus oleraceus","Sonchus oleraceus","+",1
"23","Q-P09154","Stellaria media","Stellaria media","1",5
"23","Q-P09154","Tanacetum parthenium","Tanacetum parthenium","2",15
"24","Q-P09155","Ballota foetida","Ballota nigra","1",5
"24","Q-P09155","Digitalis purpurea","Digitalis purpurea","1",5
"24","Q-P09155","Galinsoga parviflora","Galinsoga parviflora","1",5
"24","Q-P09155","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","1",5
"24","Q-P09155","Holcus lanatus","Holcus lanatus","1",5
"24","Q-P09155","Poa trivialis","Poa trivialis","1",5
"24","Q-P09155","Rumex obtusifolius","Rumex obtusifolius","1",5
"24","Q-P09155","Senecio lividus","Senecio lividus","1",5
"24","Q-P09155","Silene latifolia","Silene latifolia","1",5
"24","Q-P09155","Sisymbrium officinale","Sisymbrium officinale","1",5
"24","Q-P09155","Tanacetum parthenium","Tanacetum parthenium","2",15
"25","Q-P09156","Achillea millefolium","Achillea millefolium","1",5
"25","Q-P09156","Bromus sterilis","Anisantha sterilis","1",5
"25","Q-P09156","Anthriscus caucalis","Anthriscus caucalis","2",15
"25","Q-P09156","Ballota foetida","Ballota nigra","3",37.5
"25","Q-P09156","Echium lusitanicum","Echium lusitanicum","1",5
"25","Q-P09156","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","1",5
"25","Q-P09156","Hordeum murinum","Hordeum murinum","1",5
"25","Q-P09156","Lamium maculatum","Lamium maculatum","2",15
"25","Q-P09156","Mentha suaveolens","Mentha suaveolens","1",5
"25","Q-P09156","Plantago major","Plantago major","+",1
"25","Q-P09156","Ranunculus repens","Ranunculus repens","1",5
