"Relevé number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"2","NEW-OMAR-BA05","Urtica dioica","Urtica dioica","+",1
"2","NEW-OMAR-BA05","Lapsana communis","Lapsana communis","+",1
"2","NEW-OMAR-BA05","Euphorbia peplus","Euphorbia peplus","1",5
"2","NEW-OMAR-BA05","Symphyotrichum squamatum","Symphyotrichum squamatum","+",1
"2","NEW-OMAR-BA05","Sonchus oleraceus","Sonchus oleraceus","3",37.5
"2","NEW-OMAR-BA05","Hypochaeris radicata ","Hypochaeris radicata","+",1
"2","NEW-OMAR-BA05","Polypogon viridis","Polypogon viridis","+",1
"2","NEW-OMAR-BA05","Amaranthus quitensis","Amaranthus hybridus aggr.","3",37.5
"2","NEW-OMAR-BA05","Taraxacum gr. officinale","Taraxacum","1",5
"2","NEW-OMAR-BA05","Vicia cordata","Vicia sativa","+",1
"2","NEW-OMAR-BA05","Capsella bursa-pastoris subsp. bursa-pastoris","Capsella bursa-pastoris","1",5
"2","NEW-OMAR-BA05","Borago officinalis","Borago officinalis","+",1
"2","NEW-OMAR-BA05","Equisetum telmateia","Equisetum telmateia","1",5
"2","NEW-OMAR-BA05","Cardamine hirsuta","Cardamine hirsuta","1",5
"2","NEW-OMAR-BA05","Euphorbia helioscopia","Euphorbia helioscopia","2",15
"2","NEW-OMAR-BA05","Oxalis corniculata","Oxalis corniculata","+",1
"2","NEW-OMAR-BA05","Coronopus didymus","Lepidium didymum","1",5
"2","NEW-OMAR-BA05","Atriplex patula","Atriplex patula","+",1
"2","NEW-OMAR-BA05","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"2","NEW-OMAR-BA05","Mercurialis annua","Mercurialis annua","1",5
"2","NEW-OMAR-BA05","Cirsium arvense","Cirsium arvense","1",5
"2","NEW-OMAR-BA05","Ochlopoa annua","Ochlopoa annua","1",5
"2","NEW-OMAR-BA05","Fumaria capreolata","Fumaria capreolata","+",1
"2","NEW-OMAR-BA05","Stellaria media","Stellaria media","1",5
"3","NEW-OMAR-BA06","Ranunculus repens","Ranunculus repens","+",1
"3","NEW-OMAR-BA06","Taraxacum gr. officinale","Taraxacum","+",1
"3","NEW-OMAR-BA06","Capsella bursa-pastoris subsp. bursa-pastoris","Capsella bursa-pastoris","1",5
"3","NEW-OMAR-BA06","Lolium perenne ","Lolium perenne","1",5
"3","NEW-OMAR-BA06","Sonchus oleraceus","Sonchus oleraceus","1",5
"3","NEW-OMAR-BA06","Malva multiflora","Malva multiflora","+",1
"3","NEW-OMAR-BA06","Veronica persica","Veronica persica","+",1
"3","NEW-OMAR-BA06","Mercurialis annua","Mercurialis annua","1",5
"3","NEW-OMAR-BA06","Euphorbia peplus","Euphorbia peplus","1",5
"3","NEW-OMAR-BA06","Stellaria media","Stellaria media","4",62.5
"3","NEW-OMAR-BA06","Solanum tuberosum","Solanum tuberosum","+",1
"3","NEW-OMAR-BA06","Senecio vulgaris","Senecio vulgaris","1",5
"3","NEW-OMAR-BA06","Euphorbia helioscopia","Euphorbia helioscopia","1",5
"3","NEW-OMAR-BA06","Ochlopoa annua","Ochlopoa annua","1",5
"4","NEW-OMAR-BA08","Angelica sylvestris","Angelica sylvestris","+",1
"4","NEW-OMAR-BA08","Glechoma hederacea","Glechoma hederacea","+",1
"4","NEW-OMAR-BA08","Quercus robur","Quercus robur","+",1
"4","NEW-OMAR-BA08","Solanum dulcamara","Solanum dulcamara","+",1
"4","NEW-OMAR-BA08","Equisetum telmateia","Equisetum telmateia","4",62.5
"4","NEW-OMAR-BA08","Holcus lanatus ","Holcus lanatus","+",1
"4","NEW-OMAR-BA08","Ranunculus repens","Ranunculus repens","+",1
"4","NEW-OMAR-BA08","Mentha suaveolens","Mentha suaveolens","1",5
"4","NEW-OMAR-BA08","Rubus ulmifolius","Rubus ulmifolius","1",5
"4","NEW-OMAR-BA08","Arum italicum subsp. neglectum","Arum italicum","1",5
"4","NEW-OMAR-BA08","Geranium robertianum","Geranium robertianum","+",1
"4","NEW-OMAR-BA08","Centaurea nigra ","Centaurea nigra","+",1
"4","NEW-OMAR-BA08","Pulicaria dysenterica","Pulicaria dysenterica","1",5
"5","NEW-OMAR-BA106","Rubus gr. silvaticus","Rubus ulmifolius","+",1
"5","NEW-OMAR-BA106","Equisetum telmateia","Equisetum telmateia","3",37.5
"5","NEW-OMAR-BA106","Calystegia sepium","Calystegia sepium","1",5
"5","NEW-OMAR-BA106","Urtica dioica","Urtica dioica","2",15
"5","NEW-OMAR-BA106","Galium aparine","Galium aparine","1",5
"5","NEW-OMAR-BA106","Carex pendula","Carex pendula","1",5
"6","NEW-OMAR-BA107","Equisetum telmateia","Equisetum telmateia","1",5
"6","NEW-OMAR-BA107","Ranunculus repens","Ranunculus repens","1",5
"6","NEW-OMAR-BA107","Lythrum salicaria","Lythrum salicaria","+",1
"6","NEW-OMAR-BA107","Rumex conglomeratus","Rumex conglomeratus","+",1
"6","NEW-OMAR-BA107","Mentha suaveolens","Mentha suaveolens","4",62.5
"6","NEW-OMAR-BA107","Juncus inflexus","Juncus inflexus","1",5
"6","NEW-OMAR-BA107","Urtica dioica","Urtica dioica","+",1
"6","NEW-OMAR-BA107","Mentha aquatica","Mentha aquatica","1",5
"6","NEW-OMAR-BA107","Verbena officinalis","Verbena officinalis","+",1
"6","NEW-OMAR-BA107","Persicaria hydropiper","Persicaria hydropiper","+",1
"6","NEW-OMAR-BA107","Trifolium repens","Trifolium repens","+",1
"6","NEW-OMAR-BA107","Pulicaria dysenterica","Pulicaria dysenterica","1",5
"6","NEW-OMAR-BA107","Rumex crispus","Rumex crispus","1",5
"6","NEW-OMAR-BA107","Agrostis capillaris","Agrostis capillaris","1",5
"7","NEW-OMAR-BA108","Persicaria maculosa","Persicaria maculosa","+",1
"7","NEW-OMAR-BA108","Polygonum aviculare","Polygonum aviculare","+",1
"7","NEW-OMAR-BA108","Plantago major","Plantago major","1",5
"7","NEW-OMAR-BA108","Echinochloa crus-galli","Echinochloa crus-galli","1",5
"7","NEW-OMAR-BA108","Arctium minus","Arctium minus","+",1
"7","NEW-OMAR-BA108","Ochlopoa annua","Ochlopoa annua","2",15
"7","NEW-OMAR-BA108","Artemisia vulgaris","Artemisia vulgaris","+",1
"7","NEW-OMAR-BA108","Sonchus oleraceus","Sonchus oleraceus","+",1
"7","NEW-OMAR-BA108","Lolium perenne ","Lolium perenne","3",37.5
"7","NEW-OMAR-BA108","Holcus lanatus ","Holcus lanatus","+",1
"8","NEW-OMAR-BA12","Euphorbia platyphyllos","Euphorbia platyphyllos","1",5
"8","NEW-OMAR-BA12","Artemisia vulgaris","Artemisia vulgaris","1",5
"8","NEW-OMAR-BA12","Cirsium vulgare ","Cirsium vulgare","1",5
"8","NEW-OMAR-BA12","Rumex crispus","Rumex crispus","+",1
"8","NEW-OMAR-BA12","Lolium multiflorum","Lolium multiflorum","2",15
"8","NEW-OMAR-BA12","Daucus carota","Daucus carota","1",5
"8","NEW-OMAR-BA12","Galium aparine","Galium aparine","1",5
"8","NEW-OMAR-BA12","Polypogon monspeliensis","Polypogon monspeliensis","+",1
"8","NEW-OMAR-BA12","Avena barbata","Avena barbata","+",1
"8","NEW-OMAR-BA12","Melilotus albus","Melilotus albus","1",5
"8","NEW-OMAR-BA12","Conium maculatum","Conium maculatum","+",1
"8","NEW-OMAR-BA12","Anisantha diandra","Anisantha diandra","+",1
"8","NEW-OMAR-BA12","Geranium purpureum","Geranium purpureum","1",5
"8","NEW-OMAR-BA12","Dactylis glomerata","Dactylis glomerata","1",5
"8","NEW-OMAR-BA12","Rubus ulmifolius ","Rubus ulmifolius","+",1
"8","NEW-OMAR-BA12","Anisantha rigida","Anisantha rigida","1",5
"8","NEW-OMAR-BA12","Schedonorus arundinaceus","Schedonorus arundinaceus","1",5
"8","NEW-OMAR-BA12","Ochlopoa annua","Ochlopoa annua","1",5
"8","NEW-OMAR-BA12","Holcus lanatus ","Holcus lanatus","2",15
"8","NEW-OMAR-BA12","Medicago lupulina","Medicago lupulina","1",5
"8","NEW-OMAR-BA12","Lactuca serriola ","Lactuca serriola","+",1
"8","NEW-OMAR-BA12","Taraxacum gr. officinale","Taraxacum","+",1
"8","NEW-OMAR-BA12","Erigeron canadensis","Erigeron canadensis","+",1
"8","NEW-OMAR-BA12","Piptatherum miliaceum ","Piptatherum miliaceum","2",15
"8","NEW-OMAR-BA12","Epilobium parviflorum","Epilobium parviflorum","+",1
"8","NEW-OMAR-BA12","Centranthus calcitrapae","Centranthus calcitrapae","1",5
"8","NEW-OMAR-BA12","Plantago major","Plantago major","+",1
"8","NEW-OMAR-BA12","Hirschfeldia incana ","Hirschfeldia incana","2",15
"8","NEW-OMAR-BA12","Inula montana","Inula montana","1",5
"8","NEW-OMAR-BA12","Ceratochloa cathartica","Ceratochloa cathartica","1",5
"9","NEW-OMAR-BA13","Geranium rotundifolium","Geranium rotundifolium","+",1
"9","NEW-OMAR-BA13","Anisantha diandra","Anisantha diandra","1",5
"9","NEW-OMAR-BA13","Lolium multiflorum","Lolium multiflorum","1",5
"9","NEW-OMAR-BA13","Dipsacus fullonum","Dipsacus fullonum","1",5
"9","NEW-OMAR-BA13","Veronica persica","Veronica persica","+",1
"9","NEW-OMAR-BA13","Stellaria media","Stellaria media","+",1
"9","NEW-OMAR-BA13","Silene vulgaris","Silene vulgaris","+",1
"9","NEW-OMAR-BA13","Anisantha sterilis","Anisantha sterilis","1",5
"9","NEW-OMAR-BA13","Oxalis corniculata","Oxalis corniculata","+",1
"9","NEW-OMAR-BA13","Rumex crispus","Rumex crispus","1",5
"9","NEW-OMAR-BA13","Artemisia vulgaris","Artemisia vulgaris","3",37.5
"9","NEW-OMAR-BA13","Urtica dioica","Urtica dioica","1",5
"9","NEW-OMAR-BA13","Melilotus albus","Melilotus albus","1",5
"9","NEW-OMAR-BA13","Chenopodium album","Chenopodium album","+",1
"9","NEW-OMAR-BA13","Galium aparine","Galium aparine","1",5
"9","NEW-OMAR-BA13","Ceratochloa cathartica","Ceratochloa cathartica","+",1
"9","NEW-OMAR-BA13","Lolium perenne ","Lolium perenne","+",1
"9","NEW-OMAR-BA13","Conium maculatum","Conium maculatum","+",1
"9","NEW-OMAR-BA13","Lactuca serriola ","Lactuca serriola","+",1
"9","NEW-OMAR-BA13","Solanum dulcamara","Solanum dulcamara","+",1
"9","NEW-OMAR-BA13","Calystegia sepium","Calystegia sepium","2",15
"9","NEW-OMAR-BA13","Rubus ulmifolius ","Rubus ulmifolius","+",1
"9","NEW-OMAR-BA13","Alliaria petiolata","Alliaria petiolata","1",5
"9","NEW-OMAR-BA13","Hirschfeldia incana ","Hirschfeldia incana","1",5
"9","NEW-OMAR-BA13","Anisantha rigida","Anisantha rigida","1",5
"10","NEW-OMAR-BA15","Torilis japonica","Torilis japonica","+",1
"10","NEW-OMAR-BA15","Urtica dioica","Urtica dioica","1",5
"10","NEW-OMAR-BA15","Arctium minus","Arctium minus","4",62.5
"10","NEW-OMAR-BA15","Persicaria lapathifolia","Persicaria lapathifolia","+",1
"10","NEW-OMAR-BA15","Mentha suaveolens","Mentha suaveolens","+",1
"10","NEW-OMAR-BA15","Polypogon viridis","Polypogon viridis","+",1
"10","NEW-OMAR-BA15","Rubus caesius","Rubus caesius","+",1
"10","NEW-OMAR-BA15","Vicia cracca","Vicia cracca","+",1
"10","NEW-OMAR-BA15","Rumex crispus","Rumex crispus","+",1
"10","NEW-OMAR-BA15","Tussilago farfara","Tussilago farfara","1",5
"10","NEW-OMAR-BA15","Hirschfeldia incana ","Hirschfeldia incana","2",15
"10","NEW-OMAR-BA15","Equisetum arvense","Equisetum arvense","+",1
"10","NEW-OMAR-BA15","Daucus carota","Daucus carota","+",1
"10","NEW-OMAR-BA15","Verbena officinalis","Verbena officinalis","1",5
"10","NEW-OMAR-BA15","agrostis canina","Agrostis canina","+",1
"10","NEW-OMAR-BA15","Hypericum perforatum","Hypericum perforatum","+",1
"10","NEW-OMAR-BA15","Epilobium hirsutum","Epilobium hirsutum","+",1
"10","NEW-OMAR-BA15","Chenopodium ambrosioides","Dysphania ambrosioides","+",1
"10","NEW-OMAR-BA15","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"10","NEW-OMAR-BA15","Clematis vitalba ","Clematis vitalba","+",1
"10","NEW-OMAR-BA15","Jacobaea aquatica","Jacobaea aquatica","+",1
"10","NEW-OMAR-BA15","Taraxacum gr. officinale","Taraxacum","+",1
"10","NEW-OMAR-BA15","Dipsacus fullonum","Dipsacus fullonum","2",15
"10","NEW-OMAR-BA15","Elytrigia repens","Elytrigia repens","+",1
"10","NEW-OMAR-BA15","Piptatherum miliaceum ","Piptatherum miliaceum","1",5
"10","NEW-OMAR-BA15","Holcus lanatus ","Holcus lanatus","+",1
"10","NEW-OMAR-BA15","Polypogon monspeliensis","Polypogon monspeliensis","+",1
"10","NEW-OMAR-BA15","Erigeron canadensis","Erigeron canadensis","1",5
"10","NEW-OMAR-BA15","Plantago major","Plantago major","1",5
"10","NEW-OMAR-BA15","Verbascum pulverulentum ","Verbascum pulverulentum","+",1
"10","NEW-OMAR-BA15","Cirsium vulgare ","Cirsium vulgare","1",5
"10","NEW-OMAR-BA15","Lactuca serriola ","Lactuca serriola","+",1
"10","NEW-OMAR-BA15","Robinia pseudoacacia ","Robinia pseudoacacia","+",1
"11","NEW-OMAR-BA20","Trifolium pratense ","Trifolium pratense","+",1
"11","NEW-OMAR-BA20","Taraxacum gr. officinale","Taraxacum","+",1
"11","NEW-OMAR-BA20","Ochlopoa annua","Ochlopoa annua","2",15
"11","NEW-OMAR-BA20","Ranunculus repens","Ranunculus repens","1",5
"11","NEW-OMAR-BA20","Bellis perennis","Bellis perennis","1",5
"11","NEW-OMAR-BA20","Verbena officinalis","Verbena officinalis","+",1
"11","NEW-OMAR-BA20","Stellaria media","Stellaria media","+",1
"11","NEW-OMAR-BA20","Plantago major","Plantago major","1",5
"12","NEW-OMAR-BA34","Euphorbia helioscopia","Euphorbia helioscopia","+",1
"12","NEW-OMAR-BA34","Erigeron canadensis","Erigeron canadensis","+",1
"12","NEW-OMAR-BA34","Senecio vulgaris","Senecio vulgaris","1",5
"12","NEW-OMAR-BA34","Cerastium fontanum","Cerastium fontanum","2",15
"12","NEW-OMAR-BA34","Ochlopoa annua","Ochlopoa annua","1",5
"12","NEW-OMAR-BA34","Mentha pulegium","Mentha pulegium","+",1
"12","NEW-OMAR-BA34","Paspalum distichum","Paspalum distichum","+",1
"12","NEW-OMAR-BA34","Hypericum humifusum","Hypericum humifusum","+",1
"12","NEW-OMAR-BA34","Dactylis glomerata","Dactylis glomerata","+",1
"12","NEW-OMAR-BA34","Stellaria media","Stellaria media","2",15
"12","NEW-OMAR-BA34","Sonchus oleraceus","Sonchus oleraceus","+",1
"12","NEW-OMAR-BA34","Polycarpon tetraphyllum","Polycarpon tetraphyllum","+",1
"12","NEW-OMAR-BA34","Galium aparine","Galium aparine","+",1
"12","NEW-OMAR-BA34","Melissa officinalis","Melissa officinalis","+",1
"12","NEW-OMAR-BA34","Mercurialis annua","Mercurialis annua","2",15
"12","NEW-OMAR-BA34","Oxalis corniculata","Oxalis corniculata","2",15
"12","NEW-OMAR-BA34","Taraxacum gr. officinale","Taraxacum","+",1
"12","NEW-OMAR-BA34","Verbena officinalis","Verbena officinalis","+",1
"12","NEW-OMAR-BA34","Cirsium vulgare ","Cirsium vulgare","+",1
"12","NEW-OMAR-BA34","Capsella bursa-pastoris subsp. bursa-pastoris","Capsella bursa-pastoris","+",1
"12","NEW-OMAR-BA34","Persicaria maculosa","Persicaria maculosa","+",1
"12","NEW-OMAR-BA34","Bellis perennis","Bellis perennis","+",1
"12","NEW-OMAR-BA34","Euphorbia peplus","Euphorbia peplus","+",1
"12","NEW-OMAR-BA34","Solanum tuberosum","Solanum tuberosum","+",1
"12","NEW-OMAR-BA34","Stachys arvensis","Stachys arvensis","1",5
"12","NEW-OMAR-BA34","Veronica persica","Veronica persica","+",1
"12","NEW-OMAR-BA34","Geranium rotundifolium","Geranium rotundifolium","+",1
"12","NEW-OMAR-BA34","Viola hirta","Viola hirta","+",1
"13","NEW-OMAR-BA38","Dactylis glomerata","Dactylis glomerata","+",1
"13","NEW-OMAR-BA38","Erigeron canadensis","Erigeron canadensis","+",1
"13","NEW-OMAR-BA38","Taraxacum gr. officinale","Taraxacum","1",5
"13","NEW-OMAR-BA38","Fumaria muralis","Fumaria muralis","+",1
"13","NEW-OMAR-BA38","Veronica persica","Veronica persica","1",5
"13","NEW-OMAR-BA38","Cardamine hirsuta","Cardamine hirsuta","1",5
"13","NEW-OMAR-BA38","Ochlopoa annua","Ochlopoa annua","1",5
"13","NEW-OMAR-BA38","Senecio vulgaris","Senecio vulgaris","2",15
"13","NEW-OMAR-BA38","Lolium perenne ","Lolium perenne","1",5
"13","NEW-OMAR-BA38","Anagallis arvensis","Anagallis arvensis","+",1
"13","NEW-OMAR-BA38","Oxalis corniculata","Oxalis corniculata","+",1
"13","NEW-OMAR-BA38","Malva multiflora","Malva multiflora","+",1
"13","NEW-OMAR-BA38","Veronica arvensis","Veronica arvensis","+",1
"13","NEW-OMAR-BA38","Mercurialis annua","Mercurialis annua","+",1
"13","NEW-OMAR-BA38","Euphorbia peplus","Euphorbia peplus","1",5
"13","NEW-OMAR-BA38","Ranunculus bulbosus","Ranunculus bulbosus","+",1
"13","NEW-OMAR-BA38","Sonchus oleraceus","Sonchus oleraceus","1",5
"13","NEW-OMAR-BA38","Juncus inflexus","Juncus inflexus","+",1
"13","NEW-OMAR-BA38","Stellaria media","Stellaria media","1",5
"13","NEW-OMAR-BA38","Cirsium vulgare ","Cirsium vulgare","+",1
"13","NEW-OMAR-BA38","Sonchus asper","Sonchus asper","1",5
"14","NEW-OMAR-BA39","Lythrum salicaria","Lythrum salicaria","1",5
"14","NEW-OMAR-BA39","Calystegia sepium","Calystegia sepium","+",1
"14","NEW-OMAR-BA39","Juncus inflexus","Juncus inflexus","2",15
"14","NEW-OMAR-BA39","Atriplex prostrata","Atriplex prostrata","1",5
"14","NEW-OMAR-BA39","Mentha aquatica","Mentha aquatica","3",37.5
"14","NEW-OMAR-BA39","Galium palustre","Galium palustre","3",37.5
"14","NEW-OMAR-BA39","Rumex conglomeratus","Rumex conglomeratus","+",1
"14","NEW-OMAR-BA39","Urtica dioica","Urtica dioica","2",15
"14","NEW-OMAR-BA39","Solanum dulcamara","Solanum dulcamara","2",15
"14","NEW-OMAR-BA39","Equisetum palustre","Equisetum palustre","1",5
"15","NEW-OMAR-BA40","Lythrum salicaria","Lythrum salicaria","2",15
"15","NEW-OMAR-BA40","Carex pendula","Carex pendula","3",37.5
"15","NEW-OMAR-BA40","Juncus inflexus","Juncus inflexus","2",15
"15","NEW-OMAR-BA40","Helosciadium nodiflorum","Helosciadium nodiflorum","1",5
"15","NEW-OMAR-BA40","Lycopus europaeus","Lycopus europaeus","2",15
"15","NEW-OMAR-BA40","Calystegia sepium","Calystegia sepium","1",5
"15","NEW-OMAR-BA40","Galium palustre","Galium palustre","1",5
"15","NEW-OMAR-BA40","Mentha aquatica","Mentha aquatica","2",15
"15","NEW-OMAR-BA40","Atriplex prostrata","Atriplex prostrata","1",5
"15","NEW-OMAR-BA40","Persicaria hidropiper","Persicaria hydropiper","1",5
"15","NEW-OMAR-BA40","Rumex conglomeratus","Rumex conglomeratus","+",1
"16","NEW-OMAR-BA42","Polycarpon tetraphyllum","Polycarpon tetraphyllum","3",37.5
"16","NEW-OMAR-BA42","Senecio vulgaris","Senecio vulgaris","2",15
"16","NEW-OMAR-BA42","Stellaria media","Stellaria media","1",5
"16","NEW-OMAR-BA42","Taraxacum gr. officinale","Taraxacum","2",15
"16","NEW-OMAR-BA42","Cardamine hirsuta","Cardamine hirsuta","2",15
"16","NEW-OMAR-BA42","Erigeron canadensis","Erigeron canadensis","1",5
"16","NEW-OMAR-BA42","Lolium perenne ","Lolium perenne","+",1
"16","NEW-OMAR-BA42","Rumex obtusifolius","Rumex obtusifolius","+",1
"16","NEW-OMAR-BA42","Veronica persica","Veronica persica","+",1
"16","NEW-OMAR-BA42","Anthemis cotula","Anthemis cotula","+",1
"16","NEW-OMAR-BA42","Cerastium fontanum","Cerastium fontanum","+",1
"16","NEW-OMAR-BA42","Oxalis corniculata","Oxalis corniculata","+",1
"16","NEW-OMAR-BA42","Fumaria muralis","Fumaria muralis","1",5
"16","NEW-OMAR-BA42","Lamium hybridum","Lamium purpureum","2",15
"16","NEW-OMAR-BA42","Coronopus didymus","Lepidium didymum","1",5
"16","NEW-OMAR-BA42","Geranium dissectum ","Geranium dissectum","+",1
"16","NEW-OMAR-BA42","Capsella bursa-pastoris subsp. bursa-pastoris","Capsella bursa-pastoris","1",5
"17","NEW-OMAR-BA43","Sonchus oleraceus","Sonchus oleraceus","1",5
"17","NEW-OMAR-BA43","Rumex crispus","Rumex crispus","+",1
"17","NEW-OMAR-BA43","Galium aparine","Galium aparine","+",1
"17","NEW-OMAR-BA43","Euphorbia peplus","Euphorbia peplus","2",15
"17","NEW-OMAR-BA43","Sonchus asper","Sonchus asper","1",5
"17","NEW-OMAR-BA43","Ranunculus repens","Ranunculus repens","1",5
"17","NEW-OMAR-BA43","Lapsana communis","Lapsana communis","1",5
"17","NEW-OMAR-BA43","Brassica napus var. napus","Brassica napus","3",37.5
"17","NEW-OMAR-BA43","Mercurialis annua","Mercurialis annua","3",37.5
"17","NEW-OMAR-BA43","Calystegia sepium","Calystegia sepium","+",1
"17","NEW-OMAR-BA43","Senecio vulgaris","Senecio vulgaris","3",37.5
"17","NEW-OMAR-BA43","Euphorbia helioscopia","Euphorbia helioscopia","+",1
"17","NEW-OMAR-BA43","Veronica persica","Veronica persica","1",5
"18","NEW-OMAR-BA58","Geranium robertianum","Geranium robertianum","1",5
"18","NEW-OMAR-BA58","Saponaria officinalis","Saponaria officinalis","+",1
"18","NEW-OMAR-BA58","Verbena officinalis","Verbena officinalis","+",1
"18","NEW-OMAR-BA58","Papaver rhoeas","Papaver rhoeas","+",1
"18","NEW-OMAR-BA58","Galium aparine","Galium aparine","2",15
"18","NEW-OMAR-BA58","Symphyotrichum squamatum","Symphyotrichum squamatum","4",62.5
"18","NEW-OMAR-BA58","Dactylis glomerata","Dactylis glomerata","+",1
"18","NEW-OMAR-BA58","Sonchus oleraceus","Sonchus oleraceus","+",1
"18","NEW-OMAR-BA58","Anisantha diandra","Anisantha diandra","+",1
"18","NEW-OMAR-BA58","Piptatherum miliaceum ","Piptatherum miliaceum","+",1
"18","NEW-OMAR-BA58","Calystegia sepium","Calystegia sepium","+",1
"18","NEW-OMAR-BA58","Veronica persica","Veronica persica","+",1
"18","NEW-OMAR-BA58","Lolium perenne ","Lolium perenne","+",1
"18","NEW-OMAR-BA58","Urtica dioica","Urtica dioica","2",15
"18","NEW-OMAR-BA58","Rubus gr. silvaticus","Rubus ulmifolius","2",15
"18","NEW-OMAR-BA58","Verbascum pulverulentum ","Verbascum pulverulentum","+",1
"18","NEW-OMAR-BA58","Avena sterilis","Avena sterilis","+",1
"18","NEW-OMAR-BA58","Achillea millefolium","Achillea millefolium","+",1
"18","NEW-OMAR-BA58","Malva multiflora","Malva multiflora","1",5
"18","NEW-OMAR-BA58","Cirsium vulgare ","Cirsium vulgare","+",1
