"Releve.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
202794,"Q-P02794","Aira caryophyllea","Aira caryophyllea","+",1
202794,"Q-P02794","Asplenium trichomanes","Asplenium trichomanes","+",1
202794,"Q-P02794","Crepis capillaris","Crepis capillaris","1",5
202794,"Q-P02794","Cymbalaria muralis","Cymbalaria muralis","3",37.5
202794,"Q-P02794","Mercurialis annua","Mercurialis annua","1",5
202794,"Q-P02794","Parietaria diffusa","Parietaria judaica","2",15
202794,"Q-P02794","Polypodium australe","Polypodium cambricum","+",1
202794,"Q-P02794","Sagina procumbens","Sagina procumbens","1",5
202794,"Q-P02794","Trachelium caeruleum","Trachelium caeruleum","2",15
207031,"Q-P07031","Antirrhinum majus","Antirrhinum majus","+",1
207031,"Q-P07031","Asplenium trichomanes","Asplenium trichomanes","1",5
207031,"Q-P07031","Cymbalaria muralis","Cymbalaria muralis","f",15
207031,"Q-P07031","Parietaria judaica","Parietaria judaica","3",37.5
207031,"Q-P07031","Sonchus oleraceus","Sonchus oleraceus","+",1
207031,"Q-P07031","Umbilicus rupestris","Umbilicus rupestris","*",1
207042,"Q-P07042","Bromus diandrus","Anisantha diandra","4",62.5
207042,"Q-P07042","Arctotheca calendula","Arctotheca calendula","j",37.5
207042,"Q-P07042","Avena barbata","Avena barbata","+",1
207042,"Q-P07042","Calystegia soldanella","Calystegia soldanella","+",1
207042,"Q-P07042","Fumaria capreolata","Fumaria capreolata","a",5
207042,"Q-P07042","Geranium molle","Geranium molle","+",1
207042,"Q-P07042","Geranium robertianum","Geranium robertianum","+",1
207042,"Q-P07042","Hordeum murinum","Hordeum murinum","1",5
207042,"Q-P07042","Medicago polymorpha","Medicago polymorpha","a",5
207042,"Q-P07042","Scilla verna","Scilla verna","+",1
207042,"Q-P07042","Silene conica","Silene conica","a",5
207042,"Q-P07042","Sonchus oleraceus","Sonchus oleraceus","+",1
207042,"Q-P07042","Stellaria media","Stellaria media","1",5
207042,"Q-P07042","Valerianella locusta","Valerianella locusta","+",1
207042,"Q-P07042","Vicia sativa","Vicia sativa","1",5
207045,"Q-P07045","Amaranthus retroflexus","Amaranthus retroflexus","3",37.5
207045,"Q-P07045","Calendula arvensis","Calendula arvensis","+",1
207045,"Q-P07045","Chenopodium album","Chenopodium album","2",15
207050,"Q-P07050","Erophila verna","Draba verna","1",5
207050,"Q-P07050","Juncus bufonius","Juncus bufonius","+",1
207050,"Q-P07050","Coronopus didymus","Lepidium didymum","a",5
207050,"Q-P07050","Poa annua","Ochlopoa annua","2",15
207050,"Q-P07050","Salvia apetala","Silene apetala","2",15
207050,"Q-P07050","Spergularia bocconii","Spergularia bocconei","3",37.5
207051,"Q-P07051","Arctotheca calendula","Arctotheca calendula","*",1
207051,"Q-P07051","Juncus bufonius","Juncus bufonius","1",5
207051,"Q-P07051","Medicago lupulina","Medicago lupulina","+",1
207051,"Q-P07051","Poa annua","Ochlopoa annua","2",15
207051,"Q-P07051","Plantago coronopus","Plantago coronopus","*",1
207051,"Q-P07051","Salvia apetala","Silene apetala","2",15
207051,"Q-P07051","Spergularia bocconii","Spergularia bocconei","3",37.5
207736,"Q-P07736","Chrysanthemum segetum","Glebionis segetum","f",15
207736,"Q-P07736","Papaver rhoeas","Papaver rhoeas","+",1
207737,"Q-P07737","Anthemis arvensis","Anthemis arvensis","+",1
207737,"Q-P07737","Convolvulus arvensis","Convolvulus arvensis","+",1
207737,"Q-P07737","Chrysanthemum segetum","Glebionis segetum","b",5
207737,"Q-P07737","Lathyrus aphaca","Lathyrus aphaca","+",1
207737,"Q-P07737","Papaver rhoeas","Papaver rhoeas","+",1
207737,"Q-P07737","Sherardia arvensis","Sherardia arvensis","+",1
207737,"Q-P07737","Silene gallica","Silene gallica","a",5
207737,"Q-P07737","Trifolium arvense","Trifolium arvense","+",1
207737,"Q-P07737","Vicia sativa","Vicia sativa","+",1
207763,"Q-P07763","Agrostis tenuis","Agrostis capillaris","+",1
207763,"Q-P07763","Chenopodium album","Chenopodium album","2",15
207763,"Q-P07763","Geranium rotundifolium","Geranium rotundifolium","+",1
207763,"Q-P07763","Hypochoeris radicata","Hypochaeris radicata","+",1
207763,"Q-P07763","Coronopus squamatus","Lepidium coronopus","+",1
207763,"Q-P07763","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
207763,"Q-P07763","Medicago lupulina","Medicago lupulina","+",1
207763,"Q-P07763","Polygonum persicaria","Persicaria maculosa","+",1
207763,"Q-P07763","Plantago lanceolata","Plantago lanceolata","+",1
207763,"Q-P07763","Polygonum aviculare","Polygonum aviculare","+",1
207763,"Q-P07763","Potentilla reptans","Potentilla reptans","+",1
207763,"Q-P07763","Prunella vulgaris","Prunella vulgaris","+",1
207763,"Q-P07763","Senecio vulgaris","Senecio vulgaris","+",1
207763,"Q-P07763","Setaria glauca","Setaria pumila","+",1
207763,"Q-P07763","Solanum nigrum","Solanum nigrum","+",1
207763,"Q-P07763","Sonchus oleraceus","Sonchus oleraceus","+",1
207763,"Q-P07763","Stellaria media","Stellaria media","+",1
207763,"Q-P07763","Trifolium pratense","Trifolium pratense","+",1
207763,"Q-P07763","Veronica agrestis","Veronica agrestis","+",1
207764,"Q-P07764","Agrostis tenuis","Agrostis capillaris","+",1
207764,"Q-P07764","Bellis perennis","Bellis perennis","+",1
207764,"Q-P07764","Chenopodium album","Chenopodium album","+",1
207764,"Q-P07764","Crepis virens","Crepis capillaris","+",1
207764,"Q-P07764","Digitaria sanguinale","Digitaria sanguinalis","+",1
207764,"Q-P07764","Erigeron canadensis","Erigeron canadensis","+",1
207764,"Q-P07764","Geranium rotundifolium","Geranium rotundifolium","+",1
207764,"Q-P07764","Holcus lanatus","Holcus lanatus","+",1
207764,"Q-P07764","Hypochoeris radicata","Hypochaeris radicata","1",5
207764,"Q-P07764","Leucanthemum vulgare","Leucanthemum vulgare s.l.","1",5
207764,"Q-P07764","Medicago lupulina","Medicago lupulina","+",1
207764,"Q-P07764","Mercurialis annua","Mercurialis annua","1",5
207764,"Q-P07764","Oxalis lantifolia","Oxalis latifolia","+",1
207764,"Q-P07764","Polygonum persicaria","Persicaria maculosa","a",5
207764,"Q-P07764","Plantago lanceolata","Plantago lanceolata","1",5
207764,"Q-P07764","Potentilla reptans","Potentilla reptans","+",1
207764,"Q-P07764","Rumex conglomeratus","Rumex conglomeratus","+",1
207764,"Q-P07764","Senecio vulgaris","Senecio vulgaris","+",1
207764,"Q-P07764","Solanum nigrum","Solanum nigrum","+",1
207764,"Q-P07764","Sonchus oleraceus","Sonchus oleraceus","+",1
207764,"Q-P07764","Stachys arvensis","Stachys arvensis","+",1
207764,"Q-P07764","Stellaria media","Stellaria media","+",1
207764,"Q-P07764","Trifolium pratense","Trifolium pratense","+",1
207765,"Q-P07765","Agrostis tenuis","Agrostis capillaris","+",1
207765,"Q-P07765","Amaranthus patulus","Amaranthus hybridus aggr.","+",1
207765,"Q-P07765","Bellis perennis","Bellis perennis","+",1
207765,"Q-P07765","Chenopodium album","Chenopodium album","f",15
207765,"Q-P07765","Crepis virens","Crepis capillaris","+",1
207765,"Q-P07765","Digitaria sanguinale","Digitaria sanguinalis","+",1
207765,"Q-P07765","Erigeron canadensis","Erigeron canadensis","+",1
207765,"Q-P07765","Geranium rotundifolium","Geranium rotundifolium","+",1
207765,"Q-P07765","Holcus lanatus","Holcus lanatus","+",1
207765,"Q-P07765","Hypochoeris radicata","Hypochaeris radicata","+",1
207765,"Q-P07765","Gnaphalium luteo-album","Laphangium luteoalbum","+",1
207765,"Q-P07765","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
207765,"Q-P07765","Medicago lupulina","Medicago lupulina","+",1
207765,"Q-P07765","Mercurialis annua","Mercurialis annua","+",1
207765,"Q-P07765","Plantago lanceolata","Plantago lanceolata","+",1
207765,"Q-P07765","Plantago major","Plantago major","+",1
207765,"Q-P07765","Rumex conglomeratus","Rumex conglomeratus","+",1
207765,"Q-P07765","Senecio vulgaris","Senecio vulgaris","+",1
207765,"Q-P07765","Solanum nigrum","Solanum nigrum","+",1
207765,"Q-P07765","Sonchus oleraceus","Sonchus oleraceus","+",1
207765,"Q-P07765","Stellaria media","Stellaria media","+",1
207765,"Q-P07765","Trifolium pratense","Trifolium pratense","+",1
207765,"Q-P07765","Trifolium repens","Trifolium repens","+",1
207765,"Q-P07765","Verbena officinalis","Verbena officinalis","+",1
207766,"Q-P07766","Chenopodium album","Chenopodium album","f",15
207766,"Q-P07766","Crepis virens","Crepis capillaris","+",1
207766,"Q-P07766","Digitaria sanguinale","Digitaria sanguinalis","+",1
207766,"Q-P07766","Holcus lanatus","Holcus lanatus","+",1
207766,"Q-P07766","Hypochoeris radicata","Hypochaeris radicata","+",1
207766,"Q-P07766","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
207766,"Q-P07766","Polygonum persicaria","Persicaria maculosa","1",5
207766,"Q-P07766","Plantago lanceolata","Plantago lanceolata","+",1
207766,"Q-P07766","Plantago major","Plantago major","+",1
207766,"Q-P07766","Rumex conglomeratus","Rumex conglomeratus","+",1
207766,"Q-P07766","Senecio vulgaris","Senecio vulgaris","+",1
207766,"Q-P07766","Solanum nigrum","Solanum nigrum","+",1
207766,"Q-P07766","Sonchus oleraceus","Sonchus oleraceus","+",1
207766,"Q-P07766","Trifolium pratense","Trifolium pratense","+",1
207766,"Q-P07766","Verbena officinalis","Verbena officinalis","+",1
207767,"Q-P07767","Agrostis tenuis","Agrostis capillaris","+",1
207767,"Q-P07767","Amaranthus patulus","Amaranthus hybridus aggr.","+",1
207767,"Q-P07767","Calystegia sepium","Calystegia sepium","+",1
207767,"Q-P07767","Chenopodium album","Chenopodium album","f",15
207767,"Q-P07767","Crepis virens","Crepis capillaris","+",1
207767,"Q-P07767","Digitaria sanguinale","Digitaria sanguinalis","+",1
207767,"Q-P07767","Geranium rotundifolium","Geranium rotundifolium","+",1
207767,"Q-P07767","Holcus lanatus","Holcus lanatus","+",1
207767,"Q-P07767","Hypochoeris radicata","Hypochaeris radicata","+",1
207767,"Q-P07767","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
207767,"Q-P07767","Malva neglecta","Malva neglecta","+",1
207767,"Q-P07767","Medicago lupulina","Medicago lupulina","+",1
207767,"Q-P07767","Mercurialis annua","Mercurialis annua","+",1
207767,"Q-P07767","Poa annua","Ochlopoa annua","+",1
207767,"Q-P07767","Polygonum persicaria","Persicaria maculosa","1",5
207767,"Q-P07767","Plantago major","Plantago major","+",1
207767,"Q-P07767","Polygonum aviculare","Polygonum aviculare","+",1
207767,"Q-P07767","Ranunculus repens","Ranunculus repens","+",1
207767,"Q-P07767","Rumex conglomeratus","Rumex conglomeratus","+",1
207767,"Q-P07767","Senecio vulgaris","Senecio vulgaris","+",1
207767,"Q-P07767","Solanum nigrum","Solanum nigrum","+",1
207767,"Q-P07767","Sonchus oleraceus","Sonchus oleraceus","+",1
207767,"Q-P07767","Stellaria media","Stellaria media","+",1
207767,"Q-P07767","Trifolium pratense","Trifolium pratense","+",1
207767,"Q-P07767","Trifolium repens","Trifolium repens","+",1
207767,"Q-P07767","Verbena officinalis","Verbena officinalis","+",1
207767,"Q-P07767","Veronica agrestis","Veronica agrestis","+",1
207847,"Q-P07847","Anthemis arvensis","Anthemis arvensis","3",37.5
207847,"Q-P07847","Lepidium ruderale","Lepidium ruderale","2",15
207849,"Q-P07849","Anagallis coerulea","Anagallis arvensis","+",1
207849,"Q-P07849","Anthemis cotula","Anthemis cotula","+",1
207849,"Q-P07849","Aphanes arvensis","Aphanes arvensis","+",1
207849,"Q-P07849","Asperula arvensis","Asperula arvensis","+",1
207849,"Q-P07849","Cynosurus elegans","Cynosurus effusus","+",1
207849,"Q-P07849","Eryngium campestre","Eryngium campestre","+",1
207849,"Q-P07849","Galium aparine","Galium aparine","+",1
207849,"Q-P07849","Lathyrus aphaca","Lathyrus aphaca","+",1
207849,"Q-P07849","Melilotus officinalis","Melilotus officinalis","+",1
207849,"Q-P07849","Caucalis daucoides","Orlaya daucoides","+",1
207849,"Q-P07849","Ranunculus arvensis","Ranunculus arvensis","1",5
207849,"Q-P07849","Turgenia latifolia","Turgenia latifolia","+",1
207849,"Q-P07849","Vicia sativa","Vicia sativa","+",1
207850,"Q-P07850","Anagallis coerulea","Anagallis arvensis","+",1
207850,"Q-P07850","Anthemis cotula","Anthemis cotula","+",1
207850,"Q-P07850","Aphanes arvensis","Aphanes arvensis","+",1
207850,"Q-P07850","Asperula arvensis","Asperula arvensis","+",1
207850,"Q-P07850","Cynosurus elegans","Cynosurus effusus","+",1
207850,"Q-P07850","Eryngium campestre","Eryngium campestre","+",1
207850,"Q-P07850","Galium aparine","Galium aparine","+",1
207850,"Q-P07850","Lathyrus aphaca","Lathyrus aphaca","2",15
207850,"Q-P07850","Melilotus officinalis","Melilotus officinalis","+",1
207850,"Q-P07850","Caucalis daucoides","Orlaya daucoides","+",1
207850,"Q-P07850","Ranunculus arvensis","Ranunculus arvensis","2",15
207850,"Q-P07850","Turgenia latifolia","Turgenia latifolia","+",1
207850,"Q-P07850","Vicia sativa","Vicia sativa","+",1
207851,"Q-P07851","Agrostemma githago","Agrostemma githago","+",1
207851,"Q-P07851","Cynosurus elegans","Cynosurus effusus","+",1
207851,"Q-P07851","Galium aparine","Galium aparine","+",1
207851,"Q-P07851","Geranium rotundifolium","Geranium rotundifolium","+",1
207851,"Q-P07851","Picris echioides","Helminthotheca echioides","+",1
207851,"Q-P07851","Lathyrus aphaca","Lathyrus aphaca","+",1
207851,"Q-P07851","Muscari comosum","Leopoldia comosa","+",1
207851,"Q-P07851","Melilotus officinalis","Melilotus officinalis","+",1
207851,"Q-P07851","Ranunculus arvensis","Ranunculus arvensis","+",1
207851,"Q-P07851","Sonchus arvensis","Sonchus arvensis","+",1
207851,"Q-P07851","Trifolium pratense","Trifolium pratense","+",1
207851,"Q-P07851","Vicia sativa","Vicia sativa","j",37.5
207852,"Q-P07852","Centaurea scabiosa","Centaurea scabiosa","+",1
207852,"Q-P07852","Centaurea cyanus","Cyanus segetum","+",1
207852,"Q-P07852","Galium aparine","Galium aparine","+",1
207852,"Q-P07852","Lathyrus aphaca","Lathyrus aphaca","+",1
207852,"Q-P07852","Papaver rhoeas","Papaver rhoeas","+",1
207852,"Q-P07852","Ranunculus arvensis","Ranunculus arvensis","2",15
207852,"Q-P07852","Vicia hirsuta","Vicia hirsuta","+",1
207905,"Q-P07905","Alnus glutinosa","Alnus glutinosa","2",15
207905,"Q-P07905","Chlora perfoliata","Blackstonia perfoliata","+",1
207905,"Q-P07905","Linaria supina","Linaria supina","+",1
207905,"Q-P07905","Medicago lupulina","Medicago lupulina","+",1
207905,"Q-P07905","Hieracium pilosella","Pilosella officinarum","3",37.5
207905,"Q-P07905","Plantago lanceolata","Plantago lanceolata","+",1
207905,"Q-P07905","Polygala vulgaris","Polygala vulgaris","+",1
207905,"Q-P07905","Tortula arenicola","Syntrichia ruralis","1",5
208150,"Q-P08150","Cotula australis","Cotula australis","1",5
208150,"Q-P08150","Coronopus squamatus","Lepidium coronopus","2",15
208150,"Q-P08150","Coronopus didymus","Lepidium didymum","1",5
208150,"Q-P08150","Lotus parviflorus","Lotus parviflorus","+",1
208150,"Q-P08150","Plantago lanceolata","Plantago lanceolata","+",1
208150,"Q-P08150","Polycarpon tetraphyllum","Polycarpon tetraphyllum","1",5
208150,"Q-P08150","Polygonum arenastrum","Polygonum aviculare","1",5
208150,"Q-P08150","Portulaca oleracea","Portulaca oleracea","+",1
208150,"Q-P08150","Sagina apetala","Sagina apetala","+",1
208170,"Q-P08170","Bituminaria bituminosa","Bituminaria bituminosa","+",1
208170,"Q-P08170","Chenopodium murale","Chenopodiastrum murale","3",37.5
208170,"Q-P08170","Conyza bonariensis","Erigeron bonariensis","+",1
208170,"Q-P08170","Galactites tomentosa","Galactites tomentosus","2",15
208170,"Q-P08170","Galinsoga parviflora","Galinsoga parviflora","2",15
208170,"Q-P08170","Hyparrhenia sinaica","Hyparrhenia sinaica","+",1
208170,"Q-P08170","Malva parviflora","Malva parviflora","1",5
208170,"Q-P08170","Sonchus oleraceus","Sonchus oleraceus","1",5
208170,"Q-P08170","Sonchus ustulatus","Sonchus ustulatus","+",1
208361,"Q-P08361","Bituminaria bituminosa","Bituminaria bituminosa","+",1
208361,"Q-P08361","Chenopodium murale","Chenopodiastrum murale","3",37.5
208361,"Q-P08361","Conyza bonariensis","Erigeron bonariensis","+",1
208361,"Q-P08361","Galactites tomentosa","Galactites tomentosus","2",15
208361,"Q-P08361","Galinsoga parviflora","Galinsoga parviflora","2",15
208361,"Q-P08361","Hyparrhenia sinaica","Hyparrhenia sinaica","+",1
208361,"Q-P08361","Malva parviflora","Malva parviflora","1",5
208361,"Q-P08361","Sonchus oleraceus","Sonchus oleraceus","1",5
208361,"Q-P08361","Sonchus ustulatus","Sonchus ustulatus","+",1
208687,"Q-P08687","Agrimonia eupatoria","Agrimonia eupatoria","1",5
208687,"Q-P08687","Chenopodium album","Chenopodium album","+",1
208687,"Q-P08687","Coronilla scorpioides","Coronilla scorpioides","1",5
208687,"Q-P08687","Eryngium campestre","Eryngium campestre","+",1
208687,"Q-P08687","Galium verum","Galium verum","1",5
208687,"Q-P08687","Geranium lucidum","Geranium lucidum","1",5
208687,"Q-P08687","Geranium pyrenaicum","Geranium pyrenaicum","1",5
208687,"Q-P08687","Lapsana communis","Lapsana communis","1",5
208687,"Q-P08687","Lathyrus aphaca","Lathyrus aphaca","2",15
208687,"Q-P08687","Ligusticum lucidum subsp. lucidum","Ligusticum lucidum","4",62.5
208687,"Q-P08687","Medicago sativa","Medicago sativa","+",1
208687,"Q-P08687","Ononis repens subsp. spinosa","Ononis spinosa","+",1
208687,"Q-P08687","Papaver rhoeas","Papaver rhoeas","+",1
208687,"Q-P08687","Plantago lanceolata","Plantago lanceolata","+",1
208687,"Q-P08687","Tordylium maximum","Tordylium maximum","1",5
208687,"Q-P08687","Torilis arvensis subsp. purpurea","Torilis africana","1",5
208735,"Q-P08735","Agrostemma githago","Agrostemma githago","1",5
208735,"Q-P08735","Anthemis arvensis","Anthemis arvensis","1",5
208735,"Q-P08735","Aphanes microcarpa","Aphanes microcarpa","1",5
208735,"Q-P08735","Arnoseris minima","Arnoseris minima","+",1
208735,"Q-P08735","Brassica nigra","Brassica nigra","1",5
208735,"Q-P08735","Buglossoides arvensis","Buglossoides arvensis","1",5
208735,"Q-P08735","Bunias erucago","Bunias erucago","2",15
208735,"Q-P08735","Camelina microcarpa","Camelina microcarpa","1",5
208735,"Q-P08735","Caucalis platycarpos","Caucalis platycarpos","1",5
208735,"Q-P08735","Centaurea cyanus","Cyanus segetum","2",15
208735,"Q-P08735","Galium aparine","Galium aparine","a",5
208735,"Q-P08735","Lepidium heterophyllum","Lepidium heterophyllum","1",5
208735,"Q-P08735","Lolium temulentum","Lolium temulentum","1",5
208735,"Q-P08735","Anchusa arvensis","Lycopsis arvensis","+",1
208735,"Q-P08735","Melilotus officinalis","Melilotus officinalis","+",1
208735,"Q-P08735","Ranunculus arvensis","Ranunculus arvensis","2",15
208735,"Q-P08735","Rumex acetosella","Rumex acetosella","1",5
208735,"Q-P08735","Scleranthus annuus","Scleranthus annuus","2",15
208735,"Q-P08735","Senecio gallicus","Senecio gallicus","+",1
208735,"Q-P08735","Valerianella coronata","Valerianella coronata","1",5
208735,"Q-P08735","Vicia cracca","Vicia cracca","+",1
208735,"Q-P08735","Vicia pannonica","Vicia pannonica","1",5
208735,"Q-P08735","Viola arvensis","Viola arvensis","1",5
208736,"Q-P08736","Alopecurus myosuroides","Alopecurus myosuroides","3",37.5
208736,"Q-P08736","Anacyclus clavatus","Anacyclus clavatus","2",15
208736,"Q-P08736","Anagallis arvensis","Anagallis arvensis","1",5
208736,"Q-P08736","Anthemis arvensis","Anthemis arvensis","1",5
208736,"Q-P08736","Aphanes microcarpa","Aphanes microcarpa","1",5
208736,"Q-P08736","Brassica nigra","Brassica nigra","1",5
208736,"Q-P08736","Convolvulus arvensis","Convolvulus arvensis","1",5
208736,"Q-P08736","Centaurea cyanus","Cyanus segetum","2",15
208736,"Q-P08736","Galium tricornutum","Galium tricornutum","+",1
208736,"Q-P08736","Lamium amplexicaule","Lamium amplexicaule","1",5
208736,"Q-P08736","Lolium temulentum","Lolium temulentum","2",15
208736,"Q-P08736","Papaver argemone","Papaver argemone","+",1
208736,"Q-P08736","Papaver rhoeas","Papaver rhoeas","2",15
208736,"Q-P08736","Ranunculus arvensis","Ranunculus arvensis","2",15
208736,"Q-P08736","Rapistrum rugosum","Rapistrum rugosum","1",5
208736,"Q-P08736","Scleranthus annuus","Scleranthus annuus","1",5
208736,"Q-P08736","Stellaria media","Stellaria media","1",5
208736,"Q-P08736","Vicia cracca","Vicia cracca","+",1
208736,"Q-P08736","Vicia pannonica","Vicia pannonica","1",5
208736,"Q-P08736","Viola arvensis","Viola arvensis","1",5
208737,"Q-P08737","Anagallis arvensis","Anagallis arvensis","1",5
208737,"Q-P08737","Anthemis arvensis","Anthemis arvensis","+",1
208737,"Q-P08737","Asperula arvensis","Asperula arvensis","2",15
208737,"Q-P08737","Buglossoides arvensis","Buglossoides arvensis","+",1
208737,"Q-P08737","Camelina sativa","Camelina sativa","1",5
208737,"Q-P08737","Centaurea cyanus","Cyanus segetum","1",5
208737,"Q-P08737","Eryngium campestre","Eryngium campestre","+",1
208737,"Q-P08737","Euphorbia serrata","Euphorbia serrata","a",5
208737,"Q-P08737","Anchusa arvensis","Lycopsis arvensis","+",1
208737,"Q-P08737","Medicago sativa","Medicago sativa","+",1
208737,"Q-P08737","Papaver rhoeas","Papaver rhoeas","2",15
208737,"Q-P08737","Polygonum arenastrum","Polygonum aviculare","+",1
208737,"Q-P08737","Ranunculus arvensis","Ranunculus arvensis","1",5
208737,"Q-P08737","Trifolium campestre","Trifolium campestre","+",1
208737,"Q-P08737","Turgenia latifolia","Turgenia latifolia","1",5
208738,"Q-P08738","Agrostemma githago","Agrostemma githago","+",1
208738,"Q-P08738","Anagallis arvensis","Anagallis arvensis","1",5
208738,"Q-P08738","Anthemis arvensis","Anthemis arvensis","1",5
208738,"Q-P08738","Brassica nigra","Brassica nigra","1",5
208738,"Q-P08738","Bunias erucago","Bunias erucago","2",15
208738,"Q-P08738","Chenopodium album","Chenopodium album","f",15
208738,"Q-P08738","Centaurea cyanus","Cyanus segetum","2",15
208738,"Q-P08738","Lepidium heterophyllum","Lepidium heterophyllum","a",5
208738,"Q-P08738","Lolium temulentum","Lolium temulentum","a",5
208738,"Q-P08738","Anchusa arvensis","Lycopsis arvensis","+",1
208738,"Q-P08738","Papaver rhoeas","Papaver rhoeas","1",5
208738,"Q-P08738","Polygonum arenastrum","Polygonum aviculare","a",5
208738,"Q-P08738","Senecio gallicus","Senecio gallicus","+",1
