"SIVIMID","Sintaxon","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","ANTHROPIC","Vegetation","Class","Order","Alliance","Twinspan"
"Q-P02793","Cymbalario-Trachelietum caerulei",202793,137,20371,"29TNH24","",6285,NA,"Facultad de Farmacia de Santiago de Compostela (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,50,"1582","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
"Q-P02794","Cymbalario-Trachelietum caerulei",202794,131,19441,"29TNH25","",6286,NA,"Carretera de Portomouro, Santiago (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,100,"1582","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
"Q-P07031","Parietarietum judaicae",207031,140,12408,"30TUP80","",27655,NA,"La Barquera","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"2048","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","      ?","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P07039","Parietarietum judaicae",207039,140,12408,"30TUP80","",27656,NA,"La Barquera","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"2048","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","      ?","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P09918","Cymbalarietum muralis",209918,106,12479,"29TPG74","29TPG7142",7037,800,"Vinhais: Dine","PT","ATL_COAST","N_DUNES",70,"W",90,3,"770","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","      ?","No forest",-6.902707464,41.96319006,"3 - UTM10x10 + Elevation",800,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
"Q-P09919","Cymbalarietum muralis",209919,115,10726,"29TPG63","29TPG6335",7038,830,"Vinhais: Lagarelhos","PT","ATL_COAST","N_DUNES",90,"NW",90,2,"770","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","      ?","No forest",-7.068164578,41.83317711,"3 - UTM10x10 + Elevation",830,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
"R-P07589","Polypodion serrati",307589,135,14183,"30TWP20","",8941,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432"," V39   ","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07590","Polypodion serrati",307590,135,14183,"30TWP20","",8942,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07591","Polypodion serrati",307591,135,14183,"30TWP20","",8943,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432"," H32d  ","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07592","Polypodion serrati",307592,135,14183,"30TWP20","",8944,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07593","Polypodion serrati",307593,135,14183,"30TWP20","",8945,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07594","Polypodion serrati",307594,135,14183,"30TWP20","",8946,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07595","Polypodion serrati",307595,135,14183,"30TWP20","",8947,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432"," H32d  ","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07596","Polypodion serrati",307596,135,14183,"30TWP20","",8948,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432"," H32d  ","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07597","Polypodion serrati",307597,135,14183,"30TWP20","",8949,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P07598","Polypodion serrati",307598,135,14183,"30TWP20","",8950,NA,"Tapiales de Pedernales","ES","ATL_COAST","N_DUNES",NA,"S",NA,2,"L816","Guinea López, Emilio","1949","Vizcaya y su paisaje vegetal (geobotánica vizcaína)."," Junta de cultura de Vizcaya. 432","      ?","No forest",-2.701623837,43.38536069,"4 - UTM10x10 + Centroid",149,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15101","Parietarietum judaicae",315101,135,14983,"30TWN47","30TWN4774",25378,150,"Bergara","ES","ATL_COAST","N_DUNES",NA,"",NA,15,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15102","Parietarietum judaicae",315102,130,12475,"30TWN48","30TWN4880",25379,120,"Entre Osintxu y Placencia","ES","ATL_COAST","N_DUNES",NA,"",NA,40,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.402359147,43.17534852,"2 - UTM1x1 + Centroid",120,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15103","Parietarietum judaicae",315103,128,14038,"30TWN48","30TWN4889",25380,80,"Mendaro","ES","ATL_COAST","N_DUNES",NA,"",NA,30,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.401567201,43.25638684,"2 - UTM1x1 + Centroid",80,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15104","Parietarietum judaicae",315104,135,15144,"30TWN47","30TWN4774",25381,150,"Bergara","ES","ATL_COAST","N_DUNES",NA,"",NA,40,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.417601822,43.12500012,"1 - UTM1x1 + Elevation",150,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15105","Parietarietum judaicae",315105,136,15264,"30TWN58","30TWN5680",25382,150,"Azkoitia","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.306396608,43.17480699,"1 - UTM1x1 + Elevation",150,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15106","Parietarietum judaicae",315106,135,14983,"30TWN47","30TWN4774",25383,150,"Bergara","ES","ATL_COAST","N_DUNES",NA,"",NA,60,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15107","Parietarietum judaicae",315107,135,14859,"30TWN47","30TWN4774",25384,160,"Bergara","ES","ATL_COAST","N_DUNES",NA,"",NA,6,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.417618905,43.12319923,"1 - UTM1x1 + Elevation",160,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15108","Parietarietum judaicae",315108,137,15000,"30TWN48","30TWN4785",25385,100,"Elgoibar","ES","ATL_COAST","N_DUNES",NA,"",NA,40,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.409306852,43.22040833,"1 - UTM1x1 + Elevation",100,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15109","Parietarietum judaicae",315109,140,NA,"30TWN59","30TWN5195",25386,20,"Entre Deba y Mutriku","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.364084359,43.30661043,"1 - UTM1x1 + Elevation",20,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15110","Parietarietum judaicae",315110,135,14958,"30TWN49","30TWN4995",25387,20,"Mutriku","ES","ATL_COAST","N_DUNES",NA,"",NA,20,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",20,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15111","Parietarietum judaicae",315111,135,14958,"30TWN49","30TWN4995",25388,20,"Mutriku","ES","ATL_COAST","N_DUNES",NA,"",NA,20,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",20,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15112","Parietarietum judaicae",315112,118,12429,"30TWN35","30TWN3559",25389,400,"Salinas de Léniz","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"1289c","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.566073861,42.99058478,"1 - UTM1x1 + Elevation",400,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15113","Parietarietum judaicae",315113,140,16118,"30TWN69","30TWN6594",25390,10,"Getaria","ES","ATL_COAST","N_DUNES",NA,"",NA,35,"1289d","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.194038196,43.29833496,"1 - UTM1x1 + Elevation",10,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15115","Centrantho-Hypericetum hircini",315115,137,15505,"30TWN68","30TWN6085",25336,80,"Entre Azpeitia y Zestoa , tramo bajo del Urola","ES","ATL_COAST","N_DUNES",NA,"",NA,30,"772","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.259080326,43.22133494,"1 - UTM1x1 + Elevation",80,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15116","Centrantho-Hypericetum hircini",315116,135,15242,"30TWN58","30TWN5680",25337,170,"Azkoitia , tramo bajo del Urola","ES","ATL_COAST","N_DUNES",NA,"",NA,30,"772","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,"," Sa    ","No forest",-2.30881653,43.17842354,"1 - UTM1x1 + Elevation",170,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15117","Centrantho-Hypericetum hircini",315117,138,15392,"30TWN68","30TWN6289",25338,30,"Aizarnazabal , tramo bajo del Urola","ES","ATL_COAST","N_DUNES",NA,"",NA,30,"772","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,"," Sa    ","No forest",-2.234028067,43.25538766,"1 - UTM1x1 + Elevation",30,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15118","Centrantho-Hypericetum hircini",315118,138,15174,"30TWN68","30TWN6087",25339,50,"Zestoa , tramo bajo del Urola","ES","ATL_COAST","N_DUNES",NA,"",NA,20,"772","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.258883978,43.2375421,"1 - UTM1x1 + Elevation",50,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"R-P15119","Cymbalario-Trachelietum caerulei",315119,134,14778,"30TWN47","30TWN4774",25340,140,"Bergara","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"1582","Loidi, A.","1983","Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa."," Tesi Doctoral,","      ?","No forest",-2.415194685,43.11958492,"1 - UTM1x1 + Elevation",140,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
