"Relevé number","SIVIMID","EUNIS_REVISED","EUNIS2020","PCluster","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"11","P-P22136","V37"," R     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi","",0,600,2005,-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2
"12","P-P22137","V37"," R     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi","",0,1000,2005,-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2
"13","Q-P08687","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Alliarion petiolatae","",NA,15,1990,-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160
"14","Q-P08747","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1990,-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000
"15","Q-P08748","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,40,1990,-4.690827121,42.90687801,"3 - UTM10x10 + Elevation",1250
"16","Q-P08749","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1990,-4.512128657,42.91298042,"3 - UTM10x10 + Elevation",1070
"17","Q-P08750","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","S",10,40,1990,-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000
"18","Q-P08751","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,12,1990,-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070
"19","Q-P08752","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1990,-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300
"20","Q-P08753","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,12,1990,-4.487894143,42.92410402,"3 - UTM10x10 + Elevation",1080
"21","Q-P09152","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.040051389,42.06645631,"3 - UTM10x10 + Elevation",1030
"22","Q-P09153","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.125972742,41.84117573,"2 - UTM1x1 + Centroid",1120
"23","Q-P09154","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.142281322,42.04570422,"3 - UTM10x10 + Elevation",1050
"24","Q-P09155","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.062724337,42.07805993,"3 - UTM10x10 + Elevation",990
"25","Q-P09156","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-7.906153316,41.9282218,"3 - UTM10x10 + Elevation",850
"26","Q-P09157","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-7.890158938,41.81366373,"3 - UTM10x10 + Elevation",980
"27","Q-P09158","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.223140863,41.76475744,"3 - UTM10x10 + Elevation",650
"28","Q-P09159","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.109776323,41.06042424,"3 - UTM10x10 + Elevation",550
"29","Q-P09160","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,2004,-8.043883733,42.08429349,"3 - UTM10x10 + Elevation",1000
"30","Q-P10089","V39"," Sa    ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","S",63,8,2000,-6.780099635,41.84843679,"3 - UTM10x10 + Elevation",820
"31","Q-P10090","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","SW",54,6,2000,-6.84862466,41.82634749,"3 - UTM10x10 + Elevation",900
"32","Q-P10091","V39"," V32   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","SW",63,6,2000,-7.182960705,41.96578556,"2 - UTM1x1 + Centroid",730
"33","Q-P10092","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","N",72,8,2000,-7.070331887,41.86731688,"3 - UTM10x10 + Elevation",750
"34","Q-P10093","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","S",63,4,2000,-7.039080911,41.86842203,"3 - UTM10x10 + Elevation",740
"35","Q-P10094","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","S",63,4,2000,-6.642501247,41.80066068,"3 - UTM10x10 + Elevation",860
"36","Q-P10095","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","W",81,5,2000,-6.850539008,41.89832036,"3 - UTM10x10 + Elevation",800
"37","Q-P10096","V37"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","NE",36,20,2000,-7.024882606,41.87252308,"3 - UTM10x10 + Elevation",800
"38","Q-P10097","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","SW",72,6,2000,-6.935699959,41.87201709,"3 - UTM10x10 + Elevation",800
"39","Q-P10098","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Comunidad de Chaerophyllum temulum y Urtica dioica","W",63,4,2000,-6.836679525,41.86816917,"3 - UTM10x10 + Elevation",880
"40","Q-P10099","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,2,2000,-6.807617165,41.78449342,"3 - UTM10x10 + Elevation",680
"41","Q-P10100","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,8,2000,-6.795969738,41.83170412,"3 - UTM10x10 + Elevation",820
"42","Q-P10101","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,6,2000,-6.49272956,41.87915943,"3 - UTM10x10 + Elevation",630
"43","Q-P10102","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600
"44","Q-P10103","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,12,2000,-6.61694175,41.90232436,"3 - UTM10x10 + Elevation",660
"45","Q-P10104","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,4,2000,-7.01838365,41.8457377,"3 - UTM10x10 + Elevation",790
"46","Q-P10105","V39"," V     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,9,2000,-6.866908731,41.86536384,"4 - UTM10x10 + Centroid",510
"47","Q-P10106","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,4,2000,-6.912067329,41.72154811,"3 - UTM10x10 + Elevation",790
"48","Q-P10107","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,5,2000,-6.94308629,41.95280375,"3 - UTM10x10 + Elevation",840
"49","Q-P10108","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,2,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",620
"50","Q-P10110","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,30,2000,-7.067471709,41.86021488,"3 - UTM10x10 + Elevation",620
"51","Q-P10111","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,20,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
"52","Q-P10113","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","N",18,6,2000,-6.910248865,41.92871595,"3 - UTM10x10 + Elevation",840
"53","Q-P10114","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,2,2000,-7.068726986,41.87997997,"3 - UTM10x10 + Elevation",750
"54","Q-P10115","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","W",4.5,9,2000,-7.052709018,41.85533498,"3 - UTM10x10 + Elevation",820
"55","Q-P10116","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,4,2000,-6.624125452,41.85887416,"3 - UTM10x10 + Elevation",740
"56","Q-P10117","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,4,2000,-6.95616051,41.77406386,"3 - UTM10x10 + Elevation",800
"57","Q-P13511","V37"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.560248488,41.2393617,"3 - UTM10x10 + Elevation",100
"58","Q-P13512","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.634095047,41.21055453,"3 - UTM10x10 + Elevation",100
"59","Q-P13513","V39"," V     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.629594569,41.24138274,"3 - UTM10x10 + Elevation",120
"60","Q-P13514","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.612696465,41.76433749,"3 - UTM10x10 + Elevation",15
"61","Q-P13515","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.57665353,41.20795808,"3 - UTM10x10 + Elevation",90
"62","Q-P13516","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.586394188,41.12646408,"3 - UTM10x10 + Elevation",115
"63","Q-P13517","V37"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.579791927,41.21680786,"3 - UTM10x10 + Elevation",70
"64","Q-P13518","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.255182038,41.86232255,"3 - UTM10x10 + Elevation",110
"65","Q-P13519","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.860919048,41.84912089,"3 - UTM10x10 + Elevation",5
"66","Q-P13520","V37"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.572921413,41.77708254,"3 - UTM10x10 + Elevation",10
"67","Q-P13521","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.622931239,41.24711069,"3 - UTM10x10 + Elevation",120
"68","Q-P13522","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.645241517,41.33963775,"3 - UTM10x10 + Elevation",80
"69","Q-P13523","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.63279612,41.77415324,"3 - UTM10x10 + Elevation",5
"70","Q-P13524","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.783882159,41.68920542,"3 - UTM10x10 + Elevation",5
"71","Q-P13525","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.264632808,41.86008796,"3 - UTM10x10 + Elevation",110
"72","Q-P13526","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.591556494,40.99117886,"3 - UTM10x10 + Elevation",90
"73","Q-P13527","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.68699512,41.29796642,"3 - UTM10x10 + Elevation",70
"74","Q-P13528","V37"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.642655277,41.28215125,"3 - UTM10x10 + Elevation",100
"75","Q-P13529","V39"," V32   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.538011733,41.25844143,"3 - UTM10x10 + Elevation",145
"76","Q-P13530","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio triquetri-Urticetum membranaceae","",NA,NA,2003,-8.247836068,41.86085883,"3 - UTM10x10 + Elevation",100
"77","R-P12717","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1997,-3.181335485,42.80935772,"3 - UTM10x10 + Elevation",1040
"78","R-P12727","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,50,1997,-3.095655307,42.7680364,"3 - UTM10x10 + Elevation",550
"79","R-P15144","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,15,1983,-2.420077433,43.12321172,"1 - UTM1x1 + Elevation",140
"80","R-P15145","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1983,-2.432353444,43.12507425,"1 - UTM1x1 + Elevation",200
"81","R-P15146","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1983,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150
"82","R-P15147","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1983,-2.268671539,43.24300789,"1 - UTM1x1 + Elevation",300
"83","R-P15148","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1983,-2.384338285,43.25449448,"1 - UTM1x1 + Elevation",50
"84","R-P15149","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,15,1983,-2.56853975,42.98879308,"1 - UTM1x1 + Elevation",450
"85","R-P15150","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,6,1983,-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300
"86","R-P15151","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,5,1983,-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300
"87","R-P15152","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1983,-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600
"88","R-P15153","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,5,1983,-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600
"89","R-P15154","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,15,1983,-2.518772508,43.07864482,"1 - UTM1x1 + Elevation",450
"90","R-P15155","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,15,1983,-2.443928241,43.20437335,"1 - UTM1x1 + Elevation",530
"91","R-P22241","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","SE",5,20,1999,-7.985576936,41.95720345,"3 - UTM10x10 + Elevation",600
"92","R-P22242","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","NW",NA,15,1999,-7.960557953,41.94568548,"3 - UTM10x10 + Elevation",815
"93","R-P22243","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",30,10,1999,-7.975960117,41.9576217,"1 - UTM1x1 + Elevation",590
"94","R-P22244","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","S",NA,5,1999,-7.992087464,41.94791673,"3 - UTM10x10 + Elevation",680
"95","R-P22245","V39"," R     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",5,10,1999,-8.085085853,41.90421193,"1 - UTM1x1 + Elevation",380
"96","R-P22246","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","N",NA,15,1999,-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",875
"97","R-P23931","V37"," V32   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","W",5,30,1986,-6.792262196,42.29646044,"3 - UTM10x10 + Elevation",1000
"98","R-P23932","V37"," V37   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,10,1986,-6.811675658,42.3768543,"3 - UTM10x10 + Elevation",1200
"99","R-P23933","V39"," V37   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","SW",20,4,1986,-6.803317844,42.35912377,"3 - UTM10x10 + Elevation",1200
"100","R-P23934","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","SW",15,25,1986,-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",880
"101","R-P23935","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,2,1986,-6.794250948,42.2891911,"3 - UTM10x10 + Elevation",980
"102","R-P23936","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","S",3,4,1986,-6.792434257,42.3396754,"3 - UTM10x10 + Elevation",980
"103","R-P23937","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Chenopodium bonus-henricus","NE",10,80,1986,-6.789888778,42.25691991,"1 - UTM1x1 + Elevation",1850
"104","R-P23941","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,20,1986,-6.906536601,42.37905898,"3 - UTM10x10 + Elevation",880
"105","R-P23942","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","SE",60,10,1986,-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",960
"106","R-P23944","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","NW",15,4,1986,-6.93725768,42.36540068,"3 - UTM10x10 + Elevation",900
"107","R-P23945","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","SW",25,4,1986,-6.798471247,42.35928467,"3 - UTM10x10 + Elevation",1260
"108","R-P23948","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","N",15,20,1986,-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660
"109","R-P23949","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,25,1986,-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660
"110","R-P23950","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Comunidad de Smyrnium olusatrum","",NA,12,1986,-6.847038344,42.39908231,"3 - UTM10x10 + Elevation",500
"111","R-P23951","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Comunidad de Smyrnium olusatrum","S",15,2,1986,-6.792109824,42.33428357,"3 - UTM10x10 + Elevation",900
"112","R-P24572","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Chenopodio boni-henrici-Senecionetum nebrodensis","SW",5,30,2012,-6.599197585,42.44128291,"2 - UTM1x1 + Centroid",1840
"113","R-P24655","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","SW",NA,25,2012,-6.649650471,42.26327545,"1 - UTM1x1 + Elevation",1020
