"Releve number","Twinspan2","Class","EUNIS","Sintaxon","SIVIMID","Plant.Cover","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
208742,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","Q-P08742",100,"",NA,20,"1990",-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120
208743,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","Q-P08743",100,"",NA,12,"1990",-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100
208744,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","Q-P08744",100,"",NA,18,"1990",-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200
208747,"Mesic ruderals (V39)",11,"V","Urtico dioicae-Sambucetum ebuli","Q-P08747",100,"",NA,20,"1990",-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000
208750,"Mesic ruderals (V39)",11,"V39","Galio aparines-Conietum maculati","Q-P08750",100,"S",10,40,"1990",-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000
208751,"Mesic ruderals (V39)",11,"V39","Galio aparines-Conietum maculati","Q-P08751",80,"",NA,12,"1990",-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070
208752,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Cariolophetum sempervirentis","Q-P08752",90,"",NA,20,"1990",-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300
208754,"Xeric ruderals (V38)",10,"V38","","Q-P08754",40,"N",5,20,"",-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250
208755,"Xeric ruderals (V38)",10,"V38","","Q-P08755",70,"",NA,70,"",-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240
208756,"Xeric ruderals (V38)",10,"V38","","Q-P08756",60,"N",5,350,"",-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330
208758,"Xeric ruderals (V38)",10,"V38","Carduo carpetani-Onopordetum acanthii","Q-P08758",80,"",NA,100,"1990",-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130
208760,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08760",80,"",NA,50,"1990",-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000
208761,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08761",80,"",NA,40,"1990",-4.550416473,42.87644814,"3 - UTM10x10 + Elevation",1050
208762,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08762",80,"",NA,20,"1990",-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070
208763,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08763",60,"",NA,10,"1990",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
208764,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08764",80,"",NA,100,"1990",-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100
208765,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08765",80,"",NA,100,"1990",-4.69316451,42.81319133,"3 - UTM10x10 + Elevation",1080
208766,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08766",80,"",NA,50,"1990",-4.648957603,42.80663255,"3 - UTM10x10 + Elevation",1120
208767,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08767",100,"",NA,40,"1990",-4.668372809,42.80094819,"3 - UTM10x10 + Elevation",1120
208768,"Xeric ruderals (V38)",10,"V38","Comunidad de Cirsium richterianum","Q-P08768",80,"",NA,60,"1990",-4.491578057,42.87362795,"3 - UTM10x10 + Elevation",1020
208769,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08769",40,"",NA,1,"1990",-4.575170475,42.88691619,"3 - UTM10x10 + Elevation",1030
208770,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08770",80,"",NA,8,"1990",-4.761486489,42.8932054,"3 - UTM10x10 + Elevation",1240
208771,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08771",60,"",NA,4,"1990",-4.609727536,42.8972414,"3 - UTM10x10 + Elevation",1300
208772,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08772",30,"",NA,10,"1990",-4.550506646,42.88004893,"3 - UTM10x10 + Elevation",1040
208773,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08773",40,"",NA,2,"1990",-4.805345737,42.88531803,"3 - UTM10x10 + Elevation",1330
208774,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","Q-P08774",60,"",NA,5,"1990",-4.518195682,42.86067093,"3 - UTM10x10 + Elevation",990
209152,"Mesic ruderals (V39)",11,"V39","Geranio lusitanici-Scrophularietum herminii","Q-P09152",NA,"",NA,NA,"2004",-8.040051389,42.06645631,"3 - UTM10x10 + Elevation",1030
209153,"Mesic ruderals (V39)",11,"V","Geranio lusitanici-Scrophularietum herminii","Q-P09153",NA,"",NA,NA,"2004",-8.125972742,41.84117573,"2 - UTM1x1 + Centroid",1120
209154,"Mesic ruderals (V39)",10,"V38","Geranio lusitanici-Scrophularietum herminii","Q-P09154",NA,"",NA,NA,"2004",-8.142281322,42.04570422,"3 - UTM10x10 + Elevation",1050
209155,"Mesic ruderals (V39)",10,"V38","Geranio lusitanici-Scrophularietum herminii","Q-P09155",NA,"",NA,NA,"2004",-8.062724337,42.07805993,"3 - UTM10x10 + Elevation",990
209156,"Mesic ruderals (V39)",11,"V39","Geranio lusitanici-Scrophularietum herminii","Q-P09156",NA,"",NA,NA,"2004",-7.906153316,41.9282218,"3 - UTM10x10 + Elevation",850
209157,"Mesic ruderals (V39)",11,"V39","Geranio lusitanici-Scrophularietum herminii","Q-P09157",NA,"",NA,NA,"2004",-7.890158938,41.81366373,"3 - UTM10x10 + Elevation",980
209159,"Mesic ruderals (V39)",11,"V39","Geranio lusitanici-Scrophularietum herminii","Q-P09159",NA,"",NA,NA,"2004",-8.109776323,41.06042424,"3 - UTM10x10 + Elevation",550
209160,"Mesic ruderals (V39)",10,"V38","Geranio lusitanici-Scrophularietum herminii","Q-P09160",NA,"",NA,NA,"2004",-8.043883733,42.08429349,"3 - UTM10x10 + Elevation",1000
209505,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09505",NA,"",NA,NA,"2002",-8.843430513,41.81580832,"3 - UTM10x10 + Elevation",30
209506,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09506",NA,"",NA,NA,"2002",-8.290880571,41.59419853,"3 - UTM10x10 + Elevation",190
209507,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09507",NA,"",NA,NA,"2002",-8.19947904,41.65059694,"3 - UTM10x10 + Elevation",170
209508,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09508",NA,"",NA,NA,"2002",-8.642217634,41.77188901,"3 - UTM10x10 + Elevation",10
209509,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09509",NA,"",NA,NA,"2002",-8.86443276,41.78232801,"3 - UTM10x10 + Elevation",10
209510,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09510",NA,"",NA,NA,"2002",-8.559760071,41.14936218,"3 - UTM10x10 + Elevation",70
209511,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09511",NA,"",NA,NA,"2002",-8.625035142,41.1605866,"3 - UTM10x10 + Elevation",80
209512,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09512",NA,"",NA,NA,"2002",-8.637550131,41.22298792,"3 - UTM10x10 + Elevation",70
209513,"Mesic ruderals (V39)",10,"V38","Echio rosulati-Picridetum echioisia","Q-P09513",NA,"",NA,NA,"2002",-8.631537195,42.06048304,"2 - UTM1x1 + Centroid",70
209810,"Trampled (V35)",5,"V","Bidenti tripartitae-Polygonetum lapathifolii","Q-P09810",70,"",NA,4,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",580
209917,"Walls",1,"V","Cymbalarietum muralis","Q-P09917",30,"SE",90,4,"2000",-6.614058215,41.93663371,"1 - UTM1x1 + Elevation",750
209918,"Walls",1,"?","Cymbalarietum muralis","Q-P09918",70,"W",90,3,"2000",-6.902707464,41.96319006,"3 - UTM10x10 + Elevation",800
209919,"Walls",1,"?","Cymbalarietum muralis","Q-P09919",90,"NW",90,2,"2000",-7.068164578,41.83317711,"3 - UTM10x10 + Elevation",830
209920,"Walls",1,"V","Cymbalarietum muralis","Q-P09920",60,"NW",90,2,"2000",-6.883145708,41.79997091,"3 - UTM10x10 + Elevation",840
209921,"Mesic ruderals (V39)",1,"V","Parietarietum judaicae","Q-P09921",70,"S",90,1,"2000",-6.860724682,41.86736218,"3 - UTM10x10 + Elevation",850
209947,"Weeds (V15)",10,"V38","Comunidad de Carduus carpetanus","Q-P09947",100,"",NA,8,"2000",-6.7732351,41.89548738,"3 - UTM10x10 + Elevation",990
209948,"Weeds (V15)",5,"V32","Comunidad de Carduus carpetanus","Q-P09948",100,"S",9,10,"2000",-6.611594935,41.85026448,"3 - UTM10x10 + Elevation",870
209950,"Weeds (V15)",10,"V38","Comunidad de Carduus carpetanus","Q-P09950",90,"",NA,12,"2000",-7.079603721,41.89940303,"3 - UTM10x10 + Elevation",780
209953,"Mesic ruderals (V39)",10,"V38","Carlino corymbosae-Carthametum lanati","Q-P09953",60,"SE",36,6,"2000",-7.018834242,41.85292547,"3 - UTM10x10 + Elevation",760
209955,"Mesic ruderals (V39)",5,"V32","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09955",100,"",NA,2,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
209956,"Mesic ruderals (V39)",6,"V33","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09956",100,"",NA,8,"2000",-6.832596758,41.79987008,"3 - UTM10x10 + Elevation",880
209957,"Mesic ruderals (V39)",5,"V32","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09957",100,"",NA,6,"2000",-6.761711225,41.86344897,"3 - UTM10x10 + Elevation",640
209958,"Mesic ruderals (V39)",6,"V33","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09958",100,"",NA,8,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
209959,"Mesic ruderals (V39)",6,"V33","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09959",100,"",NA,10,"2000",-6.994015306,41.84118635,"3 - UTM10x10 + Elevation",760
209961,"Mesic ruderals (V39)",5,"V32","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09961",100,"",NA,4,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600
209962,"Mesic ruderals (V39)",5,"V32","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09962",100,"",NA,8,"2000",-6.605977199,41.83603333,"3 - UTM10x10 + Elevation",820
209964,"Mesic ruderals (V39)",6,"V33","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09964",100,"",NA,16,"2000",-6.736622917,41.88768148,"3 - UTM10x10 + Elevation",650
209965,"Mesic ruderals (V39)",5,"V32","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Q-P09965",100,"",NA,8,"2000",-6.945049791,41.94553263,"3 - UTM10x10 + Elevation",850
209967,"Mesic ruderals (V39)",5,"V32","Comunidad de Silybum marianum y Carduus tenuiflorus","Q-P09967",100,"SW",9,16,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600
209968,"Mesic ruderals (V39)",5,"V32","Comunidad de Silybum marianum y Carduus tenuiflorus","Q-P09968",100,"",NA,6,"2000",-6.788335231,41.82475275,"3 - UTM10x10 + Elevation",640
209982,"Trampled (V35)",8,"V35","Matricario-Polygonetum avicularis","Q-P09982",70,"",NA,4,"2000",-7.182960705,41.96578556,"2 - UTM1x1 + Centroid",750
209983,"Trampled (V35)",8,"V35","Matricario-Polygonetum avicularis","Q-P09983",50,"",NA,5,"2000",-7.053959534,41.87510045,"3 - UTM10x10 + Elevation",790
209984,"Trampled (V35)",8,"V35","Matricario-Polygonetum avicularis","Q-P09984",80,"SE",9,1,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
209985,"Trampled (V35)",8,"V35","Matricario-Polygonetum avicularis","Q-P09985",40,"",NA,2,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",620
209989,"Trampled (V35)",7,"V34","Crassulo tillaeae-Saginetum apetalae","Q-P09989",60,"",NA,1,"2000",-6.766626048,41.8650886,"3 - UTM10x10 + Elevation",640
209993,"Trampled (V35)",8,"V35","Crassulo tillaeae-Saginetum apetalae","Q-P09993",30,"",NA,3,"2000",-6.632766489,41.88381447,"3 - UTM10x10 + Elevation",640
209995,"Trampled (V35)",7,"V34","Crassulo tillaeae-Saginetum apetalae","Q-P09995",50,"",NA,4,"2000",-6.613956586,41.93483594,"1 - UTM1x1 + Elevation",770
209996,"Trampled (V35)",8,"V35","Crassulo tillaeae-Saginetum apetalae","Q-P09996",70,"",NA,4,"2000",-7.056833538,41.84438384,"3 - UTM10x10 + Elevation",750
209999,"Trampled (V35)",7,"V","Comunidad de Spergularia purpurea y Plantago coronopus","Q-P09999",60,"",NA,1,"2000",-6.736622917,41.88768148,"3 - UTM10x10 + Elevation",640
210001,"Trampled (V35)",5,"V32","Comunidad de Spergularia purpurea y Plantago coronopus","Q-P10001",60,"",NA,1,"2000",-6.604765258,41.81445954,"3 - UTM10x10 + Elevation",780
210002,"Trampled (V35)",7,"V","Comunidad de Spergularia purpurea y Plantago coronopus","Q-P10002",30,"",NA,1,"2000",-6.891229027,41.77448393,"3 - UTM10x10 + Elevation",800
210004,"Trampled (V35)",5,"V32","Comunidad de Spergularia purpurea y Plantago coronopus","Q-P10004",50,"",NA,1,"2000",-6.929148103,41.88304723,"3 - UTM10x10 + Elevation",680
210011,"Mesic ruderals (V39)",5,"V32","Trifolio cherleri-Taeniatheretum capitis-medusae","Q-P10011",90,"NE",4.5,4,"2000",-6.799392864,41.80817847,"3 - UTM10x10 + Elevation",700
210018,"Weeds (V15)",5,"V32","Coincyo setigerae-Brassicetum barrelieri","Q-P10018",70,"W",54,5,"2000",-6.632460618,41.87842123,"3 - UTM10x10 + Elevation",640
210021,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","Q-P10021",70,"",NA,8,"2000",-6.928752015,41.95509681,"3 - UTM10x10 + Elevation",800
210023,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","Q-P10023",80,"",NA,4,"2000",-7.006255233,41.84436117,"3 - UTM10x10 + Elevation",720
210024,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","Q-P10024",70,"",NA,4,"2000",-6.761816739,41.86524646,"3 - UTM10x10 + Elevation",650
210025,"Mesic ruderals (V39)",5,"V32","Bromo scoparii-Hordeetum leporini","Q-P10025",100,"",NA,8,"2000",-6.625956464,41.89123386,"3 - UTM10x10 + Elevation",650
210026,"Mesic ruderals (V39)",5,"V32","Bromo scoparii-Hordeetum leporini","Q-P10026",100,"",NA,6,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",620
210027,"Mesic ruderals (V39)",5,"V32","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10027",100,"SE",25,6,"2000",-6.725117844,41.89706054,"3 - UTM10x10 + Elevation",660
210028,"Mesic ruderals (V39)",5,"V32","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10028",100,"",NA,2,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",520
210029,"Mesic ruderals (V39)",9,"V37","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10029",90,"",NA,2,"2000",-6.803064813,41.91071034,"3 - UTM10x10 + Elevation",1000
210030,"Mesic ruderals (V39)",9,"V37","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10030",100,"",NA,5,"2000",-6.695830527,41.89080433,"3 - UTM10x10 + Elevation",660
210032,"Mesic ruderals (V39)",5,"V32","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10032",100,"",NA,6,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
210033,"Mesic ruderals (V39)",9,"V37","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10033",100,"",NA,6,"2000",-7.038993386,41.82880563,"3 - UTM10x10 + Elevation",740
210034,"Mesic ruderals (V39)",5,"V32","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10034",100,"",NA,16,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",500
210035,"Mesic ruderals (V39)",5,"V32","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Q-P10035",100,"",NA,4,"2000",-6.584742758,41.84390284,"3 - UTM10x10 + Elevation",900
210036,"Weeds (V15)",4,"V15","","Q-P10036",50,"SW",4.5,12,"",-6.594360057,41.84360189,"3 - UTM10x10 + Elevation",940
210037,"Weeds (V15)",4,"V15","","Q-P10037",70,"S",5,6,"",-6.589350209,41.84015678,"3 - UTM10x10 + Elevation",920
210038,"Weeds (V15)",4,"V15","","Q-P10038",60,"",NA,8,"",-6.570114655,41.88398082,"3 - UTM10x10 + Elevation",900
210040,"Weeds (V15)",4,"V15","","Q-P10040",60,"W",4.5,25,"",-6.844864028,41.8841034,"3 - UTM10x10 + Elevation",900
210041,"Weeds (V15)",4,"V15","","Q-P10041",70,"",NA,30,"",-7.163941607,41.93598928,"3 - UTM10x10 + Elevation",780
210042,"Weeds (V15)",4,"V15","","Q-P10042",40,"",NA,20,"",-7.128977716,41.91744476,"3 - UTM10x10 + Elevation",780
210043,"Weeds (V15)",4,"V15","","Q-P10043",70,"",NA,4,"",-7.159197525,41.90014462,"3 - UTM10x10 + Elevation",820
210045,"Weeds (V15)",4,"V15","","Q-P10045",70,"S",4.5,25,"",-6.813546977,41.92476961,"3 - UTM10x10 + Elevation",1030
210046,"Weeds (V15)",4,"V15","","Q-P10046",70,"",NA,20,"",-6.602866544,41.82352414,"3 - UTM10x10 + Elevation",880
210047,"Weeds (V15)",4,"V15","","Q-P10047",30,"SW",4.5,16,"",-6.596850701,41.80210099,"3 - UTM10x10 + Elevation",750
210048,"Weeds (V15)",4,"V15","","Q-P10048",30,"",NA,16,"",-6.628056888,41.88576452,"3 - UTM10x10 + Elevation",680
210049,"Weeds (V15)",4,"V15","","Q-P10049",50,"",NA,25,"",-7.0318689,41.86867586,"3 - UTM10x10 + Elevation",760
210050,"Weeds (V15)",4,"V15","","Q-P10050",30,"",NA,25,"",-6.956713676,41.78304936,"3 - UTM10x10 + Elevation",880
210051,"Weeds (V15)",4,"V15","","Q-P10051",60,"",NA,20,"",-6.962255002,41.75584432,"3 - UTM10x10 + Elevation",850
210052,"Weeds (V15)",4,"V15","","Q-P10052",60,"W",4.5,25,"",-6.951235016,41.88949185,"3 - UTM10x10 + Elevation",790
210053,"Weeds (V15)",4,"V15","","Q-P10053",30,"",NA,15,"",-7.067007472,41.89084622,"3 - UTM10x10 + Elevation",860
210054,"Weeds (V15)",4,"V15","Catapodietum patentis","Q-P10054",70,"NNE",9,16,"2000",-6.597757147,41.81828152,"3 - UTM10x10 + Elevation",830
210055,"Weeds (V15)",4,"V15","Catapodietum patentis","Q-P10055",60,"SE",4.5,9,"2000",-7.059109571,41.88032087,"3 - UTM10x10 + Elevation",840
210060,"Weeds (V15)",4,"V15","Comunidad de Chrysanthemum segetum y Lolium rigidum","Q-P10060",50,"W",4.5,12,"2000",-6.635274238,41.88553598,"3 - UTM10x10 + Elevation",640
210061,"Weeds (V15)",4,"V15","Comunidad de Chrysanthemum segetum y Lolium rigidum","Q-P10061",50,"",NA,10,"2000",-6.76432699,41.86696504,"3 - UTM10x10 + Elevation",630
210062,"Weeds (V15)",4,"V15","Miboro minimae-Arabidopsietum thalianae","Q-P10062",40,"",NA,4,"2000",-6.592963053,41.86165553,"3 - UTM10x10 + Elevation",840
210064,"Weeds (V15)",4,"V15","Miboro minimae-Arabidopsietum thalianae","Q-P10064",50,"NW",13.5,4,"2000",-6.724490367,41.88627521,"3 - UTM10x10 + Elevation",650
210065,"Weeds (V15)",4,"V15","Miboro minimae-Arabidopsietum thalianae","Q-P10065",30,"S",13.5,1,"2000",-6.736518026,41.88588395,"3 - UTM10x10 + Elevation",630
210066,"Weeds (V15)",4,"V15","Miboro minimae-Arabidopsietum thalianae","Q-P10066",70,"",NA,3,"2000",-6.684422129,41.90197718,"3 - UTM10x10 + Elevation",680
