species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Acanthus spinosus,Acanthaceae,999,18,0.74412,0.36029,0.35661,1.59183,0.10663,0.30719,0.2482,0.0015,0.0056,0.7142,0.0325,0.7356,0.0017,0.0027
Acer campestre,Sapindaceae,999,82,0.6918,0.13881,0.03984,1.31841,0.01173,0.19643,0.10363,1.00E-04,2.00E-04,0.0425,0.0022,0.0366,1.00E-04,1.00E-04
Acer cappadocicum aggr.,Sapindaceae,999,9,0.69817,0.10981,0.0098,1.30282,0,0.19112,0.1,0,2.00E-04,0.0472,2.00E-04,0,2.00E-04,0
Acer heldreichii,Sapindaceae,999,10,0.67455,0.1283,0.04471,1.31909,0.01576,0.19821,0.09464,0.0042,0.0021,1.048,0.0197,0.126,0.0012,0.0012
Acer hyrcanum,Sapindaceae,999,14,0.69466,0.10458,0.00869,1.30402,0,0.20038,0.09961,0.001,5.00E-04,0.2356,0.0096,0,2.00E-04,2.00E-04
Acer monspessulanum,Sapindaceae,999,50,0.68578,0.12366,0.03631,1.29188,0.00957,0.22334,0.10177,3.00E-04,5.00E-04,0.1185,0.0088,0.0822,3.00E-04,3.00E-04
Acer negundo,Sapindaceae,999,48,0.72226,0.44267,0.42278,1.52809,0.17333,0.18109,0.23847,0.0012,0.0023,0.3083,0.0175,0.3975,7.00E-04,0.002
Acer opalus aggr.,Sapindaceae,999,52,0.69236,0.11663,0.02581,1.29653,0.00252,0.19657,0.10014,1.00E-04,1.00E-04,0.0423,0.0034,0.0207,1.00E-04,1.00E-04
Acer platanoides,Sapindaceae,999,71,0.69843,0.15019,0.04615,1.3308,0.01233,0.18685,0.11235,1.00E-04,3.00E-04,0.0587,0.0035,0.0495,1.00E-04,2.00E-04
Acer pseudoplatanus,Sapindaceae,999,107,0.68705,0.16985,0.0706,1.32057,0.02196,0.18337,0.11293,1.00E-04,2.00E-04,0.0433,0.007,0.0373,1.00E-04,1.00E-04
Acer sempervirens,Sapindaceae,999,18,0.70099,0.2568,0.10187,1.45995,0.03314,0.3035,0.15419,0.0015,0.003,0.5272,0.0257,0.3736,9.00E-04,0.0015
Acer tataricum,Sapindaceae,999,29,0.69181,0.13689,0.0286,1.32574,0.01111,0.20194,0.10508,4.00E-04,8.00E-04,0.155,0.007,0.1275,2.00E-04,4.00E-04
Achillea abrotanoides,Compositae,999,8,0.39545,0.39545,1.81998,1.81998,0.2189,0.28182,0.12727,0,0,0,0,0,0,0
Achillea ageratifolia,Compositae,999,13,0.32549,0.28687,1.11213,1.6848,0.01745,0.28229,0.132,0.0017,0.0016,0.1745,0.1432,0.5386,0.0021,0.0015
Achillea ageratum,Compositae,999,19,0.67778,0.65111,1.24586,1.87759,0.55385,0.28372,0.32444,0.0073,0.007,0.1717,0.031,1.1421,0.0088,0.0059
Achillea arabica,Compositae,999,7,0.54286,0.54286,2.29121,2.25626,0.50071,0.39143,0.28571,6.00E-04,6.00E-04,0.0029,0.0035,0.3692,0.0015,0.0012
Achillea asiatica,Compositae,999,6,0.49273,0.48545,1.9308,1.9308,1.05271,0.37818,0.14182,2.00E-04,5.00E-04,0.0226,0.0226,0.161,0.0034,0.0017
Achillea aspleniifolia,Compositae,999,16,0.44857,0.43699,1.65487,2.12109,1.10579,0.32353,0.17571,0.0039,0.0042,0.0689,0.0224,0.8007,0.0065,0.0041
Achillea atrata,Compositae,999,21,0.28546,0.28025,1.36504,1.39521,0.02225,0.15038,0.1702,0.001,0.001,0.1524,0.1367,0.1072,0.0015,0.001
Achillea barbeyana,Compositae,999,13,0.51515,0.46875,1.04561,1.44163,0.65673,0.22857,0.18333,0.0099,0.0102,1.3706,0.2591,2.3001,0.0103,0.0103
Achillea barrelieri,Compositae,999,13,0.28182,0.28052,1.52641,1.52641,0.02576,0.24362,0.15584,0.0016,0.0016,0.042,0.042,0.1068,0.0021,0.0013
Achillea chrysocoma,Compositae,851,9,0.5,0.24286,0.35138,1.41886,0.19641,0.27143,0.15652,0.0118,0.0084,2.2038,0.1661,3.2699,0.0018,0.0054
Achillea clavennae,Compositae,999,33,0.31832,0.27516,0.84373,0.98593,0.01313,0.22597,0.09368,0.0011,8.00E-04,0.2915,0.2366,0.1026,0.001,7.00E-04
Achillea clusiana,Compositae,999,15,0.27108,0.24625,1.36727,1.79812,0.03274,0.18023,0.12892,0.0046,0.0042,0.3658,0.3504,0.8658,0.0052,0.0033
Achillea clypeolata,Compositae,999,23,0.46255,0.4,0.97152,1.86022,0.24655,0.32851,0.192,0.0016,0.0016,0.3712,0.016,0.5195,0.0011,5.00E-04
Achillea coarctata,Compositae,999,28,0.56424,0.50419,1.00578,1.75522,0.37223,0.31914,0.27702,0.0023,0.0027,0.3361,0.0283,0.4966,0.0012,0.0015
Achillea crithmifolia,Compositae,999,29,0.53026,0.44332,0.8413,1.76514,0.40665,0.32117,0.21004,0.0021,0.0026,0.527,0.0236,0.6497,0.0023,0.0019
Achillea distans,Compositae,999,43,0.53463,0.27207,0.37175,1.35903,0.14133,0.21224,0.14227,0.0024,0.0021,0.5947,0.1305,0.5013,0.0012,0.0013
Achillea erba-rotta,Compositae,999,17,0.35564,0.31985,1.14809,1.52013,0.01953,0.22164,0.14077,0.0028,0.0025,0.3755,0.11,0.1027,0.0021,0.003
Achillea fraasii,Compositae,999,7,0.38333,0.32,0.96457,1.96524,0.02872,0.31333,0.12667,0.0033,9.00E-04,0.4726,0.0263,0.2929,0.0021,0.0016
Achillea grandifolia,Compositae,999,17,0.646,0.16735,0.09644,1.28506,0.04208,0.20612,0.11961,0.0075,0.0057,1.7008,0.0825,0.7698,0.0027,0.0057
Achillea holosericea,Compositae,999,12,0.47407,0.26923,0.41229,1.55903,0.01677,0.27059,0.112,0.0058,0.0026,1.3307,0.0648,0.1103,0.0017,9.00E-04
Achillea leptophylla,Compositae,999,14,0.47667,0.47667,1.60289,1.60206,0.40297,0.41,0.21692,0.0047,0.0047,0.0954,0.0942,1.9367,0.0054,0.0018
Achillea ligustica,Compositae,999,38,0.66965,0.27769,0.20679,1.37224,0.09174,0.25285,0.14708,0.0029,0.0047,0.7216,0.041,0.616,0.0016,0.0024
Achillea lingulata,Compositae,902,6,0.37619,0.35,1.1792,1.512,0.18017,0.252,0.05909,0.0079,0.0076,0.2895,0.169,3.4636,0.0136,0.0088
Achillea macrophylla,Compositae,999,15,0.63689,0.14147,0.15324,1.31436,0.00766,0.1589,0.08288,0.0019,6.00E-04,0.4672,0.0076,0.0231,7.00E-04,5.00E-04
Achillea maritima,Compositae,999,16,0.40794,0.40658,2.04141,2.06712,0.00481,0.11787,0.73044,0.0018,0.0017,0.0928,0.034,0.1482,8.00E-04,0.0031
Achillea micrantha,Compositae,999,18,0.41133,0.406,1.67372,1.78681,0.34984,0.21895,0.388,0.0022,0.0022,0.0332,0.029,0.889,0.0034,0.0025
Achillea micranthoides,Compositae,999,10,0.6,0.6,1.94257,1.94257,0.56378,0.275,0.25385,0.0095,0.0095,0.0933,0.0933,2.6604,0.0139,0.0091
Achillea millefolium aggr.,Compositae,999,158,0.54139,0.51128,1.31363,1.93633,0.8112,0.25085,0.32953,2.00E-04,2.00E-04,0.0198,0.0027,0.0375,2.00E-04,2.00E-04
Achillea nana,Compositae,999,13,0.28762,0.2798,1.46139,1.54632,0.00614,0.17621,0.15756,0.0018,0.0018,0.0376,0.0351,0.33,0.0029,0.0016
Achillea nobilis,Compositae,999,64,0.53747,0.48291,1.04194,1.78688,0.55372,0.3314,0.19983,0.0012,0.0015,0.1641,0.0161,0.3071,0.0012,0.0011
Achillea ochroleuca,Compositae,999,14,0.42292,0.39375,1.12205,1.62335,0.48999,0.31731,0.275,0.0037,0.004,0.9428,0.0543,1.1744,0.0035,0.0044
Achillea odorata,Compositae,999,22,0.52574,0.44667,0.94374,1.90408,0.57641,0.39574,0.23188,0.0018,0.0029,0.8205,0.0739,0.8556,0.002,0.0021
Achillea oxyloba,Compositae,999,17,0.30128,0.27742,1.14613,1.30047,0.00278,0.15155,0.1596,0.0015,0.0015,0.0913,0.0588,0.0117,0.0021,0.0018
Achillea pannonica,Compositae,999,42,0.51731,0.47167,1.10373,1.79082,0.6058,0.30039,0.17263,0.0012,0.0014,0.2099,0.0213,0.3638,0.0011,0.001
Achillea pseudopectinata,Compositae,999,14,0.526,0.526,2.284,2.284,0.59433,0.39796,0.288,0.003,0.003,0.0043,0.0043,0.7704,0.0015,0.0025
Achillea ptarmica,Compositae,999,55,0.51384,0.50343,1.60234,1.88365,1.04369,0.23994,0.21846,6.00E-04,6.00E-04,0.0302,0.0102,0.1035,8.00E-04,7.00E-04
Achillea roseoalba,Compositae,999,7,0.49423,0.49423,2.15989,2.15989,1.29695,0.19038,0.26154,0.0019,0.0019,0.0083,0.0083,0.1252,0.0036,0.0054
Achillea salicifolia,Compositae,999,33,0.48826,0.46397,1.36675,1.76388,0.6118,0.19615,0.15164,0.0035,0.0035,0.1084,0.034,0.5626,0.0017,0.0019
Achillea setacea,Compositae,999,56,0.53765,0.50655,1.32183,1.90066,0.65082,0.33236,0.21032,0.001,0.0011,0.1239,0.0132,0.2518,0.001,0.0012
Achillea stepposa,Compositae,999,11,0.49433,0.49124,1.81436,1.98262,0.8832,0.40357,0.17487,0.0018,0.0018,0.0163,0.0131,0.6939,0.0019,8.00E-04
Achillea styriaca,Compositae,999,10,0.59118,0.18235,0.16718,1.26688,0.05505,0.20278,0.13636,0.0072,0.0059,2.0562,0.0969,1.8349,0.0015,0.0031
Achillea tomentosa,Compositae,999,18,0.46974,0.45,1.43771,2.02654,0.41891,0.42113,0.23286,0.0039,0.0039,0.0796,0.012,1.0709,0.0044,0.0041
Achillea virescens,Compositae,999,19,0.49744,0.4287,1.07568,1.74773,0.26876,0.31121,0.1487,0.0037,0.0048,0.5984,0.0307,1.1395,0.0027,0.0025
Achnatherum bromoides aggr.,Poaceae,999,47,0.70109,0.24259,0.15073,1.44456,0.04001,0.28376,0.14605,6.00E-04,0.0015,0.2234,0.0111,0.1986,5.00E-04,7.00E-04
Achnatherum calamagrostis,Poaceae,999,53,0.5828,0.26021,0.32875,1.3604,0.09489,0.23865,0.15497,0.0013,0.0011,0.3005,0.0386,0.26,7.00E-04,7.00E-04
Acis rosea,Amaryllidaceae,956,6,0.7375,0.356,0.34216,1.59606,0.11691,0.32727,0.17727,0.0048,0.0204,2.4678,0.0762,2.3907,0.0082,0.0094
Aconitum angustifolium,Ranunculaceae,999,20,0.60533,0.15913,0.12344,1.08036,0.01439,0.18268,0.09649,0.0022,0.0012,0.4741,0.2062,0.2111,8.00E-04,3.00E-04
Aconitum anthora,Ranunculaceae,999,31,0.49248,0.29158,0.47985,1.49279,0.15475,0.23891,0.1135,0.0036,0.0026,0.8621,0.0446,0.7756,0.0014,0.0012
Aconitum degenii,Ranunculaceae,999,24,0.65442,0.17713,0.11922,1.26603,0.0092,0.15722,0.09627,0.0018,0.0015,0.4101,0.1319,0.2658,7.00E-04,5.00E-04
Aconitum firmum,Ranunculaceae,999,27,0.36902,0.24388,0.65425,1.06521,0.04845,0.17011,0.10818,0.0027,0.002,0.5083,0.3001,0.3605,0.001,0.0013
Aconitum lycoctonum,Ranunculaceae,999,59,0.63676,0.16715,0.11633,1.22945,0.01862,0.17755,0.09836,5.00E-04,4.00E-04,0.1374,0.0467,0.0836,2.00E-04,2.00E-04
Aconitum moldavicum,Ranunculaceae,999,17,0.66432,0.17017,0.09867,1.32205,0.03621,0.18177,0.09669,0.0029,0.0035,0.8749,0.0425,0.6982,0.0013,0.0011
Aconitum napellus aggr.,Ranunculaceae,999,66,0.46525,0.26488,0.50217,1.19786,0.0922,0.18388,0.10042,0.0012,9.00E-04,0.2423,0.1004,0.2409,7.00E-04,4.00E-04
Aconitum orientale,Ranunculaceae,999,12,0.58947,0.19091,0.19698,1.36197,0.06523,0.20909,0.1,0.0021,0.0031,0.7782,0.0304,0.7473,8.00E-04,0
Aconitum toxicum,Ranunculaceae,999,9,0.52174,0.30769,0.63164,1.49852,0.18896,0.168,0.10417,0.0123,0.0091,2.0495,0.094,2.3554,0.0043,0.0038
Aconitum variegatum,Ranunculaceae,999,41,0.56405,0.25537,0.29674,1.23652,0.09521,0.17868,0.09433,0.0018,0.0017,0.4442,0.1246,0.3436,6.00E-04,6.00E-04
Aconogonon alpinum,Polygonaceae,999,34,0.49434,0.33134,0.56693,1.5409,0.22037,0.24473,0.11734,0.0023,0.0022,0.3049,0.0291,0.6298,0.0015,0.002
Acorus calamus,Acoraceae,999,27,0.26065,0.24968,1.52603,1.78741,0.53954,0.11585,0.09718,0.0011,0.001,0.0844,0.0162,0.3035,0.0011,5.00E-04
Actaea erythrocarpa,Ranunculaceae,19,5,0.69,0.145,0.05923,1.31876,0.02,0.2,0.1,0.0023,0.0136,2.402,0.0833,1.0273,0.0011,0
Actaea europaea,Ranunculaceae,999,16,0.65882,0.2,0.13881,1.31854,0.07183,0.17561,0.1046,0.0046,0.0059,1.4832,0.0776,1.3356,0.0017,0.0027
Actaea spicata,Ranunculaceae,999,44,0.69771,0.12851,0.02898,1.29588,0.00262,0.18215,0.10161,1.00E-04,2.00E-04,0.0453,0.0097,0.0183,1.00E-04,1.00E-04
Adenocarpus complicatus,Fabaceae,999,13,0.38333,0.1741,0.43947,1.31488,0.00596,0.26934,0.10365,0.0021,0.0012,0.4265,0.0309,0.4417,0.0014,6.00E-04
Adenocarpus hispanicus,Fabaceae,999,4,0.24578,0.20482,1.02173,1.30155,0,0.2939,0.1,0.0022,5.00E-04,0.3306,1.00E-04,0,0.0012,6.00E-04
Adenocarpus telonensis,Fabaceae,999,8,0.672,0.16809,0.12863,1.34179,0.0171,0.28333,0.09434,8.00E-04,0.0037,0.8671,0.0341,0.1067,0.0015,0.001
Adenophora liliifolia,Campanulaceae,999,20,0.62018,0.26667,0.25121,1.49079,0.19665,0.21786,0.12523,0.0033,0.0045,1.0245,0.0434,1.0812,0.0016,0.0023
Adenostyles alliariae,Compositae,999,49,0.5822,0.14583,0.1462,1.13511,0.01,0.18491,0.09363,6.00E-04,3.00E-04,0.1362,0.0646,0.0518,2.00E-04,1.00E-04
Adenostyles alpina,Compositae,999,56,0.63152,0.14566,0.08768,1.1527,0.00901,0.19069,0.10566,5.00E-04,4.00E-04,0.1284,0.0441,0.0464,2.00E-04,2.00E-04
Adenostyles leucophylla,Compositae,999,13,0.30337,0.28046,1.28547,1.55319,0,0.14659,0.15977,0.0041,0.0038,0.5391,0.0357,0,0.0019,0.0037
Adiantum capillus-veneris,Pteridaceae,999,32,0.46471,0.31339,0.52291,1.09755,0.10275,0.14664,0.09336,0.0029,0.0022,0.3958,0.1387,0.6851,0.0021,0.0011
Adonis aestivalis,Ranunculaceae,999,18,0.8239,0.82009,1.80024,1.99792,0.58359,0.15947,0.78911,0.0015,0.0019,0.1442,0.009,0.4627,0.0014,0.0027
Adonis annua,Ranunculaceae,999,5,0.85052,0.85052,2.11979,2.11979,0.80473,0.17959,0.73118,0.0013,0.0013,0.0168,0.0168,0.2519,0.0021,0.0039
Adonis flammea,Ranunculaceae,999,12,0.79167,0.78913,1.83264,2.1124,0.57403,0.2062,0.69308,0.0043,0.0049,0.375,0.024,0.8991,0.0033,0.0067
Adonis microcarpa,Ranunculaceae,999,9,0.8234,0.8125,2.00681,2.09105,0.37172,0.19556,0.66383,0.0075,0.0075,0.0359,0.0358,1.7247,0.0085,0.0114
Adonis vernalis,Ranunculaceae,999,26,0.50516,0.43103,0.89208,1.75444,0.58939,0.32397,0.12781,8.00E-04,0.001,0.2238,0.0172,0.3046,9.00E-04,5.00E-04
Adonis volgensis,Ranunculaceae,999,8,0.47823,0.4748,1.90396,1.90396,0.75352,0.40992,0.15983,0.0028,0.0028,0.0419,0.0419,1.2404,0.0034,0.0019
Adoxa moschatellina,Viburnaceae,999,46,0.68933,0.1879,0.07528,1.32034,0.01335,0.1814,0.1035,3.00E-04,5.00E-04,0.11,0.0253,0.065,2.00E-04,2.00E-04
Aegilops biuncialis,Poaceae,999,25,0.72321,0.45526,0.71151,1.75858,0.14758,0.31949,0.30973,0.0024,0.0056,0.468,0.0191,0.8013,0.0025,0.004
Aegilops caudata,Poaceae,999,10,0.80333,0.58462,1.15124,2.06596,0.32005,0.33483,0.34516,0.0028,0.0055,0.3371,0.0198,0.8963,0.0027,0.0033
Aegilops cylindrica,Poaceae,999,21,0.70055,0.69066,1.63651,2.13001,1.04788,0.26914,0.3875,0.0034,0.0048,0.54,0.0263,0.7178,0.0031,0.0057
Aegilops geniculata,Poaceae,999,50,0.77176,0.72822,1.27204,1.9407,0.44058,0.31268,0.36372,0.0017,0.002,0.1117,0.023,0.3638,0.0012,0.0014
Aegilops neglecta,Poaceae,999,35,0.68338,0.61385,1.03197,1.89886,0.52018,0.28765,0.33823,0.003,0.003,0.1864,0.0444,0.4709,0.0017,0.0021
Aegilops triuncialis,Poaceae,999,30,0.67276,0.63746,1.2048,1.96183,0.5563,0.29905,0.32573,0.0025,0.003,0.2492,0.0142,0.4246,0.0011,0.0023
Aegonychon purpurocaeruleum,Boraginaceae,999,53,0.68578,0.12238,0.03342,1.30818,0.01681,0.20725,0.10024,3.00E-04,5.00E-04,0.1119,0.0048,0.0949,2.00E-04,2.00E-04
Aegopodium podagraria,Apiaceae,999,78,0.64607,0.31874,0.25686,1.37788,0.15813,0.17788,0.15586,2.00E-04,4.00E-04,0.0732,0.0062,0.0793,1.00E-04,3.00E-04
Aeluropus littoralis,Poaceae,999,31,0.45406,0.44085,1.76208,1.89694,0.06122,0.30128,0.21075,0.0021,0.0023,0.1687,0.0684,0.5951,0.0029,0.0023
Aeluropus pungens,Poaceae,999,18,0.48931,0.47008,1.65862,1.82992,0.21728,0.35323,0.29134,0.0075,0.0075,0.081,0.0777,1.6485,0.008,0.0069
Aesculus hippocastanum,Sapindaceae,999,32,0.70456,0.21257,0.08203,1.38372,0.02743,0.18575,0.12949,0.0011,0.0028,0.5161,0.0249,0.4906,8.00E-04,0.0016
Aethionema saxatile,Brassicaceae,999,53,0.5244,0.37419,0.65044,1.61067,0.1614,0.33019,0.19047,0.0017,0.0018,0.3302,0.034,0.4228,0.0012,0.0012
Aethusa cynapium,Apiaceae,999,35,0.80849,0.76598,1.10771,1.78759,0.48072,0.15284,0.69388,0.0011,0.0017,0.1818,0.0183,0.3497,8.00E-04,0.0025
Agave americana,Asparagaceae,999,10,0.62581,0.30857,0.55932,1.686,0.01309,0.26765,0.26286,0.0111,0.0089,1.523,0.3096,0.9664,0.0058,0.012
Agrimonia eupatoria,Rosaceae,999,94,0.54101,0.43842,0.83225,1.69485,0.60411,0.24194,0.19299,3.00E-04,4.00E-04,0.0779,0.0062,0.1032,4.00E-04,4.00E-04
Agrimonia pilosa,Rosaceae,999,20,0.625,0.38812,0.42616,1.508,0.33192,0.20408,0.1625,0.0026,0.0055,0.9639,0.044,1.102,0.0029,0.0027
Agrimonia procera,Rosaceae,999,29,0.52685,0.45963,0.88164,1.48991,0.65975,0.1886,0.20088,0.004,0.0053,1.0672,0.1427,1.3406,0.0025,0.0039
Agropyron cristatum,Poaceae,999,40,0.51141,0.50264,1.69163,1.96681,0.55434,0.38632,0.22652,0.0015,0.0015,0.0443,0.0339,0.3526,0.0015,0.0016
Agropyron dasyanthum,Poaceae,999,6,0.36471,0.35882,1.63221,1.66049,0.28498,0.12941,0.42059,0,0,0,0,0,0,0
Agropyron desertorum,Poaceae,999,11,0.475,0.475,2.12617,2.11381,0.14704,0.47444,0.26211,0.0035,0.0035,0.0258,0.0259,1.0297,0.0038,0.0019
Agropyron fragile,Poaceae,999,9,0.32885,0.32143,2.14222,2.01472,0.06749,0.29455,0.27778,0.0069,0.0069,0.0513,0.0516,1.5717,0.0085,0.0043
Agropyron tanaiticum,Poaceae,999,4,0.33226,0.32903,1.72421,1.72793,0.37742,0.14516,0.42258,0.0013,0.0013,0.0571,0.0573,1.1097,0.0026,0.0024
Agrostemma githago,Caryophyllaceae,999,17,0.89201,0.88991,2.03298,2.12148,0.28503,0.10406,0.87023,0.0017,0.0018,0.0826,0.0108,0.7071,0.0015,0.0024
Agrostis alpina,Poaceae,999,35,0.30096,0.29266,1.42237,1.56809,0.02663,0.2639,0.09243,5.00E-04,5.00E-04,0.0961,0.0757,0.0958,6.00E-04,5.00E-04
Agrostis canina,Poaceae,999,116,0.39908,0.33733,1.05421,1.56112,0.43687,0.21865,0.16903,6.00E-04,5.00E-04,0.0562,0.0091,0.1239,4.00E-04,3.00E-04
Agrostis capillaris,Poaceae,999,152,0.52099,0.43132,0.86379,1.80498,0.57578,0.29897,0.2949,2.00E-04,2.00E-04,0.036,0.003,0.0472,2.00E-04,2.00E-04
Agrostis castellana,Poaceae,999,75,0.47418,0.34848,0.72333,1.60782,0.26124,0.3262,0.19946,0.0012,0.001,0.2212,0.0141,0.2984,0.0012,7.00E-04
Agrostis curtisii,Poaceae,999,40,0.50175,0.33706,0.63145,1.56723,0.30709,0.3334,0.16326,0.0015,0.0014,0.346,0.0257,0.4147,0.002,0.0012
Agrostis gigantea,Poaceae,999,100,0.57768,0.52888,1.08923,1.73271,0.53799,0.20021,0.30577,0.0011,0.0013,0.1182,0.0156,0.2205,9.00E-04,0.0015
Agrostis hesperica,Poaceae,999,15,0.375,0.375,1.7591,1.7591,0.66965,0.31385,0.15455,0.0081,0.0081,0.0912,0.0912,1.9957,0.0082,0.0052
Agrostis mertensii,Poaceae,999,19,0.29623,0.26667,1.45296,1.69054,0.0298,0.19126,0.12079,0.0042,0.0031,0.5153,0.0544,0.6406,0.0033,0.0027
Agrostis nevadensis,Poaceae,999,8,0.4,0.4,1.64782,1.64782,0.2636,0.36786,0.20714,0.0025,0.0025,0.0443,0.0443,1.1509,0.0017,0.0027
Agrostis rupestris,Poaceae,999,46,0.28867,0.27892,1.3996,1.5036,0.01433,0.24506,0.09453,4.00E-04,4.00E-04,0.0591,0.0548,0.0789,6.00E-04,4.00E-04
Agrostis schleicheri,Poaceae,999,17,0.38957,0.31905,0.86937,1.47456,0.14747,0.27963,0.10609,0.0043,0.0042,0.6898,0.1991,1.4906,0.0046,0.0026
Agrostis schraderiana,Poaceae,999,27,0.42646,0.23424,0.56038,1.31096,0.02531,0.21051,0.08527,0.0027,0.0013,0.5456,0.1626,0.0869,0.0011,8.00E-04
Agrostis stolonifera,Poaceae,999,179,0.47931,0.44635,1.23503,1.80321,0.45794,0.34582,0.21757,2.00E-04,2.00E-04,0.0222,0.0032,0.0488,3.00E-04,2.00E-04
Agrostis vinealis,Poaceae,999,83,0.44823,0.36476,0.99804,1.71765,0.27198,0.29867,0.25171,7.00E-04,7.00E-04,0.1253,0.0119,0.2159,6.00E-04,7.00E-04
Ailanthus altissima,Simaroubaceae,999,46,0.7568,0.38669,0.33075,1.43287,0.14625,0.19387,0.28048,0.0029,0.005,0.7017,0.0465,0.9172,0.0017,0.0043
Aira caryophyllea,Poaceae,999,85,0.47578,0.42311,1.13458,1.95739,0.50313,0.33193,0.32762,0.001,0.001,0.1059,0.0094,0.2429,0.0011,0.001
Aira cupaniana,Poaceae,999,33,0.50922,0.46912,1.28301,1.95045,0.4709,0.30041,0.2747,0.0027,0.0028,0.1263,0.0142,0.4171,0.0015,0.0016
Aira elegantissima,Poaceae,999,56,0.56337,0.43448,0.84003,1.77116,0.34685,0.32338,0.2265,0.0012,0.0015,0.1546,0.0097,0.2487,9.00E-04,0.0011
Aira praecox,Poaceae,999,57,0.41215,0.39466,1.53945,1.89683,0.44628,0.34445,0.37528,9.00E-04,9.00E-04,0.0983,0.0217,0.3197,0.0015,0.0012
Aira tenorei,Poaceae,999,10,0.44342,0.36338,1.0926,1.91137,0.44039,0.26901,0.21233,0.009,0.0086,1.1004,0.0617,1.7512,0.0031,0.0042
Airopsis tenella,Poaceae,999,9,0.36667,0.296,1.06604,1.70811,0.21257,0.23333,0.16538,0.0132,0.0145,0.389,0.1595,2.5133,0.0051,0.007
Ajuga chamaepitys,Lamiaceae,999,41,0.64774,0.63124,1.47219,1.98222,0.58996,0.30036,0.42442,0.0021,0.0022,0.1189,0.0334,0.4135,0.0016,0.003
Ajuga genevensis,Lamiaceae,999,68,0.57234,0.33809,0.41869,1.57703,0.30032,0.244,0.17488,9.00E-04,0.0013,0.2922,0.0149,0.3292,7.00E-04,0.001
Ajuga iva,Lamiaceae,999,16,0.75873,0.69692,1.12584,1.6247,0.44535,0.32941,0.30333,0.0068,0.0072,0.2477,0.2058,1.3237,0.0055,0.0055
Ajuga laxmannii,Lamiaceae,999,17,0.5602,0.31818,0.396,1.55949,0.27213,0.28856,0.13384,0.0022,0.0038,0.9157,0.0461,1.0011,0.0031,0.0011
