"Alliance","CANTEUNIS","Species","Type","Value"
"Chenopodion muralis","V37X","Polygonum aviculare","Constant",68.75
"Chenopodion muralis","V37X","Plantago lanceolata","Constant",56.25
"Chenopodion muralis","V37X","Urtica urens","Constant",56.25
"Chenopodion muralis","V37X","Ochlopoa annua","Constant",50
"Chenopodion muralis","V37X","Malva neglecta","Diagnostic",76.3412051755917
"Chenopodion muralis","V37X","Urtica urens","Diagnostic",54.462860749414
"Chenopodion muralis","V37X","Amaranthus deflexus","Diagnostic",36.3722472253695
"Chenopodion muralis","V37X","Chenopodiastrum murale","Diagnostic",17.9813744966645
"Chenopodion muralis","V37X","Urtica urens","Dominant",25
"Chenopodion muralis","V37X","Amaranthus deflexus","Dominant",18.75
"Chenopodion muralis","V37X","Atriplex rosea","Dominant",12.5
"Chenopodion muralis","V37X","Artemisia absinthium","Dominant",6.25
"Chenopodion muralis","V37X","Polygonum aviculare","Dominant",6.25
"Chenopodion muralis","V37X","Malva neglecta","Dominant",6.25
"Cirsion richterano-chodati","V38X","Cirsium eriophorum","Constant",63.6363636363636
"Cirsion richterano-chodati","V38X","Carduus carpetanus","Constant",63.6363636363636
"Cirsion richterano-chodati","V38X","Jacobaea vulgaris","Constant",55.5555555555556
"Cirsion richterano-chodati","V38X","Cirsium vulgare","Constant",54.5454545454545
"Cirsion richterano-chodati","V38X","Cirsium arvense","Constant",51.5151515151515
"Cirsion richterano-chodati","V38X","Cirsium eriophorum","Diagnostic",60.8008512389096
"Cirsion richterano-chodati","V38X","Carduus carpetanus","Diagnostic",38.9187571310371
"Cirsion richterano-chodati","V38X","Carduus nutans aggr.","Diagnostic",35.6245486996835
"Cirsion richterano-chodati","V38X","Jacobaea vulgaris","Diagnostic",33.4212693506687
"Cirsion richterano-chodati","V38X","Cirsium richterianum","Diagnostic",27.014680882824
"Cirsion richterano-chodati","V38X","Cirsium arvense","Diagnostic",26.6608205703291
"Cirsion richterano-chodati","V38X","Achillea millefolium","Diagnostic",23.1713284370339
"Cirsion richterano-chodati","V38X","Cirsium eriophorum","Dominant",22.2222222222222
"Cirsion richterano-chodati","V38X","Cirsium richterianum","Dominant",19.1919191919192
"Cirsion richterano-chodati","V38X","Carduus carpetanus","Dominant",15.1515151515152
"Cirsion richterano-chodati","V38X","Carduus nutans aggr.","Dominant",9.09090909090909
"Cirsion richterano-chodati","V38X","Cirsium arvense","Dominant",8.08080808080808
"Cirsion richterano-chodati","V38X","Jacobaea vulgaris","Dominant",5.05050505050505
"Cymbalario-Asplenion","J25Y","Cymbalaria muralis","Constant",100
"Cymbalario-Asplenion","J25Y","Asplenium trichomanes","Constant",68.3333333333333
"Cymbalario-Asplenion","J25Y","Parietaria judaica aggr.","Constant",51.6666666666667
"Cymbalario-Asplenion","J25Y","Cymbalaria muralis","Diagnostic",79.1005891646793
"Cymbalario-Asplenion","J25Y","Asplenium trichomanes","Diagnostic",32.3495410091428
"Cymbalario-Asplenion","J25Y","Umbilicus rupestris","Diagnostic",17.8614081774201
"Cymbalario-Asplenion","J25Y","Trachelium caeruleum","Diagnostic",17.0918960837534
"Cymbalario-Asplenion","J25Y","Asplenium scolopendrium","Diagnostic",16.3170021419064
"Cymbalario-Asplenion","J25Y","Cymbalaria muralis","Dominant",56.6666666666667
"Dauco-Melilotion","V38W","Daucus carota","Constant",91.044776119403
"Dauco-Melilotion","V38W","Helminthotheca echioides","Constant",65.6716417910448
"Dauco-Melilotion","V38W","Plantago lanceolata","Constant",56.7164179104478
"Dauco-Melilotion","V38W","Foeniculum vulgare","Constant",53.7313432835821
"Dauco-Melilotion","V38W","Holcus lanatus","Constant",52.2388059701493
"Dauco-Melilotion","V38W","Dactylis glomerata","Constant",50.7462686567164
"Dauco-Melilotion","V38W","Helminthotheca echioides","Diagnostic",58.0487722755609
"Dauco-Melilotion","V38W","Daucus carota","Diagnostic",54.0970305914593
"Dauco-Melilotion","V38W","Melilotus albus","Diagnostic",46.6533970057481
"Dauco-Melilotion","V38W","Foeniculum vulgare","Diagnostic",37.2182925556454
"Dauco-Melilotion","V38W","Erigeron canadensis","Diagnostic",31.9963049958316
"Dauco-Melilotion","V38W","Hypericum perforatum","Diagnostic",27.3481227589685
"Dauco-Melilotion","V38W","Lotus tenuis","Diagnostic",23.3265446264548
"Dauco-Melilotion","V38W","Dipsacus fullonum","Diagnostic",22.7557276355739
"Dauco-Melilotion","V38W","Medicago lupulina","Diagnostic",21.1447784470821
"Dauco-Melilotion","V38W","Verbena officinalis","Diagnostic",20.7877874850955
"Dauco-Melilotion","V38W","Pulicaria dysenterica","Diagnostic",19.0690837366374
"Dauco-Melilotion","V38W","Holcus lanatus","Diagnostic",16.5843645854741
"Dauco-Melilotion","V38W","Foeniculum vulgare","Dominant",23.8805970149254
"Dauco-Melilotion","V38W","Melilotus albus","Dominant",20.8955223880597
"Dauco-Melilotion","V38W","Helminthotheca echioides","Dominant",16.4179104477612
"Dauco-Melilotion","V38W","Dipsacus fullonum","Dominant",10.4477611940298
"Dauco-Melilotion","V38W","Daucus carota","Dominant",5.97014925373134
"Dauco-Melilotion","V38W","Erigeron canadensis","Dominant",5.97014925373134
"Echio-Galactition tomentosae","V37W","Galactites tomentosus","Constant",100
"Echio-Galactition tomentosae","V37W","Vicia sativa aggr.","Constant",65
"Echio-Galactition tomentosae","V37W","Daucus carota","Constant",65
"Echio-Galactition tomentosae","V37W","Sonchus oleraceus","Constant",65
"Echio-Galactition tomentosae","V37W","Dactylis glomerata","Constant",65
"Echio-Galactition tomentosae","V37W","Plantago lanceolata","Constant",62.5
"Echio-Galactition tomentosae","V37W","Coleostephus myconis","Constant",60
"Echio-Galactition tomentosae","V37W","Lolium multiflorum","Constant",52.5
"Echio-Galactition tomentosae","V37W","Geranium dissectum","Constant",50
"Echio-Galactition tomentosae","V37W","Geranium robertianum","Constant",50
"Echio-Galactition tomentosae","V37W","Holcus lanatus","Constant",50
"Echio-Galactition tomentosae","V37W","Galactites tomentosus","Diagnostic",94.6665184252097
"Echio-Galactition tomentosae","V37W","Coleostephus myconis","Diagnostic",44.5414193984267
"Echio-Galactition tomentosae","V37W","Anisantha rigida","Diagnostic",40.8100467330666
"Echio-Galactition tomentosae","V37W","Lolium multiflorum","Diagnostic",40.245789545256
"Echio-Galactition tomentosae","V37W","Briza maxima","Diagnostic",28.4021411806203
"Echio-Galactition tomentosae","V37W","Vicia sativa aggr.","Diagnostic",27.6621690833513
"Echio-Galactition tomentosae","V37W","Silene gallica","Diagnostic",18.132128915759
"Echio-Galactition tomentosae","V37W","Crepis capillaris","Diagnostic",17.916066762301
"Echio-Galactition tomentosae","V37W","Briza minor","Diagnostic",16.6244381573184
"Echio-Galactition tomentosae","V37W","Galactites tomentosus","Dominant",70
"Echio-Galactition tomentosae","V37W","Anisantha rigida","Dominant",22.5
"Echio-Galactition tomentosae","V37W","Coleostephus myconis","Dominant",12.5
"Echio-Galactition tomentosae","V37W","Echium vulgare","Dominant",10
"Echio-Galactition tomentosae","V37W","Arctotheca calendula","Dominant",5
"Echio-Galactition tomentosae","V37W","Convolvulus arvensis","Dominant",5
"Echio-Galactition tomentosae","V37W","Medicago arabica","Dominant",5
"Echio-Galactition tomentosae","V37W","Mentha suaveolens","Dominant",5
"Epilobion angustifolii","R57Z","Epilobium angustifolium","Constant",100
"Epilobion angustifolii","R57Z","Digitalis purpurea","Constant",83.3333333333333
"Epilobion angustifolii","R57Z","Avenella flexuosa","Constant",50
"Epilobion angustifolii","R57Z","Epilobium angustifolium","Diagnostic",99.6906153317291
"Epilobion angustifolii","R57Z","Digitalis purpurea","Diagnostic",75.3334855188702
"Epilobion angustifolii","R57Z","Avenella flexuosa","Diagnostic",48.6014281488993
"Epilobion angustifolii","R57Z","Luzula lactea","Diagnostic",41.6666666666667
"Epilobion angustifolii","R57Z","Linaria triornithophora","Diagnostic",31.0879707974599
"Epilobion angustifolii","R57Z","Vaccinium myrtillus","Diagnostic",25
"Epilobion angustifolii","R57Z","Helictochloa marginata","Diagnostic",25
"Epilobion angustifolii","R57Z","Peucedanum gallicum","Diagnostic",25
"Epilobion angustifolii","R57Z","Eryngium duriaei","Diagnostic",25
"Epilobion angustifolii","R57Z","Asphodelus albus","Diagnostic",19.0343163184343
"Epilobion angustifolii","R57Z","Anemone nemorosa","Diagnostic",16.6666666666667
"Epilobion angustifolii","R57Z","Betula celtiberica","Diagnostic",16.6666666666667
"Epilobion angustifolii","R57Z","Lilium martagon","Diagnostic",16.6666666666667
"Epilobion angustifolii","R57Z","Hypericum richeri","Diagnostic",16.6666666666667
"Epilobion angustifolii","R57Z","Erica arborea","Diagnostic",16.6666666666667
"Epilobion angustifolii","R57Z","Helleborus foetidus","Diagnostic",16.5737298636927
"Epilobion angustifolii","R57Z","Silene nutans","Diagnostic",16.4818237831177
"Epilobion angustifolii","R57Z","Cytisus scoparius","Diagnostic",16.3877266387727
"Epilobion angustifolii","R57Z","Epilobium angustifolium","Dominant",66.6666666666667
"Epilobion angustifolii","R57Z","Avenella flexuosa","Dominant",8.33333333333333
"Galio valantiae-Parietarion judaicae","J25Z","Parietaria judaica aggr.","Constant",97.3684210526316
"Galio valantiae-Parietarion judaicae","J25Z","Cymbalaria muralis","Constant",78.9473684210526
"Galio valantiae-Parietarion judaicae","J25Z","Asplenium trichomanes","Constant",57.8947368421053
"Galio valantiae-Parietarion judaicae","J25Z","Centranthus ruber","Constant",53.9473684210526
"Galio valantiae-Parietarion judaicae","J25Z","Parietaria judaica aggr.","Diagnostic",75.4700624129949
"Galio valantiae-Parietarion judaicae","J25Z","Centranthus ruber","Diagnostic",47.6388266763303
"Galio valantiae-Parietarion judaicae","J25Z","Polypodium cambricum","Diagnostic",30.7103566040211
"Galio valantiae-Parietarion judaicae","J25Z","Asplenium ceterach","Diagnostic",28.4358417618451
"Galio valantiae-Parietarion judaicae","J25Z","Hypericum hircinum","Diagnostic",19.2233193390872
"Galio valantiae-Parietarion judaicae","J25Z","Parietaria judaica aggr.","Dominant",39.4736842105263
"Galio valantiae-Parietarion judaicae","J25Z","Centranthus ruber","Dominant",13.1578947368421
"Galio valantiae-Parietarion judaicae","J25Z","Hypericum hircinum","Dominant",6.57894736842105
"Galio valantiae-Parietarion judaicae","J25Z","Cymbalaria muralis","Dominant",5.26315789473684
"Galio valantiae-Parietarion judaicae","J25Z","Erigeron karvinskianus","Dominant",5.26315789473684
"Geo urbani-Alliarion officinalis","V39Z","Urtica dioica","Constant",95.7943925233645
"Geo urbani-Alliarion officinalis","V39Z","Galium aparine","Constant",68.6915887850467
"Geo urbani-Alliarion officinalis","V39Z","Urtica dioica","Diagnostic",43.1236231443211
"Geo urbani-Alliarion officinalis","V39Z","Pentaglottis sempervirens","Diagnostic",19.6614170587224
"Geo urbani-Alliarion officinalis","V39Z","Galium aparine","Diagnostic",19.3924546052601
"Geo urbani-Alliarion officinalis","V39Z","Lamium maculatum","Diagnostic",18.3053527476184
"Geo urbani-Alliarion officinalis","V39Z","Anthriscus sylvestris","Diagnostic",18.1110790397288
"Geo urbani-Alliarion officinalis","V39Z","Urtica dioica","Dominant",62.1495327102804
"Geo urbani-Alliarion officinalis","V39Z","Galium aparine","Dominant",16.3551401869159
"Geo urbani-Alliarion officinalis","V39Z","Anthriscus sylvestris","Dominant",12.6168224299065
"Geo urbani-Alliarion officinalis","V39Z","Geranium robertianum","Dominant",6.54205607476635
"Geo urbani-Alliarion officinalis","V39Z","Pentaglottis sempervirens","Dominant",6.54205607476635
"Geranio pusilli-Anthriscion caucalidis","V37Y","Geranium lucidum","Constant",100
"Geranio pusilli-Anthriscion caucalidis","V37Y","Galium aparine","Constant",77.7777777777778
"Geranio pusilli-Anthriscion caucalidis","V37Y","Anisantha sterilis","Constant",58.3333333333333
"Geranio pusilli-Anthriscion caucalidis","V37Y","Anthriscus caucalis","Constant",58.3333333333333
"Geranio pusilli-Anthriscion caucalidis","V37Y","Geranium lucidum","Diagnostic",87.1132444835458
"Geranio pusilli-Anthriscion caucalidis","V37Y","Anthriscus caucalis","Diagnostic",53.6455677293556
"Geranio pusilli-Anthriscion caucalidis","V37Y","Geranium lucidum","Dominant",66.6666666666667
"Geranio pusilli-Anthriscion caucalidis","V37Y","Anthriscus caucalis","Dominant",22.2222222222222
"Geranio pusilli-Anthriscion caucalidis","V37Y","Geranium molle","Dominant",5.55555555555556
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Vulpia alopecuros","Constant",70.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Crucianella maritima","Constant",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Artemisia campestris aggr.","Constant",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Jasione montana","Constant",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Malcolmia littorea","Constant",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Helichrysum italicum","Constant",58.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Ammophila arenaria aggr.","Constant",58.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Leontodon tingitanus","Constant",54.1666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Vulpia alopecuros","Diagnostic",70.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Crucianella maritima","Diagnostic",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Malcolmia littorea","Diagnostic",62.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Artemisia campestris aggr.","Diagnostic",62.3857925993604
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Ammophila arenaria aggr.","Diagnostic",58.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Helichrysum italicum","Diagnostic",58.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Leontodon tingitanus","Diagnostic",54.1666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Jasione montana","Diagnostic",52.8412780788324
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Corynephorus canescens","Diagnostic",41.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Linaria polygalifolia","Diagnostic",41.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Scrophularia canina aggr.","Diagnostic",39.7246855021654
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Seseli tortuosum","Diagnostic",37.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Cistus salviifolius","Diagnostic",33.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Carex arenaria","Diagnostic",33.3333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Festuca juncifolia","Diagnostic",32.6278659611993
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Pinus pinaster","Diagnostic",29.1666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Lagurus ovatus","Diagnostic",29.1666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Eryngium maritimum","Diagnostic",29.1666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Calystegia soldanella","Diagnostic",25
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Filago pygmaea aggr.","Diagnostic",25
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Euphorbia portlandica","Diagnostic",25
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Anagallis monelli","Diagnostic",25
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Corema album","Diagnostic",25
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Tuberaria guttata","Diagnostic",22.7409148537513
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Herniaria ciliolata","Diagnostic",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Daphne gnidium","Diagnostic",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Silene portensis","Diagnostic",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Pancratium maritimum","Diagnostic",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Achillea maritima","Diagnostic",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Leontodon saxatilis aggr.","Diagnostic",20.8315713489345
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Cerastium diffusum","Diagnostic",18.2272275999007
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Sedum arenarium","Diagnostic",17.3771862139918
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Armeria pungens","Diagnostic",16.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Medicago marina","Diagnostic",16.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Iberis procumbens","Diagnostic",16.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Trifolium scabrum","Diagnostic",15.8986175115207
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Sedum acre","Diagnostic",15.0193798449612
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Scirpoides holoschoenus","Diagnostic",12.5
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Vulpia alopecuros","Dominant",20.8333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Artemisia campestris aggr.","Dominant",16.6666666666667
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Carex arenaria","Dominant",8.33333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Cistus salviifolius","Dominant",8.33333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Corema album","Dominant",8.33333333333333
"Linario polygalifoliae-Vulpion alopecuri","V32Z","Crucianella maritima","Dominant",8.33333333333333
"Oxalidion europeae","V10Y","Stellaria media","Constant",97.2375690607735
"Oxalidion europeae","V10Y","Senecio vulgaris","Constant",71.8232044198895
"Oxalidion europeae","V10Y","Veronica persica","Constant",69.060773480663
"Oxalidion europeae","V10Y","Ochlopoa annua","Constant",65.7458563535912
"Oxalidion europeae","V10Y","Sonchus oleraceus","Constant",62.4309392265193
"Oxalidion europeae","V10Y","Stellaria media","Diagnostic",65.7661171626181
"Oxalidion europeae","V10Y","Veronica persica","Diagnostic",57.3844232092605
"Oxalidion europeae","V10Y","Senecio vulgaris","Diagnostic",36.349159045632
"Oxalidion europeae","V10Y","Cardamine hirsuta","Diagnostic",28.3383978862209
"Oxalidion europeae","V10Y","Veronica hederifolia","Diagnostic",23.8452748218203
"Oxalidion europeae","V10Y","Euphorbia helioscopia","Diagnostic",20.4094744715661
"Oxalidion europeae","V10Y","Lamium amplexicaule","Diagnostic",18.2614755230405
"Oxalidion europeae","V10Y","Fumaria capreolata","Diagnostic",16.3219452500296
"Oxalidion europeae","V10Y","Stellaria media","Dominant",62.4309392265193
"Oxalidion europeae","V10Y","Ochlopoa annua","Dominant",13.2596685082873
"Oxalidion europeae","V10Y","Veronica persica","Dominant",10.4972375690608
"Paspalo-Agrostion semiverticillati","Q61Y","Paspalum distichum","Constant",100
"Paspalo-Agrostion semiverticillati","Q61Y","Persicaria lapathifolia","Constant",75
"Paspalo-Agrostion semiverticillati","Q61Y","Cyperus longus","Constant",68.75
"Paspalo-Agrostion semiverticillati","Q61Y","Lythrum salicaria","Constant",62.5
"Paspalo-Agrostion semiverticillati","Q61Y","Lycopus europaeus","Constant",50
"Paspalo-Agrostion semiverticillati","Q61Y","Schoenoplectus lacustris","Constant",50
"Paspalo-Agrostion semiverticillati","Q61Y","Paspalum distichum","Diagnostic",96.8630781393299
"Paspalo-Agrostion semiverticillati","Q61Y","Cyperus longus","Diagnostic",60.2535031155656
"Paspalo-Agrostion semiverticillati","Q61Y","Schoenoplectus lacustris","Diagnostic",50
"Paspalo-Agrostion semiverticillati","Q61Y","Xanthium strumarium","Diagnostic",36.1572775556484
"Paspalo-Agrostion semiverticillati","Q61Y","Persicaria lapathifolia","Diagnostic",32.3525256546213
"Paspalo-Agrostion semiverticillati","Q61Y","Eleocharis palustris","Diagnostic",31.25
"Paspalo-Agrostion semiverticillati","Q61Y","Juncus articulatus","Diagnostic",25
"Paspalo-Agrostion semiverticillati","Q61Y","Rorippa sylvestris","Diagnostic",25
"Paspalo-Agrostion semiverticillati","Q61Y","Bidens tripartitus","Diagnostic",21.0290904044555
"Paspalo-Agrostion semiverticillati","Q61Y","Persicaria decipiens","Diagnostic",18.75
"Paspalo-Agrostion semiverticillati","Q61Y","Paspalum distichum","Dominant",100
"Paspalo-Agrostion semiverticillati","Q61Y","Xanthium strumarium","Dominant",6.25
"Paspalo-Agrostion semiverticillati","Q61Y","Eleocharis palustris","Dominant",6.25
"Polycarpion tetraphylli","V34Z","Ochlopoa annua","Constant",69.5652173913043
"Polycarpion tetraphylli","V34Z","Plantago coronopus","Constant",57.9710144927536
"Polycarpion tetraphylli","V34Z","Sagina apetala","Constant",56.5217391304348
"Polycarpion tetraphylli","V34Z","Sagina apetala","Diagnostic",49.5041434161814
