Alliance,Species,Type,Value
Bidention tripartitae,Lycopus europaeus,Constant,57.44680851
Bidention tripartitae,Phalaroides arundinacea,Constant,55.31914894
Bidention tripartitae,Cyperus eragrostis,Constant,53.19148936
Bidention tripartitae,Echinochloa crus-galli,Constant,53.19148936
Bidention tripartitae,Persicaria lapathifolia,Constant,51.06382979
Bidention tripartitae,Persicaria hydropiper,Diagnostic,80.12695006
Bidention tripartitae,Bidens frondosus,Diagnostic,70.16011421
Bidention tripartitae,Lythrum salicaria,Diagnostic,59.32771779
Bidention tripartitae,Helosciadium nodiflorum,Diagnostic,55.99265389
Bidention tripartitae,Phalaroides arundinacea,Diagnostic,53.2477621
Bidention tripartitae,Cyperus eragrostis,Diagnostic,50.03260267
Bidention tripartitae,Dysphania ambrosioides,Diagnostic,38.00039596
Bidention tripartitae,Bidens frondosus,Dominant,59.57446809
Bidention tripartitae,Persicaria hydropiper,Dominant,53.19148936
Bidention tripartitae,Persicaria lapathifolia,Dominant,27.65957447
Bidention tripartitae,Xanthium orientale,Dominant,19.14893617
Bidention tripartitae,Lythrum salicaria,Dominant,8.510638298
Bidention tripartitae,Artemisia verlotiorum,Dominant,8.510638298
Carduo carpetani-Cirsion odontolepidis,Onopordum acanthium,Constant,88.37209302
Carduo carpetani-Cirsion odontolepidis,Echium vulgare,Constant,67.44186047
Carduo carpetani-Cirsion odontolepidis,Carduus carpetanus,Constant,60.46511628
Carduo carpetani-Cirsion odontolepidis,Dipsacus fullonum,Constant,55.81395349
Carduo carpetani-Cirsion odontolepidis,Lactuca virosa,Constant,51.1627907
Carduo carpetani-Cirsion odontolepidis,Rumex crispus,Constant,51.1627907
Carduo carpetani-Cirsion odontolepidis,Onopordum acanthium,Diagnostic,86.21676396
Carduo carpetani-Cirsion odontolepidis,Onopordum acanthium,Dominant,48.8372093
Carduo carpetani-Cirsion odontolepidis,Echium vulgare,Dominant,11.62790698
Carduo carpetani-Cirsion odontolepidis,Carduus carpetanus,Dominant,6.976744186
Caucalidion lappulae,Cyanus segetum,Constant,100
Caucalidion lappulae,Papaver rhoeas,Constant,90
Caucalidion lappulae,Anthemis arvensis,Constant,80
Caucalidion lappulae,Convolvulus arvensis,Constant,60
Caucalidion lappulae,Vicia sativa aggr.,Constant,60
Caucalidion lappulae,Trifolium arvense,Constant,50
Caucalidion lappulae,Anacyclus clavatus,Constant,50
Caucalidion lappulae,Bromus hordeaceus aggr.,Constant,50
Caucalidion lappulae,Chenopodium album,Constant,50
Caucalidion lappulae,Trifolium campestre,Constant,50
Caucalidion lappulae,Cyanus segetum,Diagnostic,96.69095058
Caucalidion lappulae,Papaver rhoeas,Diagnostic,70.22851057
Caucalidion lappulae,Trifolium arvense,Diagnostic,38.74340533
Caucalidion lappulae,Anacyclus clavatus,Diagnostic,37.17854922
Caucalidion lappulae,Valerianella eriocarpa,Diagnostic,20
Caucalidion lappulae,Cyanus segetum,Dominant,30
Caucalidion lappulae,Anthoxanthum ovatum,Dominant,10
Caucalidion lappulae,Anacyclus clavatus,Dominant,10
Caucalidion lappulae,Papaver rhoeas,Dominant,10
Chenopodion muralis,Malva neglecta,Constant,85.71428571
Chenopodion muralis,Polygonum aviculare,Constant,64.28571429
Chenopodion muralis,Urtica urens,Constant,64.28571429
Chenopodion muralis,Plantago lanceolata,Constant,57.14285714
Chenopodion muralis,Ochlopoa annua,Constant,50
Chenopodion muralis,Malva neglecta,Diagnostic,74.80468574
Chenopodion muralis,Urtica urens,Diagnostic,62.64460414
Chenopodion muralis,Urtica urens,Dominant,28.57142857
Chenopodion muralis,Amaranthus deflexus,Dominant,14.28571429
Chenopodion muralis,Atriplex rosea,Dominant,14.28571429
Chenopodion muralis,Artemisia absinthium,Dominant,7.142857143
Chenopodion muralis,Polygonum aviculare,Dominant,7.142857143
Chenopodion muralis,Malva neglecta,Dominant,7.142857143
Cirsion richterano-chodati,Carduus carpetanus,Constant,64
Cirsion richterano-chodati,Cirsium eriophorum,Constant,63
Cirsion richterano-chodati,Jacobaea vulgaris,Constant,56
Cirsion richterano-chodati,Cirsium vulgare,Constant,55
Cirsion richterano-chodati,Cirsium arvense,Constant,52
Cirsion richterano-chodati,Cirsium eriophorum,Diagnostic,59.98641757
Cirsion richterano-chodati,Carduus carpetanus,Diagnostic,40.50360337
Cirsion richterano-chodati,Carduus nutans aggr.,Diagnostic,35.80729256
Cirsion richterano-chodati,Cirsium eriophorum,Dominant,22
Cirsion richterano-chodati,Cirsium richterianum,Dominant,19
Cirsion richterano-chodati,Carduus carpetanus,Dominant,15
Cirsion richterano-chodati,Carduus nutans aggr.,Dominant,9
Cirsion richterano-chodati,Cirsium arvense,Dominant,9
Cirsion richterano-chodati,Jacobaea vulgaris,Dominant,5
Convolvulo arvensis-Agropyrion repentis,Avenella flexuosa,Constant,100
Convolvulo arvensis-Agropyrion repentis,Poa compressa,Constant,100
Convolvulo arvensis-Agropyrion repentis,Potentilla reptans,Constant,100
Convolvulo arvensis-Agropyrion repentis,Rumex crispus,Constant,100
Convolvulo arvensis-Agropyrion repentis,Elytrigia repens,Constant,100
Convolvulo arvensis-Agropyrion repentis,Valerianella locusta,Constant,80
Convolvulo arvensis-Agropyrion repentis,Cirsium arvense,Constant,60
Convolvulo arvensis-Agropyrion repentis,Rumex conglomeratus,Constant,60
Convolvulo arvensis-Agropyrion repentis,Sisymbrella aspera,Constant,60
Convolvulo arvensis-Agropyrion repentis,Herniaria glabra,Constant,60
Convolvulo arvensis-Agropyrion repentis,Carex hirta,Constant,60
Convolvulo arvensis-Agropyrion repentis,Chamaemelum nobile,Constant,60
Convolvulo arvensis-Agropyrion repentis,Convolvulus arvensis,Constant,60
Convolvulo arvensis-Agropyrion repentis,Poa compressa,Diagnostic,99.8540146
Convolvulo arvensis-Agropyrion repentis,Elytrigia repens,Diagnostic,98.0941484
Convolvulo arvensis-Agropyrion repentis,Potentilla reptans,Diagnostic,88.3603195
Convolvulo arvensis-Agropyrion repentis,Valerianella locusta,Diagnostic,64.6880511
Convolvulo arvensis-Agropyrion repentis,Sisymbrella aspera,Diagnostic,59.8552822
Convolvulo arvensis-Agropyrion repentis,Avenella flexuosa,Diagnostic,55.82589353
Convolvulo arvensis-Agropyrion repentis,Herniaria glabra,Diagnostic,51.77458676
Convolvulo arvensis-Agropyrion repentis,Carex hirta,Diagnostic,46.47452859
Convolvulo arvensis-Agropyrion repentis,Rumex crispus,Diagnostic,42.51740351
Convolvulo arvensis-Agropyrion repentis,Carum verticillatum,Diagnostic,39.95321637
Convolvulo arvensis-Agropyrion repentis,Sanguisorba officinalis,Diagnostic,39.31740614
Convolvulo arvensis-Agropyrion repentis,Elytrigia repens,Dominant,100
Convolvulo arvensis-Agropyrion repentis,Potentilla reptans,Dominant,40
Cymbalario-Asplenion,Cymbalaria muralis,Constant,100
Cymbalario-Asplenion,Asplenium trichomanes,Constant,67.79661017
Cymbalario-Asplenion,Parietaria judaica aggr.,Constant,52.54237288
Cymbalario-Asplenion,Cymbalaria muralis,Diagnostic,79.10388552
Cymbalario-Asplenion,Cymbalaria muralis,Dominant,57.62711864
Cynancho-Convolvulion sepium,Eupatorium cannabinum,Constant,100
Cynancho-Convolvulion sepium,Picris hieracioides,Constant,73.52941176
Cynancho-Convolvulion sepium,Angelica sylvestris,Constant,67.64705882
Cynancho-Convolvulion sepium,Mentha suaveolens,Constant,58.82352941
Cynancho-Convolvulion sepium,Rubus ulmifolius aggr.,Constant,50
Cynancho-Convolvulion sepium,Eupatorium cannabinum,Diagnostic,96.31208494
Cynancho-Convolvulion sepium,Angelica sylvestris,Diagnostic,64.24655058
Cynancho-Convolvulion sepium,Picris hieracioides,Diagnostic,44.4771024
Cynancho-Convolvulion sepium,Eupatorium cannabinum,Dominant,61.76470588
Cynancho-Convolvulion sepium,Mentha suaveolens,Dominant,17.64705882
Cynancho-Convolvulion sepium,Angelica sylvestris,Dominant,14.70588235
Cynancho-Convolvulion sepium,Mentha longifolia,Dominant,5.882352941
Cynancho-Convolvulion sepium,Ranunculus repens,Dominant,5.882352941
Dauco-Melilotion,Daucus carota,Constant,89.85507246
Dauco-Melilotion,Helminthotheca echioides,Constant,65.2173913
Dauco-Melilotion,Plantago lanceolata,Constant,55.07246377
Dauco-Melilotion,Foeniculum vulgare,Constant,53.62318841
Dauco-Melilotion,Holcus lanatus,Constant,52.17391304
Dauco-Melilotion,Dactylis glomerata,Constant,50.72463768
Dauco-Melilotion,Helminthotheca echioides,Diagnostic,55.37944019
Dauco-Melilotion,Daucus carota,Diagnostic,50.5154954
Dauco-Melilotion,Melilotus albus,Diagnostic,44.07194
Dauco-Melilotion,Foeniculum vulgare,Diagnostic,40.92061504
Dauco-Melilotion,Foeniculum vulgare,Dominant,24.63768116
Dauco-Melilotion,Melilotus albus,Dominant,20.28985507
Dauco-Melilotion,Helminthotheca echioides,Dominant,15.94202899
Dauco-Melilotion,Dipsacus fullonum,Dominant,10.14492754
Dauco-Melilotion,Erigeron canadensis,Dominant,5.797101449
Dauco-Melilotion,Daucus carota,Dominant,5.797101449
Echio-Galactition tomentosae,Galactites tomentosus,Constant,100
Echio-Galactition tomentosae,Dactylis glomerata,Constant,65.85365854
Echio-Galactition tomentosae,Sonchus oleraceus,Constant,65.85365854
Echio-Galactition tomentosae,Daucus carota,Constant,65.85365854
Echio-Galactition tomentosae,Vicia sativa aggr.,Constant,63.41463415
Echio-Galactition tomentosae,Plantago lanceolata,Constant,63.41463415
Echio-Galactition tomentosae,Coleostephus myconis,Constant,58.53658537
Echio-Galactition tomentosae,Holcus lanatus,Constant,51.2195122
Echio-Galactition tomentosae,Lolium multiflorum,Constant,51.2195122
Echio-Galactition tomentosae,Galactites tomentosus,Diagnostic,96.22819066
Echio-Galactition tomentosae,Coleostephus myconis,Diagnostic,42.53217814
Echio-Galactition tomentosae,Anisantha rigida,Diagnostic,37.76593116
Echio-Galactition tomentosae,Galactites tomentosus,Dominant,68.29268293
Echio-Galactition tomentosae,Anisantha rigida,Dominant,21.95121951
Echio-Galactition tomentosae,Coleostephus myconis,Dominant,12.19512195
Echio-Galactition tomentosae,Echium vulgare,Dominant,9.756097561
Epilobion angustifolii,Epilobium angustifolium,Constant,100
Epilobion angustifolii,Digitalis purpurea,Constant,83.33333333
Epilobion angustifolii,Avenella flexuosa,Constant,50
Epilobion angustifolii,Epilobium angustifolium,Diagnostic,99.71708753
Epilobion angustifolii,Digitalis purpurea,Diagnostic,68.54322241
Epilobion angustifolii,Luzula lactea,Diagnostic,39.93984919
Epilobion angustifolii,Helictochloa marginata,Diagnostic,25
Epilobion angustifolii,Vaccinium myrtillus,Diagnostic,25
Epilobion angustifolii,Peucedanum gallicum,Diagnostic,25
Epilobion angustifolii,Eryngium duriaei,Diagnostic,24.80086293
Epilobion angustifolii,Epilobium angustifolium,Dominant,66.66666667
Epilobion angustifolii,Avenella flexuosa,Dominant,8.333333333
Galio valantiae-Parietarion judaicae,Parietaria judaica aggr.,Constant,95
Galio valantiae-Parietarion judaicae,Cymbalaria muralis,Constant,80
Galio valantiae-Parietarion judaicae,Asplenium trichomanes,Constant,60
Galio valantiae-Parietarion judaicae,Centranthus ruber,Constant,51.25
Galio valantiae-Parietarion judaicae,Asplenium ceterach,Constant,51.25
Galio valantiae-Parietarion judaicae,Parietaria judaica aggr.,Diagnostic,72.22401289
Galio valantiae-Parietarion judaicae,Centranthus ruber,Diagnostic,44.80099297
Galio valantiae-Parietarion judaicae,Asplenium trichomanes,Diagnostic,38.89200855
Galio valantiae-Parietarion judaicae,Parietaria judaica aggr.,Dominant,37.5
Galio valantiae-Parietarion judaicae,Centranthus ruber,Dominant,12.5
Galio valantiae-Parietarion judaicae,Asplenium trichomanes,Dominant,8.75
Galio valantiae-Parietarion judaicae,Hypericum hircinum,Dominant,6.25
Galio valantiae-Parietarion judaicae,Erigeron karvinskianus,Dominant,5
Galio valantiae-Parietarion judaicae,Cymbalaria muralis,Dominant,5
Geo urbani-Alliarion officinalis,Urtica dioica,Constant,94.68085106
Geo urbani-Alliarion officinalis,Galium aparine,Constant,66.4893617
Geo urbani-Alliarion officinalis,Urtica dioica,Diagnostic,31.86204951
Geo urbani-Alliarion officinalis,Urtica dioica,Dominant,62.23404255
Geo urbani-Alliarion officinalis,Galium aparine,Dominant,15.42553191
Geo urbani-Alliarion officinalis,Geranium robertianum,Dominant,7.446808511
Geo urbani-Alliarion officinalis,Pentaglottis sempervirens,Dominant,7.446808511
Geranio pusilli-Anthriscion caucalidis,Geranium lucidum,Constant,100
Geranio pusilli-Anthriscion caucalidis,Galium aparine,Constant,82.35294118
Geranio pusilli-Anthriscion caucalidis,Anthriscus caucalis,Constant,58.82352941
Geranio pusilli-Anthriscion caucalidis,Anisantha sterilis,Constant,55.88235294
Geranio pusilli-Anthriscion caucalidis,Geranium lucidum,Diagnostic,87.9835962
Geranio pusilli-Anthriscion caucalidis,Anthriscus caucalis,Diagnostic,52.50239011
Geranio pusilli-Anthriscion caucalidis,Geranium lucidum,Dominant,70.58823529
Geranio pusilli-Anthriscion caucalidis,Anthriscus caucalis,Dominant,23.52941176
Linario polygalifoliae-Vulpion alopecuri,Vulpia alopecuros,Constant,70.83333333
Linario polygalifoliae-Vulpion alopecuri,Artemisia campestris aggr.,Constant,62.5
Linario polygalifoliae-Vulpion alopecuri,Crucianella maritima,Constant,62.5
Linario polygalifoliae-Vulpion alopecuri,Jasione montana,Constant,62.5
Linario polygalifoliae-Vulpion alopecuri,Malcolmia littorea,Constant,62.5
Linario polygalifoliae-Vulpion alopecuri,Ammophila arenaria aggr.,Constant,58.33333333
Linario polygalifoliae-Vulpion alopecuri,Helichrysum italicum,Constant,58.33333333
Linario polygalifoliae-Vulpion alopecuri,Leontodon tingitanus,Constant,54.16666667
Linario polygalifoliae-Vulpion alopecuri,Vulpia alopecuros,Diagnostic,70.83333333
Linario polygalifoliae-Vulpion alopecuri,Malcolmia littorea,Diagnostic,62.5
Linario polygalifoliae-Vulpion alopecuri,Crucianella maritima,Diagnostic,62.5
Linario polygalifoliae-Vulpion alopecuri,Artemisia campestris aggr.,Diagnostic,62.37784022
Linario polygalifoliae-Vulpion alopecuri,Ammophila arenaria aggr.,Diagnostic,58.33333333
Linario polygalifoliae-Vulpion alopecuri,Helichrysum italicum,Diagnostic,58.33333333
Linario polygalifoliae-Vulpion alopecuri,Leontodon tingitanus,Diagnostic,54.16666667
Linario polygalifoliae-Vulpion alopecuri,Jasione montana,Diagnostic,52.52241414
Linario polygalifoliae-Vulpion alopecuri,Linaria polygalifolia,Diagnostic,41.66666667
Linario polygalifoliae-Vulpion alopecuri,Corynephorus canescens,Diagnostic,41.66666667
Linario polygalifoliae-Vulpion alopecuri,Scrophularia canina aggr.,Diagnostic,39.67001818
Linario polygalifoliae-Vulpion alopecuri,Seseli tortuosum,Diagnostic,37.5
Linario polygalifoliae-Vulpion alopecuri,Cistus salviifolius,Diagnostic,33.33333333
Linario polygalifoliae-Vulpion alopecuri,Achillea maritima,Diagnostic,20.83333333
Linario polygalifoliae-Vulpion alopecuri,Daphne gnidium,Diagnostic,20.83333333
Linario polygalifoliae-Vulpion alopecuri,Pancratium maritimum,Diagnostic,20.83333333
Linario polygalifoliae-Vulpion alopecuri,Silene portensis,Diagnostic,20.83333333
Linario polygalifoliae-Vulpion alopecuri,Vulpia alopecuros,Dominant,20.83333333
Linario polygalifoliae-Vulpion alopecuri,Artemisia campestris aggr.,Dominant,16.66666667
Linario polygalifoliae-Vulpion alopecuri,Carex arenaria,Dominant,8.333333333
Linario polygalifoliae-Vulpion alopecuri,Cistus salviifolius,Dominant,8.333333333
Linario polygalifoliae-Vulpion alopecuri,Corema album,Dominant,8.333333333
Linario polygalifoliae-Vulpion alopecuri,Crucianella maritima,Dominant,8.333333333
Oxalidion europeae,Stellaria media,Constant,96.60194175
Oxalidion europeae,Senecio vulgaris,Constant,72.33009709
Oxalidion europeae,Veronica persica,Constant,69.90291262
Oxalidion europeae,Ochlopoa annua,Constant,62.62135922
Oxalidion europeae,Sonchus oleraceus,Constant,62.13592233
Oxalidion europeae,Stellaria media,Diagnostic,62.79957891
Oxalidion europeae,Veronica persica,Diagnostic,58.57387517
Oxalidion europeae,Stellaria media,Dominant,54.85436893
Oxalidion europeae,Ochlopoa annua,Dominant,11.65048544
Oxalidion europeae,Veronica persica,Dominant,9.223300971
Paspalo-Agrostion semiverticillati,Paspalum distichum,Constant,100
Paspalo-Agrostion semiverticillati,Persicaria lapathifolia,Constant,75
Paspalo-Agrostion semiverticillati,Cyperus longus,Constant,68.75
Paspalo-Agrostion semiverticillati,Lythrum salicaria,Constant,62.5
Paspalo-Agrostion semiverticillati,Schoenoplectus lacustris,Constant,50
Paspalo-Agrostion semiverticillati,Lycopus europaeus,Constant,50
Paspalo-Agrostion semiverticillati,Paspalum distichum,Diagnostic,96.52209473
Paspalo-Agrostion semiverticillati,Cyperus longus,Diagnostic,58.05594692
Paspalo-Agrostion semiverticillati,Schoenoplectus lacustris,Diagnostic,49.95320543
Paspalo-Agrostion semiverticillati,Eleocharis palustris,Diagnostic,31.07222222
Paspalo-Agrostion semiverticillati,Juncus articulatus,Diagnostic,24.76798144
Paspalo-Agrostion semiverticillati,Paspalum distichum,Dominant,100
Paspalo-Agrostion semiverticillati,Eleocharis palustris,Dominant,6.25
Paspalo-Agrostion semiverticillati,Xanthium strumarium,Dominant,6.25
Polycarpion tetraphylli,Ochlopoa annua,Constant,70.42253521
Polycarpion tetraphylli,Plantago coronopus,Constant,56.33802817
Polycarpion tetraphylli,Sagina apetala,Constant,54.92957746
Polycarpion tetraphylli,Sagina apetala,Diagnostic,47.24556433
Polycarpion tetraphylli,Plantago coronopus,Diagnostic,35.47583162
Polycarpion tetraphylli,Crassula tillaea,Diagnostic,33.72656075
Polycarpion tetraphylli,Spergularia marina,Diagnostic,32.3943662
Polycarpion tetraphylli,Spergularia marina,Dominant,21.12676056
Polycarpion tetraphylli,Ochlopoa annua,Dominant,14.08450704
Polycarpion tetraphylli,Crassula tillaea,Dominant,5.633802817
Polycarpion tetraphylli,Plantago coronopus,Dominant,5.633802817
Polygono-Coronopodion,Ochlopoa annua,Constant,97.04142012
Polygono-Coronopodion,Polygonum aviculare,Constant,94.67455621
Polygono-Coronopodion,Matricaria suaveolens,Constant,59.76331361
Polygono-Coronopodion,Plantago major,Constant,54.43786982
Polygono-Coronopodion,Matricaria suaveolens,Diagnostic,55.16099895
Polygono-Coronopodion,Polygonum aviculare,Diagnostic,53.54944479
Polygono-Coronopodion,Polygonum aviculare,Dominant,27.21893491
Polygono-Coronopodion,Ochlopoa annua,Dominant,18.34319527
Polygono-Coronopodion,Matricaria suaveolens,Dominant,10.65088757
Saginion procumbentis,Ochlopoa annua,Constant,94.87179487
Saginion procumbentis,Sagina procumbens,Constant,82.05128205
Saginion procumbentis,Bryum argenteum,Constant,76.92307692
Saginion procumbentis,Polygonum aviculare,Constant,58.97435897
Saginion procumbentis,Sagina procumbens,Diagnostic,79.9026059
Saginion procumbentis,Bryum argenteum,Diagnostic,76.52237703
Saginion procumbentis,Ochlopoa annua,Dominant,23.07692308
Saginion procumbentis,Bryum argenteum,Dominant,17.94871795
Saginion procumbentis,Sagina procumbens,Dominant,17.94871795
Scleranthion annui,Anthemis arvensis,Constant,68.85964912
Scleranthion annui,Raphanus raphanistrum aggr.,Constant,57.01754386
Scleranthion annui,Spergula arvensis,Constant,52.19298246
Scleranthion annui,Rumex acetosella,Constant,51.75438596
Scleranthion annui,Mibora minima,Diagnostic,40.29408506
Scleranthion annui,Rumex acetosella,Diagnostic,32.80293666
Scleranthion annui,Mibora minima,Dominant,9.210526316
Scleranthion annui,Anthemis arvensis,Dominant,7.894736842
Scleranthion annui,Anthoxanthum ovatum,Dominant,5.701754386
Scleranthion annui,Spergula arvensis,Dominant,5.701754386
Senecionion fluviatilis,Arundo donax,Constant,100
Senecionion fluviatilis,Silene latifolia,Constant,96.66666667
Senecionion fluviatilis,Pteridium aquilinum,Constant,80
Senecionion fluviatilis,Calystegia sepium,Constant,73.33333333
Senecionion fluviatilis,Mentha suaveolens,Constant,60
Senecionion fluviatilis,Pentaglottis sempervirens,Constant,53.33333333
Senecionion fluviatilis,Arundo donax,Diagnostic,99.99684245
Senecionion fluviatilis,Silene latifolia,Diagnostic,51.34474055
Senecionion fluviatilis,Arundo donax,Dominant,100
Sisymbrion officinalis,Hordeum murinum,Constant,100
Sisymbrion officinalis,Sisymbrium officinale,Constant,72.4137931
Sisymbrion officinalis,Lolium perenne,Constant,54.48275862
Sisymbrion officinalis,Anisantha sterilis,Constant,53.79310345
Sisymbrion officinalis,Hordeum murinum,Diagnostic,82.13867036
Sisymbrion officinalis,Sisymbrium officinale,Diagnostic,50.90752084
Sisymbrion officinalis,Hordeum murinum,Dominant,64.13793103
Sisymbrion officinalis,Sisymbrium officinale,Dominant,13.79310345
Spergulo arvensis-Erodion cicutariae,Chenopodium album,Constant,81.94444444
Spergulo arvensis-Erodion cicutariae,Echinochloa crus-galli,Constant,70.13888889
Spergulo arvensis-Erodion cicutariae,Persicaria maculosa,Constant,70.13888889
Spergulo arvensis-Erodion cicutariae,Digitaria sanguinalis,Constant,63.19444444
Spergulo arvensis-Erodion cicutariae,Stellaria media,Constant,56.25
Spergulo arvensis-Erodion cicutariae,Digitaria sanguinalis,Diagnostic,51.41471061
Spergulo arvensis-Erodion cicutariae,Echinochloa crus-galli,Diagnostic,50.30070016
Spergulo arvensis-Erodion cicutariae,Chenopodium album,Diagnostic,45.5224947
Spergulo arvensis-Erodion cicutariae,Amaranthus hybridus aggr.,Diagnostic,40.2266795
Spergulo arvensis-Erodion cicutariae,Amaranthus hybridus aggr.,Dominant,13.88888889
Spergulo arvensis-Erodion cicutariae,Echinochloa crus-galli,Dominant,12.5
Spergulo arvensis-Erodion cicutariae,Chenopodium album,Dominant,12.5
Spergulo arvensis-Erodion cicutariae,Digitaria sanguinalis,Dominant,10.41666667
