releve_number,id,Original.name,Analysis.name,layer,cover_percent
2501,Xixon01,Trifolium repens,Trifolium repens,Main,0.1
2501,Xixon01,Trifolium squamosum,Trifolium squamosum,Main,0.1
2501,Xixon01,Urtica dioica,Urtica dioica,Main,0.1
2501,Xixon01,Veronica persica,Veronica persica,Main,0.1
2502,Xixon02,Dactylis glomerata,Dactylis glomerata,Main,60
2502,Xixon02,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,60
2502,Xixon02,Convolvulus arvensis,Convolvulus arvensis,Main,20
2502,Xixon02,Holcus lanatus,Holcus lanatus,Main,20
2502,Xixon02,Lathyrus pratensis,Lathyrus pratensis,Main,10
2502,Xixon02,Rubus sp.,Rubus,Main,5
2502,Xixon02,Potentilla reptans,Potentilla reptans,Main,2
2502,Xixon02,Rosa sp.,Rosa,Main,2
2502,Xixon02,Geranium dissectum,Geranium dissectum,Main,1
2502,Xixon02,Plantago lanceolata,Plantago lanceolata,Main,1
2502,Xixon02,Vicia sativa,Vicia sativa aggr.,Main,1
2502,Xixon02,Epilobium hirsutum,Epilobium hirsutum,Main,0.1
2502,Xixon02,Geranium molle,Geranium molle,Main,0.1
2502,Xixon02,Lotus corniculatus,Lotus corniculatus,Main,0.1
2503,Xixon03,Quercus robur,Quercus robur,Canopy,80
2503,Xixon03,Laurus nobilis,Laurus nobilis,Canopy,70
2503,Xixon03,Hedera helix s.l.,Hedera helix aggr.,Main,60
2503,Xixon03,Laurus nobilis,Laurus nobilis,Seedlings,5
2503,Xixon03,Lonicera periclymenum,Lonicera periclymenum,Main,5
2503,Xixon03,Rubia peregrina,Rubia peregrina,Main,5
2503,Xixon03,Ilex aquifolium,Ilex aquifolium,Seedlings,2
2503,Xixon03,Pteridium aquilinum,Pteridium aquilinum,Main,2
2503,Xixon03,Physospermum cornubiense,Physospermum cornubiense,Main,1
2503,Xixon03,Rosa sp.,Rosa,Main,1
2503,Xixon03,Rubus sp.,Rubus,Main,1
2503,Xixon03,Ajuga reptans,Ajuga reptans,Main,0.1
2503,Xixon03,Polypodium vulgare,Polypodium vulgare,Main,0.1
2503,Xixon03,Pulmonaria longifolia,Pulmonaria longifolia,Main,0.1
2503,Xixon03,Ruscus aculeatus,Ruscus aculeatus,Main,0.1
2503,Xixon03,Acer pseudoplatanus,Acer pseudoplatanus,Seedlings,0.01
2503,Xixon03,Fraxinus excelsior,Fraxinus excelsior,Seedlings,0.01
2504,Xixon04,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,80
2504,Xixon04,Lotus corniculatus,Lotus corniculatus,Main,40
2504,Xixon04,Holcus lanatus,Holcus lanatus,Main,20
2504,Xixon04,Trifolium pratense,Trifolium pratense,Main,10
2504,Xixon04,Dactylis glomerata,Dactylis glomerata,Main,5
2504,Xixon04,Medicago lupulina,Medicago lupulina,Main,5
2504,Xixon04,Plantago lanceolata,Plantago lanceolata,Main,5
2504,Xixon04,Centaurea nigra,Centaurea nigra,Main,2
2504,Xixon04,Linum bienne,Linum bienne,Main,1
2504,Xixon04,Lolium perenne,Lolium perenne,Main,1
2504,Xixon04,Vicia sativa,Vicia sativa aggr.,Main,1
2504,Xixon04,Carex divulsa,Carex divulsa,Main,0.1
2504,Xixon04,Carex flacca,Carex flacca,Main,0.1
2504,Xixon04,Daucus carota,Daucus carota,Main,0.1
2504,Xixon04,Lathyrus pratensis,Lathyrus pratensis,Main,0.1
2504,Xixon04,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,0.1
2504,Xixon04,Poa pratensis,Poa pratensis,Main,0.1
2504,Xixon04,Trifolium repens,Trifolium repens,Main,0.1
2504,Xixon04,Verbena officinalis,Verbena officinalis,Main,0.1
2505,Xixon05,Conium maculatum,Conium maculatum,Main,40
2505,Xixon05,Galactites tomentosus,Galactites tomentosus,Main,20
2505,Xixon05,Calystegia sepium,Calystegia sepium,Main,10
2505,Xixon05,Centaurea nigra,Centaurea nigra,Main,10
2505,Xixon05,Elytrigia repens,Elytrigia repens,Main,10
2505,Xixon05,Rumex crispus,Rumex crispus,Main,10
2505,Xixon05,Dittrichia viscosa,Dittrichia viscosa,Main,5
2505,Xixon05,Helminthotheca echioides,Helminthotheca echioides,Main,5
2505,Xixon05,Rubus sp.,Rubus,Main,5
2505,Xixon05,Urtica dioica,Urtica dioica,Main,5
2505,Xixon05,Carex cuprina,Carex cuprina,Main,2
2505,Xixon05,Cirsium vulgare,Cirsium vulgare,Main,2
2505,Xixon05,Lamium maculatum,Lamium maculatum,Main,2
2505,Xixon05,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,2
2505,Xixon05,Brachypodium pinnatum,Brachypodium pinnatum aggr.,Main,1
2505,Xixon05,Carex divulsa,Carex divulsa,Main,1
2505,Xixon05,Dactylis glomerata,Dactylis glomerata,Main,1
2505,Xixon05,Daucus carota,Daucus carota,Main,1
2505,Xixon05,Dipsacus fullonum,Dipsacus fullonum,Main,1
2505,Xixon05,Holcus lanatus,Holcus lanatus,Main,1
2505,Xixon05,Juncus inflexus,Juncus inflexus,Main,1
2505,Xixon05,Oenanthe crocata,Oenanthe crocata,Main,1
2505,Xixon05,Poa pratensis,Poa pratensis,Main,1
2505,Xixon05,Potentilla reptans,Potentilla reptans,Main,1
2505,Xixon05,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,1
2505,Xixon05,Galium verum,Galium verum,Main,0.1
2505,Xixon05,Plantago lanceolata,Plantago lanceolata,Main,0.1
2505,Xixon05,Prunella vulgaris,Prunella vulgaris,Main,0.1
2505,Xixon05,Sonchus oleraceus,Sonchus oleraceus,Main,0.1
2505,Xixon05,Verbena officinalis,Verbena officinalis,Main,0.1
2506,Xixon06,Bryonia dioica,Bryonia dioica,Main,40
2506,Xixon06,Dactylis glomerata,Dactylis glomerata,Main,40
2506,Xixon06,Raphanus raphanistrum,Raphanus raphanistrum aggr.,Main,10
2506,Xixon06,Conium maculatum,Conium maculatum,Main,5
2506,Xixon06,Rubus sp.,Rubus,Main,5
2506,Xixon06,Convolvulus arvensis,Convolvulus arvensis,Main,2
2506,Xixon06,Hedera helix s.l.,Hedera helix aggr.,Main,2
2506,Xixon06,Ceratochloa cathartica,Ceratochloa cathartica,Main,1
2506,Xixon06,Galium aparine,Galium aparine,Main,1
2506,Xixon06,Geranium purpureum,Geranium purpureum,Main,1
2506,Xixon06,Rubia peregrina,Rubia peregrina,Main,1
2506,Xixon06,Anagallis arvensis,Anagallis arvensis,Main,0.1
2506,Xixon06,Daucus carota,Daucus carota,Main,0.1
2506,Xixon06,Geranium dissectum,Geranium dissectum,Main,0.1
2506,Xixon06,Hordeum murinum,Hordeum murinum,Main,0.1
2506,Xixon06,Hypochaeris radicata,Hypochaeris radicata,Main,0.1
2506,Xixon06,Sonchus tenerrimus,Sonchus tenerrimus,Main,0.1
2507,Xixon07,Briza media,Briza media,Main,20
2507,Xixon07,Lotus corniculatus,Lotus corniculatus,Main,20
2507,Xixon07,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,20
2507,Xixon07,Anthoxanthum odoratum,Anthoxanthum odoratum,Main,10
2507,Xixon07,Daucus carota,Daucus carota,Main,10
2507,Xixon07,Holcus lanatus,Holcus lanatus,Main,10
2507,Xixon07,Brachypodium pinnatum,Brachypodium pinnatum aggr.,Main,5
2507,Xixon07,Cynosurus cristatus,Cynosurus cristatus,Main,5
2507,Xixon07,Allium vineale,Allium vineale,Main,2
2507,Xixon07,Calystegia sepium,Calystegia sepium,Main,2
2507,Xixon07,Carex caryophyllea,Carex caryophyllea,Main,2
2507,Xixon07,Carex flacca,Carex flacca,Main,2
2507,Xixon07,Centaurea nigra,Centaurea nigra,Main,2
2507,Xixon07,Festuca rubra,Festuca rubra aggr.,Main,2
2507,Xixon07,Galium verum,Galium verum,Main,2
2507,Xixon07,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,2
2507,Xixon07,Ophrys apifera,Ophrys apifera,Main,2
2507,Xixon07,Plantago lanceolata,Plantago lanceolata,Main,2
2507,Xixon07,Ranunculus bulbosus,Ranunculus bulbosus,Main,2
2507,Xixon07,Carex divulsa,Carex divulsa,Main,1
2507,Xixon07,Carex panicea,Carex panicea,Main,1
2507,Xixon07,Crepis vesicaria,Crepis vesicaria,Main,1
2507,Xixon07,Gaudinia fragilis,Gaudinia fragilis,Main,1
2507,Xixon07,Lathyrus pratensis,Lathyrus pratensis,Main,1
2507,Xixon07,Luzula campestris,Luzula campestris,Main,1
2507,Xixon07,Medicago lupulina,Medicago lupulina,Main,1
2507,Xixon07,Prunella vulgaris,Prunella vulgaris,Main,1
2507,Xixon07,Rhinanthus angustifolius,Rhinanthus angustifolius,Main,1
2507,Xixon07,Trifolium pratense,Trifolium pratense,Main,1
2507,Xixon07,Trisetum flavescens,Trisetum flavescens,Main,1
2507,Xixon07,Cerastium glomeratum,Cerastium glomeratum,Main,0.1
2507,Xixon07,Dactylis glomerata,Dactylis glomerata,Main,0.1
2507,Xixon07,Linum bienne,Linum bienne,Main,0.1
2507,Xixon07,Oenanthe crocata,Oenanthe crocata,Main,0.1
2507,Xixon07,Pimpinella saxifraga,Pimpinella saxifraga,Main,0.1
2507,Xixon07,Scilla verna,Scilla verna,Main,0.1
2507,Xixon07,Trifolium repens,Trifolium repens,Main,0.1
2508,Xixon08,Centaurea nigra,Centaurea nigra,Main,30
2508,Xixon08,Holcus lanatus,Holcus lanatus,Main,30
2508,Xixon08,Plantago lanceolata,Plantago lanceolata,Main,30
2508,Xixon08,Dittrichia viscosa,Dittrichia viscosa,Main,20
2508,Xixon08,Pulicaria dysenterica,Pulicaria dysenterica,Main,20
2508,Xixon08,Calystegia sepium,Calystegia sepium,Main,10
2508,Xixon08,Carex cuprina,Carex cuprina,Main,10
2508,Xixon08,Dactylis glomerata,Dactylis glomerata,Main,10
2508,Xixon08,Helminthotheca echioides,Helminthotheca echioides,Main,5
2508,Xixon08,Prunella vulgaris,Prunella vulgaris,Main,5
2508,Xixon08,Rumex crispus,Rumex crispus,Main,5
2508,Xixon08,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,5
2508,Xixon08,Daucus carota,Daucus carota,Main,2
2508,Xixon08,Dipsacus fullonum,Dipsacus fullonum,Main,1
2508,Xixon08,Lotus pedunculatus,Lotus pedunculatus,Main,1
2508,Xixon08,Plantago major,Plantago major,Main,1
2508,Xixon08,Poa pratensis,Poa pratensis,Main,1
2508,Xixon08,Ranunculus acris,Ranunculus acris,Main,1
2508,Xixon08,Scrophularia auriculata,Scrophularia auriculata,Main,1
2508,Xixon08,Anagallis arvensis,Anagallis arvensis,Main,0.1
2508,Xixon08,Carex divulsa,Carex divulsa,Main,0.1
2508,Xixon08,Cirsium vulgare,Cirsium vulgare,Main,0.1
2508,Xixon08,Lathyrus pratensis,Lathyrus pratensis,Main,0.1
2508,Xixon08,Rubus sp.,Rubus,Main,0.1
2508,Xixon08,Verbena officinalis,Verbena officinalis,Main,0.1
2509,Xixon09,Lathyrus pratensis,Lathyrus pratensis,Main,50
2509,Xixon09,Helminthotheca echioides,Helminthotheca echioides,Main,40
2509,Xixon09,Avena barbata,Avena barbata,Main,30
2509,Xixon09,Holcus lanatus,Holcus lanatus,Main,10
2509,Xixon09,Ranunculus acris,Ranunculus acris,Main,10
2509,Xixon09,Dactylis glomerata,Dactylis glomerata,Main,5
2509,Xixon09,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,5
2509,Xixon09,Calystegia sepium,Calystegia sepium,Main,2
2509,Xixon09,Geranium dissectum,Geranium dissectum,Main,2
2509,Xixon09,Centaurea nigra,Centaurea nigra,Main,1
2509,Xixon09,Lolium perenne,Lolium perenne,Main,1
2509,Xixon09,Trifolium pratense,Trifolium pratense,Main,1
2509,Xixon09,Carex divulsa,Carex divulsa,Main,0.1
2509,Xixon09,Centaurium erythraea,Centaurium erythraea,Main,0.1
2509,Xixon09,Rubus sp.,Rubus,Main,0.1
2509,Xixon09,Rumex crispus,Rumex crispus,Main,0.1
2510,Xixon10,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,60
2510,Xixon10,Equisetum telmateia,Equisetum telmateia,Main,30
2510,Xixon10,Centaurea nigra,Centaurea nigra,Main,20
2510,Xixon10,Holcus lanatus,Holcus lanatus,Main,10
2510,Xixon10,Lotus corniculatus,Lotus corniculatus,Main,10
2510,Xixon10,Trifolium pratense,Trifolium pratense,Main,10
2510,Xixon10,Cynosurus cristatus,Cynosurus cristatus,Main,2
2510,Xixon10,Dactylis glomerata,Dactylis glomerata,Main,2
2510,Xixon10,Lathyrus pratensis,Lathyrus pratensis,Main,2
2510,Xixon10,Plantago lanceolata,Plantago lanceolata,Main,2
2510,Xixon10,Poa pratensis,Poa pratensis,Main,1
2510,Xixon10,Avena barbata,Avena barbata,Main,0.1
2510,Xixon10,Crepis vesicaria,Crepis vesicaria,Main,0.1
2510,Xixon10,Helminthotheca echioides,Helminthotheca echioides,Main,0.1
2510,Xixon10,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,0.1
2511,Xixon11,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,50
2511,Xixon11,Blackstonia perfoliata,Blackstonia perfoliata aggr.,Main,5
2511,Xixon11,Medicago sativa,Medicago sativa,Main,5
2511,Xixon11,Cortaderia selloana,Cortaderia selloana,Main,2
2511,Xixon11,Centaurium tenuiflorum,Centaurium tenuiflorum,Main,1
2511,Xixon11,Lotus corniculatus,Lotus corniculatus,Main,1
2511,Xixon11,Potentilla reptans,Potentilla reptans,Main,1
2511,Xixon11,Centaurium erythraea,Centaurium erythraea,Main,0.1
2511,Xixon11,Daucus carota,Daucus carota,Main,0.1
2511,Xixon11,Dittrichia viscosa,Dittrichia viscosa,Main,0.1
2511,Xixon11,Erigeron acris,Erigeron acris,Main,0.1
2511,Xixon11,Holcus lanatus,Holcus lanatus,Main,0.1
2511,Xixon11,Laurus nobilis,Laurus nobilis,Seedlings,0.1
2511,Xixon11,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,0.1
2511,Xixon11,Linum strictum,Linum strictum,Main,0.1
2511,Xixon11,Serapias lingua,Serapias lingua,Main,0.1
2511,Xixon11,Serapias parviflora,Serapias parviflora,Main,0.1
2512,Xixon12,Cyperus longus,Cyperus longus,Main,30
2512,Xixon12,Plantago lanceolata,Plantago lanceolata,Main,30
2512,Xixon12,Holcus lanatus,Holcus lanatus,Main,20
2512,Xixon12,Ochlopoa annua,Ochlopoa annua,Main,20
2512,Xixon12,Lotus corniculatus,Lotus corniculatus,Main,10
2512,Xixon12,Lolium perenne,Lolium perenne,Main,5
2512,Xixon12,Trifolium repens,Trifolium repens,Main,5
2512,Xixon12,Geranium dissectum,Geranium dissectum,Main,2
2512,Xixon12,Helminthotheca echioides,Helminthotheca echioides,Main,2
2512,Xixon12,Paspalum dilatatum,Paspalum dilatatum,Main,1
2512,Xixon12,Potentilla reptans,Potentilla reptans,Main,1
2512,Xixon12,Prunella vulgaris,Prunella vulgaris,Main,1
2512,Xixon12,Carex divulsa,Carex divulsa,Main,0.1
2512,Xixon12,Cerastium glomeratum,Cerastium glomeratum,Main,0.1
2512,Xixon12,Pulicaria dysenterica,Pulicaria dysenterica,Main,0.1
2512,Xixon12,Taraxacum gr. officinale,Taraxacum sect. Taraxacum,Main,0.1
2513,Xixon13,Holcus lanatus,Holcus lanatus,Main,40
2513,Xixon13,Dactylis glomerata,Dactylis glomerata,Main,30
2513,Xixon13,Helminthotheca echioides,Helminthotheca echioides,Main,20
2513,Xixon13,Ochlopoa annua,Ochlopoa annua,Main,20
2513,Xixon13,Plantago lanceolata,Plantago lanceolata,Main,20
2513,Xixon13,Rumex conglomeratus,Rumex conglomeratus,Main,20
2513,Xixon13,Calystegia silvatica,Calystegia silvatica,Main,10
2513,Xixon13,Kickxia elatine,Kickxia elatine,Main,5
2513,Xixon13,Lolium perenne,Lolium perenne,Main,5
2513,Xixon13,Lotus pedunculatus,Lotus pedunculatus,Main,2
2513,Xixon13,Malva sylvestris,Malva sylvestris,Main,2
2513,Xixon13,Medicago lupulina,Medicago lupulina,Main,2
2513,Xixon13,Carex divulsa,Carex divulsa,Main,1
2513,Xixon13,Carex pendula,Carex pendula,Main,1
2513,Xixon13,Cirsium vulgare,Cirsium vulgare,Main,1
2513,Xixon13,Euphorbia platyphyllos,Euphorbia platyphyllos,Main,1
2513,Xixon13,Galactites tomentosus,Galactites tomentosus,Main,1
2513,Xixon13,Lactuca virosa,Lactuca virosa,Main,1
2513,Xixon13,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,1
2513,Xixon13,Brassica nigra,Brassica nigra,Main,0.1
2513,Xixon13,Bromus racemosus,Bromus racemosus,Main,0.1
2513,Xixon13,Centaurea nigra,Centaurea nigra,Main,0.1
2513,Xixon13,Daucus carota,Daucus carota,Main,0.1
2513,Xixon13,Geranium robertianum,Geranium robertianum,Main,0.1
2513,Xixon13,Hypericum perforatum,Hypericum perforatum,Main,0.1
2513,Xixon13,Lythrum junceum,Lythrum junceum,Main,0.1
2513,Xixon13,Poa pratensis,Poa pratensis,Main,0.1
2513,Xixon13,Rubus sp.,Rubus,Main,0.1
2513,Xixon13,Vicia sativa,Vicia sativa aggr.,Main,0.1
2514,Xixon14,Lotus corniculatus,Lotus corniculatus,Main,50
2514,Xixon14,Dactylis glomerata,Dactylis glomerata,Main,40
2514,Xixon14,Holcus lanatus,Holcus lanatus,Main,30
2514,Xixon14,Agrostis capillaris,Agrostis capillaris,Main,20
2514,Xixon14,Brachypodium pinnatum,Brachypodium pinnatum aggr.,Main,20
2514,Xixon14,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,20
2514,Xixon14,Plantago lanceolata,Plantago lanceolata,Main,10
2514,Xixon14,Trifolium pratense,Trifolium pratense,Main,5
2514,Xixon14,Anthoxanthum odoratum,Anthoxanthum odoratum,Main,2
2514,Xixon14,Lolium perenne,Lolium perenne,Main,2
2514,Xixon14,Potentilla sterilis,Potentilla sterilis,Main,2
2514,Xixon14,Briza maxima,Briza maxima,Main,1
2514,Xixon14,Centaurea nigra,Centaurea nigra,Main,1
2514,Xixon14,Danthonia decumbens,Danthonia decumbens,Main,1
2514,Xixon14,Leontodon hispidus,Leontodon hispidus,Main,1
2514,Xixon14,Prunella vulgaris,Prunella vulgaris,Main,1
2514,Xixon14,Ranunculus bulbosus,Ranunculus bulbosus,Main,1
2514,Xixon14,Trifolium repens,Trifolium repens,Main,1
2514,Xixon14,Bromus hordeaceus,Bromus hordeaceus aggr.,Main,0.1
2514,Xixon14,Cynosurus cristatus,Cynosurus cristatus,Main,0.1
2514,Xixon14,Daucus carota,Daucus carota,Main,0.1
2514,Xixon14,Hypochaeris radicata,Hypochaeris radicata,Main,0.1
2514,Xixon14,Luzula campestris,Luzula campestris,Main,0.1
2514,Xixon14,Medicago lupulina,Medicago lupulina,Main,0.1
2514,Xixon14,Polygala vulgaris,Polygala vulgaris,Main,0.1
2514,Xixon14,Potentilla reptans,Potentilla reptans,Main,0.1
2514,Xixon14,Viola reichenbachiana s.l.,Viola riviniana aggr.,Main,0.1
2514,Xixon14,Vulpia bromoides,Vulpia bromoides,Main,0.1
2515,Xixon15,Anthoxanthum odoratum,Anthoxanthum odoratum,Main,20
2515,Xixon15,Brachypodium pinnatum,Brachypodium pinnatum aggr.,Main,20
2515,Xixon15,Briza media,Briza media,Main,20
2515,Xixon15,Carex flacca,Carex flacca,Main,20
2515,Xixon15,Festuca rubra,Festuca rubra aggr.,Main,20
2515,Xixon15,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,20
2515,Xixon15,Centaurea nigra,Centaurea nigra,Main,10
2515,Xixon15,Holcus lanatus,Holcus lanatus,Main,10
2515,Xixon15,Leontodon hispidus,Leontodon hispidus,Main,10
2515,Xixon15,Lotus corniculatus,Lotus corniculatus,Main,10
2515,Xixon15,Trisetum flavescens,Trisetum flavescens,Main,10
2515,Xixon15,Blackstonia perfoliata,Blackstonia perfoliata aggr.,Main,5
2515,Xixon15,Hedera helix s.l.,Hedera helix aggr.,Main,5
2515,Xixon15,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,5
2515,Xixon15,Vicia pubescens,Vicia pubescens,Main,5
2515,Xixon15,Carex pendula,Carex pendula,Main,2
2515,Xixon15,Dactylorhiza elata,Dactylorhiza elata,Main,2
2515,Xixon15,Dittrichia viscosa,Dittrichia viscosa,Main,2
2515,Xixon15,Equisetum telmateia,Equisetum telmateia,Main,2
2515,Xixon15,Plantago lanceolata,Plantago lanceolata,Main,2
2515,Xixon15,Anthyllis vulneraria,Anthyllis vulneraria,Main,1
2515,Xixon15,Centaurium tenuiflorum,Centaurium tenuiflorum,Main,1
2515,Xixon15,Daucus carota,Daucus carota,Main,1
2515,Xixon15,Linum catharticum,Linum catharticum,Main,1
2515,Xixon15,Ulex europaeus,Ulex europaeus,Main,1
2515,Xixon15,Anagallis arvensis,Anagallis arvensis,Main,0.1
2515,Xixon15,Dactylis glomerata,Dactylis glomerata,Main,0.1
2515,Xixon15,Fraxinus excelsior,Fraxinus excelsior,Seedlings,0.1
2515,Xixon15,Medicago lupulina,Medicago lupulina,Main,0.1
2515,Xixon15,Medicago sativa,Medicago sativa,Main,0.1
2515,Xixon15,Pulicaria dysenterica,Pulicaria dysenterica,Main,0.1
2515,Xixon15,Serapias lingua,Serapias lingua,Main,0.1
2515,Xixon15,Trifolium campestre,Trifolium campestre,Main,0.1
2515,Xixon15,Trifolium repens,Trifolium repens,Main,0.1
2516,Xixon16,Brachypodium pinnatum,Brachypodium pinnatum aggr.,Main,20
2516,Xixon16,Lotus corniculatus,Lotus corniculatus,Main,20
2516,Xixon16,Plantago lanceolata,Plantago lanceolata,Main,20
2516,Xixon16,Avena barbata,Avena barbata,Main,10
2516,Xixon16,Helminthotheca echioides,Helminthotheca echioides,Main,10
2516,Xixon16,Potentilla reptans,Potentilla reptans,Main,2
2516,Xixon16,Sonchus tenerrimus,Sonchus tenerrimus,Main,2
2516,Xixon16,Carex divulsa,Carex divulsa,Main,1
2516,Xixon16,Festuca rubra,Festuca rubra aggr.,Main,1
2516,Xixon16,Petrorhagia nanteuilii,Petrorhagia nanteuilii,Main,1
2516,Xixon16,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,1
2516,Xixon16,Anagallis arvensis,Anagallis arvensis,Main,0.1
2516,Xixon16,Anthyllis vulneraria,Anthyllis vulneraria,Main,0.1
2516,Xixon16,Galium parisiense,Galium parisiense,Main,0.1
2516,Xixon16,Lactuca serriola,Lactuca serriola,Main,0.1
2516,Xixon16,Leontodon hispidus,Leontodon hispidus,Main,0.1
2516,Xixon16,Medicago lupulina,Medicago lupulina,Main,0.1
2516,Xixon16,Sporobolus indicus,Sporobolus indicus,Main,0.1
2517,Xixon17,Dittrichia viscosa,Dittrichia viscosa,Main,30
2517,Xixon17,Cortaderia selloana,Cortaderia selloana,Main,20
2517,Xixon17,Knautia arvensis,Knautia arvensis,Main,20
2517,Xixon17,Hypericum perforatum,Hypericum perforatum,Main,10
2517,Xixon17,Plantago lanceolata,Plantago lanceolata,Main,10
2517,Xixon17,Schedonorus arundinaceus,Schedonorus arundinaceus,Main,10
2517,Xixon17,Avena barbata,Avena barbata,Main,2
2517,Xixon17,Dactylis glomerata,Dactylis glomerata,Main,2
2517,Xixon17,Blackstonia perfoliata,Blackstonia perfoliata aggr.,Main,1
2517,Xixon17,Centaurea nigra,Centaurea nigra,Main,1
2517,Xixon17,Cirsium vulgare,Cirsium vulgare,Main,1
2517,Xixon17,Convolvulus arvensis,Convolvulus arvensis,Main,1
2517,Xixon17,Galactites tomentosus,Galactites tomentosus,Main,1
2517,Xixon17,Helminthotheca echioides,Helminthotheca echioides,Main,1
2517,Xixon17,Holcus lanatus,Holcus lanatus,Main,1
2517,Xixon17,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,1
2517,Xixon17,Pulicaria dysenterica,Pulicaria dysenterica,Main,1
2517,Xixon17,Sonchus tenerrimus,Sonchus tenerrimus,Main,1
2517,Xixon17,Vicia cracca,Vicia cracca,Main,1
2517,Xixon17,Agrostis capillaris,Agrostis capillaris,Main,0.1
2517,Xixon17,Anisantha madritensis,Anisantha madritensis,Main,0.1
2517,Xixon17,Carex cuprina,Carex cuprina,Main,0.1
2517,Xixon17,Carex divulsa,Carex divulsa,Main,0.1
2517,Xixon17,Centaurium tenuiflorum,Centaurium tenuiflorum,Main,0.1
2517,Xixon17,Erigeron sumatrensis,Erigeron sumatrensis,Main,0.1
2517,Xixon17,Galium parisiense,Galium parisiense,Main,0.1
2517,Xixon17,Gnaphalium coarctatum,Gnaphalium coarctatum,Main,0.1
2517,Xixon17,Linum bienne,Linum bienne,Main,0.1
2517,Xixon17,Oxalis corniculata,Oxalis corniculata,Main,0.1
2517,Xixon17,Parietaria judaica,Parietaria judaica aggr.,Main,0.1
2517,Xixon17,Potentilla reptans,Potentilla reptans,Main,0.1
2517,Xixon17,Prunella vulgaris,Prunella vulgaris,Main,0.1
2517,Xixon17,Reichardia picroides,Reichardia picroides,Main,0.1
2517,Xixon17,Scrophularia auriculata,Scrophularia auriculata,Main,0.1
2517,Xixon17,Sherardia arvensis,Sherardia arvensis,Main,0.1
2518,Xixon18,Ochlopoa annua,Ochlopoa annua,Main,70
2518,Xixon18,Lolium perenne,Lolium perenne,Main,10
2518,Xixon18,Trifolium repens,Trifolium repens,Main,10
2518,Xixon18,Hordeum murinum,Hordeum murinum,Main,5
