"SIVIMID","L1","L0","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","Fixed"
"NEW-OMAR-BA15","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,9,1981,-5.707241301,43.32530597,"500",190,"S",20,0
"NEW-OMAR-BA20","Saginion procumbentis","Polygono-Poetea annuae","Comunidad de Poa annua","Polygono-Coronopodion","Polygono-Poetea annuae",NA,1,1981,-5.694921052,43.32559713,"500",225,"SO",10,0
"NEW-OMAR-BA34","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,16,1981,-5.694523235,43.31660252,"500",295,"SE",5,1
"NEW-OMAR-BA38","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,15,1981,-5.707241301,43.32530597,"500",190,"",0,1
"NEW-OMAR-BA42","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,4,1981,-5.707241301,43.32530597,"500",190,"S",5,1
"NEW-OMAR-BA43","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,12,1981,-5.707241301,43.32530597,"500",190,"",0,1
"NEW-OMAR-BA58","Balloto-Conion maculati","Epilobietea angustifolii","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea",NA,100,1981,-5.694921052,43.32559713,"500",200,"",10,0
"NEW-OMAR-CA01",NA,NA,"","Unknown",NA,NA,1,2020,-5.673083717,43.27902792,"10",252,"",0,0
"NEW-OMAR-CA02",NA,NA,"","Unknown",NA,NA,1,2020,-5.67282991,43.2791419,"10",252,"",0,0
"NEW-OMAR-CA03",NA,NA,"","Unknown",NA,NA,1,2020,-5.672872063,43.27897884,"10",254,"",0,0
"NEW-OMAR-CA04",NA,NA,"","Unknown",NA,NA,1,2020,-5.673663223,43.27875325,"10",255,"",0,0
"NEW-OMAR-CA05",NA,NA,"","Unknown",NA,NA,1,2020,-5.673593878,43.27829566,"10",257,"",0,0
"NEW-OMAR-CA06",NA,NA,"","Unknown",NA,NA,1,2020,-5.673457181,43.27855097,"10",254,"",0,0
"NEW-OMAR-CA07",NA,NA,"","Unknown",NA,NA,1,2020,-5.673290343,43.27868093,"10",254,"",0,0
"NEW-OMAR-CA08",NA,NA,"","Unknown",NA,NA,1,2020,-5.673131087,43.27870267,"10",255,"",0,0
"NEW-OMAR-CA09",NA,NA,"","Unknown",NA,NA,1,2020,-5.6741795,43.27872316,"10",256,"",0,0
"NEW-OMAR-CA10",NA,NA,"","Unknown",NA,NA,1,2020,-5.674394578,43.27800681,"10",257,"",0,0
"NEW-OMAR-CC86","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Comunidad de Cymbalaria muralis","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",NA,10,1981,-5.682600619,43.32588696,"500",275,"NO",90,0
"NEW-OMAR-LF10","Polygono-Coronopodion","Polygono-Poetea annuae","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea",NA,9,1981,-5.682204615,43.31689226,"500",210,"",0,0
"NEW-OMAR-LF109","Balloto-Conion maculati","Epilobietea angustifolii","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,10,1981,-5.707241301,43.32530597,"500",200,"",5,0
"NEW-OMAR-LF95","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,40,1981,-5.682204615,43.31689226,"500",230,"S",0,0
"NEW-OMAR-MO01",NA,NA,"","Unknown",NA,NA,1,2020,-5.680778937,43.29204762,"10",224,"",0,0
"NEW-OMAR-MO02",NA,NA,"","Unknown",NA,NA,1,2020,-5.680075536,43.29174898,"10",223,"",0,0
"NEW-OMAR-MO03",NA,NA,"","Unknown",NA,NA,1,2020,-5.679180719,43.29130174,"10",223,"",0,0
"NEW-OMAR-MO04",NA,NA,"","Unknown",NA,NA,1,2020,-5.678167126,43.29095633,"10",224,"",0,0
"NEW-OMAR-MO05",NA,NA,"","Unknown",NA,NA,1,2020,-5.676976812,43.29051601,"10",225,"",0,0
"NEW-OMAR-MO06",NA,NA,"","Unknown",NA,NA,1,2020,-5.677426808,43.29065854,"10",226,"",0,0
"NEW-OMAR-MO07",NA,NA,"","Unknown",NA,NA,1,2020,-5.678678368,43.29080929,"10",227,"",0,0
"NEW-OMAR-MO08",NA,NA,"","Unknown",NA,NA,1,2020,-5.67961729,43.29113844,"10",226,"",0,0
"NEW-OMAR-MO09",NA,NA,"","Unknown",NA,NA,1,2020,-5.680003752,43.29123743,"10",230,"",0,0
"NEW-OMAR-MO10",NA,NA,"","Unknown",NA,NA,1,2020,-5.679940332,43.29063565,"10",233,"",0,0
"NEW-OMAR-NI01",NA,NA,"","Unknown",NA,NA,1,2020,-5.702776474,43.3133463,"10",203,"",0,0
"NEW-OMAR-NI02",NA,NA,"","Unknown",NA,NA,1,2020,-5.702508627,43.31314554,"10",203,"",0,0
"NEW-OMAR-NI03",NA,NA,"","Unknown",NA,NA,1,2020,-5.702204227,43.31295465,"10",203,"",0,0
"NEW-OMAR-NI04",NA,NA,"","Unknown",NA,NA,1,2020,-5.701880334,43.31260214,"10",204,"",0,0
"NEW-OMAR-NI05",NA,NA,"","Unknown",NA,NA,1,2020,-5.701143268,43.31266459,"10",203,"",0,0
"NEW-OMAR-NI06",NA,NA,"","Unknown",NA,NA,1,2020,-5.701055091,43.31290077,"10",203,"",0,0
"NEW-OMAR-NI07",NA,NA,"","Unknown",NA,NA,1,2020,-5.700902534,43.31307545,"10",202,"",0,0
"NEW-OMAR-NI10",NA,NA,"","Unknown",NA,NA,1,2020,-5.70073096,43.31365576,"10",201,"",0,0
"NEW-OMAR-PA102","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,20,1981,-5.654043577,43.23651311,"500",325,"SE",0,0
"NEW-OMAR-PA104","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,80,1981,-5.654043577,43.23651311,"500",250,"SE",15,0
"NEW-OMAR-PA30","Saginion procumbentis","Polygono-Poetea annuae","Comunidad de Poa annua","Polygono-Coronopodion","Polygono-Poetea annuae",NA,3,1981,-5.657174634,43.30847288,"500",340,"",0,0
"NEW-OMAR-PA35","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,20,1981,-5.669491805,43.30818588,"500",335,"S",5,1
"NEW-OMAR-PA68","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Comunidad de Cymbalaria muralis","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",NA,10,1981,-5.654043577,43.23651311,"500",425,"NO",90,1
"NEW-OMAR-PA97","Dauco-Melilotion","Artemisietea vulgaris","Picridi echioides-Melilotetum albi","Dauco-Melilotion","Artemisietea vulgaris",NA,40,1981,-5.654043577,43.23651311,"500",360,"S",0,1
"NEW-OMAR-PA98","Dauco-Melilotion","Artemisietea vulgaris","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea",NA,15,1981,-5.654043577,43.23651311,"500",360,"",0,0
"NEW-OMAR-RE27","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Poa annua","Polygono-Coronopodion","Polygono-Poetea annuae",NA,3,1981,-5.669491805,43.30818588,"500",225,"O",5,0
"NEW-OMAR-TU92","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Comunidad de Cymbalaria muralis","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",NA,5,1981,-5.666346277,43.23622682,"500",325,"S",90,1
"P-P22132",NA,NA,"Allio vineale-Ranunculetum sardoi","Potentillion anserinae","Molinio-Arrhenatheretea","V",400,2005,-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"",0,0
"Q-P02778","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",40,1969,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,1
"Q-P02779","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",20,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,1
"Q-P02780","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","H32d",20,1969,-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"",NA,1
"Q-P02781","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",50,1969,-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"",NA,1
"Q-P02782","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",10,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,1
"Q-P02783","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V15",10,1969,-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"",NA,1
"Q-P02784","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,0
"Q-P02785","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",20,1969,-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"",NA,1
"Q-P02786","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1969,-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"",NA,1
"Q-P02787","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Sa",10,1969,-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348,"",NA,1
"Q-P02788","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1969,-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"",NA,1
"Q-P02789","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","H32d",10,1969,-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"",NA,1
"Q-P02790","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","H32d",10,1969,-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"",NA,1
"Q-P02791","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",20,1969,-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"",NA,1
"Q-P02792","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","?",50,1969,-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"",NA,1
"Q-P02793","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","?",50,1969,-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"",NA,1
"Q-P02794","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae","?",100,1969,-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275,"",NA,1
"Q-P07031","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,1
"Q-P07039","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,1
"Q-P07041","Sisymbrion officinalis","Sisymbrietea","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V32",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,1
"Q-P07042","Echio-Galactition tomentosae","Chenopodietea","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V32",15,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,0
"Q-P07045","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis","V37",20,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,0
"Q-P07736",NA,NA,"Associació-Desconeguda","Unknown",NA,"V",NA,1953,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA,0
"Q-P07737",NA,NA,"Associació-Desconeguda","Unknown",NA,"V15",NA,1953,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA,0
"Q-P07763",NA,NA,"Associació-Desconeguda","Unknown",NA,"V37",100,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07764",NA,NA,"Associació-Desconeguda","Unknown",NA,"V15",100,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07765",NA,NA,"Associació-Desconeguda","Unknown",NA,"V37",100,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07766",NA,NA,"Associació-Desconeguda","Unknown",NA,"V37",100,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07767",NA,NA,"Associació-Desconeguda","Unknown",NA,"V37",100,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07769",NA,NA,"Associació-Desconeguda","Unknown",NA,"V",10,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07770",NA,NA,"Associació-Desconeguda","Unknown",NA,"V",10,1953,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,0
"Q-P07777",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07778",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07779",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07780",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07781",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07782",NA,NA,"Associació-Desconeguda","Unknown",NA,"R55",25,1953,-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"",NA,0
"Q-P07847",NA,NA,"Associació-Desconeguda","Unknown",NA,"V",NA,1953,-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"",NA,0
"Q-P07849",NA,NA,"Associació-Desconeguda","Unknown",NA,"V15",NA,1953,-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"",NA,0
"Q-P07850",NA,NA,"Associació-Desconeguda","Unknown",NA,"V",NA,1953,-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"",NA,0
"Q-P07851",NA,NA,"Associació-Desconeguda","Unknown",NA,"V15",NA,1953,-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"",NA,0
"Q-P07852",NA,NA,"Associació-Desconeguda","Unknown",NA,"V15",NA,1953,-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"",NA,0
"Q-P08150","Polycarpion tetraphylli","Polygono-Poetea annuae","Polycarpo tetraphylli-Coronopodetum squamati","Polygono-Coronopodion","Polygono-Poetea annuae","V35",1,2004,-8.555662357,41.10094791,"3 - UTM10x10 + Elevation",40,"",NA,0
"Q-P08170",NA,NA,"Chenopodio muralis-Malvetum parviflorae","Chenopodion muralis","Chenopodietea","V32",2,2004,-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"S",NA,0
"Q-P08361",NA,NA,"Chenopodio muralis-Malvetum parviflorae","Chenopodion muralis","Chenopodietea","V32",2,2003,-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"S",NA,0
"Q-P08687","Sisymbrion officinalis","Sisymbrietea","Alliarion petiolatae","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V32",15,1990,-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"",NA,0
"Q-P08735","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",40,1990,-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090,"",NA,1
"Q-P08736","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",40,1990,-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040,"",NA,1
"Q-P08737","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",40,1990,-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120,"",NA,1
"Q-P08738","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",40,1990,-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110,"",NA,1
"Q-P08739","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",80,1990,-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020,"",NA,1
"Q-P08740","Sisymbrion officinalis","Sisymbrietea","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",20,1990,-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970,"",NA,0
"Q-P08741","Scleranthion annui","Papaveretea rhoeadis","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",20,1990,-4.61429613,42.88457007,"3 - UTM10x10 + Elevation",1130,"",NA,1
"Q-P08742","Sisymbrion officinalis","Sisymbrietea","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",20,1990,-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120,"",NA,1
"Q-P08743","Sisymbrion officinalis","Sisymbrietea","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",12,1990,-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100,"",NA,1
"Q-P08744","Sisymbrion officinalis","Sisymbrietea","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",18,1990,-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200,"",NA,1
"Q-P08747","Balloto-Conion maculati","Epilobietea angustifolii","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",20,1990,-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000,"",NA,1
"Q-P08748","Balloto-Conion maculati","Epilobietea angustifolii","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",40,1990,-4.690827121,42.90687801,"3 - UTM10x10 + Elevation",1250,"",NA,1
"Q-P08749","Balloto-Conion maculati","Epilobietea angustifolii","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1990,-4.512128657,42.91298042,"3 - UTM10x10 + Elevation",1070,"",NA,1
"Q-P08750","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",40,1990,-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000,"S",10,0
"Q-P08751","Balloto-Conion maculati","Epilobietea angustifolii","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",12,1990,-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070,"",NA,1
"Q-P08752","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","Geranio robertiani-Cariolophetum sempervirentis","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V39",20,1990,-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300,"",NA,1
"Q-P08753","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","Geranio robertiani-Cariolophetum sempervirentis","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","R55",12,1990,-4.487894143,42.92410402,"3 - UTM10x10 + Elevation",1080,"",NA,1
"Q-P08754",NA,NA,NA,"Unknown",NA,"V38",20,NA,-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250,"N",5,0
"Q-P08755",NA,NA,NA,"Unknown",NA,"V38",70,NA,-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240,"",NA,0
"Q-P08756",NA,NA,NA,"Unknown",NA,"V38",350,NA,-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330,"N",5,0
"Q-P08758","Cirsion richterano-chodati","Artemisietea vulgaris","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",100,1990,-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130,"",NA,0
"Q-P08760","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,1990,-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000,"",NA,1
"Q-P08761","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,1990,-4.550416473,42.87644814,"3 - UTM10x10 + Elevation",1050,"",NA,0
"Q-P08762","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,1990,-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070,"",NA,1
"Q-P08763","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1990,-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970,"",NA,1
"Q-P08764","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1990,-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100,"",NA,1
"Q-P08765","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1990,-4.69316451,42.81319133,"3 - UTM10x10 + Elevation",1080,"",NA,1
"Q-P08766","Cirsion richterano-chodati","Artemisietea vulgaris","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,1990,-4.648957603,42.80663255,"3 - UTM10x10 + Elevation",1120,"",NA,1
