"SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"Q-P13515","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.57665353","41.20795808","3 - UTM10x10 + Elevation","90","",NA
"Q-P13514","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.612696465","41.76433749","3 - UTM10x10 + Elevation","15","",NA
"Q-P13518","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.255182038","41.86232255","3 - UTM10x10 + Elevation","110","",NA
"Q-P13511","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.560248488","41.2393617","3 - UTM10x10 + Elevation","100","",NA
"Q-P13524","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.783882159","41.68920542","3 - UTM10x10 + Elevation","5","",NA
"Q-P13513","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V",NA,"2003","-8.629594569","41.24138274","3 - UTM10x10 + Elevation","120","",NA
"Q-P13516","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.586394188","41.12646408","3 - UTM10x10 + Elevation","115","",NA
"Q-P13525","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.264632808","41.86008796","3 - UTM10x10 + Elevation","110","",NA
"Q-P13529","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.538011733","41.25844143","3 - UTM10x10 + Elevation","145","",NA
"Q-P13526","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.591556494","40.99117886","3 - UTM10x10 + Elevation","90","",NA
"Q-P13520","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.572921413","41.77708254","3 - UTM10x10 + Elevation","10","",NA
"Q-P13519","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.860919048","41.84912089","3 - UTM10x10 + Elevation","5","",NA
"Q-P13528","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.642655277","41.28215125","3 - UTM10x10 + Elevation","100","",NA
"Q-P13512","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.634095047","41.21055453","3 - UTM10x10 + Elevation","100","",NA
"Q-P13527","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.68699512","41.29796642","3 - UTM10x10 + Elevation","70","",NA
"Q-P13530","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.247836068","41.86085883","3 - UTM10x10 + Elevation","100","",NA
"Q-P13522","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.645241517","41.33963775","3 - UTM10x10 + Elevation","80","",NA
"Q-P13517","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.579791927","41.21680786","3 - UTM10x10 + Elevation","70","",NA
"Q-P13523","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V32",NA,"2003","-8.63279612","41.77415324","3 - UTM10x10 + Elevation","5","",NA
"Q-P13521","Allio triquetri-Urticetum membranaceae","Allion triquetri","Chenopodietea","V39",NA,"2003","-8.622931239","41.24711069","3 - UTM10x10 + Elevation","120","",NA
"P-P22132","Allio vineale-Ranunculetum sardoi","Potentillion anserinae","Molinio-Arrhenatheretea","V",400,"2005","-1.319948701","43.43290349","3 - UTM10x10 + Elevation","5","",0
"T-P12049","Amarantho hybridi-Chenopodietum polyspermi","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","V37",NA,"1988","-6.628735997","42.57369008","3 - UTM10x10 + Elevation","500","",NA
"R-P23997","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",1,"1986","-6.831084897","42.3365878","3 - UTM10x10 + Elevation","1040","W",70
"T-P36766","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V32",6,"1993","-7.547761139","42.58045993","1 - UTM1x1 + Elevation","400","",0
"R-P23991","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",4,"1986","-6.799957766","42.30340878","3 - UTM10x10 + Elevation","900","W",35
"R-P23996","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",4,"1986","-6.906982932","42.38624705","3 - UTM10x10 + Elevation","680","NW",10
"R-P23989","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",2,"1986","-6.812063445","42.30300642","3 - UTM10x10 + Elevation","990","E",90
"T-P36765","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V32",8,"1993","-7.611721567","42.48966563","1 - UTM1x1 + Elevation","340","E",10
"R-P23994","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",2,"1986","-7.023324777","42.38221689","3 - UTM10x10 + Elevation","960","",NA
"R-P23990","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V37",2,"1986","-6.80765505","42.31035653","3 - UTM10x10 + Elevation","900","",NA
"R-P23993","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V39",2,"1986","-6.967014134","42.37517826","3 - UTM10x10 + Elevation","960","",NA
"T-P36767","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V37",12,"1993","-7.603704614","42.44677255","1 - UTM1x1 + Elevation","420","N",NA
"R-P23992","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V",10,"1986","-6.875592824","42.42873318","3 - UTM10x10 + Elevation","680","NW",90
"T-P12298","Aperetalia spicae-venti","Scleranthion annui","Papaveretea rhoeadis","V13",25,"1988","-6.397575147","42.89233314","3 - UTM10x10 + Elevation","910","",NA
"T-P12299","Aperetalia spicae-venti","Scleranthion annui","Papaveretea rhoeadis","V15",20,"1988","-6.405934069","42.95511277","3 - UTM10x10 + Elevation","1150","",NA
"R-P24011","Aphanion arvensis","Scleranthion annui","Papaveretea rhoeadis","V15",40,"1986","-6.900602278","42.40087127","3 - UTM10x10 + Elevation","500","SE",3
"S-P21810","Arction","Arction lappae","Epilobietea angustifolii","V39",10,"1981","-6.106897356","43.10229232","3 - UTM10x10 + Elevation","1100","",NA
"S-P21812","Arction","Arction lappae","Epilobietea angustifolii","V39",30,"1981","-6.261877126","43.10517829","3 - UTM10x10 + Elevation","890","",NA
"S-P20412","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1972","-8.83651627","42.26625127","3 - UTM10x10 + Elevation","80","W",NA
"S-P20411","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1972","-8.806473068","42.28218448","3 - UTM10x10 + Elevation","70","NW",NA
"S-P20414","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1972","-8.813351438","42.33044482","3 - UTM10x10 + Elevation","100","S",NA
"T-P17230","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,"1975","-8.797375012","42.31505309","3 - UTM10x10 + Elevation","150","",NA
"R-P14820","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"R-P14823","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"S-P20410","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1972","-8.790511787","42.26679086","3 - UTM10x10 + Elevation","100","SE",NA
"S-P20407","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",10,"1972","-8.717336264","42.28847845","3 - UTM10x10 + Elevation","20","SW",NA
"S-P20417","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,"1972","-8.850740406","42.28892867","3 - UTM10x10 + Elevation","100","N",NA
"S-P20406","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,"1972","-8.756626836","42.39993072","3 - UTM10x10 + Elevation","15","NE",NA
"S-P20409","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V15",20,"1972","-8.796984906","42.28446649","3 - UTM10x10 + Elevation","100","E",NA
"T-P17218","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1975","-8.654418308","42.42483896","3 - UTM10x10 + Elevation","15","",NA
"T-P17231","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",15,"1975","-8.730457271","42.21940638","3 - UTM10x10 + Elevation","50","",NA
"T-P17220","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",10,"1975","-8.677652213","42.43989049","3 - UTM10x10 + Elevation","50","",NA
"T-P17223","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1975","-8.808852256","42.33427436","3 - UTM10x10 + Elevation","70","",NA
"T-P17229","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,"1975","-8.80319532","42.32555992","3 - UTM10x10 + Elevation","100","",NA
"S-P20413","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,"1972","-8.846578977","42.29634309","3 - UTM10x10 + Elevation","20","NE",NA
"R-P14822","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"R-P14821","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"S-P20418","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,"1972","-8.761107417","42.1836586","3 - UTM10x10 + Elevation","150","SW",NA
"T-P17219","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",10,"1975","-8.813848245","42.33582066","3 - UTM10x10 + Elevation","20","",NA
"S-P20416","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,"1972","-8.672930964","42.3339008","3 - UTM10x10 + Elevation","180","S",NA
"T-P17228","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,"1975","-8.716223267","42.3029373","3 - UTM10x10 + Elevation","180","",NA
"S-P20415","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,"1972","-8.661816316","42.31824822","3 - UTM10x10 + Elevation","70","SE",NA
"T-P17226","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1975","-8.769944917","42.28043363","3 - UTM10x10 + Elevation","100","",NA
"R-P14814","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","S32",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","370","",NA
"T-P17225","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,"1975","-8.822537538","42.27236536","3 - UTM10x10 + Elevation","20","",NA
"T-P17222","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1975","-8.807070288","42.26235004","3 - UTM10x10 + Elevation","100","",NA
"S-P20420","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1972","-8.672424391","42.22050003","3 - UTM10x10 + Elevation","80","S",NA
"T-P17232","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,"1975","-8.665360817","42.33067547","3 - UTM10x10 + Elevation","80","",NA
"R-P14816","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","383","",NA
"T-P17227","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,"1975","-8.678874459","42.29219622","3 - UTM10x10 + Elevation","70","",NA
"T-P17224","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,"1975","-8.805710967","42.30022692","3 - UTM10x10 + Elevation","80","",NA
"S-P20419","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",15,"1972","-8.790022314","42.18219795","3 - UTM10x10 + Elevation","50","SW",NA
"S-P20408","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",10,"1972","-8.745193175","42.40770778","3 - UTM10x10 + Elevation","50","N",NA
"T-P17221","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,"1975","-8.772686505","42.28389596","3 - UTM10x10 + Elevation","100","",NA
"R-P14808","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","?",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"R-P14818","Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",NA,"2004","-1.376829654","42.60572333","4 - UTM10x10 + Centroid","390","",NA
"T-P27824","Asociación Caucalis lappula-Neslia apiculata","Unknown",NA,"V15",NA,"1958","-4.528495991","42.84729103","4 - UTM10x10 + Centroid","950","",NA
"T-P27823","Asociación Caucalis lappula-Neslia apiculata","Unknown",NA,"V15",NA,"1958","-4.528495991","42.84729103","4 - UTM10x10 + Centroid","920","",NA
"T-P27802","Asociación de Amaranthus hybridus-Chenopodium polyspermum","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","V37",NA,"1958","-6.609383","42.57610299","3 - UTM10x10 + Elevation","500","",NA
"T-P27791","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-7.109184347","43.53521498","3 - UTM10x10 + Elevation","30","",NA
"T-P27793","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-7.035350671","43.54145038","3 - UTM10x10 + Elevation","30","",NA
"T-P27792","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-7.102387365","43.54446253","3 - UTM10x10 + Elevation","30","NW",NA
"T-P27790","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-7.051431785","43.52287457","3 - UTM10x10 + Elevation","30","",NA
"T-P27789","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-6.447233707","43.51570587","3 - UTM10x10 + Elevation","230","",NA
"T-P27785","Asociación de Hordeum murinum-Bromus sterilis","Hordeion murini","Chenopodietea","V37",NA,"1958","-5.759650737","43.00404411","4 - UTM10x10 + Centroid","1401","",NA
"T-P27799","Asociación de Lamium dissectum-Panicum crus-galli","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","V15",NA,"1958","-5.122336609","43.34270979","3 - UTM10x10 + Elevation","200","",NA
"T-P27801","Asociación de Lamium dissectum-Panicum crus-galli","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","V15",NA,"1958","-5.821635631","43.04485809","3 - UTM10x10 + Elevation","640","",NA
"T-P27800","Asociación de Lamium dissectum-Panicum crus-galli","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","V15",NA,"1958","-5.137193516","43.41446604","3 - UTM10x10 + Elevation","215","S",2
"T-P27808","Asociación de Linaria delphinoides-Anthoxanthum aristatum","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-6.282723413","42.5733329","3 - UTM10x10 + Elevation","1070","",NA
"T-P27807","Asociación de Linaria delphinoides-Anthoxanthum aristatum","Scleranthion annui","Papaveretea rhoeadis","V15",NA,"1958","-6.222917172","42.59484247","3 - UTM10x10 + Elevation","1090","S",2
"T-P27837","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",1,"1958","-4.528495991","42.84729103","4 - UTM10x10 + Centroid","920","",NA
"T-P27839","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",1,"1958","-6.715006681","43.56492917","3 - UTM10x10 + Elevation","10","",NA
"S-P18277","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V37",25,"1974","-5.969519298","43.15816686","1 - UTM1x1 + Elevation","490","N",20
"T-P27840","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",NA,"1958","-5.658685532","43.53317989","3 - UTM10x10 + Elevation","20","",NA
"S-P18272","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",20,"1974","-5.920125607","43.1540368","1 - UTM1x1 + Elevation","850","E",30
"S-P18271","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",20,"1974","-5.901270464","43.27517071","2 - UTM1x1 + Centroid","210","",NA
"T-P27838","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",2,"1958","-5.004129257","43.27460978","3 - UTM10x10 + Elevation","1050","",NA
"S-P18274","Asociación de Lolium perenne-Plantago major","Cynosurion cristati","Molinio-Arrhenatheretea","V35",30,"1974","-5.945297316","43.16599674","2 - UTM1x1 + Centroid","540","",NA
"T-P27869","Asociación de Malva mauritanica-Rumex obtusifolius","Arction lappae","Epilobietea angustifolii","V38",NA,"1958","-5.789921341","42.9952121","3 - UTM10x10 + Elevation","950","",NA
"T-P27870","Asociación de Malva mauritanica-Rumex obtusifolius","Arction lappae","Epilobietea angustifolii","V38",NA,"1958","-5.791306903","43.02579298","3 - UTM10x10 + Elevation","960","",NA
"T-P27834","Asociación de Plantago coronopus-Trifolium fragiferum","Potentillion anserinae","Molinio-Arrhenatheretea","V34",1,"1958","-5.665984283","43.52893451","4 - UTM10x10 + Centroid","31","",NA
"T-P27833","Asociación de Plantago coronopus-Trifolium fragiferum","Potentillion anserinae","Molinio-Arrhenatheretea","V34",1,"1958","-5.665984283","43.52893451","4 - UTM10x10 + Centroid","31","",NA
"T-P27852","Asociación de Spergularia rubra-Amaranthus deflexus","Scleranthion annui","Papaveretea rhoeadis","V35",NA,"1958","-5.962566038","42.65886893","4 - UTM10x10 + Centroid","1053","",NA
"T-P27853","Asociación de Spergularia rubra-Amaranthus deflexus","Scleranthion annui","Papaveretea rhoeadis","V35",NA,"1958","-5.962566038","42.65886893","4 - UTM10x10 + Centroid","1053","",NA
"T-P27851","Asociación de Spergularia rubra-Amaranthus deflexus","Scleranthion annui","Papaveretea rhoeadis","V",NA,"1958","-5.962566038","42.65886893","4 - UTM10x10 + Centroid","1053","",NA
"T-P09655","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R52",8,"1987","-7.0961396","42.60473075","3 - UTM10x10 + Elevation","1600","",NA
"T-P09653","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R",20,"1987","-7.33578226","43.29584386","4 - UTM10x10 + Centroid","980","",NA
"T-P09656","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R52",20,"1987","-7.33578226","43.29584386","4 - UTM10x10 + Centroid","1400","",NA
"T-P09654","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",8,"1987","-7.117789472","42.60035186","3 - UTM10x10 + Elevation","1450","",NA
"T-P09652","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",15,"1987","-7.032098985","42.6322169","3 - UTM10x10 + Elevation","1380","",NA
"T-P11635","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",50,"1988","-5.733135038","42.93175151","3 - UTM10x10 + Elevation","1540","N",36
"R-P24577","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",10,"2012","-6.652205886","42.22357417","1 - UTM1x1 + Elevation","1744","NW",2
"R-P24580","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",10,"2012","-6.754985079","42.28148099","1 - UTM1x1 + Elevation","1798","",NA
"S-P19748","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",50,"2001","-5.708021421","42.91794165","3 - UTM10x10 + Elevation","1540","N",36
"R-P24578","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",8,"2012","-6.652517158","42.22896696","1 - UTM1x1 + Elevation","1749","W",10
"R-P24579","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",5,"2012","-6.739807386","42.39363141","1 - UTM1x1 + Elevation","1198","E",10
"R-P24581","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",8,"2012","-6.754985079","42.28148099","1 - UTM1x1 + Elevation","1800","NW",10
"Q-P07736","Associació-Desconeguda","Unknown",NA,"V",NA,"1953","-7.089128404","43.53843902","4 - UTM10x10 + Centroid","40","",NA
"Q-P07737","Associació-Desconeguda","Unknown",NA,"V15",NA,"1953","-7.089128404","43.53843902","4 - UTM10x10 + Centroid","40","",NA
"Q-P07763","Associació-Desconeguda","Unknown",NA,"V37",100,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07764","Associació-Desconeguda","Unknown",NA,"V15",100,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07765","Associació-Desconeguda","Unknown",NA,"V37",100,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07766","Associació-Desconeguda","Unknown",NA,"V37",100,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07767","Associació-Desconeguda","Unknown",NA,"V37",100,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07769","Associació-Desconeguda","Unknown",NA,"V",10,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07770","Associació-Desconeguda","Unknown",NA,"V",10,"1953","-3.665204511","43.46129774","4 - UTM10x10 + Centroid","43","",NA
"Q-P07777","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07778","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07779","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07780","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07781","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07782","Associació-Desconeguda","Unknown",NA,"R55",25,"1953","-3.800447036","43.39010631","4 - UTM10x10 + Centroid","36","",NA
"Q-P07847","Associació-Desconeguda","Unknown",NA,"V",NA,"1953","-4.047456892","43.39183754","4 - UTM10x10 + Centroid","49","",NA
