"SIVIMID","NMDS1","NMDS2","Relevé.number","Sintaxon","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Authors","Year","Title","Publication","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","ANTHROPIC","Vegetation","Class","Order","Alliance","EUNIS2020","EUNIS_REVISED","PCluster","EUNISL1","EUNISL2"
"NEW-OMAR-BA38",-0.026591283474571,-0.0245647303384328,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,80,"",0,15,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-BA42",-0.0173311345131567,-0.0558861141058342,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,80,"S",5,4,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-BA43",0.0581919890668469,-0.0609759222434164,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,60,"",0,12,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-BA58",0.0641121205431211,0.046747683633038,NA,"Sisymbrio officinalis-Hordeetum murini",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,95,"",10,100,NA,NA,"1981",NA,NA,NA,-5.694921052,43.32559713,"500",200,"Yes","ANTHROPOGENIC VEGETATION","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis",NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-CA01",0.0433840903702392,0.164507181247641,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,167.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673083717,43.27902792,"10",252,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA02",0.0286655632360204,0.118335607182606,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,139.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.67282991,43.2791419,"10",252,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA03",-0.0266642102377478,0.149621961352743,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,127,"",0,1,NA,NA,"2020",NA,NA,NA,-5.672872063,43.27897884,"10",254,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA04",0.0792603637024324,0.168336114133849,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,62,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673663223,43.27875325,"10",255,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA05",0.0264544032885279,0.149994119743777,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,143,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673593878,43.27829566,"10",257,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA06",-0.0229826527047394,0.149411986612402,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,131,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673457181,43.27855097,"10",254,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA07",0.191990813532379,0.158682589171287,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,107.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673290343,43.27868093,"10",254,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA08",-0.0379728253936173,0.145584635453908,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,137.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.673131087,43.27870267,"10",255,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA09",0.101386927545572,-0.0996769657126579,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,108.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.6741795,43.27872316,"10",256,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CA10",-0.06680485244433,0.178895536841401,NA,"",NA,NA,NA,NA,NA,NA,"Cadavio","ES",NA,NA,102.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.674394578,43.27800681,"10",257,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-CC86",0.159496154553113,-0.0428965067576573,NA,"Comunidad de Cymbalaria muralis",NA,NA,NA,NA,NA,NA,"Campo Carrera","ES",NA,NA,5,"NO",90,10,NA,NA,"1981",NA,NA,NA,-5.682600619,43.32588696,"500",275,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion",NA,"U37",0,"Walls","U37"
"NEW-OMAR-LF10",-0.116919939817213,0.0533318648891192,NA,"Sisymbrio officinalis-Hordeetum murini",NA,NA,NA,NA,NA,NA,"La Felguera","ES",NA,NA,70,"",0,9,NA,NA,"1981",NA,NA,NA,-5.682204615,43.31689226,"500",210,"Yes","ANTHROPOGENIC VEGETATION","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis",NA,"V37",0,"Trampled","V35"
"NEW-OMAR-LF109",0.110370627223472,0.135743023421487,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"La Felguera","ES",NA,NA,100,"",5,10,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",200,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-LF95",0.0545522177640665,0.105806069687022,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"La Felguera","ES",NA,NA,100,"S",0,40,NA,NA,"1981",NA,NA,NA,-5.682204615,43.31689226,"500",230,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-MO01",-0.0746873866280683,0.154622240483368,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,130.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.680778937,43.29204762,"10",224,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO02",-0.0625836404540545,0.1936334120431,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,108,"",0,1,NA,NA,"2020",NA,NA,NA,-5.680075536,43.29174898,"10",223,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO03",-0.059676942781279,0.130397693403632,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,104.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.679180719,43.29130174,"10",223,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO04",-0.0553599959505008,0.149665369396354,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,96.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.678167126,43.29095633,"10",224,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO05",-0.0507873908818535,0.131253628154099,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,104,"",0,1,NA,NA,"2020",NA,NA,NA,-5.676976812,43.29051601,"10",225,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO06",-0.0789963684168064,0.127540419395827,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,94.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.677426808,43.29065854,"10",226,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO07",-0.0648135303995651,0.15586129064602,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,115,"",0,1,NA,NA,"2020",NA,NA,NA,-5.678678368,43.29080929,"10",227,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO08",-0.0710969412614858,0.136197546950905,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,109,"",0,1,NA,NA,"2020",NA,NA,NA,-5.67961729,43.29113844,"10",226,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO09",-0.0833081641686294,0.183718282084754,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,108.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.680003752,43.29123743,"10",230,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-MO10",-0.100737460750285,0.147416146468886,NA,"",NA,NA,NA,NA,NA,NA,"Modesta","ES",NA,NA,100,"",0,1,NA,NA,"2020",NA,NA,NA,-5.679940332,43.29063565,"10",233,NA,NA,NA,NA,NA,NA,"V37",0,"Ruderal","V37"
"NEW-OMAR-NI01",0.218172539844163,0.17755125734893,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,98,"",0,1,NA,NA,"2020",NA,NA,NA,-5.702776474,43.3133463,"10",203,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-NI02",0.12976626546654,0.199041838753527,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,49,"",0,1,NA,NA,"2020",NA,NA,NA,-5.702508627,43.31314554,"10",203,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V37"
"NEW-OMAR-NI03",0.216944041065652,0.138116087676634,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,119,"",0,1,NA,NA,"2020",NA,NA,NA,-5.702204227,43.31295465,"10",203,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V37"
"NEW-OMAR-NI04",0.0473300567205123,0.180993005955772,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,119.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.701880334,43.31260214,"10",204,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V37"
"NEW-OMAR-NI05",0.128718775333421,0.154512869261441,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,69,"",0,1,NA,NA,"2020",NA,NA,NA,-5.701143268,43.31266459,"10",203,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V37"
"NEW-OMAR-NI06",-0.114830304113611,0.191366141060873,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,96,"",0,1,NA,NA,"2020",NA,NA,NA,-5.701055091,43.31290077,"10",203,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V37"
"NEW-OMAR-NI07",0.209890853799519,0.155554660022568,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,180.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.700902534,43.31307545,"10",202,NA,NA,NA,NA,NA,NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-NI10",0.344230734740041,0.0745224475133882,NA,"",NA,NA,NA,NA,NA,NA,"Nitrastur","ES",NA,NA,100.5,"",0,1,NA,NA,"2020",NA,NA,NA,-5.70073096,43.31365576,"10",201,NA,NA,NA,NA,NA,NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-PA102",0.0865223368568792,0.0466543694574908,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,100,"SE",0,20,NA,NA,"1981",NA,NA,NA,-5.654043577,43.23651311,"500",325,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-PA104",0.0246471560167979,0.0964291674197692,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,80,"SE",15,80,NA,NA,"1981",NA,NA,NA,-5.654043577,43.23651311,"500",250,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-PA30",-0.0762687215428238,0.0165212700417769,NA,"Comunidad de Poa annua",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,40,"",0,3,NA,NA,"1981",NA,NA,NA,-5.657174634,43.30847288,"500",340,"Yes","ANTHROPOGENIC VEGETATION","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion",NA,"V35",0,"Trampled","V35"
"NEW-OMAR-PA35",0.0130262424232578,-0.0467685573097957,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,60,"S",5,20,NA,NA,"1981",NA,NA,NA,-5.669491805,43.30818588,"500",335,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-PA68",0.184565038324714,0.0062368415466482,NA,"Comunidad de Cymbalaria muralis",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,40,"NO",90,10,NA,NA,"1981",NA,NA,NA,-5.654043577,43.23651311,"500",425,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion",NA,"U37",0,"Walls","U37"
"NEW-OMAR-PA97",0.00478494590935455,0.0834424716839444,NA,"Picridi echioides-Melilotetum albi",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,80,"S",0,40,NA,NA,"1981",NA,NA,NA,-5.654043577,43.23651311,"500",360,"Yes","ANTHROPOGENIC VEGETATION","Artemisietea vulgaris","Onopordetalia acanthii","Dauco-Melilotion",NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-PA98",-0.0188629971828255,0.0504635695920978,NA,"Sisymbrio officinalis-Hordeetum murini",NA,NA,NA,NA,NA,NA,"Pajomal","ES",NA,NA,80,"",0,15,NA,NA,"1981",NA,NA,NA,-5.654043577,43.23651311,"500",360,"Yes","ANTHROPOGENIC VEGETATION","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis",NA,"V37",0,"Ruderal","V37"
"NEW-OMAR-RE27",-0.0571548696435759,0.0196798929938308,NA,"Comunidad de Poa annua",NA,NA,NA,NA,NA,NA,"Respinedo","ES",NA,NA,50,"O",5,3,NA,NA,"1981",NA,NA,NA,-5.669491805,43.30818588,"500",225,"Yes","ANTHROPOGENIC VEGETATION","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion",NA,"V35",0,"Trampled","V35"
"NEW-OMAR-TU92",0.296017964499645,-0.0153912114643621,NA,"Comunidad de Cymbalaria muralis",NA,NA,NA,NA,NA,NA,"Turiellos","ES",NA,NA,30,"S",90,5,NA,NA,"1981",NA,NA,NA,-5.666346277,43.23622682,"500",325,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion",NA,"U37",0,"Walls","U37"
"P-P22131",-0.0956541108136857,-0.00274140647166519,122131,"Allio vineale-Ranunculetum sardoi",NA,NA,"30TXP31","",6265,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou","FR","ATL_COAST","N_DUNES",80,"",0,1000,"9215","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:","No forest",-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"," R     ","V37",0,"Weed","V15A"
"P-P22132",-0.0960564922955753,-0.0154952092783044,122132,"Allio vineale-Ranunculetum sardoi",NA,NA,"30TXP31","",6266,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou","FR","ATL_COAST","N_DUNES",80,"",0,400,"9215","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:","No forest",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"," V     ","V37",0,"Weed","V15A"
"P-P22135",-0.156200307653936,-0.105021970223684,122135,"Allio vineale-Ranunculetum sardoi",NA,NA,"30TXP41","30TXP4917",6267,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe","FR","ATL_COAST","N_DUNES",90,"",0,500,"9215","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:","No forest",-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"," R     ","V37",0,"Weed","V15A"
"P-P22136",0.0571106950739993,-0.167532448729718,122136,"Allio vineale-Ranunculetum sardoi",NA,NA,"30TXP41","30TXP4917",6268,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe","FR","ATL_COAST","N_DUNES",85,"",0,600,"9215","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:","No forest",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"," R     ","V37",0,"Weed","V15A"
"P-P22137",-0.0982993681826121,-0.0184584525987597,122137,"Allio vineale-Ranunculetum sardoi",NA,NA,"30TXP41","30TXP4917",6269,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe","FR","ATL_COAST","N_DUNES",95,"",0,1000,"9215","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:","No forest",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"," R     ","V37",0,"Weed","V15A"
"Q-P02778",0.377716895439733,-0.153491822676589,202778,"Oxalido-Parietarietum",137,14078,"30TVP41","",6271,NA,"Langre (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,40,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","      ?","U37",0,"Walls","U37"
"Q-P02779",0.209357391084747,-0.10415839416,202779,"Oxalido-Parietarietum",145,12079,"30TVP31","",6272,NA,"Santander","","ATL_COAST","N_DUNES",NA,"",NA,20,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","      ?","U37",0,"Walls","U37"
"Q-P02780",0.106883928425763,-0.0826070961942883,202780,"Oxalido-Parietarietum",140,13149,"30TVP21","",6270,NA,"Liengres (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,20,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae"," H32d  ","U37",0,"Walls","U37"
"Q-P02781",0.396190447900466,-0.15996519035774,202781,"Oxalido-Parietarietum",139,13435,"30TVP10","",6273,NA,"Santillana del Mar (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,50,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","      ?","U37",0,"Walls","U37"
"Q-P02782",0.127122283108633,-0.124057897377617,202782,"Oxalido-Parietarietum",145,12079,"30TVP31","",6274,NA,"Playa del Sardinero (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,10,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae"," V     ","U37",0,"Walls","U37"
"Q-P02783",0.120390906670462,-0.1373812810188,202783,"Oxalido-Parietarietum",102,11203,"30TVN26","",6275,NA,"Piquio (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,10,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","No forest",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae"," V15   ","U37",0,"Walls","U37"
