"","SIVIMID","X","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1","L2"
"22","R-P24473",739,"Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",6,2012,-6.700276782,42.4237297,"1 - UTM1x1 + Elevation",522,"SW",100,"Epilobietea angustifolii","Smyrnienion olusatri"
"23","S-P12113",1016,"Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","R57",15,1975,-6.431495524,43.49997367,"3 - UTM10x10 + Elevation",50,"NW",15,"Epilobietea angustifolii","Smyrnienion olusatri"
"24","S-P12114",1017,"Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","R57",10,1975,-6.553964927,43.5214375,"3 - UTM10x10 + Elevation",100,"NW",10,"Epilobietea angustifolii","Smyrnienion olusatri"
"25","S-P20231",1195,"Oxali-Parietarietum diffusae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",10,1972,-8.69927276,42.22276562,"3 - UTM10x10 + Elevation",50,"E",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"26","S-P20406",1247,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,1972,-8.756626836,42.39993072,"3 - UTM10x10 + Elevation",15,"NE",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"27","S-P20408",1249,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",10,1972,-8.745193175,42.40770778,"3 - UTM10x10 + Elevation",50,"N",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"28","S-P20409",1250,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V15",20,1972,-8.796984906,42.28446649,"3 - UTM10x10 + Elevation",100,"E",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"29","S-P20410",1251,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1972,-8.790511787,42.26679086,"3 - UTM10x10 + Elevation",100,"SE",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"30","S-P20411",1252,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1972,-8.806473068,42.28218448,"3 - UTM10x10 + Elevation",70,"NW",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"31","S-P20412",1253,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1972,-8.83651627,42.26625127,"3 - UTM10x10 + Elevation",80,"W",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"32","S-P20413",1254,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,1972,-8.846578977,42.29634309,"3 - UTM10x10 + Elevation",20,"NE",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"33","S-P20414",1255,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1972,-8.813351438,42.33044482,"3 - UTM10x10 + Elevation",100,"S",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"34","S-P20415",1256,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,1972,-8.661816316,42.31824822,"3 - UTM10x10 + Elevation",70,"SE",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"35","S-P20416",1257,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,1972,-8.672930964,42.3339008,"3 - UTM10x10 + Elevation",180,"S",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"36","S-P20417",1258,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,1972,-8.850740406,42.28892867,"3 - UTM10x10 + Elevation",100,"N",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"37","S-P20418",1259,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,1972,-8.761107417,42.1836586,"3 - UTM10x10 + Elevation",150,"SW",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"38","S-P20419",1260,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",15,1972,-8.790022314,42.18219795,"3 - UTM10x10 + Elevation",50,"SW",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"39","S-P20420",1261,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1972,-8.672424391,42.22050003,"3 - UTM10x10 + Elevation",80,"S",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"40","S-P20421",1262,"Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","R55",4,1972,-8.828947458,42.2630368,"3 - UTM10x10 + Elevation",50,"N",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"41","S-P20422",1263,"Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","H25",4,1972,-8.821048616,42.25623789,"3 - UTM10x10 + Elevation",60,"E",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"42","T-P05961",1522,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V11",10,1997,-7.486889724,41.96701878,"3 - UTM10x10 + Elevation",500,"N",5,"Epilobietea angustifolii","Smyrnienion olusatri"
"43","T-P05962",1523,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",14,1997,-7.513612217,41.96957064,"3 - UTM10x10 + Elevation",500,"S",5,"Epilobietea angustifolii","Smyrnienion olusatri"
"44","T-P05963",1524,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",15,1997,-7.454478929,41.95207655,"3 - UTM10x10 + Elevation",500,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
"45","T-P05964",1525,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",10,1997,-7.873573094,42.35276252,"3 - UTM10x10 + Elevation",140,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
"46","T-P05965",1526,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",18,1997,-7.622975702,42.54323107,"1 - UTM1x1 + Elevation",500,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
"47","T-P05966",1527,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",12,1997,-7.620853386,42.5145063,"1 - UTM1x1 + Elevation",380,"SE",5,"Epilobietea angustifolii","Smyrnienion olusatri"
"48","T-P05971",1530,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",15,1997,-7.911564883,41.11408263,"3 - UTM10x10 + Elevation",100,"E",40,"Epilobietea angustifolii","Smyrnienion olusatri"
"49","T-P05972",1531,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",15,1997,-8.803856493,42.33272783,"3 - UTM10x10 + Elevation",100,"NW",10,"Epilobietea angustifolii","Smyrnienion olusatri"
"50","T-P05973",1532,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",10,1997,-8.781682515,42.27623972,"3 - UTM10x10 + Elevation",60,"N",20,"Epilobietea angustifolii","Smyrnienion olusatri"
"51","T-P05974",1533,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",9,1997,-8.783931179,42.27432557,"3 - UTM10x10 + Elevation",70,"SE",80,"Epilobietea angustifolii","Smyrnienion olusatri"
"52","T-P05975",1534,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",15,1997,-8.764134987,42.26992447,"3 - UTM10x10 + Elevation",60,"N",5,"Epilobietea angustifolii","Smyrnienion olusatri"
"53","T-P05976",1535,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",25,1997,-8.67613738,42.28873135,"3 - UTM10x10 + Elevation",0,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
"54","T-P05977",1536,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",10,1997,-8.722652234,42.29361361,"3 - UTM10x10 + Elevation",40,"SW",10,"Epilobietea angustifolii","Smyrnienion olusatri"
"55","T-P05978",1537,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",4,1997,-8.581121353,42.3384208,"3 - UTM10x10 + Elevation",40,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
"56","T-P17218",2006,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1975,-8.654418308,42.42483896,"3 - UTM10x10 + Elevation",15,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"57","T-P17220",2008,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",10,1975,-8.677652213,42.43989049,"3 - UTM10x10 + Elevation",50,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"58","T-P17221",2009,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1975,-8.772686505,42.28389596,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"59","T-P17222",2010,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1975,-8.807070288,42.26235004,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"60","T-P17223",2011,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1975,-8.808852256,42.33427436,"3 - UTM10x10 + Elevation",70,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"61","T-P17224",2012,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,1975,-8.805710967,42.30022692,"3 - UTM10x10 + Elevation",80,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"62","T-P17225",2013,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,1975,-8.822537538,42.27236536,"3 - UTM10x10 + Elevation",20,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"63","T-P17226",2014,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V",20,1975,-8.769944917,42.28043363,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"64","T-P17227",2015,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R",20,1975,-8.678874459,42.29219622,"3 - UTM10x10 + Elevation",70,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"65","T-P17228",2016,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,1975,-8.716223267,42.3029373,"3 - UTM10x10 + Elevation",180,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"66","T-P17229",2017,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V38",20,1975,-8.80319532,42.32555992,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"67","T-P17230",2018,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",20,1975,-8.797375012,42.31505309,"3 - UTM10x10 + Elevation",150,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"68","T-P17231",2019,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","R55",15,1975,-8.730457271,42.21940638,"3 - UTM10x10 + Elevation",50,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"69","T-P17232",2020,"Arundini-Convolvuletum sepium","Senecionion fluviatilis","Epilobietea angustifolii","V39",20,1975,-8.665360817,42.33067547,"3 - UTM10x10 + Elevation",80,"",NA,"Epilobietea angustifolii","Senecionion fluviatilis"
"70","T-P22470",2098,"Fumario capreolatae-Veronicetum persicae","Oxalidion europaeae","Papaveretea rhoeadis","V32",2,1986,-6.090129678,43.53291119,"4 - UTM10x10 + Centroid",122,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"71","T-P36758",2325,"Urtico-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",18,1993,-7.623373982,42.54861694,"1 - UTM1x1 + Elevation",500,"",0,"Epilobietea angustifolii","Smyrnienion olusatri"
