"Analysis.Names","heightmean","heightmax","floweringmin","floweringmax","floweringmean","floweringwidth","alien","bryophyte","chamaephyte","geophyte","hemicryptophyte","hydrophyte","therophyte","phanerophyte","repetido","EIVE1.M","EIVE1.N","EIVE1.R","EIVE1.L","EIVE1.T","Disturbance.Severity","Disturbance.Severity.herblayer","Disturbance.Frequency","Disturbance.Frequency.herblayer","Mowing.Frequency","Grazing.Pressure","Soil.Disturbance"
"Althaea officinalis",50,150,5,6,5.5,2,0,0,0,0,0,0,0,0,0,5.6,5.9,7.6,7.1,5.6,0.47551,0.46134,1.41647,1.62671,0.544,0.22671,0.15893
"Alyssum simplex",140,15,2,6,4,5,0,0,0,0,0,0,1,0,0,2.4,2.9,6.8,8.2,5.8,0.62228,0.59638,1.4944,2.08543,0.36635,0.29944,0.3276
"Amaranthus albus",130,130,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.2,7.3,6.5,8.7,6.1,0.7841,0.77846,1.7728,1.9188,0.61245,0.14962,0.60775
"Amaranthus blitum aggr.",NA,NA,5,12,8.5,8,0,0,0,0,0,0,1,0,0,3.9,8.4,6.6,7.9,5.8,0.81386,0.78025,1.18996,1.78886,0.63899,0.16402,0.68716
"Amaranthus cruentus",75,50,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.6,8.3,7.6,8.1,6.5,NA,NA,NA,NA,NA,NA,NA
"Amaranthus deflexus",130,45,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.6,7.9,6.9,8,6.6,0.86845,0.86485,2.05392,2.28965,1.24386,0.13824,0.66368
"Amaranthus emarginatus",150,20,5,12,8.5,8,1,0,0,0,0,0,1,0,0,4.2,8.3,6.7,8,5.9,0.84423,0.84423,1.91678,1.91678,0.18755,0.187,0.51569
"Amaranthus graecizans",NA,NA,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.4,8.2,7.3,8.5,6.4,0.8481,0.8481,2.15786,2.15786,0.97661,0.15937,0.73727
"Amaranthus hybridus aggr.",33,30,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.8,7.9,6.7,8.3,6.1,NA,NA,NA,NA,NA,NA,NA
"Amaranthus powellii",85,300,6,11,8.5,6,1,0,0,0,0,0,1,0,0,3.7,7.8,7.5,8,5.9,NA,NA,NA,NA,NA,NA,NA
"Amaranthus retroflexus",300,50,5,12,8.5,8,1,0,0,0,0,0,1,0,0,3.7,8.5,6.6,8.1,5.7,0.84294,0.83925,1.89398,2.021,0.76664,0.13309,0.75313
"Ammi majus",22,100,5,9,7,5,0,0,0,0,0,0,1,0,0,3.3,7.3,7.7,7.5,6.5,0.86495,0.86186,1.96649,2.10318,0.56713,0.16875,0.64792
"Ammi visnaga",40,60,5,9,7,5,0,0,0,0,0,0,1,0,0,4.1,7.6,6.9,8.8,7.2,0.75676,0.75676,1.83501,1.83501,1.45939,0.18333,0.42432
"Ammophila arenaria aggr.",NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,3.9,4.7,6.9,9.1,4.6,0.43117,0.42072,1.71969,1.90055,0.17871,0.2423,0.54693
"Anacyclus clavatus",105,120,3,7,5,5,0,0,0,0,0,0,1,0,0,3,5.9,5.3,8.6,5.7,0.83162,0.82655,1.95867,2.13997,0.79597,0.225,0.49119
"Anagallis arvensis",80,120,3,8,5.5,6,0,0,0,0,0,0,1,0,0,3.9,6.1,6.5,6.7,4.8,0.7871,0.75023,1.37944,1.92919,0.40631,0.19607,0.63681
"Anagallis foemina",160,120,4,11,7.5,8,0,0,0,0,0,0,1,0,0,3.3,5.6,8.1,7.8,5.2,0.80088,0.77813,1.49976,1.97197,0.48726,0.19113,0.64543
"Anagallis monelli",8,40,3,7,5,5,0,0,0,0,0,0,0,0,0,1.9,2.9,3.5,8.7,6.7,NA,NA,NA,NA,NA,NA,NA
"Anarrhinum bellidifolium",105,40,3,10,6.5,8,0,0,0,0,0,0,0,0,0,3.1,3,3.1,8.2,5.9,0.54034,0.23882,0.31108,1.30716,0.09889,0.24322,0.16795
"Anchusa azurea",140,300,3,8,5.5,6,0,0,0,0,0,0,0,0,0,2.6,4.9,6.9,8.4,6.4,0.80927,0.77806,1.30337,1.9704,0.62419,0.2,0.57662
"Anchusa undulata",75,150,3,6,4.5,4,0,0,0,0,0,0,0,0,0,2.5,6.3,5.7,7.6,5.8,NA,NA,NA,NA,NA,NA,NA
"Andryala integrifolia",80,15,3,9,6,7,0,0,0,0,0,0,0,0,0,3,4.6,4.3,7.8,6.5,0.61463,0.4422,0.58295,1.61957,0.33499,0.26539,0.26098
"Anemone nemorosa",NA,NA,3,5,4,3,0,0,0,1,0,0,0,0,0,4.8,5.1,5.5,4.3,4.1,0.67108,0.18536,0.09087,1.33498,0.04866,0.19408,0.1148
"Angelica heterocarpa",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,5.9,6.3,6.1,8.2,5.2,NA,NA,NA,NA,NA,NA,NA
"Angelica major",120,100,6,8,7,3,0,0,0,0,0,0,0,0,0,6.3,2.9,3.3,7.5,3.8,0.54265,0.32029,0.48069,1.57351,0.09528,0.19254,0.1411
"Angelica pachycarpa",28,50,7,9,8,3,0,0,0,0,1,0,0,0,0,3.3,0.7,1,9.6,5.4,NA,NA,NA,NA,NA,NA,NA
"Angelica razulii",40,120,7,9,8,3,0,0,0,0,1,0,0,0,0,5,7.5,4.9,8.2,2.3,0.51364,0.32619,0.54992,1.50044,0.13674,0.19048,0.14318
"Angelica sylvestris",120,300,7,10,8.5,4,0,0,0,0,0,0,0,0,0,6.3,5.7,5.8,6,4,0.55893,0.39808,0.56279,1.51574,0.36123,0.17902,0.15429
"Anisantha diandra",100,45,3,8,5.5,6,0,0,0,0,0,0,1,0,0,2.8,6.1,6.6,7.7,6.3,0.76583,0.70652,1.05246,1.76422,0.54789,0.19729,0.43521
"Anisantha madritensis",60,200,1,7,4,7,0,0,0,0,0,0,1,0,0,2.1,5.2,6.8,8,6.3,0.79039,0.71888,1.03803,1.79858,0.49684,0.24503,0.40476
"Anisantha rigida",100,80,3,7,5,5,0,0,0,0,0,0,1,0,0,2.7,6.2,7.3,8.4,6.1,0.69571,0.64135,1.08524,1.81579,0.36398,0.20457,0.43961
"Anisantha rubens",70,40,1,6,3.5,6,0,0,0,0,0,0,1,0,0,1.6,4.9,7.1,8.1,7.2,0.73798,0.70361,1.2382,1.61332,0.37178,0.27447,0.37861
"Anisantha sterilis",4,90,3,8,5.5,6,0,0,0,0,0,0,1,0,0,3.2,6.2,6.4,7.1,5,0.72807,0.60894,0.77819,1.65322,0.46078,0.19505,0.41529
"Anisantha tectorum",100,50,3,5,4,3,0,0,0,0,0,0,1,0,0,2.6,4.6,7.2,8.3,5,0.65962,0.63126,1.32855,1.91776,0.50175,0.22617,0.48246
"Anogramma leptophylla",200,200,3,11,7,9,0,0,0,0,0,0,1,0,0,2.9,2.9,5.7,5.2,6,0.72468,0.5141,0.48819,1.59601,0.18109,0.27595,0.25696
"Anomodon viticulosus",50,50,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis arvensis",80,40,3,8,5.5,6,0,0,0,0,0,0,1,0,0,3.6,5.7,4.5,7.1,4.6,0.81355,0.79659,1.48618,2.00096,0.40103,0.17609,0.7043
"Anthemis cotula",500,40,4,8,6,5,0,0,0,0,0,0,1,0,0,3.7,6.1,6.1,7.3,5,0.78806,0.78368,1.86883,2.06954,0.7135,0.19344,0.60828
"Anthoxanthum amarum",85,20,3,6,4.5,4,0,0,0,0,0,0,0,0,0,5.9,2.3,2.2,7.8,4.8,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum",50,120,5,7,6,3,0,0,0,0,1,0,0,0,0,4.6,3.8,4.3,7,4.1,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum ovatum",80,30,4,6,5,3,0,0,0,0,0,0,1,0,0,2.5,2.3,4.9,7,7.3,0.58621,0.36364,0.53865,1.53864,0.25106,0.30345,0.18667
"Anthriscus caucalis",45,80,3,6,4.5,4,0,0,0,0,0,0,1,0,0,4.2,7.1,6.1,7,5.1,0.63276,0.49769,0.71659,1.49198,0.28893,0.20886,0.34903
"Anthriscus sylvestris",100,150,4,7,5.5,4,0,0,0,0,0,0,0,0,0,4.5,8.2,6.4,6.4,3.8,0.56971,0.44668,0.69343,1.54675,0.52535,0.15936,0.27054
"Anthyllis lotoides",300,30,4,6,5,3,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,0.39474,0.27763,0.80134,1.98984,0.60298,0.28904,0.19079
"Anthyllis vulneraria",20,20,5,8,6.5,4,0,0,0,0,0,0,0,0,0,3.1,2.9,7.3,8.1,4.2,0.45718,0.41387,1.18552,1.73721,0.38429,0.30086,0.17697
"Antinoria agrostidea",7.5,30,3,9,6,7,0,0,0,0,0,1,1,0,0,7.8,2.8,4.1,7.9,4.5,0.124,0.124,1.36906,1.36906,0.01811,0.0125,0.02
"Antirrhinum braun-blanquetii",80,85,4,8,6,5,0,0,1,0,0,0,0,0,0,2.1,1.8,7.9,8.8,6,NA,NA,NA,NA,NA,NA,NA
"Antirrhinum majus",150,65,5,9,7,5,0,0,1,0,1,0,1,0,0,3.6,6.3,7.1,7.2,5.9,0.60316,0.45312,0.6067,1.05238,0.24637,0.21053,0.22828
"Aphanes arvensis",70,21,4,8,6,5,0,0,0,0,0,0,1,0,0,4.4,4.8,4.6,6.5,4.7,0.79692,0.78859,1.83228,2.07255,0.46121,0.18873,0.7487
"Aphanes australis",80,10,2,8,5,7,0,0,0,0,0,0,1,0,0,3.6,3.9,3.8,7.4,5.1,0.69861,0.68264,1.61924,2.17047,0.46023,0.26099,0.62817
"Aphanes cornucopioides",40,14,3,7,5,5,0,0,0,0,0,0,1,0,0,2.4,4.9,5.2,8.1,5.2,NA,NA,NA,NA,NA,NA,NA
"Aphanes microcarpa",100,7,3,6,4.5,4,0,0,0,0,0,0,1,0,0,3.3,3.7,4.2,7.2,5.4,0.56708,0.56402,1.90128,2.07131,0.30992,0.34372,0.46151
"Apium graveolens",60,100,4,8,6,5,0,0,0,0,1,0,0,0,0,6.1,7.7,7.1,8.3,5.3,NA,NA,NA,NA,NA,NA,NA
"Aquilegia dichroa",175,70,5,6,5.5,2,0,0,0,0,1,0,0,0,0,7.5,6,5.2,5.4,6.4,0.62,0.245,0.30343,1.46534,0.09569,0.195,0.145
"Aquilegia vulgaris",100,75,4,8,6,5,0,0,0,0,1,0,0,0,0,4,4.5,7,6,4.4,0.63589,0.20301,0.14912,1.29264,0.09821,0.20629,0.11544
"Arabidopsis thaliana",90,40,2,6,4,5,0,0,0,0,0,0,1,0,0,3.3,4.1,4.9,7,4.6,0.7077,0.68176,1.36519,1.9484,0.40427,0.20238,0.61275
"Arabis alpina",80,40,4,8,6,5,0,0,1,0,0,0,0,0,0,4.5,3.1,8.5,7.4,2.1,0.40477,0.28856,0.65854,1.20913,0.04179,0.15212,0.15337
"Arabis auriculata",85,40,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.8,3.2,7.5,7.3,5.2,0.52585,0.46355,1.07405,1.80285,0.18556,0.33542,0.24
"Arabis glabra",60,140,5,7,6,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arabis hirsuta",70,35,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3.3,3.4,7.6,7,4,NA,NA,NA,NA,NA,NA,NA
"Arctium minus",40,172,6,10,8,5,0,0,0,0,1,0,0,0,0,4.3,8.8,6.9,7.9,4.1,0.67936,0.56623,0.73548,1.48508,0.50389,0.1867,0.27262
"Arctotheca calendula",58,40,1,7,4,7,1,0,0,0,0,0,1,0,0,3.7,6.3,8.3,7.9,6.3,0.84,0.82286,1.57448,2.27984,0.75696,0.18611,0.50833
"Arenaria grandiflora",106,30,4,8,6,5,0,0,1,0,1,0,0,0,0,2.1,2.2,8.7,8.5,3.7,0.38262,0.34308,1.22823,1.54567,0.11674,0.29188,0.12659
"Arenaria leptoclados",130,20,3,7,5,5,0,0,0,0,0,0,1,0,0,2.5,3.4,6.9,8.8,5.7,0.6156,0.59174,1.5013,1.98373,0.37739,0.33526,0.33176
"Arenaria montana",35,35,3,8,5.5,6,0,0,1,0,1,0,0,0,0,3.5,2.9,3.6,7.4,5,0.57743,0.18141,0.19958,1.32097,0.02715,0.23882,0.10381
"Arenaria serpyllifolia",4000,25,5,7,6,3,0,0,0,0,0,0,1,0,0,3.1,4.5,6.4,8.2,4.3,0.59253,0.57367,1.48069,1.91606,0.44486,0.27236,0.42509
"Arisarum vulgare",300,300,9,12,10.5,4,0,0,0,1,0,0,0,0,0,3.3,7.1,7.9,6.5,7.2,0.70857,0.30378,0.28368,1.39911,0.0405,0.28493,0.1455
"Aristolochia paucinervis",70,45,2,6,4,5,0,0,0,1,0,0,0,0,0,4.3,4.3,6.6,7.3,5.7,0.65521,0.23625,0.16595,1.406,0.05508,0.23648,0.11083
"Armeria ciliata",75,30,4,7,5.5,4,0,0,0,0,1,0,0,0,0,2.4,1.8,2.2,8.1,3.3,NA,NA,NA,NA,NA,NA,NA
"Armeria pungens",50,50,3,5,4,3,0,0,1,0,1,0,0,0,0,3.4,3.1,2.9,9.4,8.2,0.35556,0.32353,1.62767,1.98548,0,0.186,0.53404
"Arnoseris minima",100,35,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.5,3,2.7,7.5,4.8,0.73449,0.73122,2.02459,2.12565,0.2527,0.15075,0.70703
"Arrhenatherum elatius",250,200,5,10,7.5,6,0,0,0,0,1,0,0,0,0,4.4,7.3,6.8,7.5,4.3,0.52944,0.48335,1.1288,1.79222,0.82465,0.16914,0.30679
"Artemisia absinthium",87,60,7,9,8,3,0,0,0,0,1,0,0,0,0,3.3,7.4,6.7,8.7,4.7,0.70688,0.67201,1.22866,1.74094,0.77233,0.16923,0.34233
"Artemisia campestris aggr.",35,90,8,11,9.5,4,0,0,1,0,1,0,0,0,0,2.5,2.7,6.2,8.6,4.7,0.47826,0.45222,1.33588,1.79012,0.47111,0.29285,0.28174
"Artemisia verlotiorum",80,150,8,11,9.5,4,1,0,0,0,1,0,0,0,0,4.9,7.5,6.5,8.3,5.1,0.74101,0.65337,0.94742,1.64804,0.408,0.18,0.31517
"Artemisia vulgaris",150,130,7,9,8,3,0,0,0,0,1,0,0,0,0,4.1,7.6,6.3,7.5,4.6,0.70455,0.66978,1.21675,1.62781,0.62451,0.16011,0.39524
"Arum italicum",50,50,2,6,4,5,0,0,0,1,0,0,0,0,0,4.6,6.6,6,4.6,6.4,0.69497,0.246,0.15271,1.3848,0.04881,0.21097,0.13705
"Arum maculatum",100,100,4,6,5,3,0,0,0,1,0,0,0,0,0,5.4,7.6,7.3,2.6,4.6,0.69321,0.16041,0.05441,1.32641,0.01103,0.1856,0.10377
"Arundo donax",100,700,8,10,9,3,1,0,0,1,1,0,0,0,0,5.7,7.3,6.7,7.8,7.4,0.66185,0.47865,0.54999,1.54132,0.16568,0.19373,0.20417
"Asparagus officinalis",10,150,4,6,5,3,0,0,0,1,0,0,0,0,0,3.1,4.7,6.7,6.9,5.2,0.53308,0.42277,0.76702,1.61326,0.36981,0.24919,0.19134
"Asperugo procumbens",280,60,4,6,5,3,0,0,0,0,0,0,1,0,0,3.5,8.8,7.8,7.2,4.6,0.80185,0.74667,1.11736,1.74926,0.72069,0.14938,0.56325
"Asperula arvensis",20,50,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.3,4.3,8.6,7.1,5.9,0.82411,0.82018,1.79552,2.12093,0.66114,0.18487,0.70708
"Asphodelus albus",21,150,4,8,6,5,0,0,0,1,1,0,0,0,0,3.8,4.2,3.7,7,5.4,0.59318,0.25282,0.26572,1.40169,0.139,0.24529,0.11441
"Asplenium adiantum-nigrum aggr.",10,30,1,9,5,9,0,0,0,0,1,0,0,0,0,3.5,3.4,2.9,5.5,5,0.68091,0.12688,0.04524,1.27432,0.00614,0.23975,0.0984
"Asplenium ceterach",5,15,1,12,6.5,12,0,0,0,0,1,0,0,0,1,2.2,2,7.6,8,6.2,0.60176,0.24952,0.22779,1.1761,0.08164,0.24296,0.14251
"Asplenium marinum",51,58,3,11,7,9,0,0,0,0,1,0,0,0,0,4.2,3.6,6.5,6.8,6.3,0.11087,0.1,0.52447,0.53082,0,0.00543,0.00217
"Asplenium obovatum",10,30,1,12,6.5,12,0,0,0,0,1,0,0,0,1,3.6,1.7,3.7,3.7,6.6,0.49333,0.33922,0.49209,0.9383,0.175,0.20857,0.13558
"Asplenium ruta-muraria",4,10,1,12,6.5,12,0,0,0,0,1,0,0,0,0,2.7,2.6,8.3,7.4,4.1,0.48324,0.22836,0.33987,1.12718,0.05497,0.20766,0.12487
"Asplenium scolopendrium",20,50,1,11,6,11,0,0,0,0,1,0,0,0,1,4.9,5.2,7.9,2.8,4.3,0.67231,0.18219,0.10612,1.27305,0.01745,0.1517,0.10057
"Asplenium trichomanes",80,18,1,11,6,11,0,0,0,0,1,0,0,0,0,3.8,3.4,6,4.8,4.2,0.61555,0.17954,0.13579,1.19563,0.03648,0.19058,0.11211
"Asterolinon linum-stellatum",3,12,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.1,1.6,5.2,8.9,6.7,0.67616,0.49499,0.77109,1.79537,0.17581,0.34244,0.25631
"Astragalus glycyphyllos",120,80,5,7,6,3,0,0,0,0,1,0,0,0,0,3.8,3.8,6.8,5.8,4.4,0.6392,0.22929,0.18109,1.39387,0.14015,0.207,0.13057
"Athyrium filix-femina",30,120,6,9,7.5,4,0,0,0,0,1,0,0,0,0,5.6,5.8,5,2.7,4,0.67728,0.17765,0.08602,1.30228,0.01843,0.18655,0.10673
"Atriplex patula",150,120,7,9,8,3,0,0,0,0,0,0,1,0,0,4.4,7,7.2,6.8,4.6,0.80903,0.79951,1.62614,1.90779,0.66404,0.15658,0.68352
"Atriplex prostrata",110,120,7,9,8,3,0,0,0,0,0,0,1,0,0,5.3,7.8,7,8.2,4.9,0.57179,0.54326,1.23592,1.73714,0.1638,0.28251,0.32844
"Atriplex rosea",100,100,7,9,8,3,0,0,0,0,0,0,1,0,0,4.1,7,6.4,8.9,5.5,0.75,0.75,1.97392,1.97392,0.71098,0.19268,0.63023
"Atropa bella-donna",160,160,6,9,7.5,4,0,0,0,0,1,0,0,0,0,4.5,8.1,7.3,5.7,4.3,0.69452,0.22067,0.10951,1.3166,0.06873,0.18899,0.13607
"Avena barbata",50,160,3,9,6,7,0,0,0,0,0,0,1,0,0,2.6,4.6,6.4,7.8,6.4,0.75778,0.66182,0.98163,1.73585,0.44182,0.25661,0.37432
"Avena brevis",120,120,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,3.7,7,7.4,8.2,5.4,NA,NA,NA,NA,NA,NA,NA
