Relevé number,SIVIMID,CODE,EUNIS_REVISED,EUNIS2020,EUNISL1,EUNISL2,EUNISL3,Aspect,Slope,Area,Year,DEG_LON,DEG_LAT,Accuracy,Elevation,Class,Order,Alliance,Sintaxon
853,T-P17229,Q51,V38,V38,Ruderal,V39,Q51,,NA,20,1975,-8.80319532,42.32555992,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
478,S-P20419,Q51,R55,R,Ruderal,V39,Q51,SW,NA,15,1972,-8.790022314,42.18219795,3 - UTM10x10 + Elevation,50,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
844,T-P17220,Q51,R55,V,Ruderal,V39,Q51,,NA,10,1975,-8.677652213,42.43989049,3 - UTM10x10 + Elevation,50,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
476,S-P20417,Q51,V38,V38,Ruderal,V39,Q51,N,NA,20,1972,-8.850740406,42.28892867,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
467,S-P20408,Q51,R55,V,Ruderal,V39,Q51,N,NA,10,1972,-8.745193175,42.40770778,3 - UTM10x10 + Elevation,50,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
842,T-P17218,Q51,R55,V,Ruderal,V39,Q51,,NA,20,1975,-8.654418308,42.42483896,3 - UTM10x10 + Elevation,15,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
465,S-P20406,Q51,V38,V38,Ruderal,V39,Q51,NE,NA,20,1972,-8.756626836,42.39993072,3 - UTM10x10 + Elevation,15,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
855,T-P17231,Q51,R55,R55,Ruderal,V39,Q51,,NA,15,1975,-8.730457271,42.21940638,3 - UTM10x10 + Elevation,50,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
475,S-P20416,Q51,V39,V39,Ruderal,V39,Q51,S,NA,20,1972,-8.672930964,42.3339008,3 - UTM10x10 + Elevation,180,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
473,S-P20414,Q51,R55,V,Ruderal,V39,Q51,S,NA,20,1972,-8.813351438,42.33044482,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
849,T-P17225,Q51,R55,R55,Ruderal,V39,Q51,,NA,20,1975,-8.822537538,42.27236536,3 - UTM10x10 + Elevation,20,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
470,S-P20411,Q51,R55,V,Ruderal,V39,Q51,NW,NA,20,1972,-8.806473068,42.28218448,3 - UTM10x10 + Elevation,70,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
852,T-P17228,Q51,V39,V39,Ruderal,V39,Q51,,NA,20,1975,-8.716223267,42.3029373,3 - UTM10x10 + Elevation,180,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
847,T-P17223,Q51,R55,V,Ruderal,V39,Q51,,NA,20,1975,-8.808852256,42.33427436,3 - UTM10x10 + Elevation,70,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
845,T-P17221,Q51,R55,V,Ruderal,V39,Q51,,NA,20,1975,-8.772686505,42.28389596,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
1067,Q-P10052,V1a,V15,V15,Weed,V15C,V1,W,4.5,25,NA,-6.951235016,41.88949185,3 - UTM10x10 + Elevation,790,NA,NA,NA,
1785,U-P13663,V1a,V15,V13,Weed,V15C,V1,W,NA,100,1971,-5.890647284,43.18089224,4 - UTM10x10 + Centroid,814.5,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Bunio-Vicietum tetraspermae
1063,Q-P10048,V1a,V15,V15,Weed,V15C,V1,,NA,16,NA,-6.628056888,41.88576452,3 - UTM10x10 + Elevation,680,NA,NA,NA,
1214,R-P24017,V1a,V15,+,Weed,V15C,V1,N,15,25,1986,-6.906233053,42.41328501,3 - UTM10x10 + Elevation,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1897,R-P24608,V1a,V35,R1R,Trampled,V34,V1,S,3,1,2012,-6.620773945,42.3938561,1 - UTM1x1 + Elevation,1026,Polygono-Poetea annuae,Polygono arenastri-Poetalia annuae,Polycarpion tetraphylli,Crassulo tillaeae-Saginetum apetalae
1419,T-P03471,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.630956118,41.97932291,3 - UTM10x10 + Elevation,850,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1611,T-P27812,V1a,V15,V15,Weed,V15C,V1,E,3,NA,1958,-4.528495991,42.84729103,4 - UTM10x10 + Centroid,940,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Comunidad de Lathyrus aphaca y Scleranthus annuus
1075,Q-P10065,V1a,V15,V15,Weed,V15C,V1,S,13.5,1,2000,-6.736518026,41.88588395,3 - UTM10x10 + Elevation,630,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Miboro minimae-Arabidopsietum thalianae
1716,T-P36786,V1a,V15,V15,Weed,V15C,V1,W,5,10,1993,-7.660414587,42.42466861,1 - UTM1x1 + Elevation,200,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1483,T-P12050,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1988,-6.205383665,42.63315379,3 - UTM10x10 + Elevation,1070,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1420,T-P03472,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.721037279,41.99264297,3 - UTM10x10 + Elevation,890,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1426,T-P03500,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.689756159,42.61675948,3 - UTM10x10 + Elevation,500,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Cnico benedicti-Papaveretum argemones
1431,T-P03533,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-5.336090445,42.86670987,3 - UTM10x10 + Elevation,980,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Cnico benedicti-Papaveretum argemones
1416,T-P03468,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-7,43,5 - UTMs missing from DEM,830,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1418,T-P03470,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.449399262,42.05884169,4 - UTM10x10 + Centroid,800,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1654,T-P33537,V1a,V15,V15,Weed,V15A,V1,S,6,NA,1959,-8.544830183,42.887521,3 - UTM10x10 + Elevation,250,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1205,R-P24005,V1a,V15,R1R,Weed,V15C,V1,,NA,50,1986,-6.752607733,42.38526237,4 - UTM10x10 + Centroid,102,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1608,T-P27808,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1958,-6.282723413,42.5733329,3 - UTM10x10 + Elevation,1070,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Asociación de Linaria delphinoides-Anthoxanthum aristatum
1206,R-P24006,V1a,V15,V15,Weed,V15C,V1,,NA,80,1986,-6.752607733,42.38526237,4 - UTM10x10 + Centroid,126,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1429,T-P03512,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.51046248,42.59358715,3 - UTM10x10 + Elevation,600,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Cnico benedicti-Papaveretum argemones
1408,T-P02590,V1a,V15,V15,Weed,V15C,V1,SE,9,30,1984,-6.32531531,42.41182245,3 - UTM10x10 + Elevation,1220,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1424,T-P03482,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.579063781,42.5572459,3 - UTM10x10 + Elevation,610,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1486,T-P12077,V1a,V15,V15,Weed,V15C,V1,,NA,20,1988,-6.404473132,42.61659897,3 - UTM10x10 + Elevation,700,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Centaureo cyani-Raphanetum microcarpae
1428,T-P03503,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-5.944573422,42.63655899,3 - UTM10x10 + Elevation,960,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Cnico benedicti-Papaveretum argemones
1048,Q-P09948,V1a,V37,V32,Weed,V15C,V1,S,9,10,2000,-6.611594935,41.85026448,3 - UTM10x10 + Elevation,870,Artemisietea vulgaris,Onopordetalia acanthii,Cirsion richterano-chodati,Comunidad de Carduus carpetanus
1347,S-P19648,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1972,-7.898781588,43.16914822,3 - UTM10x10 + Elevation,470,NA,NA,NA,Associació-Desconeguda
1494,T-P12087,V1a,V15,V15,Weed,V15C,V1,,NA,100,1988,-6.612293157,42.62643471,3 - UTM10x10 + Elevation,620,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1049,Q-P09949,V1a,V39,R1R,Weed,V15C,V1,,NA,4,2000,-6.833092387,41.84847887,3 - UTM10x10 + Elevation,910,Artemisietea vulgaris,Onopordetalia acanthii,Cirsion richterano-chodati,Comunidad de Carduus carpetanus
1718,T-P36788,V1a,V15,V15,Weed,V15C,V1,E,NA,25,1993,-7.512785586,42.36576295,2 - UTM1x1 + Centroid,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1783,U-P13630,V1a,V15,R1R,Weed,V15C,V1,,NA,NA,1994,-7.089128404,43.53843902,4 - UTM10x10 + Centroid,40,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Tolpidi barbatae-Anthoxanthetum aristati
1499,T-P12095,V1a,V15,V15,Weed,V15C,V1,,NA,100,1988,-6.168679445,42.49469735,4 - UTM10x10 + Centroid,910,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1665,T-P33548,V1a,V15,V15,Weed,V15C,V1,S,NA,NA,1959,-8.50051025,42.85725756,1 - UTM1x1 + Elevation,150,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1078,Q-P10068,V1a,V15,V15,Weed,V15C,V1,,NA,6,2000,-7.182540579,41.88849023,3 - UTM10x10 + Elevation,700,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Miboro minimae-Arabidopsietum thalianae
1624,T-P32599,V1a,V15,V15,Weed,V15C,V1,SE,10,40,1995,-7.610928755,42.4788936,1 - UTM1x1 + Elevation,360,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1683,T-P33566,V1a,V15,V15,Weed,V15C,V1,N,5,NA,1959,-8.532775354,42.91691302,1 - UTM1x1 + Elevation,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1648,T-P33531,V1a,V15,V15,Weed,V15C,V1,E,NA,NA,1959,-8.563187251,42.90103111,3 - UTM10x10 + Elevation,400,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1523,T-P15408,V1a,V15,V15,Weed,V15C,V1,,NA,80,1986,-5.359937067,42.85001204,3 - UTM10x10 + Elevation,980,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Miboro minimae-Arabidopsietum thalianae
1768,U-P10344,V1a,V15,V15,Weed,V15A,V1,,NA,NA,1968,-8.578880115,42.47716376,3 - UTM10x10 + Elevation,235,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1055,Q-P10038,V1a,V15,V15,Weed,V15C,V1,,NA,8,NA,-6.570114655,41.88398082,3 - UTM10x10 + Elevation,900,NA,NA,NA,
1719,T-P36789,V1a,V15,V15,Weed,V15C,V1,SE,10,40,1993,-7.60515453,42.46652156,1 - UTM1x1 + Elevation,360,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1500,T-P12096,V1a,V15,R1R,Weed,V15C,V1,,NA,50,1988,-5.774226342,42.7002455,3 - UTM10x10 + Elevation,1120,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1621,T-P32596,V1a,V15,V15,Weed,V15C,V1,W,5,10,1995,-7.660414587,42.42466861,1 - UTM1x1 + Elevation,200,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1484,T-P12054,V1a,V15,V15,Weed,V15C,V1,,NA,70,1988,-6.223150644,42.50479023,3 - UTM10x10 + Elevation,1100,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Centaureo cyani-Raphanetum microcarpae
1684,T-P33567,V1a,V15,V15,Weed,V15C,V1,W,9,NA,1959,-8.562055917,42.88848324,3 - UTM10x10 + Elevation,300,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1222,R-P24620,V1a,V15,V15,Weed,V15A,V1,W,15,40,2012,-6.821438029,42.45756654,1 - UTM1x1 + Elevation,540,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1501,T-P12097,V1a,V15,V15,Weed,V15C,V1,,NA,50,1988,-5.748270154,42.72068205,3 - UTM10x10 + Elevation,1170,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1072,Q-P10061,V1a,V15,V15,Weed,V15C,V1,,NA,10,2000,-6.76432699,41.86696504,3 - UTM10x10 + Elevation,630,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Comunidad de Chrysanthemum segetum y Lolium rigidum
1061,Q-P10046,V1a,V15,V15,Weed,V15C,V1,,NA,20,NA,-6.602866544,41.82352414,3 - UTM10x10 + Elevation,880,NA,NA,NA,
1652,T-P33535,V1a,V15,V15,Weed,V15C,V1,S,8,NA,1959,-8.535426896,42.86457177,1 - UTM1x1 + Elevation,300,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1121,Q-P14990,V1a,V15,V15,Weed,V15A,V1,NE,NA,40,1982,-7.891862858,42.30696634,3 - UTM10x10 + Elevation,230,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
1047,Q-P09947,V1a,V38,V38,Weed,V15C,V1,,NA,8,2000,-6.7732351,41.89548738,3 - UTM10x10 + Elevation,990,Artemisietea vulgaris,Onopordetalia acanthii,Cirsion richterano-chodati,Comunidad de Carduus carpetanus
1623,T-P32598,V1a,V15,V15,Weed,V15C,V1,E,NA,25,1995,-7.477027036,42.85159596,2 - UTM1x1 + Centroid,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario amethysteae-Calenduletum arvensis
993,U-P06049,V1a,V15,V15,Ruderal,V37,V1,,NA,30,1988,-5.401025125,42.83655069,3 - UTM10x10 + Elevation,1070,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Centaureetum cyani
1080,Q-P10070,V1a,V15,V15,Weed,V15C,V1,E,9,4,2000,-6.61857634,41.83535117,4 - UTM10x10 + Centroid,560,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Miboro minimae-Arabidopsietum thalianae
1680,T-P33563,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1959,-8.538458603,42.92563953,1 - UTM1x1 + Elevation,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1682,T-P33565,V1a,V15,V15,Weed,V15C,V1,W,NA,NA,1959,-8.515541619,42.91571092,2 - UTM1x1 + Centroid,250,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1065,Q-P10050,V1a,V15,V15,Weed,V15C,V1,,NA,25,NA,-6.956713676,41.78304936,3 - UTM10x10 + Elevation,880,NA,NA,NA,
1496,T-P12090,V1a,V15,V15,Weed,V15C,V1,,NA,100,1988,-6.125389091,42.49669509,3 - UTM10x10 + Elevation,960,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1040,Q-P08735,V1a,V15,V15,Weed,V15C,V1,,NA,40,1990,-4.490192325,42.81601335,3 - UTM10x10 + Elevation,1090,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Centaureo cyani-Raphanetum microcarpae
1209,R-P24009,V1a,V15,V15,Weed,V15C,V1,W,25,200,1986,-6.877098566,42.29744784,4 - UTM10x10 + Centroid,104,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1071,Q-P10060,V1a,V15,V15,Weed,V15C,V1,W,4.5,12,2000,-6.635274238,41.88553598,3 - UTM10x10 + Elevation,640,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Comunidad de Chrysanthemum segetum y Lolium rigidum
1064,Q-P10049,V1a,V15,V15,Weed,V15C,V1,,NA,25,NA,-7.0318689,41.86867586,3 - UTM10x10 + Elevation,760,NA,NA,NA,
1068,Q-P10053,V1a,V15,V15,Weed,V15C,V1,,NA,15,NA,-7.067007472,41.89084622,3 - UTM10x10 + Elevation,860,NA,NA,NA,
1056,Q-P10040,V1a,V15,V15,Weed,V15C,V1,W,4.5,25,NA,-6.844864028,41.8841034,3 - UTM10x10 + Elevation,900,NA,NA,NA,
1425,T-P03492,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-5.406264651,42.84544537,3 - UTM10x10 + Elevation,1000,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1681,T-P33564,V1a,V15,V15,Weed,V15C,V1,W,3,NA,1959,-8.557958896,42.95169794,3 - UTM10x10 + Elevation,250,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1069,Q-P10054,V1a,V15,V15,Weed,V15C,V1,NNE,9,16,2000,-6.597757147,41.81828152,3 - UTM10x10 + Elevation,830,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Catapodietum patentis
1066,Q-P10051,V1a,V15,V15,Weed,V15C,V1,,NA,20,NA,-6.962255002,41.75584432,3 - UTM10x10 + Elevation,850,NA,NA,NA,
1062,Q-P10047,V1a,V15,V15,Weed,V15C,V1,SW,4.5,16,NA,-6.596850701,41.80210099,3 - UTM10x10 + Elevation,750,NA,NA,NA,
1679,T-P33562,V1a,V15,V15,Weed,V15C,V1,N,5,NA,1959,-8.55928018,42.91202409,1 - UTM1x1 + Elevation,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1070,Q-P10055,V1a,V15,V15,Weed,V15C,V1,SE,4.5,9,2000,-7.059109571,41.88032087,3 - UTM10x10 + Elevation,840,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Catapodietum patentis
1508,T-P12104,V1a,V15,V15,Weed,V15C,V1,,NA,10,1988,-6.608611707,42.60494081,3 - UTM10x10 + Elevation,560,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Miboro minimae-Arabidopsietum thalianae
1678,T-P33561,V1a,V15,V15,Weed,V15C,V1,N,NA,NA,1959,-8.583338351,42.93425511,3 - UTM10x10 + Elevation,350,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
1660,T-P33543,V1a,V15,V15,Weed,V15C,V1,NW,NA,NA,1959,-8.590665094,42.82587088,3 - UTM10x10 + Elevation,200,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1210,R-P24010,V1a,V15,V15,Weed,V15C,V1,W,25,150,1986,-6.877098566,42.29744784,4 - UTM10x10 + Centroid,104,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1034,Q-P07847,V1a,V15,V,Weed,V15C,V1,,NA,NA,1953,-4.047456892,43.39183754,4 - UTM10x10 + Centroid,49,NA,NA,NA,Associació-Desconeguda
1662,T-P33545,V1a,V15,V15,Weed,V15C,V1,NW,10,NA,1959,-8.537087631,42.82848246,3 - UTM10x10 + Elevation,250,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Chrysanthemum segetum-Raphanetum
1498,T-P12093,V1a,V15,V15,Weed,V15C,V1,,NA,120,1988,-6.25247205,42.22481396,3 - UTM10x10 + Elevation,970,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1044,Q-P08739,V1a,V15,V15,Weed,V15C,V1,,NA,80,1990,-4.77611585,42.9334869,4 - UTM10x10 + Centroid,1020,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Centaureo cyani-Raphanetum microcarpae
1497,T-P12092,V1a,V15,V15,Weed,V15C,V1,,NA,150,1988,-6.332840023,42.1864851,3 - UTM10x10 + Elevation,1150,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Spergulario-Arnoseretum minimae
1421,T-P03473,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.449399262,42.05884169,4 - UTM10x10 + Centroid,760,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1423,T-P03480,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.391625954,42.64939611,3 - UTM10x10 + Elevation,720,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1417,T-P03469,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1989,-6.517054166,42.20037363,4 - UTM10x10 + Centroid,760,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Triseto ovati-Arnoseridetum minimae
1207,R-P24007,V1a,V15,R1R,Weed,V15C,V1,SW,15,60,1986,-6.752607733,42.38526237,4 - UTM10x10 + Centroid,127,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linario eleganti-Anthoxanthetum aristati
1770,U-P10346,V1a,V15,V15,Weed,V15C,V1,,NA,NA,1968,-8.761838482,42.00538366,3 - UTM10x10 + Elevation,162,Papaveretea rhoeadis,Aperetalia spicae-venti,Scleranthion annui,Linaria delphinioides-Arnoseretum
