"SIVIMID","Relevé.number","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Sintaxon","Alliance.original","Alliance.revised","Class.Mucina","Class.Twinspan","Semisupervised"
"R-P24035",253,"V32","",NA,2,NA,-6.776178187,42.39243749,"3 - UTM10x10 + Elevation",1250,"","Unknown","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
"NEW-OMAR-NI05",34,NA,"",0,1,2020,-5.701143268,43.31266459,"10",203,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"NEW-OMAR-CA02",9,NA,"",0,1,2020,-5.67282991,43.2791419,"10",252,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"S-P15096",1305,"V15","",NA,100,NA,-2.00549556,43.21761051,"1 - UTM1x1 + Elevation",150,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"S-P15103",1312,"V15","",5,200,NA,-1.83369564,43.31683888,"1 - UTM1x1 + Elevation",125,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"S-P15112",1321,"V15","",NA,200,NA,-2.303936066,43.17479205,"2 - UTM1x1 + Centroid",180,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15105",1314,"V15","",NA,100,NA,-2.303936066,43.17479205,"2 - UTM1x1 + Centroid",180,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10038",1055,"V15","",NA,8,NA,-6.570114655,41.88398082,"3 - UTM10x10 + Elevation",900,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10041",1057,"V15","",NA,30,NA,-7.163941607,41.93598928,"3 - UTM10x10 + Elevation",780,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15110",1319,"V15","",2,100,NA,-2.023639242,43.31501636,"1 - UTM1x1 + Elevation",185,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15129",1327,"V13","",NA,100,NA,-2.386592992,43.02938579,"1 - UTM1x1 + Elevation",300,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"R-P24029",247,"V32","",NA,2,NA,-6.787157083,42.33264664,"3 - UTM10x10 + Elevation",990,"","Unknown","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
"S-P15128",1326,"V13","",0,200,NA,-2.379154529,43.27967944,"1 - UTM1x1 + Elevation",100,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15127",1325,"V13","",5,100,NA,-2.186761833,43.28927889,"1 - UTM1x1 + Elevation",200,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"NEW-OMAR-NI04",33,NA,"",0,1,2020,-5.701880334,43.31260214,"10",204,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"Q-P08687",44,"V32","",NA,15,1990,-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"Alliarion petiolatae","Alliarienion petiolatae","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
"Q-P13523",144,"V32","",NA,NA,2003,-8.63279612,41.77415324,"3 - UTM10x10 + Elevation",5,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13516",140,"V39","",NA,NA,2003,-8.586394188,41.12646408,"3 - UTM10x10 + Elevation",115,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13525",146,"V39","",NA,NA,2003,-8.264632808,41.86008796,"3 - UTM10x10 + Elevation",110,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13520",1101,"V32","",NA,NA,2003,-8.572921413,41.77708254,"3 - UTM10x10 + Elevation",10,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13518",141,"V39","",NA,NA,2003,-8.255182038,41.86232255,"3 - UTM10x10 + Elevation",110,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13521",142,"V39","",NA,NA,2003,-8.622931239,41.24711069,"3 - UTM10x10 + Elevation",120,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13524",145,"V32","",NA,NA,2003,-8.783882159,41.68920542,"3 - UTM10x10 + Elevation",5,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13527",148,"V39","",NA,NA,2003,-8.68699512,41.29796642,"3 - UTM10x10 + Elevation",70,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13522",143,"V32","",NA,NA,2003,-8.645241517,41.33963775,"3 - UTM10x10 + Elevation",80,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13526",147,"V32","",NA,NA,2003,-8.591556494,40.99117886,"3 - UTM10x10 + Elevation",90,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13519",1100,"V32","",NA,NA,2003,-8.860919048,41.84912089,"3 - UTM10x10 + Elevation",5,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P13528",1102,"V32","",NA,NA,2003,-8.642655277,41.28215125,"3 - UTM10x10 + Elevation",100,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13529",149,"V32","",NA,NA,2003,-8.538011733,41.25844143,"3 - UTM10x10 + Elevation",145,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13514",138,"V32","",NA,NA,2003,-8.612696465,41.76433749,"3 - UTM10x10 + Elevation",15,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13517",1099,"V32","",NA,NA,2003,-8.579791927,41.21680786,"3 - UTM10x10 + Elevation",70,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P13530",150,"V39","",NA,NA,2003,-8.247836068,41.86085883,"3 - UTM10x10 + Elevation",100,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13511",1098,"V32","",NA,NA,2003,-8.560248488,41.2393617,"3 - UTM10x10 + Elevation",100,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P13513",137,"V","",NA,NA,2003,-8.629594569,41.24138274,"3 - UTM10x10 + Elevation",120,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13515",139,"V32","",NA,NA,2003,-8.57665353,41.20795808,"3 - UTM10x10 + Elevation",90,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"Q-P13512",136,"V32","",NA,NA,2003,-8.634095047,41.21055453,"3 - UTM10x10 + Elevation",100,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Smyrnienion olusatri","Epilobietea angustifolii","Epilobietea angustifolii",1
"P-P22131",1021,"R","",0,1000,2005,-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5,"Allio vineale-Ranunculetum sardoi","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"P-P22132",1022,"V","",0,400,2005,-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"Allio vineale-Ranunculetum sardoi","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"P-P22135",1023,"R","",0,500,2005,-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2,"Allio vineale-Ranunculetum sardoi","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"P-P22136",1024,"R","",0,600,2005,-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Allio vineale-Ranunculetum sardoi","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"P-P22137",1025,"R","",0,1000,2005,-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Allio vineale-Ranunculetum sardoi","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"T-P12049",1482,"V37","",NA,NA,1988,-6.628735997,42.57369008,"3 - UTM10x10 + Elevation",500,"Amarantho hybridi-Chenopodietum polyspermi","Oxalidion europaeae","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"R-P23989",231,"V39","E",90,2,1986,-6.812063445,42.30300642,"3 - UTM10x10 + Elevation",990,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P23991",233,"V39","W",35,4,1986,-6.799957766,42.30340878,"3 - UTM10x10 + Elevation",900,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"T-P36767",943,"V37","N",NA,12,1993,-7.603704614,42.44677255,"1 - UTM1x1 + Elevation",420,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P23996",237,"V39","NW",10,4,1986,-6.906982932,42.38624705,"3 - UTM10x10 + Elevation",680,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P23993",235,"V39","",NA,2,1986,-6.967014134,42.37517826,"3 - UTM10x10 + Elevation",960,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P23992",234,"V","NW",90,10,1986,-6.875592824,42.42873318,"3 - UTM10x10 + Elevation",680,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P23990",232,"V37","",NA,2,1986,-6.80765505,42.31035653,"3 - UTM10x10 + Elevation",900,"Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
