SIVIMID,Relevé.number,NMDS1,NMDS2,Sintaxon,Temp,Precip,UTM10X10,UTM1X1,JuiceID,OriginalElevation,Locality,Country,ECOREG_WWF,DUNES_BOHN,Plant.Cover,Aspect,Slope,Area,SintaxonID,Authors,Year,Title,Publication,EUNIS2020,Type,DEG_LON,DEG_LAT,Accuracy,Elevation,ANTHROPIC,Vegetation,Class,Order,Alliance,Twinspan,Twinspan2,EUNIS_REVISED,PriorCluster
NEW-OMAR-CA03,NA,-0.044740064,0.182762397,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,127,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.672872063,43.27897884,10,254,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA04,NA,0.008512793,0.22308914,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,62,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673663223,43.27875325,10,255,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA05,NA,-0.002669418,0.194449427,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,143,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673593878,43.27829566,10,257,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA06,NA,-0.035429586,0.188295749,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,131,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673457181,43.27855097,10,254,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA07,NA,0.171556907,0.24858527,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,107.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673290343,43.27868093,10,254,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA08,NA,-0.028919558,0.193813543,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,137.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673131087,43.27870267,10,255,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA09,NA,-0.086781164,0.19446019,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,108.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.6741795,43.27872316,10,256,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA10,NA,-0.096696742,0.228154468,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,102.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.674394578,43.27800681,10,257,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CC23,NA,-0.083039911,0.089102939,Lolio-Plantaginetum majoris,NA,NA,NA,NA,NA,NA,Campo Carrera,ES,NA,NA,40,,0,4,NA,NA,1981,NA,NA,NA,NA,-5.682600619,43.32588696,500,280,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V35 Trampled,V35 Trampled perennials,R36,1
NEW-OMAR-CC86,NA,0.190660289,-0.038911384,Comunidad de Cymbalaria muralis,NA,NA,NA,NA,NA,NA,Campo Carrera,ES,NA,NA,5,NO,90,10,NA,NA,1981,NA,NA,NA,NA,-5.682600619,43.32588696,500,275,?,VEGETATION OF ROCK CREVICES AND SCREES,Cymbalario-Parietarietea diffusae,Tortulo-Cymbalarietalia,Cymbalario-Asplenion,U37 Walls,U37 Walls,U37,3
NEW-OMAR-LF10,NA,-0.147709383,0.045502475,Sisymbrio officinalis-Hordeetum murini,NA,NA,NA,NA,NA,NA,La Felguera,ES,NA,NA,70,,0,9,NA,NA,1981,NA,NA,NA,NA,-5.682204615,43.31689226,500,210,Yes,ANTHROPOGENIC VEGETATION,Sisymbrietea,Sisymbrietalia sophiae,Sisymbrion officinalis,V35 Trampled,V35 Mesic trampled annuals,,0
NEW-OMAR-LF109,NA,0.152996404,0.157641676,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,La Felguera,ES,NA,NA,100,,5,10,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,200,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V39 Mesic ruderals,V39 Eastern mesic ruderals,V39,9
NEW-OMAR-LF95,NA,0.064443553,0.133537719,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,La Felguera,ES,NA,NA,100,S,0,40,NA,NA,1981,NA,NA,NA,NA,-5.682204615,43.31689226,500,230,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V39 Mesic ruderals,V39 Eastern mesic ruderals,V39,9
NEW-OMAR-MO01,NA,-0.080445111,0.209997154,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,130.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.680778937,43.29204762,10,224,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO02,NA,-0.075634196,0.254751335,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,108,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.680075536,43.29174898,10,223,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO03,NA,-0.074378624,0.164879796,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,104.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.679180719,43.29130174,10,223,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO04,NA,-0.074586703,0.186947289,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,96.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.678167126,43.29095633,10,224,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO05,NA,-0.06125271,0.171272672,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,104,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.676976812,43.29051601,10,225,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO06,NA,-0.095304986,0.168118424,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,94.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.677426808,43.29065854,10,226,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO07,NA,-0.081814084,0.200698522,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,115,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.678678368,43.29080929,10,227,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO08,NA,0.093804096,-0.025831662,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,109,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.67961729,43.29113844,10,226,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO09,NA,-0.113907607,0.237361502,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,108.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.680003752,43.29123743,10,230,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-MO10,NA,-0.126186221,0.192707207,,NA,NA,NA,NA,NA,NA,Modesta,ES,NA,NA,100,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.679940332,43.29063565,10,233,NA,NA,NA,NA,NA,V35 Trampled,V35 Trampled perennials,,0
NEW-OMAR-NI01,NA,0.28895098,0.231417016,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,98,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.702776474,43.3133463,10,203,NA,NA,NA,NA,NA,V39 Mesic ruderals,V39 Eastern mesic ruderals,V39,9
NEW-OMAR-NI02,NA,0.153828526,0.26100459,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,49,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.702508627,43.31314554,10,203,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V39,9
NEW-OMAR-NI03,NA,0.231076192,0.233088788,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,119,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.702204227,43.31295465,10,203,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V39,9
NEW-OMAR-NI04,NA,-0.015667471,0.232405881,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,119.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.701880334,43.31260214,10,204,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V39,9
NEW-OMAR-NI05,NA,0.108545355,0.215973304,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,69,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.701143268,43.31266459,10,203,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V39,9
NEW-OMAR-NI06,NA,-0.14819202,0.252995999,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,96,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.701055091,43.31290077,10,203,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V39,9
NEW-OMAR-NI07,NA,0.227925469,0.239677332,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,180.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.700902534,43.31307545,10,202,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-NI10,NA,0.462836739,0.114322264,,NA,NA,NA,NA,NA,NA,Nitrastur,ES,NA,NA,100.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.70073096,43.31365576,10,201,NA,NA,NA,NA,NA,U37 Walls,U37 Walls,V39,9
NEW-OMAR-PA102,NA,0.120284333,0.060719537,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,100,SE,0,20,NA,NA,1981,NA,NA,NA,NA,-5.654043577,43.23651311,500,325,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V39 Mesic ruderals,V39 Eastern mesic ruderals,V39,9
NEW-OMAR-PA104,NA,0.0285239,0.12822895,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,80,SE,15,80,NA,NA,1981,NA,NA,NA,NA,-5.654043577,43.23651311,500,250,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-PA30,NA,-0.096474546,0.010162883,Comunidad de Poa annua,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,40,,0,3,NA,NA,1981,NA,NA,NA,NA,-5.657174634,43.30847288,500,340,Yes,ANTHROPOGENIC VEGETATION,Polygono-Poetea annuae,Polygono arenastri-Poetalia annuae,Polygono-Coronopodion,V35 Trampled,V35 Mesic trampled annuals,V35,6
NEW-OMAR-PA35,NA,0.02030114,-0.062401254,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,60,S,5,20,NA,NA,1981,NA,NA,NA,NA,-5.669491805,43.30818588,500,335,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-PA68,NA,0.232599395,0.019241783,Comunidad de Cymbalaria muralis,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,40,NO,90,10,NA,NA,1981,NA,NA,NA,NA,-5.654043577,43.23651311,500,425,?,VEGETATION OF ROCK CREVICES AND SCREES,Cymbalario-Parietarietea diffusae,Tortulo-Cymbalarietalia,Cymbalario-Asplenion,U37 Walls,U37 Walls,U37,3
NEW-OMAR-PA97,NA,0.015710651,0.107465582,Picridi echioides-Melilotetum albi,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,80,S,0,40,NA,NA,1981,NA,NA,NA,NA,-5.654043577,43.23651311,500,360,Yes,ANTHROPOGENIC VEGETATION,Artemisietea vulgaris,Onopordetalia acanthii,Dauco-Melilotion,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-PA98,NA,-0.02813983,0.070830583,Sisymbrio officinalis-Hordeetum murini,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,80,,0,15,NA,NA,1981,NA,NA,NA,NA,-5.654043577,43.23651311,500,360,Yes,ANTHROPOGENIC VEGETATION,Sisymbrietea,Sisymbrietalia sophiae,Sisymbrion officinalis,V37 Annual ruderals,V37 Annual ruderals,V37,7
NEW-OMAR-RE27,NA,-0.076134495,0.026259154,Comunidad de Poa annua,NA,NA,NA,NA,NA,NA,Respinedo,ES,NA,NA,50,O,5,3,NA,NA,1981,NA,NA,NA,NA,-5.669491805,43.30818588,500,225,Yes,ANTHROPOGENIC VEGETATION,Polygono-Poetea annuae,Polygono arenastri-Poetalia annuae,Polygono-Coronopodion,V35 Trampled,V35 Mesic trampled annuals,V35,6
NEW-OMAR-TU92,NA,0.401026666,-0.002916119,Comunidad de Cymbalaria muralis,NA,NA,NA,NA,NA,NA,Turiellos,ES,NA,NA,30,S,90,5,NA,NA,1981,NA,NA,NA,NA,-5.666346277,43.23622682,500,325,?,VEGETATION OF ROCK CREVICES AND SCREES,Cymbalario-Parietarietea diffusae,Tortulo-Cymbalarietalia,Cymbalario-Asplenion,U37 Walls,U37 Walls,U37,3
P-P22131,122131,-0.120815227,-0.034867217,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP31,,6265,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou",FR,ATL_COAST,N_DUNES,80,,0,1000,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:, R     ,No forest,-1.381462446,43.44279511,3 - UTM10x10 + Elevation,5,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis,V35 Trampled,V35 Mesic trampled annuals,,0
P-P22132,122132,-0.120887875,-0.043161182,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP31,,6266,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou",FR,ATL_COAST,N_DUNES,80,,0,400,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:, V     ,No forest,-1.319948701,43.43290349,3 - UTM10x10 + Elevation,5,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis,V15 Weeds of rich soils,V15 Winter weeds of rich soils,,0
P-P22135,122135,-0.194889756,-0.137036935,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP41,30TXP4917,6267,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe",FR,ATL_COAST,N_DUNES,90,,0,500,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:, R     ,No forest,-1.253309719,43.43010393,3 - UTM10x10 + Elevation,2,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis,V15 Weeds of rich soils,V15 Winter weeds of rich soils,,0
P-P22136,122136,-0.099515627,-0.223405659,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP41,30TXP4917,6268,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe",FR,ATL_COAST,N_DUNES,85,,0,600,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:, R     ,No forest,-1.253257937,43.43190397,3 - UTM10x10 + Elevation,2,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis,V15 Weeds of rich soils,V15 Winter weeds of rich soils,,0
