"","Relevé.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"45",210407,"Q-P10407","Mentha suaveolens","Mentha suaveolens","1",5
"46",210407,"Q-P10407","Poa annua","Ochlopoa annua","1",5
"47",210407,"Q-P10407","Paspalum paspalodes","Paspalum distichum","4",62.5
"48",210407,"Q-P10407","Polygonum lapathifolium","Persicaria lapathifolia","1",5
"49",210407,"Q-P10407","Polygonum persicaria","Persicaria maculosa","1",5
"50",210407,"Q-P10407","Plantago lanceolata","Plantago lanceolata","1",5
"51",210407,"Q-P10407","Polygonum arenastrum","Polygonum aviculare","+",1
"52",210407,"Q-P10407","Ranunculus repens","Ranunculus repens","e",15
"53",210407,"Q-P10407","Rumex conglomeratus","Rumex conglomeratus","1",5
"54",210407,"Q-P10407","Trifolium repens","Trifolium repens","+",1
"55",210408,"Q-P10408","Bidens tripartita","Bidens tripartitus","+",1
"56",210408,"Q-P10408","Cyperus longus","Cyperus longus","e",15
"57",210408,"Q-P10408","Lycopus europaeus","Lycopus europaeus","+",1
"58",210408,"Q-P10408","Lythrum salicaria","Lythrum salicaria","1",5
"59",210408,"Q-P10408","Mentha suaveolens","Mentha suaveolens","1",5
"60",210408,"Q-P10408","Paspalum paspalodes","Paspalum distichum","4",62.5
"61",210408,"Q-P10408","Polygonum salicinum","Persicaria decipiens","e",15
"62",210408,"Q-P10408","Polygonum persicaria","Persicaria maculosa","1",5
"63",210408,"Q-P10408","Ranunculus repens","Ranunculus repens","1",5
"64",212631,"Q-P12631","Ammophila arenaria","Ammophila arenaria","*",1
"65",212631,"Q-P12631","Carex arenaria","Carex arenaria","b",5
"66",212631,"Q-P12631","Anthemis mixta","Cladanthus mixtus","a",5
"67",212631,"Q-P12631","Corrigiola litoralis","Corrigiola litoralis","+",1
"68",212631,"Q-P12631","Corynephorus canescens var. maritima","Corynephorus canescens","f",15
"69",212631,"Q-P12631","Crucianella maritima","Crucianella maritima","*",1
"70",212631,"Q-P12631","Euphorbia paralias","Euphorbia paralias","*",1
"71",212631,"Q-P12631","Glaucium flavum","Glaucium flavum","+",1
"72",212631,"Q-P12631","Herniaria ciliolata","Herniaria ciliolata","a",5
"73",212631,"Q-P12631","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","a",5
"74",212631,"Q-P12631","Linaria polygalifolia","Linaria polygalifolia","+",1
"75",212631,"Q-P12631","Malcolmia littorea","Malcolmia littorea","2",15
"76",212631,"Q-P12631","Medicago littoralis","Medicago littoralis","2",15
"77",212631,"Q-P12631","Medicago marina","Medicago marina","*",1
"78",212631,"Q-P12631","Plantago coronopus","Plantago coronopus","1",5
"79",212631,"Q-P12631","Polycarpon alsinifolium","Polycarpon tetraphyllum","+",1
"80",212631,"Q-P12631","Trifolium scabrum","Trifolium scabrum","2",15
"81",212631,"Q-P12631","Vulpia alopecurus","Vulpia alopecuros","4",62.5
"82",212632,"Q-P12632","Otanthus maritimus","Achillea maritima","+",1
"83",212632,"Q-P12632","Anthemis mixta","Cladanthus mixtus","*",1
"84",212632,"Q-P12632","Corrigiola litoralis","Corrigiola litoralis","+",1
"85",212632,"Q-P12632","Corynephorus canescens var. maritima","Corynephorus canescens","a",5
"86",212632,"Q-P12632","Cynodon dactylon","Cynodon dactylon","b",5
"87",212632,"Q-P12632","Herniaria ciliolata","Herniaria ciliolata","a",5
"88",212632,"Q-P12632","Jasione lusitanica","Jasione montana","*",1
"89",212632,"Q-P12632","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","b",5
"90",212632,"Q-P12632","Malcolmia littorea","Malcolmia littorea","*",1
"91",212632,"Q-P12632","Medicago littoralis","Medicago littoralis","f",15
"92",212632,"Q-P12632","Plantago coronopus","Plantago coronopus","1",5
"93",212632,"Q-P12632","Trifolium scabrum","Trifolium scabrum","f",15
"94",212632,"Q-P12632","Vulpia alopecurus","Vulpia alopecuros","p",62.5
"95",212633,"Q-P12633","Filago maritima","Achillea maritima","+",1
"96",212633,"Q-P12633","Carex arenaria","Carex arenaria","3",37.5
"97",212633,"Q-P12633","Cistus salviifolius","Cistus salviifolius","*",1
"98",212633,"Q-P12633","Helichrysum angustifolium","Helichrysum italicum","a",5
"99",212633,"Q-P12633","Herniaria ciliolata","Herniaria ciliolata","*",1
"100",212633,"Q-P12633","Hypochoeris radicata","Hypochaeris radicata","+",1
"101",212633,"Q-P12633","Jasione lusitanica","Jasione montana","a",5
"102",212633,"Q-P12633","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"103",212633,"Q-P12633","Ornithopus pinnatus","Ornithopus pinnatus","+",1
"104",212633,"Q-P12633","Pinus pinaster","Pinus pinaster","+",1
"105",212633,"Q-P12633","Sedum arenarium","Sedum arenarium","+",1
"106",212633,"Q-P12633","Silene portensis","Silene portensis","a",5
"107",212633,"Q-P12633","Tuberaria guttata","Tuberaria guttata","1",5
"108",212633,"Q-P12633","Ulex europaeus","Ulex europaeus","+",1
"109",212633,"Q-P12633","Vulpia alopecurus","Vulpia alopecuros","o",62.5
"110",212634,"Q-P12634","Ammophila arenaria","Ammophila arenaria","f",15
"111",212634,"Q-P12634","Anagallis monelli var. microphylla","Anagallis monelli","+",1
"112",212634,"Q-P12634","Carpobrotus edulis","Carpobrotus edulis","+",1
"113",212634,"Q-P12634","Rhynchosinapis johnstonii","Coincya monensis","+",1
"114",212634,"Q-P12634","Crucianella maritima","Crucianella maritima","*",1
"115",212634,"Q-P12634","Eryngium maritimum","Eryngium maritimum","+",1
"116",212634,"Q-P12634","Evax pygmaea","Filago pygmaea","1",5
"117",212634,"Q-P12634","Jasione lusitanica","Jasione montana","f",15
"118",212634,"Q-P12634","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"119",212634,"Q-P12634","Linaria polygalifolia","Linaria polygalifolia","+",1
"120",212634,"Q-P12634","Malcolmia littorea","Malcolmia littorea","f",15
"121",212634,"Q-P12634","Polycarpon alsinifolium","Polycarpon tetraphyllum","+",1
"122",212634,"Q-P12634","Rumex bucephalophorus","Rumex bucephalophorus","+",1
"123",212634,"Q-P12634","Holoschoenus romanus","Scirpoides holoschoenus","*",1
"124",212634,"Q-P12634","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","f",15
"125",212634,"Q-P12634","Silene littorea","Silene littorea","+",1
"126",212634,"Q-P12634","Silene portensis","Silene portensis","e",15
"127",212634,"Q-P12634","Vulpia alopecurus","Vulpia alopecuros","j",37.5
"128",212635,"Q-P12635","Anagallis monelli var. microphylla","Anagallis monelli","1",5
"129",212635,"Q-P12635","Artemisia crithmifolia","Artemisia campestris","b",5
"130",212635,"Q-P12635","Calystegia soldanella","Calystegia soldanella","+",1
"131",212635,"Q-P12635","Centaurea polyacantha","Centaurea sphaerocephala","a",5
"132",212635,"Q-P12635","Anthemis mixta","Cladanthus mixtus","a",5
"133",212635,"Q-P12635","Rhynchosinapis johnstonii","Coincya monensis","+",1
"134",212635,"Q-P12635","Corynephorus canescens var. maritima","Corynephorus canescens","3",37.5
"135",212635,"Q-P12635","Crucianella maritima","Crucianella maritima","*",1
"136",212635,"Q-P12635","Echium rosulatum","Echium rosulatum","+",1
"137",212635,"Q-P12635","Euphorbia paralias","Euphorbia paralias","1",5
"138",212635,"Q-P12635","Euphorbia portlandica","Euphorbia portlandica","*",1
"139",212635,"Q-P12635","Glaucium flavum","Glaucium flavum","+",1
"140",212635,"Q-P12635","Jasione lusitanica","Jasione montana","a",5
"141",212635,"Q-P12635","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","a",5
"142",212635,"Q-P12635","Linaria polygalifolia","Linaria polygalifolia","+",1
"143",212635,"Q-P12635","Lolium parabolicae","Lolium rigidum","*",1
"144",212635,"Q-P12635","Medicago littoralis","Medicago littoralis","*",1
"145",212635,"Q-P12635","Polygonum maritimum","Polygonum maritimum","*",1
"146",212635,"Q-P12635","Scrophularia frutescens","Scrophularia canina","+",1
"147",212635,"Q-P12635","Silene littorea","Silene littorea","+",1
"148",212635,"Q-P12635","Vulpia alopecurus","Vulpia alopecuros","i",37.5
"149",212637,"Q-P12637","Filago maritima","Achillea maritima","+",1
"150",212637,"Q-P12637","Anagallis monelli var. microphylla","Anagallis monelli","+",1
"151",212637,"Q-P12637","Carex arenaria","Carex arenaria","a",5
"152",212637,"Q-P12637","Cistus salviifolius","Cistus salviifolius","a",5
"153",212637,"Q-P12637","Corynephorus canescens var. maritima","Corynephorus canescens","2",15
"154",212637,"Q-P12637","Euphorbia portlandica","Euphorbia portlandica","*",1
"155",212637,"Q-P12637","Evax pygmaea","Filago pygmaea","+",1
"156",212637,"Q-P12637","Herniaria ciliolata","Herniaria ciliolata","*",1
"157",212637,"Q-P12637","Stereodon cupressiformis","Hypnum cupressiforme","+",1
"158",212637,"Q-P12637","Jasione lusitanica","Jasione montana","2",15
"159",212637,"Q-P12637","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"160",212637,"Q-P12637","Malcolmia littorea","Malcolmia littorea","a",5
"161",212637,"Q-P12637","Medicago marina","Medicago marina","*",1
"162",212637,"Q-P12637","Ornithopus pinnatus","Ornithopus pinnatus","+",1
"163",212637,"Q-P12637","Plantago coronopus","Plantago coronopus","+",1
"164",212637,"Q-P12637","Scrophularia frutescens","Scrophularia canina","*",1
"165",212637,"Q-P12637","Sedum arenarium","Sedum arenarium","+",1
"166",212637,"Q-P12637","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","*",1
"167",212637,"Q-P12637","Trifolium arvense","Trifolium arvense","+",1
"168",212637,"Q-P12637","Tuberaria guttata","Tuberaria guttata","1",5
"169",212637,"Q-P12637","Vulpia alopecurus","Vulpia alopecuros","2",15
"170",212638,"Q-P12638","Filago maritima","Achillea maritima","+",1
"171",212638,"Q-P12638","Carex arenaria","Carex arenaria","b",5
"172",212638,"Q-P12638","Rhynchosinapis johnstonii","Coincya monensis","+",1
"173",212638,"Q-P12638","Helichrysum angustifolium","Helichrysum italicum","f",15
"174",212638,"Q-P12638","Jasione lusitanica","Jasione montana","a",5
"175",212638,"Q-P12638","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"176",212638,"Q-P12638","Linaria polygalifolia","Linaria polygalifolia","+",1
"177",212638,"Q-P12638","Holoschoenus romanus","Scirpoides holoschoenus","+",1
"178",212638,"Q-P12638","Sedum arenarium","Sedum arenarium","+",1
"179",212638,"Q-P12638","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","*",1
"180",212638,"Q-P12638","Silene portensis","Silene portensis","a",5
"181",212638,"Q-P12638","Vulpia alopecurus","Vulpia alopecuros","2",15
"182",212639,"Q-P12639","Filago maritima","Achillea maritima","+",1
"183",212639,"Q-P12639","Aira caryophyllea","Aira caryophyllea","+",1
"184",212639,"Q-P12639","Carex arenaria","Carex arenaria","b",5
"185",212639,"Q-P12639","Cistus salviifolius","Cistus salviifolius","+",1
"186",212639,"Q-P12639","Anthemis mixta","Cladanthus mixtus","+",1
"187",212639,"Q-P12639","Cynodon dactylon","Cynodon dactylon","*",1
"188",212639,"Q-P12639","Evax pygmaea","Filago pygmaea","+",1
"189",212639,"Q-P12639","Hypochoeris radicata","Hypochaeris radicata","+",1
"190",212639,"Q-P12639","Jasione lusitanica","Jasione montana","a",5
"191",212639,"Q-P12639","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"192",212639,"Q-P12639","Ornithopus pinnatus","Ornithopus pinnatus","z",1
"193",212639,"Q-P12639","Panicum repens","Panicum repens","+",1
"194",212639,"Q-P12639","Radiola linoides","Radiola linoides","+",1
"195",212639,"Q-P12639","Holoschoenus romanus","Scirpoides holoschoenus","3",37.5
"196",212639,"Q-P12639","Sedum arenarium","Sedum arenarium","+",1
"197",212639,"Q-P12639","Silene portensis","Silene portensis","a",5
"198",212639,"Q-P12639","Tuberaria guttata","Tuberaria guttata","1",5
"199",212639,"Q-P12639","Vulpia alopecurus","Vulpia alopecuros","f",15
"200",212639,"Q-P12639","Vulpia myuros","Vulpia myuros","+",1
"201",212640,"Q-P12640","Bellis perennis","Bellis perennis","+",1
"202",212640,"Q-P12640","Carex arenaria","Carex arenaria","4",62.5
"203",212640,"Q-P12640","Centaurea polyacantha","Centaurea sphaerocephala","b",5
"204",212640,"Q-P12640","Chamamelum nobile","Chamaemelum nobile","1",5
"205",212640,"Q-P12640","Rhynchosinapis johnstonii","Coincya monensis","+",1
"206",212640,"Q-P12640","Corynephorus canescens var. maritima","Corynephorus canescens","f",15
"207",212640,"Q-P12640","Cynodon dactylon","Cynodon dactylon","b",5
"208",212640,"Q-P12640","Evax pygmaea","Filago pygmaea","z",1
"209",212640,"Q-P12640","Helichrysum angustifolium","Helichrysum italicum","2",15
"210",212640,"Q-P12640","Herniaria ciliolata","Herniaria ciliolata","b",5
"211",212640,"Q-P12640","Hypochoeris radicata","Hypochaeris radicata","+",1
"212",212640,"Q-P12640","Jasione lusitanica","Jasione montana","b",5
"213",212640,"Q-P12640","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","z",1
"214",212640,"Q-P12640","Paronychia argentea","Paronychia argentea","b",5
"215",212640,"Q-P12640","Plantago coronopus","Plantago coronopus","f",15
"216",212640,"Q-P12640","Polycarpon alsinifolium","Polycarpon tetraphyllum","b",5
"217",212640,"Q-P12640","Vulpia alopecurus","Vulpia alopecuros","b",5
"218",212641,"Q-P12641","Ammophila arenaria","Ammophila arenaria","2",15
"219",212641,"Q-P12641","Artemisia crithmifolia","Artemisia campestris","a",5
"220",212641,"Q-P12641","Calystegia soldanella","Calystegia soldanella","z",1
"221",212641,"Q-P12641","Crucianella maritima","Crucianella maritima","a",5
"222",212641,"Q-P12641","Cyperus kalli","Cyperus capitatus","+",1
"223",212641,"Q-P12641","Euphorbia paralias","Euphorbia paralias","z",1
"224",212641,"Q-P12641","Helichrysum angustifolium","Helichrysum italicum","2",15
"225",212641,"Q-P12641","Jasione lusitanica","Jasione montana","z",1
"226",212641,"Q-P12641","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"227",212641,"Q-P12641","Linaria polygalifolia","Linaria polygalifolia","+",1
"228",212641,"Q-P12641","Malcolmia littorea","Malcolmia littorea","2",15
"229",212641,"Q-P12641","Medicago marina","Medicago marina","a",5
"230",212641,"Q-P12641","Pancratium maritimum","Pancratium maritimum","+",1
"231",212641,"Q-P12641","Romulea clusiana","Romulea bulbocodium","+",1
"232",212641,"Q-P12641","Sedum acre","Sedum acre","+",1
"233",212641,"Q-P12641","Silene littorea","Silene littorea","+",1
"234",212641,"Q-P12641","Vulpia alopecurus","Vulpia alopecuros","1",5
"235",212642,"Q-P12642","Carex arenaria","Carex arenaria","a",5
"236",212642,"Q-P12642","Cistus salviifolius","Cistus salviifolius","a",5
"237",212642,"Q-P12642","Helichrysum angustifolium","Helichrysum italicum","z",1
"238",212642,"Q-P12642","Jasione lusitanica","Jasione montana","a",5
"239",212642,"Q-P12642","Lolium rigidum","Lolium rigidum","+",1
"240",212642,"Q-P12642","Malcolmia littorea","Malcolmia littorea","*",1
"241",212642,"Q-P12642","Ornithopus pinnatus","Ornithopus pinnatus","+",1
"242",212642,"Q-P12642","Pinus pinaster","Pinus pinaster","+",1
"243",212642,"Q-P12642","Scrophularia frutescens","Scrophularia canina","*",1
"244",212642,"Q-P12642","Silene portensis","Silene portensis","1",5
"245",212642,"Q-P12642","Tuberaria guttata","Tuberaria guttata","a",5
"246",212642,"Q-P12642","Vulpia alopecurus","Vulpia alopecuros","+",1
"247",212644,"Q-P12644","Ammophila arenaria","Ammophila arenaria","*",1
"248",212644,"Q-P12644","Artemisia crithmifolia","Artemisia campestris","2",15
"249",212644,"Q-P12644","Cerastium diffusum","Cerastium diffusum","+",1
"250",212644,"Q-P12644","Corynephorus canescens var. maritima","Corynephorus canescens","a",5
"251",212644,"Q-P12644","Crucianella maritima","Crucianella maritima","*",1
"252",212644,"Q-P12644","Jasione lusitanica","Jasione montana","e",15
"253",212644,"Q-P12644","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"254",212644,"Q-P12644","Linaria spartea","Linaria spartea","+",1
"255",212644,"Q-P12644","Rumex bucephalophorus","Rumex bucephalophorus","1",5
"256",212644,"Q-P12644","Sedum acre","Sedum acre","e",15
"257",212644,"Q-P12644","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","*",1
"258",212644,"Q-P12644","Trifolium campestre","Trifolium campestre","+",1
"259",212644,"Q-P12644","Trifolium scabrum","Trifolium scabrum","+",1
"260",212644,"Q-P12644","Vulpia alopecurus","Vulpia alopecuros","e",15
"261",212645,"Q-P12645","Ammophila arenaria","Ammophila arenaria","*",1
"262",212645,"Q-P12645","Anagallis monelli var. microphylla","Anagallis monelli","a",5
"263",212645,"Q-P12645","Anthyllis dillenii","Anthyllis vulneraria","1",5
"264",212645,"Q-P12645","Artemisia crithmifolia","Artemisia campestris","f",15
"265",212645,"Q-P12645","Calystegia soldanella","Calystegia soldanella","z",1
"266",212645,"Q-P12645","Carex arenaria","Carex arenaria","+",1
"267",212645,"Q-P12645","Cerastium diffusum","Cerastium diffusum","+",1
"268",212645,"Q-P12645","Corynephorus canescens var. maritima","Corynephorus canescens","2",15
"269",212645,"Q-P12645","Crucianella maritima","Crucianella maritima","a",5
"270",212645,"Q-P12645","Cyperus kalli","Cyperus capitatus","+",1
"271",212645,"Q-P12645","Eryngium maritimum","Eryngium maritimum","+",1
"272",212645,"Q-P12645","Helichrysum angustifolium","Helichrysum italicum","2",15
"273",212645,"Q-P12645","Jasione lusitanica","Jasione montana","*",1
"274",212645,"Q-P12645","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"275",212645,"Q-P12645","Lolium parabolicae","Lolium rigidum","*",1
"276",212645,"Q-P12645","Malcolmia littorea","Malcolmia littorea","a",5
"277",212645,"Q-P12645","Medicago marina","Medicago marina","2",15
"278",212645,"Q-P12645","Orobanche arenaria","Phelipanche arenaria","+",1
"279",212645,"Q-P12645","Phleum arenarium","Phleum arenarium","a",5
"280",212645,"Q-P12645","Plantago coronopus","Plantago coronopus","+",1
"281",212645,"Q-P12645","Sedum acre","Sedum acre","1",5
"282",212645,"Q-P12645","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","1",5
"283",212645,"Q-P12645","Vulpia alopecurus","Vulpia alopecuros","+",1
"284",212646,"Q-P12646","Ammophila arenaria","Ammophila arenaria","z",1
"285",212646,"Q-P12646","Anagallis monelli var. microphylla","Anagallis monelli","+",1
"286",212646,"Q-P12646","Anthyllis dillenii","Anthyllis vulneraria","+",1
"287",212646,"Q-P12646","Hedypnois cretica","Arnoseris minima","+",1
"288",212646,"Q-P12646","Artemisia crithmifolia","Artemisia campestris","i",37.5
"289",212646,"Q-P12646","Scleropoa rigida","Catapodium rigidum","+",1
"290",212646,"Q-P12646","Cerastium diffusum","Cerastium diffusum","+",1
"291",212646,"Q-P12646","Corynephorus canescens var. maritima","Corynephorus canescens","a",5
"292",212646,"Q-P12646","Crucianella maritima","Crucianella maritima","*",1
"293",212646,"Q-P12646","Euphorbia portlandica","Euphorbia portlandica","+",1
"294",212646,"Q-P12646","Evax pygmaea","Filago pygmaea","e",15
"295",212646,"Q-P12646","Helichrysum angustifolium","Helichrysum italicum","z",1
"296",212646,"Q-P12646","Jasione lusitanica","Jasione montana","a",5
"297",212646,"Q-P12646","Linaria polygalifolia","Linaria polygalifolia","z",1
"298",212646,"Q-P12646","Paronychia argentea","Paronychia argentea","2",15
"299",212646,"Q-P12646","Phleum arenarium","Phleum arenarium","+",1
"300",212646,"Q-P12646","Plantago coronopus","Plantago coronopus","+",1
"301",212646,"Q-P12646","Pleurochaete squarrosa","Pleurochaete squarrosa","a",5
"302",212646,"Q-P12646","Sedum acre","Sedum acre","a",5
"303",212646,"Q-P12646","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","1",5
"304",212646,"Q-P12646","Trifolium campestre","Trifolium campestre","1",5
"305",212646,"Q-P12646","Trifolium scabrum","Trifolium scabrum","1",5
"306",212655,"Q-P12655","Ammophila arenaria","Ammophila arenaria","a",5
"307",212655,"Q-P12655","Anagallis monelli var. microphylla","Anagallis monelli","+",1
"308",212655,"Q-P12655","Anthyllis dillenii","Anthyllis vulneraria","+",1
"309",212655,"Q-P12655","Artemisia crithmifolia","Artemisia campestris","f",15
"310",212655,"Q-P12655","Calystegia soldanella","Calystegia soldanella","z",1
"311",212655,"Q-P12655","Cerastium diffusum","Cerastium diffusum","+",1
"312",212655,"Q-P12655","Cistus salviifolius","Cistus salviifolius","3",37.5
"313",212655,"Q-P12655","Corynephorus canescens var. maritima","Corynephorus canescens","a",5
"314",212655,"Q-P12655","Crucianella maritima","Crucianella maritima","a",5
"315",212655,"Q-P12655","Erigeron crispus","Erigeron bonariensis","+",1
"316",212655,"Q-P12655","Euphorbia portlandica","Euphorbia portlandica","+",1
"317",212655,"Q-P12655","Helichrysum angustifolium","Helichrysum italicum","a",5
"318",212655,"Q-P12655","Jasione lusitanica","Jasione montana","*",1
"319",212655,"Q-P12655","Leontodon taraxacoide subsp. crassifolius","Leontodon tingitanus","*",1
"320",212655,"Q-P12655","Malcolmia littorea","Malcolmia littorea","+",1
"321",212655,"Q-P12655","Orobanche arenaria","Phelipanche arenaria","+",1
"322",212655,"Q-P12655","Plantago coronopus","Plantago coronopus","+",1
"323",212655,"Q-P12655","Rumex bucephalophorus","Rumex bucephalophorus","1",5
"324",212655,"Q-P12655","Scrophularia frutescens","Scrophularia canina","*",1
"325",212655,"Q-P12655","Sedum acre","Sedum acre","a",5
"326",212655,"Q-P12655","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","1",5
"327",212655,"Q-P12655","Crepis bulbosa","Sonchus bulbosus","+",1
"328",212655,"Q-P12655","Tuberaria guttata","Tuberaria guttata","1",5
"329",212655,"Q-P12655","Vulpia alopecurus","Vulpia alopecuros","2",15
"330",212656,"Q-P12656","Ammophila arenaria","Ammophila arenaria","*",1
"331",212656,"Q-P12656","Artemisia crithmifolia","Artemisia campestris","a",5
"332",212656,"Q-P12656","Cerastium diffusum","Cerastium diffusum","+",1
"333",212656,"Q-P12656","Cistus salviifolius","Cistus salviifolius","o",62.5
"334",212656,"Q-P12656","Corynephorus canescens var. maritima","Corynephorus canescens","2",15
"335",212656,"Q-P12656","Crucianella maritima","Crucianella maritima","a",5
"336",212656,"Q-P12656","Daphne gnidium","Daphne gnidium","+",1
"337",212656,"Q-P12656","Eryngium maritimum","Eryngium maritimum","z",1
"338",212656,"Q-P12656","Evax pygmaea","Filago pygmaea","+",1
"339",212656,"Q-P12656","Helichrysum angustifolium","Helichrysum italicum","2",15
"340",212656,"Q-P12656","Jasione lusitanica","Jasione montana","*",1
"341",212656,"Q-P12656","Malcolmia littorea","Malcolmia littorea","+",1
"342",212656,"Q-P12656","Ornithopus pinnatus","Ornithopus pinnatus","+",1
"343",212656,"Q-P12656","Pinus pinaster","Pinus pinaster","+",1
"344",212656,"Q-P12656","Rhacomitrium canescens","Racomitrium canescens","a",5
"345",212656,"Q-P12656","Sedum arenarium","Sedum arenarium","e",15
"346",212656,"Q-P12656","Seseli tortuosum subsp. ramosissimum","Seseli tortuosum","1",5
"347",212656,"Q-P12656","Trifolium arvense","Trifolium arvense","+",1
"348",212656,"Q-P12656","Trifolium campestre","Trifolium campestre","+",1
"349",212656,"Q-P12656","Tuberaria guttata","Tuberaria guttata","1",5
"350",212656,"Q-P12656","Vulpia alopecurus","Vulpia alopecuros","+",1
"351",315005,"R-P15005","Amaranthus albus","Amaranthus albus","+",1
"352",315005,"R-P15005","Amaranthus blitum subsp. blitum","Amaranthus blitum","1",5
"353",315005,"R-P15005","Amaranthus hybridus","Amaranthus hybridus aggr.","3",37.5
"354",315005,"R-P15005","Cyperus eragrostis","Cyperus eragrostis","+",1
"355",315005,"R-P15005","Digitaria sanguinalis","Digitaria sanguinalis","1",5
"356",315005,"R-P15005","Equisetum arvense","Equisetum arvense","1",5
"357",315005,"R-P15005","Eragrostis pectinacea","Eragrostis pectinacea","+",1
"358",315005,"R-P15005","Conyza bonariensis","Erigeron bonariensis","+",1
"359",315005,"R-P15005","Apium nodiflorum","Helosciadium nodiflorum","1",5
"360",315005,"R-P15005","Kickxia elatine","Kickxia elatine","1",5
