Original.Taxon,SIVIMID,Analysis.Names,Cover,Cover.percent
Anisantha sterilis,NEW-OMAR-BA13,Anisantha sterilis,1,5
Anthemis arvensis,NEW-OMAR-PA35,Anthemis arvensis,1,5
Amaranthus caudatus,NEW-OMAR-BA04,Amaranthus caudatus,+,1
Amaranthus quitensis,NEW-OMAR-BA05,Amaranthus hybridus aggr.,3,37.5
Anthoxantum odoratum,NEW-OMAR-BA14,Anthoxanthum odoratum,1,5
Anthoxantum odoratum,NEW-OMAR-CO66,Anthoxanthum odoratum,1,5
Anthoxantum odoratum,NEW-OMAR-LT54,Anthoxanthum odoratum,1,5
Artemisia vulgaris,NEW-OMAR-PA102,Artemisia vulgaris,1,5
Artemisia vulgaris,NEW-OMAR-BA12,Artemisia vulgaris,1,5
Artemisia vulgaris,NEW-OMAR-PA97,Artemisia vulgaris,1,5
Anthoxantum odoratum,NEW-OMAR-LF51,Anthoxanthum odoratum,2,15
Asplenium trichomanes,NEW-OMAR-CC86,Asplenium trichomanes,1,5
Athyrium filix-femina,NEW-OMAR-CC90,Athyrium filix-femina,1,5
Athyrium filix-femina,NEW-OMAR-BA19,Athyrium filix-femina,1,5
Atriplex prostrata,NEW-OMAR-BA41,Atriplex prostrata,1,5
Atriplex prostrata,NEW-OMAR-BA40,Atriplex prostrata,1,5
Atriplex prostrata,NEW-OMAR-BA39,Atriplex prostrata,1,5
Carex cuprina,NEW-OMAR-CA02,Carex cuprina,1,1
Avena barbata,NEW-OMAR-LF109,Avena barbata,1,5
Avena sterilis,NEW-OMAR-PA98,Avena sterilis,1,5
Bellis perennis,NEW-OMAR-BA14,Bellis perennis,1,5
Bellis perennis,NEW-OMAR-BA53,Bellis perennis,1,5
Bellis perennis,NEW-OMAR-LF52,Bellis perennis,1,5
Bellis perennis,NEW-OMAR-BA20,Bellis perennis,1,5
Betonica officinalis,NEW-OMAR-BA19,Stachys officinalis,1,5
Anthoxantum odoratum,NEW-OMAR-BA53,Anthoxanthum odoratum,2,15
Anthoxantum odoratum,NEW-OMAR-LF52,Anthoxanthum odoratum,2,15
Anthoxantum odoratum,NEW-OMAR-LF11,Anthoxanthum odoratum,2,15
Anthoxantum odoratum,NEW-OMAR-PA96,Anthoxanthum odoratum,+,1
Anthoxantum odoratum,NEW-OMAR-LF09,Anthoxanthum odoratum,+,1
Anthoxantum odoratum,NEW-OMAR-PA69,Anthoxanthum odoratum,+,1
Arctium minus,NEW-OMAR-BA02,Arctium minus,1,5
Arctium minus,NEW-OMAR-PA102,Arctium minus,1,5
Arctium minus,NEW-OMAR-LF109,Arctium minus,3,37.5
Arctium minus,NEW-OMAR-BA15,Arctium minus,4,62.5
Bidens aurea,NEW-OMAR-LF109,Bidens aureus,1,5
Bidens tripartita,NEW-OMAR-BA03,Bidens tripartitus,1,5
Blackstonia perfoliata ,NEW-OMAR-BA02,Blackstonia perfoliata,1,5
Blechnum spicant subsp. spicant,NEW-OMAR-PA45,Blechnum spicant,1,5
Blechnum spicant subsp. spicant,NEW-OMAR-LNA76,Blechnum spicant,1,5
Blechnum spicant subsp. spicant,NEW-OMAR-LNA73,Blechnum spicant,1,5
Blechnum spicant subsp. spicant,NEW-OMAR-CC90,Blechnum spicant,1,5
Blechnum spicant subsp. spicant,NEW-OMAR-PA16,Blechnum spicant,1,5
Brachypodium rupestre,NEW-OMAR-RI72,Brachypodium rupestre,1,5
Brachypodium rupestre,NEW-OMAR-PA46,Brachypodium rupestre,1,5
Brachypodium rupestre,NEW-OMAR-CO66,Brachypodium rupestre,1,5
Brachypodium rupestre,NEW-OMAR-CO62,Brachypodium rupestre,1,5
Brachypodium rupestre,NEW-OMAR-CC88,Brachypodium rupestre,1,5
Brachypodium rupestre,NEW-OMAR-CO61,Brachypodium rupestre,1,5
Briza media,NEW-OMAR-CO66,Briza media,1,5
Briza media,NEW-OMAR-LF11,Briza media,1,5
Dipsacus fullonum,NEW-OMAR-CA02,Dipsacus fullonum,1,1
Bromus hordeaceus ,NEW-OMAR-BA14,Bromus hordeaceus,1,5
Bromus hordeaceus ,NEW-OMAR-LF52,Bromus hordeaceus,1,5
Calluna vulgaris,NEW-OMAR-LNA75,Calluna vulgaris,1,5
Calystegia sepium,NEW-OMAR-BA40,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-LF109,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-CO63,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-BA82,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-BA106,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-BA04,Calystegia sepium,1,5
Calystegia sepium,NEW-OMAR-BA81,Calystegia sepium,1,5
Arctium minus,NEW-OMAR-LF95,Arctium minus,4,62.5
Arctium minus,NEW-OMAR-BA108,Arctium minus,+,1
Arctium minus,NEW-OMAR-LF105,Arctium minus,+,1
Arctium minus,NEW-OMAR-PA97,Arctium minus,+,1
Cardamine flexuosa,NEW-OMAR-LF09,Cardamine flexuosa,1,5
Cardamine hirsuta,NEW-OMAR-BA38,Cardamine hirsuta,1,5
Cardamine hirsuta,NEW-OMAR-BA05,Cardamine hirsuta,1,5
Carex cuprina,NEW-OMAR-BA84,Carex cuprina,1,5
Poa trivialis,NEW-OMAR-CA02,Poa trivialis,1,1
Carex pendula,NEW-OMAR-LF09,Carex pendula,1,5
Carex pendula,NEW-OMAR-BA106,Carex pendula,1,5
Carex pendula,NEW-OMAR-BA82,Carex pendula,1,5
Castanea sativa,NEW-OMAR-BA18,Castanea sativa,1,5
Castanea sativa,NEW-OMAR-PA48,Castanea sativa,1,5
Centaurea nigra ,NEW-OMAR-PA104,Centaurea nigra,1,5
Centaurea nigra ,NEW-OMAR-PA47,Centaurea nigra,1,5
Centaurea nigra ,NEW-OMAR-LF11,Centaurea nigra,1,5
Centaurea nigra ,NEW-OMAR-PA46,Centaurea nigra,1,5
Centaurea nigra ,NEW-OMAR-CO66,Centaurea nigra,1,5
Centaurea nigra ,NEW-OMAR-BA53,Centaurea nigra,1,5
Centaurium erythraea,NEW-OMAR-BA02,Centaurium erythraea,1,5
Centranthus calcitrapae,NEW-OMAR-BA12,Centranthus calcitrapae,1,5
Cerastium fontanum,NEW-OMAR-LF52,Cerastium fontanum,1,5
Ceratochloa cathartica,NEW-OMAR-BA12,Ceratochloa cathartica,1,5
Ceratochloa cathartica,NEW-OMAR-PA97,Ceratochloa cathartica,1,5
Chenopodium ambrosioides,NEW-OMAR-BA02,Dysphania ambrosioides,1,5
Circaea lutetiana,NEW-OMAR-LF09,Circaea lutetiana,1,5
Cirsium arvense,NEW-OMAR-BA05,Cirsium arvense,1,5
Cirsium filipendulum,NEW-OMAR-PA70,Cirsium filipendulum,1,5
Cirsium filipendulum,NEW-OMAR-PA50,Cirsium filipendulum,1,5
Arum italicum subsp. neglectum,NEW-OMAR-BA08,Arum italicum,1,5
Potentilla reptans,NEW-OMAR-CA07,Potentilla reptans,1,1
Cirsium vulgare ,NEW-OMAR-BA02,Cirsium vulgare,1,5
Cirsium vulgare ,NEW-OMAR-BA15,Cirsium vulgare,1,5
Cirsium vulgare ,NEW-OMAR-BA12,Cirsium vulgare,1,5
Cirsium vulgare ,NEW-OMAR-PA102,Cirsium vulgare,1,5
Clematis vitalba ,NEW-OMAR-LF105,Clematis vitalba,1,5
Coronopus didymus,NEW-OMAR-BA42,Lepidium didymum,1,5
Coronopus didymus,NEW-OMAR-BA05,Lepidium didymum,1,5
Corylus avellana,NEW-OMAR-LF09,Corylus avellana,1,5
Crepis capillaris,NEW-OMAR-LF11,Crepis capillaris,1,5
Crepis capillaris,NEW-OMAR-LT54,Crepis capillaris,1,5
Crepis capillaris,NEW-OMAR-CO66,Crepis capillaris,1,5
Crepis capillaris,NEW-OMAR-BA14,Crepis capillaris,1,5
Crepis capillaris,NEW-OMAR-BA53,Crepis capillaris,1,5
Arum italicum subsp. neglectum,NEW-OMAR-LF09,Arum italicum,+,1
Cymbalaria muralis,NEW-OMAR-CC86,Cymbalaria muralis,1,5
Daboecia cantabrica,NEW-OMAR-LC77,Daboecia cantabrica,1,5
Helminthotheca echioides ,NEW-OMAR-MO01,Helminthotheca echioides,1,1
Dactylis glomerata,NEW-OMAR-LF52,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-LF51,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-BA53,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-CC23,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-PA46,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-CO66,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-LT54,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-LF09,Dactylis glomerata,1,5
Hypochaeris radicata ,NEW-OMAR-MO01,Hypochaeris radicata,1,1
Dactylis glomerata,NEW-OMAR-BA14,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-PA97,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-PA30,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-MO03,Dactylis glomerata,1,1
Dactylis glomerata,NEW-OMAR-CO63,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-PA55,Dactylis glomerata,1,5
Dactylis glomerata,NEW-OMAR-BA12,Dactylis glomerata,1,5
Danthonia decumbens,NEW-OMAR-LF11,Danthonia decumbens,1,5
Daucus carota,NEW-OMAR-BA12,Daucus carota,1,5
Bromus hordeaceus ,NEW-OMAR-MO04,Bromus hordeaceus,1,1
Daucus carota,NEW-OMAR-BA85,Daucus carota,1,5
Daucus carota,NEW-OMAR-PA102,Daucus carota,1,5
Dactylis glomerata,NEW-OMAR-MO04,Dactylis glomerata,1,1
Daucus carota,NEW-OMAR-BA02,Daucus carota,1,5
Daucus carota,NEW-OMAR-PA35,Daucus carota,1,5
Dioscorea communis,NEW-OMAR-LNA73,Dioscorea communis,1,5
Dioscorea communis,NEW-OMAR-LF09,Dioscorea communis,1,5
Diplotaxis tenuifolia,NEW-OMAR-PA98,Diplotaxis tenuifolia,1,5
Dipsacus fullonum,NEW-OMAR-PA97,Dipsacus fullonum,1,5
Dipsacus fullonum,NEW-OMAR-BA13,Dipsacus fullonum,1,5
Dipsacus fullonum,NEW-OMAR-BA02,Dipsacus fullonum,1,5
Dipsacus fullonum,NEW-OMAR-PA102,Dipsacus fullonum,1,5
Dittrichia viscosa ,NEW-OMAR-MO04,Dittrichia viscosa,1,1
Dipsacus fullonum,NEW-OMAR-LF95,Dipsacus fullonum,1,5
Dittrichia graveolens,NEW-OMAR-BA02,Dittrichia graveolens,1,5
Helminthotheca echioides ,NEW-OMAR-MO04,Helminthotheca echioides,1,1
Medicago sativa ,NEW-OMAR-MO04,Medicago sativa,1,1
Arum italicum subsp. neglectum,NEW-OMAR-BA18,Arum italicum,+,1
Arum italicum subsp. neglectum,NEW-OMAR-CC87,Arum italicum,+,1
Arum italicum subsp. neglectum,NEW-OMAR-BA19,Arum italicum,+,1
Asplenium onopteris,NEW-OMAR-LNA73,Asplenium adiantum-nigrum,+,1
Asplenium onopteris,NEW-OMAR-RE28,Asplenium adiantum-nigrum,+,1
Dryopteris dilatata,NEW-OMAR-LNA76,Dryopteris dilatata,1,5
Dryopteris dilatata,NEW-OMAR-RE28,Dryopteris dilatata,1,5
Dryopteris dilatata,NEW-OMAR-LNA73,Dryopteris dilatata,1,5
Dryopteris dilatata,NEW-OMAR-BA18,Dryopteris dilatata,1,5
Echinochloa crus-galli,NEW-OMAR-BA108,Echinochloa crus-galli,1,5
Echium vulgare,NEW-OMAR-PA97,Echium vulgare,1,5
Epilobium parviflorum,NEW-OMAR-BA85,Epilobium parviflorum,1,5
Epilobium parviflorum,NEW-OMAR-BA84,Epilobium parviflorum,1,5
Epilobium parviflorum,NEW-OMAR-BA83,Epilobium parviflorum,1,5
Equisetum palustre,NEW-OMAR-LF105,Equisetum palustre,1,5
Equisetum palustre,NEW-OMAR-LF51,Equisetum palustre,1,5
Equisetum palustre,NEW-OMAR-BA39,Equisetum palustre,1,5
Equisetum telmateia,NEW-OMAR-LF09,Equisetum telmateia,1,5
Equisetum telmateia,NEW-OMAR-LNA73,Equisetum telmateia,1,5
Equisetum telmateia,NEW-OMAR-BA05,Equisetum telmateia,1,5
Equisetum telmateia,NEW-OMAR-BA107,Equisetum telmateia,1,5
Erica ciliaris,NEW-OMAR-PA69,Erica ciliaris,1,5
Erica cinerea,NEW-OMAR-RI72,Erica cinerea,1,5
Erica cinerea,NEW-OMAR-PA70,Erica cinerea,1,5
Erica cinerea,NEW-OMAR-PA16,Erica cinerea,1,5
Erica mackaiana,NEW-OMAR-PA16,Erica mackaiana,1,5
Erica vagans,NEW-OMAR-TU91,Erica vagans,1,5
Erica vagans,NEW-OMAR-RI71,Erica vagans,1,5
Erigeron canadensis,NEW-OMAR-BA42,Erigeron canadensis,1,5
Erigeron canadensis,NEW-OMAR-BA04,Erigeron canadensis,1,5
Erigeron canadensis,NEW-OMAR-BA15,Erigeron canadensis,1,5
Prunella vulgaris ,NEW-OMAR-MO04,Prunella vulgaris,1,1
Eucalyptus globulus,NEW-OMAR-LNA75,Eucalyptus globulus,1,5
Eupatorium cannabinum,NEW-OMAR-LF105,Eupatorium cannabinum,1,5
Euphorbia helioscopia,NEW-OMAR-BA06,Euphorbia helioscopia,1,5
Euphorbia helioscopia,NEW-OMAR-PA35,Euphorbia helioscopia,1,5
Euphorbia peplus,NEW-OMAR-BA06,Euphorbia peplus,1,5
Euphorbia peplus,NEW-OMAR-BA05,Euphorbia peplus,1,5
Euphorbia peplus,NEW-OMAR-BA38,Euphorbia peplus,1,5
Euphorbia platyphyllos,NEW-OMAR-BA12,Euphorbia platyphyllos,1,5
Festuca rubra,NEW-OMAR-LF51,Festuca rubra,1,5
Festuca rubra,NEW-OMAR-RE36,Festuca rubra,1,5
Frangula alnus,NEW-OMAR-PA67,Frangula alnus,1,5
Frangula alnus,NEW-OMAR-RI72,Frangula alnus,1,5
Fraxinus excelsior,NEW-OMAR-LF09,Fraxinus excelsior,1,5
Fumaria muralis,NEW-OMAR-BA42,Fumaria muralis,1,5
Galium aparine,NEW-OMAR-LF09,Galium aparine,1,5
Galium aparine,NEW-OMAR-BA13,Galium aparine,1,5
Galium aparine,NEW-OMAR-BA12,Galium aparine,1,5
Galium aparine,NEW-OMAR-BA106,Galium aparine,1,5
Galium palustre,NEW-OMAR-BA41,Galium palustre,1,5
Galium palustre,NEW-OMAR-BA81,Galium palustre,1,5
Galium palustre,NEW-OMAR-BA82,Galium palustre,1,5
Galium palustre,NEW-OMAR-BA40,Galium palustre,1,5
Galium palustre,NEW-OMAR-BA84,Galium palustre,1,5
Galium palustre,NEW-OMAR-BA80,Galium palustre,1,5
Geranium purpureum,NEW-OMAR-BA12,Geranium purpureum,1,5
Geranium robertianum,NEW-OMAR-LF09,Geranium robertianum,1,5
Geranium robertianum,NEW-OMAR-BA58,Geranium robertianum,1,5
Betula celtiberica,NEW-OMAR-PA16,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-BA19,Betula pubescens,1,5
Helminthotheca echioides,NEW-OMAR-PA97,Helminthotheca echioides,1,5
Dactylis glomerata,NEW-OMAR-MO05,Dactylis glomerata,1,1
Daucus carota,NEW-OMAR-MO05,Daucus carota,1,1
Holcus lanatus ,NEW-OMAR-MO05,Holcus lanatus,1,1
Trifolium pratense ,NEW-OMAR-MO05,Trifolium pratense,1,1
Dittrichia viscosa ,NEW-OMAR-MO06,Dittrichia viscosa,1,1
Helosciadium nodiflorum,NEW-OMAR-BA40,Helosciadium nodiflorum,1,5
Helosciadium nodiflorum,NEW-OMAR-BA85,Helosciadium nodiflorum,1,5
Hirschfeldia incana ,NEW-OMAR-PA97,Hirschfeldia incana,1,5
Hirschfeldia incana ,NEW-OMAR-BA13,Hirschfeldia incana,1,5
Hirschfeldia incana ,NEW-OMAR-PA30,Hirschfeldia incana,1,5
Helminthotheca echioides ,NEW-OMAR-MO06,Helminthotheca echioides,1,1
Holcus lanatus ,NEW-OMAR-PA104,Holcus lanatus,1,5
Holcus lanatus ,NEW-OMAR-PA98,Holcus lanatus,1,5
Holcus lanatus ,NEW-OMAR-LT54,Holcus lanatus,1,5
Holcus lanatus ,NEW-OMAR-CO66,Holcus lanatus,1,5
Holcus lanatus ,NEW-OMAR-PA97,Holcus lanatus,1,5
Holcus lanatus ,NEW-OMAR-MO06,Holcus lanatus,1,1
Holcus lanatus ,NEW-OMAR-CC23,Holcus lanatus,1,5
Holcus mollis,NEW-OMAR-CC88,Holcus mollis,1,5
Holcus mollis,NEW-OMAR-AC78,Holcus mollis,1,5
Holcus mollis,NEW-OMAR-PA49,Holcus mollis,1,5
Holcus mollis,NEW-OMAR-PA67,Holcus mollis,1,5
Holcus mollis,NEW-OMAR-PA56,Holcus mollis,1,5
Holcus mollis,NEW-OMAR-CC89,Holcus mollis,1,5
Hordeum murinum,NEW-OMAR-PA98,Hordeum murinum,1,5
Hypericum perforatum,NEW-OMAR-BA02,Hypericum perforatum,1,5
Hypericum perforatum,NEW-OMAR-PA104,Hypericum perforatum,1,5
Hypericum perforatum,NEW-OMAR-RE28,Hypericum perforatum,1,5
Hypochaeris radicata ,NEW-OMAR-LT54,Hypochaeris radicata,1,5
Hypochaeris radicata ,NEW-OMAR-BA14,Hypochaeris radicata,1,5
Hypochaeris radicata ,NEW-OMAR-MO06,Hypochaeris radicata,1,1
Hypochaeris radicata ,NEW-OMAR-BA53,Hypochaeris radicata,1,5
Hypochaeris radicata ,NEW-OMAR-LF11,Hypochaeris radicata,1,5
Lolium perenne ,NEW-OMAR-MO06,Lolium perenne,1,1
Inula montana,NEW-OMAR-BA12,Inula montana,1,5
Inula montana,NEW-OMAR-LF95,Inula montana,1,5
Juncus bufonius,NEW-OMAR-BA85,Juncus bufonius,1,5
Juncus conglomeratus,NEW-OMAR-BA02,Juncus conglomeratus,1,5
Juncus effusus,NEW-OMAR-BA82,Juncus effusus,1,5
Juncus inflexus,NEW-OMAR-LF51,Juncus inflexus,1,5
Juncus inflexus,NEW-OMAR-BA107,Juncus inflexus,1,5
Juncus inflexus,NEW-OMAR-CO62,Juncus inflexus,1,5
Lactuca serriola ,NEW-OMAR-RE27,Lactuca serriola,1,5
Lactuca serriola ,NEW-OMAR-BA02,Lactuca serriola,1,5
Lamium maculatum,NEW-OMAR-LF09,Lamium maculatum,1,5
Lapsana communis,NEW-OMAR-BA43,Lapsana communis,1,5
Leontodon gr. taraxacoides,NEW-OMAR-BA02,Leontodon saxatilis,1,5
Betula celtiberica,NEW-OMAR-TU91,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-LC77,Betula pubescens,1,5
Limniris pseudacorus,NEW-OMAR-BA85,Iris pseudacorus,1,5
Linaria triornithophora,NEW-OMAR-PA48,Linaria triornithophora,1,5
Linum bienne ,NEW-OMAR-LF51,Linum bienne,1,5
Linum bienne ,NEW-OMAR-LT54,Linum bienne,1,5
Lolium multiflorum,NEW-OMAR-LF105,Lolium multiflorum,1,5
Lolium multiflorum,NEW-OMAR-BA13,Lolium multiflorum,1,5
Lolium perenne ,NEW-OMAR-PA98,Lolium perenne,1,5
Lolium perenne ,NEW-OMAR-BA06,Lolium perenne,1,5
Lolium perenne ,NEW-OMAR-BA03,Lolium perenne,1,5
Lolium perenne ,NEW-OMAR-BA02,Lolium perenne,1,5
Lolium perenne ,NEW-OMAR-LF10,Lolium perenne,1,5
Lolium perenne ,NEW-OMAR-LF52,Lolium perenne,1,5
Medicago polymorpha ,NEW-OMAR-MO06,Medicago polymorpha,1,1
Lolium perenne ,NEW-OMAR-BA38,Lolium perenne,1,5
Lonicera periclymenum,NEW-OMAR-CO61,Lonicera periclymenum,1,5
Lonicera periclymenum,NEW-OMAR-PA31,Lonicera periclymenum,1,5
Lonicera periclymenum,NEW-OMAR-CO63,Lonicera periclymenum,1,5
Lonicera periclymenum,NEW-OMAR-BA19,Lonicera periclymenum,1,5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-CO66,Lotus corniculatus,1,5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-BA85,Lotus corniculatus,1,5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-BA53,Lotus corniculatus,1,5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-LF51,Lotus corniculatus,1,5
Lychnis flos-cuculi,NEW-OMAR-LF51,Silene flos-cuculi,1,5
Lycopersicon esculentum,NEW-OMAR-BA03,Lycopersicon esculentum,1,5
Lycopus europaeus,NEW-OMAR-BA80,Lycopus europaeus,1,5
Lycopus europaeus,NEW-OMAR-BA82,Lycopus europaeus,1,5
Lycopus europaeus,NEW-OMAR-BA81,Lycopus europaeus,1,5
Lycopus europaeus,NEW-OMAR-BA04,Lycopus europaeus,1,5
Lycopus europaeus,NEW-OMAR-BA41,Lycopus europaeus,1,5
Lythrum salicaria,NEW-OMAR-BA81,Lythrum salicaria,1,5
Lythrum salicaria,NEW-OMAR-BA04,Lythrum salicaria,1,5
Lythrum salicaria,NEW-OMAR-BA39,Lythrum salicaria,1,5
Lythrum salicaria,NEW-OMAR-BA83,Lythrum salicaria,1,5
Lythrum salicaria,NEW-OMAR-BA41,Lythrum salicaria,1,5
Lythrum salicaria,NEW-OMAR-BA84,Lythrum salicaria,1,5
Malva multiflora,NEW-OMAR-BA58,Malva multiflora,1,5
Malva multiflora,NEW-OMAR-LF109,Malva multiflora,1,5
Medicago lupulina,NEW-OMAR-BA02,Medicago lupulina,1,5
Medicago lupulina,NEW-OMAR-BA12,Medicago lupulina,1,5
Daucus carota,NEW-OMAR-MO07,Daucus carota,1,1
Helminthotheca echioides ,NEW-OMAR-MO08,Helminthotheca echioides,1,1
Medicago sativa ,NEW-OMAR-BA53,Medicago sativa,1,5
Medicago sativa ,NEW-OMAR-MO08,Medicago sativa,1,1
Melilotus albus,NEW-OMAR-PA104,Melilotus albus,1,5
Melilotus albus,NEW-OMAR-PA97,Melilotus albus,1,5
Melilotus albus,NEW-OMAR-BA13,Melilotus albus,1,5
Melilotus albus,NEW-OMAR-BA12,Melilotus albus,1,5
Melilotus indicus,NEW-OMAR-BA02,Melilotus indicus,1,5
Mentha aquatica,NEW-OMAR-BA81,Mentha aquatica,1,5
Mentha aquatica,NEW-OMAR-BA85,Mentha aquatica,1,5
Mentha aquatica,NEW-OMAR-BA107,Mentha aquatica,1,5
Mentha aquatica,NEW-OMAR-BA41,Mentha aquatica,1,5
Mentha suaveolens,NEW-OMAR-BA02,Mentha suaveolens,1,5
Mentha suaveolens,NEW-OMAR-BA08,Mentha suaveolens,1,5
Mercurialis annua,NEW-OMAR-BA05,Mercurialis annua,1,5
Mercurialis annua,NEW-OMAR-BA06,Mercurialis annua,1,5
Ochlopoa annua,NEW-OMAR-BA12,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-BA05,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-BA06,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-CC23,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-LF11,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-BA34,Ochlopoa annua,1,5
Ochlopoa annua,NEW-OMAR-BA38,Ochlopoa annua,1,5
Oenothera glazioviana,NEW-OMAR-PA97,Oenothera glazioviana,1,5
Omphalodes nitida,NEW-OMAR-LNA73,Omphalodes nitida,1,5
Oxalis corniculata,NEW-OMAR-PA35,Oxalis corniculata,1,5
Betula celtiberica,NEW-OMAR-PA45,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-AC78,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-RI71,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-CC88,Betula pubescens,1,5
Persicaria lapathifolia,NEW-OMAR-BA03,Persicaria lapathifolia,1,5
Persicaria maculosa,NEW-OMAR-PA102,Persicaria maculosa,1,5
Phalaris arundinacea,NEW-OMAR-LF105,Phalaroides arundinacea,1,5
Picris hieracioides,NEW-OMAR-PA46,Picris hieracioides,1,5
Pilosella officinarum,NEW-OMAR-LT54,Pilosella officinarum,1,5
Trifolium campestre ,NEW-OMAR-MO08,Trifolium campestre,1,1
Piptatherum miliaceum ,NEW-OMAR-BA15,Piptatherum miliaceum,1,5
Plantago lanceolata ,NEW-OMAR-CO66,Plantago lanceolata,1,5
Plantago lanceolata ,NEW-OMAR-MO09,Plantago lanceolata,1,1
Plantago lanceolata ,NEW-OMAR-BA02,Plantago lanceolata,1,5
Trifolium campestre ,NEW-OMAR-MO09,Trifolium campestre,1,1
Plantago lanceolata ,NEW-OMAR-BA14,Plantago lanceolata,1,5
Plantago lanceolata ,NEW-OMAR-LF52,Plantago lanceolata,1,5
