SIVIMID,Relevé.number,Sintaxon,Temp,Precip,UTM10X10,UTM1X1,JuiceID,OriginalElevation,Locality,Country,ECOREG_WWF,DUNES_BOHN,Plant.Cover,Aspect,Slope,Area,SintaxonID,Authors,Year,Title,Publication,Type,DEG_LON,DEG_LAT,Accuracy,Elevation,ANTHROPIC,Vegetation,Class,Order,Alliance,EUNIS2020,EUNIS_REVISED,PCluster
Q-P08747,208747,Urtico dioicae-Sambucetum ebuli,91,9134,30TUN74,,6643,1000,Cervera de Pisuerga,ES,ATL_COAST,N_DUNES,100,,NA,20,856,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.504036138,42.88246998,3 - UTM10x10 + Elevation,1000,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, V     ,V39,0
Q-P08748,208748,Urtico dioicae-Sambucetum ebuli,81,10188,30TUN65,,6644,1250,Triollo,ES,ATL_COAST,N_DUNES,100,,NA,40,856,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.690827121,42.90687801,3 - UTM10x10 + Elevation,1250,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, R57   ,V39,0
Q-P08749,208749,Urtico dioicae-Sambucetum ebuli,90,8131,30TUN75,,6645,1070,San Martín de los Herreros,ES,ATL_COAST,N_DUNES,100,,NA,20,856,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.512128657,42.91298042,3 - UTM10x10 + Elevation,1070,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, R57   ,V39,0
Q-P08750,208750,Galio aparines-Conietum maculati,90,9080,30TUN74,,6646,1000,Cervera de Pisuerga,ES,ATL_COAST,N_DUNES,100,S,10,40,742,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.514005163,42.88954259,3 - UTM10x10 + Elevation,1000,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P08751,208751,Galio aparines-Conietum maculati,90,8353,30TUN75,,6647,1070,San Martín de los Herreros,ES,ATL_COAST,N_DUNES,80,,NA,12,742,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.534039347,42.90728585,3 - UTM10x10 + Elevation,1070,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P08752,208752,Geranio robertiani-Cariolophetum sempervirentis,81,10644,30TUN65,,6648,1300,Triollo,ES,ATL_COAST,N_DUNES,90,,NA,20,3907,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.67882657,42.91605961,3 - UTM10x10 + Elevation,1300,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, V39   ,V39,7
Q-P08753,208753,Geranio robertiani-Cariolophetum sempervirentis,89,8821,30TUN75,,6649,1080,San Martín de los Herreros,ES,ATL_COAST,N_DUNES,100,,NA,12,3907,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.487894143,42.92410402,3 - UTM10x10 + Elevation,1080,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R55   ,V39,0
Q-P09152,209152,Geranio lusitanici-Scrophularietum herminii,98,12204,29TNG75,29TNG7055,6900,1030,"Melgaco, Castro Laboreiro, Coriscadas",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.040051389,42.06645631,3 - UTM10x10 + Elevation,1030,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P09153,209153,Geranio lusitanici-Scrophularietum herminii,114,12455,29TNG73,29TNG7232,6901,1120,"Melgaço, Seara",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.125972742,41.84117573,2 - UTM1x1 + Centroid,1120,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V     ,V39,0
Q-P09154,209154,Geranio lusitanici-Scrophularietum herminii,94,12836,29TNG75,29TNG7154,6902,1050,"Melgaço, Teso",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.142281322,42.04570422,3 - UTM10x10 + Elevation,1050,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V38   ,V39,0
Q-P09155,209155,Geranio lusitanici-Scrophularietum herminii,102,14368,29TNG75,29TNG7051,6903,990,"Melgaço, Curveira",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.062724337,42.07805993,3 - UTM10x10 + Elevation,990,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V38   ,V39,0
Q-P09156,209156,Geranio lusitanici-Scrophularietum herminii,110,11074,29TNG94,29TNG9140,6904,850,"Montalegre, Tourém",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-7.906153316,41.9282218,3 - UTM10x10 + Elevation,850,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P09157,209157,Geranio lusitanici-Scrophularietum herminii,103,11097,29TNG92,29TNG9329,6905,980,"Montalegre, SezelheStª Luzia,",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-7.890158938,41.81366373,3 - UTM10x10 + Elevation,980,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P09158,209158,Geranio lusitanici-Scrophularietum herminii,124,12635,29TNG62,29TNG6126,6906,650,"Ponte da Barca, Germil",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.223140863,41.76475744,3 - UTM10x10 + Elevation,650,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, R57   ,V39,0
Q-P09159,209159,Geranio lusitanici-Scrophularietum herminii,129,11633,29TNF74,29TNF7945,6907,550,"Cinfaes, Ferreiros de Tendais",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.109776323,41.06042424,3 - UTM10x10 + Elevation,550,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P09160,209160,Geranio lusitanici-Scrophularietum herminii,103,12019,29TNG75,29TNG7053,6908,1000,"Melgaço, between Cainheiras and Casteo Laboreiro",PT,ATL_COAST,N_DUNES,NA,,NA,NA,6323,"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F.",2004,A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.,Acta Botanica Gallica vol. 151(4):,No forest,-8.043883733,42.08429349,3 - UTM10x10 + Elevation,1000,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V38   ,V39,0
Q-P10089,210089,Comunidad de Chaerophyllum temulum y Urtica dioica,112,10476,29TPG83,29TPG8034,7191,820,Bragança: Sabariz,PT,ATL_COAST,N_DUNES,100,S,63,8,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.780099635,41.84843679,3 - UTM10x10 + Elevation,820,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, Sa    ,V39,0
Q-P10090,210090,Comunidad de Chaerophyllum temulum y Urtica dioica,108,10352,29TPG73,29TPG7735,7192,900,"Bragança: Gondesende, Portela",PT,ATL_COAST,N_DUNES,100,SW,54,6,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.84862466,41.82634749,3 - UTM10x10 + Elevation,900,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati,      ?,V39,0
Q-P10091,210091,Comunidad de Chaerophyllum temulum y Urtica dioica,114,12423,29TPG54,29TPG5047,7193,730,Vinhais: Cisterna,PT,ATL_COAST,N_DUNES,100,SW,63,6,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.182960705,41.96578556,2 - UTM1x1 + Centroid,730,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, V32   ,V39,0
Q-P10092,210092,Comunidad de Chaerophyllum temulum y Urtica dioica,116,10817,29TPG63,29TPG6934,7194,750,Vinhais: Vila Verde,PT,ATL_COAST,N_DUNES,100,N,72,8,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.070331887,41.86731688,3 - UTM10x10 + Elevation,750,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, R57   ,V39,0
Q-P10093,210093,Comunidad de Chaerophyllum temulum y Urtica dioica,112,11200,29TPG63,29TPG6934,7195,740,Vinhais: Vila Verde,PT,ATL_COAST,N_DUNES,100,S,63,4,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.039080911,41.86842203,3 - UTM10x10 + Elevation,740,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati,      ?,V39,0
Q-P10094,210094,Comunidad de Chaerophyllum temulum y Urtica dioica,112,9279,29TPG93,29TPG9937,7196,860,Vinhais: Passos,PT,ATL_COAST,N_DUNES,100,S,63,4,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.642501247,41.80066068,3 - UTM10x10 + Elevation,860,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, R57   ,V39,0
Q-P10095,210095,Comunidad de Chaerophyllum temulum y Urtica dioica,110,11169,29TPG74,29TPG7142,7197,800,Vinhais: Dine,PT,ATL_COAST,N_DUNES,100,W,81,5,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.850539008,41.89832036,3 - UTM10x10 + Elevation,800,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati,      ?,V39,0
Q-P10096,210096,Comunidad de Chaerophyllum temulum y Urtica dioica,107,11254,29TPG63,29TPG6335,7198,800,Vinhais: Lagarelhos,PT,ATL_COAST,N_DUNES,100,NE,36,20,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.024882606,41.87252308,3 - UTM10x10 + Elevation,800,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, R57   ,V37,0
Q-P10097,210097,Comunidad de Chaerophyllum temulum y Urtica dioica,118,10998,29TPG73,29TPG7837,7199,800,Bragança: Espinhosela,PT,ATL_COAST,N_DUNES,100,SW,72,6,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.935699959,41.87201709,3 - UTM10x10 + Elevation,800,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati, V     ,V39,0
Q-P10098,210098,Comunidad de Chaerophyllum temulum y Urtica dioica,105,10866,29TPG73,29TPG7838,7200,880,Bragança: Terroso,PT,ATL_COAST,N_DUNES,100,W,63,4,7017,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.836679525,41.86816917,3 - UTM10x10 + Elevation,880,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Balloto-Conion maculati,      ?,V39,0
Q-P10099,210099,Galio aparines-Conietum maculati,116,9684,29TPG82,29TPG8627,7201,680,Bragança: Samil,PT,ATL_COAST,N_DUNES,90,,NA,2,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.807617165,41.78449342,3 - UTM10x10 + Elevation,680,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10100,210100,Galio aparines-Conietum maculati,113,10234,29TPG83,29TPG8233,7202,820,Bragança: Donai,PT,ATL_COAST,N_DUNES,100,,NA,8,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.795969738,41.83170412,3 - UTM10x10 + Elevation,820,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10101,210101,Galio aparines-Conietum maculati,118,9323,29TQG03,29TQG0437,7203,630,Bragança: Petisqueira,PT,ATL_COAST,N_DUNES,100,,NA,6,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.49272956,41.87915943,3 - UTM10x10 + Elevation,630,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10102,210102,Galio aparines-Conietum maculati,112,9853,29TPG93,29TPG9136,7204,600,"Bragança: Sacoias, junto ao rio Igrejas",PT,ATL_COAST,N_DUNES,100,,NA,2,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.61857634,41.83535117,4 - UTM10x10 + Centroid,600,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10103,210103,Galio aparines-Conietum maculati,112,10103,29TPG94,29TPG9040,7205,660,Bragança: Aveleda,PT,ATL_COAST,N_DUNES,100,,NA,12,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.61694175,41.90232436,3 - UTM10x10 + Elevation,660,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10104,210104,Galio aparines-Conietum maculati,117,10883,29TPG63,29TPG6435,7179,790,Vinhais: rio de Fornos,PT,ATL_COAST,N_DUNES,100,,NA,4,742,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.01838365,41.8457377,3 - UTM10x10 + Elevation,790,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae, V39   ,V39,7
Q-P10105,210105,Geranio robertiani-Caryolophetum sempervirentis,110,10909,29TPG73,29TPG7335,7207,510,"Vinhais: Soeira, junto à truticultura do Tuela",PT,ATL_COAST,N_DUNES,100,,NA,9,2725,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.866908731,41.86536384,4 - UTM10x10 + Centroid,510,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, V     ,V39,0
Q-P10106,210106,Geranio robertiani-Caryolophetum sempervirentis,114,9762,29TPG72,29TPG7529,7208,790,"Bragança: Carrazedo, Alimonde",PT,ATL_COAST,N_DUNES,100,,NA,4,2725,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.912067329,41.72154811,3 - UTM10x10 + Elevation,790,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R55   ,V39,0
Q-P10107,210107,Geranio robertiani-Caryolophetum sempervirentis,109,12922,29TPG74,29TPG7840,7209,840,Bragança: Vilarinho de Cova de Lua,PT,ATL_COAST,N_DUNES,100,,NA,5,2725,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.94308629,41.95280375,3 - UTM10x10 + Elevation,840,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, V39   ,V39,7
Q-P10108,210108,Geranio robertiani-Caryolophetum sempervirentis,116,10615,29TPG73,29TPG7533,7210,620,"Bragança: Castrelos, margem do rio Baceiro",PT,ATL_COAST,N_DUNES,100,,NA,2,2725,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-6.927495113,41.85609022,3 - UTM10x10 + Elevation,620,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R55   ,V39,0
Q-P10110,210110,Geranio robertiani-Caryolophetum sempervirentis,117,11142,29TPG63,29TPG6037,7211,620,Vinhais: Peleias,PT,ATL_COAST,N_DUNES,100,,NA,30,2725,"Gonçalves Aguiar, C.F.",2000,Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho,Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.,No forest,-7.067471709,41.86021488,3 - UTM10x10 + Elevation,620,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R55   ,V39,0
