"","Relevé.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"38",207051,"Q-P07051","Plantago coronopus","Plantago coronopus","*",1
"39",207051,"Q-P07051","Salvia apetala","Silene apetala","2",15
"40",207051,"Q-P07051","Spergularia bocconii","Spergularia bocconei","3",37.5
"41",207055,"Q-P07055","Bromus diandrus","Anisantha diandra","1",5
"42",207055,"Q-P07055","Arenaria serpyllifolia","Arenaria serpyllifolia","2",15
"43",207055,"Q-P07055","Desmazeria marina","Catapodium marinum","2",15
"44",207055,"Q-P07055","Cerastium tetrandrum","Cerastium diffusum","3",37.5
"45",207055,"Q-P07055","Cerastium semidecandrum","Cerastium semidecandrum","+",1
"46",207055,"Q-P07055","Erophila verna","Draba verna","2",15
"47",207055,"Q-P07055","Geranium molle","Geranium molle","1",5
"48",207055,"Q-P07055","Parentucellia latifolia","Parentucellia latifolia","2",15
"49",207055,"Q-P07055","Phleum arenarium","Phleum arenarium","3",37.5
"50",207055,"Q-P07055","Rumex bucephalophorus","Rumex bucephalophorus","2",15
"51",207055,"Q-P07055","Aetheorhiza bulbosa","Sonchus bulbosus","1",5
"52",207055,"Q-P07055","Trifolium dubium","Trifolium dubium","3",37.5
"53",207055,"Q-P07055","Veronica arvensis","Veronica arvensis","2",15
"54",207071,"Q-P07071","Agrostis stolonifera","Agrostis stolonifera","2",15
"55",207071,"Q-P07071","Epilobium parviflorum","Epilobium parviflorum","3",37.5
"56",207071,"Q-P07071","Equisetum telmateia","Equisetum telmateia","+",1
"57",207071,"Q-P07071","Lythrum junceum","Lythrum junceum","1",5
"58",207071,"Q-P07071","Ranunculus repens","Ranunculus repens","1",5
"59",207071,"Q-P07071","Veronica beccabunga","Veronica beccabunga","1",5
"60",207105,"Q-P07105","Bromus sterilis","Anisantha sterilis","+",1
"61",207105,"Q-P07105","Anthoxanthum odoratum","Anthoxanthum alpinum","1",5
"62",207105,"Q-P07105","Bellis perennis","Bellis perennis","+",1
"63",207105,"Q-P07105","Carex nemorosa","Carex acuta","1",5
"64",207105,"Q-P07105","Carex divulsa","Carex divulsa","1",5
"65",207105,"Q-P07105","Carex flacca","Carex flacca","1",5
"66",207105,"Q-P07105","Convolvulus arvensis","Convolvulus arvensis","1",5
"67",207105,"Q-P07105","Dipsacus sylvestris","Dipsacus fullonum","+",1
"68",207105,"Q-P07105","Eupatorium cannabinum","Eupatorium cannabinum","+",1
"69",207105,"Q-P07105","Geranium dissectum","Geranium dissectum","1",5
"70",207105,"Q-P07105","Geranium robertianum","Geranium robertianum","a",5
"71",207105,"Q-P07105","Holcus lanatus","Holcus lanatus","1",5
"72",207105,"Q-P07105","Juncus conglomeratus","Juncus conglomeratus","+",1
"73",207105,"Q-P07105","Juncus inflexus","Juncus inflexus","4",62.5
"74",207105,"Q-P07105","Lotus pedunculatus","Lotus pedunculatus","1",5
"75",207105,"Q-P07105","Lythrum junceum","Lythrum junceum","1",5
"76",207105,"Q-P07105","Medicaco polimorpha","Medicago polymorpha","+",1
"77",207105,"Q-P07105","Poa trivialis","Poa trivialis","3",37.5
"78",207105,"Q-P07105","Pulicaria dysenterica","Pulicaria dysenterica","2",15
"79",207105,"Q-P07105","Ranunculus repens","Ranunculus repens","2",15
"80",207105,"Q-P07105","Festuca arundinacea","Schedonorus arundinaceus","2",15
"81",207105,"Q-P07105","Sonchus oleraceus","Sonchus oleraceus","+",1
"82",207105,"Q-P07105","Taraxacum officinale","Taraxacum","+",1
"83",207114,"Q-P07114","Bromus hordeaceus","Bromus hordeaceus","+",1
"84",207114,"Q-P07114","Centaurium erythraea","Centaurium erythraea","+",1
"85",207114,"Q-P07114","Convolvulus arvensis","Convolvulus arvensis","+",1
"86",207114,"Q-P07114","Lolium perenne","Lolium perenne","2",15
"87",207114,"Q-P07114","Lotus corniculatus","Lotus corniculatus","+",1
"88",207114,"Q-P07114","Poa annua","Ochlopoa annua","2",15
"89",207114,"Q-P07114","Plantago lanceolata","Plantago lanceolata","1",5
"90",207114,"Q-P07114","Plantago major","Plantago major","3",37.5
"91",207114,"Q-P07114","Trifolium repens","Trifolium repens","1",5
"92",207115,"Q-P07115","Bromus hordeaceus","Bromus hordeaceus","1",5
"93",207115,"Q-P07115","Lolium multiflorum","Lolium multiflorum","1",5
"94",207115,"Q-P07115","Lolium perenne","Lolium perenne","2",15
"95",207115,"Q-P07115","Poa annua","Ochlopoa annua","1",5
"96",207115,"Q-P07115","Plantago lanceolata","Plantago lanceolata","+",1
"97",207115,"Q-P07115","Plantago major","Plantago major","3",37.5
"98",207115,"Q-P07115","Potentilla erecta","Potentilla erecta","+",1
"99",207115,"Q-P07115","Taraxacum officinale","Taraxacum","+",1
"100",207115,"Q-P07115","Trifolium fragiferum","Trifolium fragiferum","2",15
"101",207115,"Q-P07115","Trifolium repens","Trifolium repens","1",5
"102",207116,"Q-P07116","Bainardia cilindrica","Hainardia cylindrica","2",15
"103",207116,"Q-P07116","Lolium perenne","Lolium perenne","1",5
"104",207116,"Q-P07116","Poa annua","Ochlopoa annua","1",5
"105",207116,"Q-P07116","Plantago coronopus","Plantago coronopus","3",37.5
"106",207116,"Q-P07116","Plantago lanceolata","Plantago lanceolata","+",1
"107",207116,"Q-P07116","Plantago major","Plantago major","2",15
"108",207116,"Q-P07116","Aster squamatus","Symphyotrichum squamatum","1",5
"109",207116,"Q-P07116","Trifolium fragiferum","Trifolium fragiferum","1",5
"110",207119,"Q-P07119","Dactylis glomerata","Dactylis glomerata","+",1
"111",207119,"Q-P07119","Hordeum murinum","Hordeum murinum","+",1
"112",207119,"Q-P07119","Lolium perenne","Lolium perenne","3",37.5
"113",207119,"Q-P07119","Poa annua","Ochlopoa annua","1",5
"114",207119,"Q-P07119","Plantago major","Plantago major","3",37.5
"115",207119,"Q-P07119","Sporobolus indicus","Sporobolus indicus","a",5
"116",207119,"Q-P07119","Taraxacum officinale","Taraxacum","1",5
"117",207119,"Q-P07119","Trifolium repens","Trifolium repens","a",5
"118",207119,"Q-P07119","Verbena officinalis","Verbena officinalis","1",5
"119",207124,"Q-P07124","Prunus hordaceus","Bromus hordeaceus","2",15
"120",207124,"Q-P07124","Carex nemorosa","Carex acuta","+",1
"121",207124,"Q-P07124","Carex divulsa","Carex divulsa","1",5
"122",207124,"Q-P07124","Carex hirta","Carex hirta","1",5
"123",207124,"Q-P07124","Cerastium triviale","Cerastium fontanum","1",5
"124",207124,"Q-P07124","Geranium dissectum","Geranium dissectum","1",5
"125",207124,"Q-P07124","Glechoma hederacea","Glechoma hederacea","1",5
"126",207124,"Q-P07124","Juncus effusus","Juncus effusus","a",5
"127",207124,"Q-P07124","Juncus inflexus","Juncus inflexus","f",15
"128",207124,"Q-P07124","Lotus corniculatus","Lotus corniculatus","*",1
"129",207124,"Q-P07124","Lotus pedunculatus","Lotus pedunculatus","a",5
"130",207124,"Q-P07124","Mentha suaveolens","Mentha suaveolens","4",62.5
"131",207124,"Q-P07124","Plantago lanceolata","Plantago lanceolata","+",1
"132",207124,"Q-P07124","Poa trivialis","Poa trivialis","3",37.5
"133",207124,"Q-P07124","Pulicaria dysenterica","Pulicaria dysenterica","1",5
"134",207124,"Q-P07124","Ranunculus repens","Ranunculus repens","1",5
"135",207124,"Q-P07124","Rumex acetosa","Rumex acetosa","1",5
"136",207124,"Q-P07124","Rumex crispus","Rumex crispus","a",5
"137",207124,"Q-P07124","Festuca arundinacea","Schedonorus arundinaceus","a",5
"138",207124,"Q-P07124","Stellaria graminea","Stellaria graminea","1",5
"139",207124,"Q-P07124","Trifolium pratense","Trifolium pratense","1",5
"140",207124,"Q-P07124","Veronica chamaedrys","Veronica chamaedrys","1",5
"141",207125,"Q-P07125","Agrostis stolonifera","Agrostis stolonifera","3",37.5
"142",207125,"Q-P07125","Elymus pycnanthus","Elytrigia atherica","+",1
"143",207125,"Q-P07125","Elymus repens","Elytrigia repens","+",1
"144",207125,"Q-P07125","Juncus effusus","Juncus effusus","3",37.5
"145",207125,"Q-P07125","Juncus inflexus","Juncus inflexus","2",15
"146",207125,"Q-P07125","Lotus tenuis","Lotus tenuis","+",1
"147",207125,"Q-P07125","Lythrum junceum","Lythrum junceum","+",1
"148",207125,"Q-P07125","Plantago major","Plantago major","+",1
"149",207125,"Q-P07125","Poa pratensis","Poa pratensis","+",1
"150",207125,"Q-P07125","Rumex crispus","Rumex crispus","1",5
"151",207125,"Q-P07125","Samolus valerandi","Samolus valerandi","+",1
"152",207768,"Q-P07768","Calystegia sepium","Calystegia sepium","+",1
"153",207768,"Q-P07768","Carex divulsa","Carex divulsa","+",1
"154",207768,"Q-P07768","Convolvulus arvensis","Convolvulus arvensis","+",1
"155",207768,"Q-P07768","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"156",207768,"Q-P07768","Euphorbia peplus","Euphorbia peplus","+",1
"157",207768,"Q-P07768","Geranium rotundifolium","Geranium rotundifolium","f",15
"158",207768,"Q-P07768","Hypochoeris radicata","Hypochaeris radicata","+",1
"159",207768,"Q-P07768","Lotus corniculatus","Lotus corniculatus","+",1
"160",207768,"Q-P07768","Mentha rotundifolia","Mentha suaveolens","+",1
"161",207768,"Q-P07768","Mercurialis annua","Mercurialis annua","+",1
"162",207768,"Q-P07768","Paspalum vaginatum","Paspalum vaginatum","*",1
"163",207768,"Q-P07768","Polygonum aviculare","Polygonum aviculare","+",1
"164",207768,"Q-P07768","Potentilla reptans","Potentilla reptans","j",37.5
"165",207768,"Q-P07768","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"166",207768,"Q-P07768","Ranunculus repens","Ranunculus repens","+",1
"167",207768,"Q-P07768","Rubus ulmifolius","Rubus ulmifolius","+",1
"168",207768,"Q-P07768","Rumex conglomeratus","Rumex conglomeratus","+",1
"169",207768,"Q-P07768","Setaria glauca","Setaria pumila","+",1
"170",207768,"Q-P07768","Sonchus oleraceus","Sonchus oleraceus","+",1
"171",207768,"Q-P07768","Stellaria media","Stellaria media","+",1
"172",207768,"Q-P07768","Taraxacum officinale","Taraxacum","e",15
"173",207768,"Q-P07768","Trifolium repens","Trifolium repens","+",1
"174",207768,"Q-P07768","Urtica urens","Urtica urens","+",1
"175",207768,"Q-P07768","Verbena officinalis","Verbena officinalis","+",1
"176",207768,"Q-P07768","Veronica agrestis","Veronica agrestis","+",1
"177",207769,"Q-P07769","Calystegia sepium","Calystegia sepium","+",1
"178",207769,"Q-P07769","Carex divulsa","Carex divulsa","+",1
"179",207769,"Q-P07769","Chenopodium album","Chenopodium album","+",1
"180",207769,"Q-P07769","Convolvulus arvensis","Convolvulus arvensis","+",1
"181",207769,"Q-P07769","Digitaria sanguinalis","Digitaria sanguinalis","a",5
"182",207769,"Q-P07769","Equisetum arvense","Equisetum arvense","+",1
"183",207769,"Q-P07769","Euphorbia peplus","Euphorbia peplus","+",1
"184",207769,"Q-P07769","Geranium rotundifolium","Geranium rotundifolium","2",15
"185",207769,"Q-P07769","Mentha rotundifolia","Mentha suaveolens","+",1
"186",207769,"Q-P07769","Oxalis corniculata","Oxalis corniculata","+",1
"187",207769,"Q-P07769","Oxalis latifolia","Oxalis latifolia","+",1
"188",207769,"Q-P07769","Plantago lanceolata","Plantago lanceolata","+",1
"189",207769,"Q-P07769","Potentilla reptans","Potentilla reptans","3",37.5
"190",207769,"Q-P07769","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"191",207769,"Q-P07769","Ranunculus repens","Ranunculus repens","+",1
"192",207769,"Q-P07769","Rubus ulmifolius","Rubus ulmifolius","+",1
"193",207769,"Q-P07769","Rumex conglomeratus","Rumex conglomeratus","+",1
"194",207769,"Q-P07769","Sambucus ebulus","Sambucus ebulus","+",1
"195",207769,"Q-P07769","Senecio vulgaris","Senecio vulgaris","+",1
"196",207769,"Q-P07769","Sonchus oleraceus","Sonchus oleraceus","+",1
"197",207769,"Q-P07769","Taraxacum officinale","Taraxacum","1",5
"198",207769,"Q-P07769","Trifolium repens","Trifolium repens","+",1
"199",207769,"Q-P07769","Verbena officinalis","Verbena officinalis","+",1
"200",207770,"Q-P07770","Amaranthus patulus","Amaranthus hybridus aggr.","+",1
"201",207770,"Q-P07770","Calystegia sepium","Calystegia sepium","+",1
"202",207770,"Q-P07770","Convolvulus arvensis","Convolvulus arvensis","+",1
"203",207770,"Q-P07770","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"204",207770,"Q-P07770","Geranium rotundifolium","Geranium rotundifolium","f",15
"205",207770,"Q-P07770","Lotus corniculatus","Lotus corniculatus","+",1
"206",207770,"Q-P07770","Mentha rotundifolia","Mentha suaveolens","+",1
"207",207770,"Q-P07770","Mercurialis annua","Mercurialis annua","+",1
"208",207770,"Q-P07770","Oxalis corniculata","Oxalis corniculata","+",1
"209",207770,"Q-P07770","Polygonum persicaria","Persicaria maculosa","+",1
"210",207770,"Q-P07770","Picris hieracioides","Picris hieracioides","+",1
"211",207770,"Q-P07770","Plantago lanceolata","Plantago lanceolata","+",1
"212",207770,"Q-P07770","Potentilla reptans","Potentilla reptans","f",15
"213",207770,"Q-P07770","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"214",207770,"Q-P07770","Ranunculus repens","Ranunculus repens","+",1
"215",207770,"Q-P07770","Rubus ulmifolius","Rubus ulmifolius","+",1
"216",207770,"Q-P07770","Rumex conglomeratus","Rumex conglomeratus","+",1
"217",207770,"Q-P07770","Senecio vulgaris","Senecio vulgaris","+",1
"218",207770,"Q-P07770","Sonchus oleraceus","Sonchus oleraceus","+",1
"219",207770,"Q-P07770","Taraxacum officinale","Taraxacum","2",15
"220",207770,"Q-P07770","Trifolium repens","Trifolium repens","+",1
"221",207770,"Q-P07770","Verbena officinalis","Verbena officinalis","+",1
"222",207770,"Q-P07770","Veronica agrestis","Veronica agrestis","+",1
"223",207771,"Q-P07771","Calystegia sepium","Calystegia sepium","+",1
"224",207771,"Q-P07771","Carex divulsa","Carex divulsa","+",1
"225",207771,"Q-P07771","Convolvulus arvensis","Convolvulus arvensis","1",5
"226",207771,"Q-P07771","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"227",207771,"Q-P07771","Equisetum arvense","Equisetum arvense","+",1
"228",207771,"Q-P07771","Geranium rotundifolium","Geranium rotundifolium","a",5
"229",207771,"Q-P07771","Helminthia echioides","Helminthotheca echioides","+",1
"230",207771,"Q-P07771","Mentha rotundifolia","Mentha suaveolens","+",1
"231",207771,"Q-P07771","Oxalis corniculata","Oxalis corniculata","+",1
"232",207771,"Q-P07771","Paspalum vaginatum","Paspalum vaginatum","+",1
"233",207771,"Q-P07771","Potentilla reptans","Potentilla reptans","f",15
"234",207771,"Q-P07771","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"235",207771,"Q-P07771","Ranunculus repens","Ranunculus repens","2",15
"236",207771,"Q-P07771","Rubus ulmifolius","Rubus ulmifolius","+",1
"237",207771,"Q-P07771","Rumex conglomeratus","Rumex conglomeratus","+",1
"238",207771,"Q-P07771","Senecio vulgaris","Senecio vulgaris","+",1
"239",207771,"Q-P07771","Sonchus oleraceus","Sonchus oleraceus","+",1
"240",207771,"Q-P07771","Stellaria media","Stellaria media","+",1
"241",207771,"Q-P07771","Taraxacum officinale","Taraxacum","a",5
"242",207771,"Q-P07771","Trifolium repens","Trifolium repens","+",1
"243",207771,"Q-P07771","Verbena officinalis","Verbena officinalis","+",1
"244",207772,"Q-P07772","Calystegia sepium","Calystegia sepium","+",1
"245",207772,"Q-P07772","Convolvulus arvensis","Convolvulus arvensis","+",1
"246",207772,"Q-P07772","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"247",207772,"Q-P07772","Geranium rotundifolium","Geranium rotundifolium","e",15
"248",207772,"Q-P07772","Hypericum perforatum","Hypericum perforatum","+",1
"249",207772,"Q-P07772","Kickxia spuria","Kickxia spuria","+",1
"250",207772,"Q-P07772","Mentha rotundifolia","Mentha suaveolens","+",1
"251",207772,"Q-P07772","Paspalum vaginatum","Paspalum vaginatum","+",1
"252",207772,"Q-P07772","Polygonum persicaria","Persicaria maculosa","+",1
"253",207772,"Q-P07772","Polygonum aviculare","Polygonum aviculare","+",1
"254",207772,"Q-P07772","Potentilla reptans","Potentilla reptans","j",37.5
"255",207772,"Q-P07772","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"256",207772,"Q-P07772","Ranunculus repens","Ranunculus repens","e",15
"257",207772,"Q-P07772","Rubus ulmifolius","Rubus ulmifolius","a",5
"258",207772,"Q-P07772","Rumex conglomeratus","Rumex conglomeratus","+",1
"259",207772,"Q-P07772","Senecio vulgaris","Senecio vulgaris","+",1
"260",207772,"Q-P07772","Sonchus oleraceus","Sonchus oleraceus","+",1
"261",207772,"Q-P07772","Taraxacum officinale","Taraxacum","e",15
"262",207772,"Q-P07772","Verbena officinalis","Verbena officinalis","+",1
"263",207772,"Q-P07772","Veronica agrestis","Veronica agrestis","+",1
"264",207772,"Q-P07772","Veronica beccabunga","Veronica beccabunga","+",1
"265",207777,"Q-P07777","Calystegia sepium","Calystegia sepium","+",1
"266",207777,"Q-P07777","Cerastium caespitosum","Cerastium fontanum","+",1
"267",207777,"Q-P07777","Daucus carota","Daucus carota","+",1
"268",207777,"Q-P07777","Equisetum maximum","Equisetum telmateia","j",37.5
"269",207777,"Q-P07777","Erigeron canadensis","Erigeron canadensis","+",1
"270",207777,"Q-P07777","Fragaria vesca","Fragaria vesca","+",1
"271",207777,"Q-P07777","Helminthia echioides","Helminthotheca echioides","+",1
"272",207777,"Q-P07777","Holcus lanatus","Holcus lanatus","+",1
"273",207777,"Q-P07777","Hypochoeris radicata","Hypochaeris radicata","+",1
"274",207777,"Q-P07777","Linum angustifolium","Linum bienne","+",1
"275",207777,"Q-P07777","Lotus corniculatus","Lotus corniculatus","+",1
"276",207777,"Q-P07777","Medicago lupulina","Medicago lupulina","+",1
"277",207777,"Q-P07777","Picris hieracioides","Picris hieracioides","+",1
"278",207777,"Q-P07777","Plantago lanceolata","Plantago lanceolata","+",1
"279",207777,"Q-P07777","Potentilla erecta","Potentilla erecta","+",1
"280",207777,"Q-P07777","Potentilla reptans","Potentilla reptans","+",1
"281",207777,"Q-P07777","Prunella vulgaris","Prunella vulgaris","+",1
"282",207777,"Q-P07777","Pulicaria dysenterica","Pulicaria dysenterica","+",1
"283",207777,"Q-P07777","Ranunculus repens","Ranunculus repens","+",1
"284",207777,"Q-P07777","Senecio vulgaris","Senecio vulgaris","+",1
"285",207777,"Q-P07777","Sonchus oleraceus","Sonchus oleraceus","+",1
"286",207777,"Q-P07777","Trifolium pratense","Trifolium pratense","+",1
"287",207777,"Q-P07777","Trifolium repens","Trifolium repens","+",1
"288",207777,"Q-P07777","Vicia tenuifolia","Vicia tenuifolia","+",1
"289",207778,"Q-P07778","Daucus carota","Daucus carota","+",1
"290",207778,"Q-P07778","Equisetum maximum","Equisetum telmateia","p",62.5
"291",207778,"Q-P07778","Erigeron canadensis","Erigeron canadensis","1",5
"292",207778,"Q-P07778","Helminthia echioides","Helminthotheca echioides","a",5
"293",207778,"Q-P07778","Holcus lanatus","Holcus lanatus","a",5
"294",207778,"Q-P07778","Thrincia hirta","Leontodon saxatilis ","+",1
"295",207778,"Q-P07778","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
"296",207778,"Q-P07778","Linum angustifolium","Linum bienne","+",1
"297",207778,"Q-P07778","Medicago lupulina","Medicago lupulina","+",1
"298",207778,"Q-P07778","Polygonum persicaria","Persicaria maculosa","+",1
"299",207778,"Q-P07778","Picris hieracioides","Picris hieracioides","+",1
"300",207778,"Q-P07778","Plantago lanceolata","Plantago lanceolata","+",1
"301",207778,"Q-P07778","Festuca elatior","Schedonorus arundinaceus","+",1
"302",207778,"Q-P07778","Sonchus oleraceus","Sonchus oleraceus","1",5
"303",207778,"Q-P07778","Trifolium pratense","Trifolium pratense","+",1
"304",207778,"Q-P07778","Trifolium repens","Trifolium repens","+",1
"305",207778,"Q-P07778","Vicia tenuifolia","Vicia tenuifolia","+",1
"306",207779,"Q-P07779","Calystegia sepium","Calystegia sepium","+",1
"307",207779,"Q-P07779","Cirsium arvense","Cirsium arvense","+",1
"308",207779,"Q-P07779","Equisetum maximum","Equisetum telmateia","p",62.5
"309",207779,"Q-P07779","Erigeron canadensis","Erigeron canadensis","1",5
"310",207779,"Q-P07779","Helminthia echioides","Helminthotheca echioides","2",15
"311",207779,"Q-P07779","Holcus lanatus","Holcus lanatus","2",15
"312",207779,"Q-P07779","Hypochoeris radicata","Hypochaeris radicata","+",1
"313",207779,"Q-P07779","Linum angustifolium","Linum bienne","+",1
"314",207779,"Q-P07779","Medicago lupulina","Medicago lupulina","+",1
"315",207779,"Q-P07779","Polygonum persicaria","Persicaria maculosa","1",5
"316",207779,"Q-P07779","Picris hieracioides","Picris hieracioides","+",1
"317",207779,"Q-P07779","Plantago lanceolata","Plantago lanceolata","+",1
"318",207779,"Q-P07779","Festuca elatior","Schedonorus arundinaceus","+",1
"319",207779,"Q-P07779","Sonchus oleraceus","Sonchus oleraceus","1",5
"320",207779,"Q-P07779","Trifolium pratense","Trifolium pratense","+",1
"321",207779,"Q-P07779","Trifolium repens","Trifolium repens","+",1
"322",207779,"Q-P07779","Vicia tenuifolia","Vicia tenuifolia","+",1
"323",207780,"Q-P07780","Calystegia sepium","Calystegia sepium","+",1
"324",207780,"Q-P07780","Cerastium caespitosum","Cerastium fontanum","+",1
"325",207780,"Q-P07780","Daucus carota","Daucus carota","+",1
"326",207780,"Q-P07780","Equisetum maximum","Equisetum telmateia","p",62.5
"327",207780,"Q-P07780","Erigeron canadensis","Erigeron canadensis","+",1
"328",207780,"Q-P07780","Helminthia echioides","Helminthotheca echioides","+",1
"329",207780,"Q-P07780","Holcus lanatus","Holcus lanatus","+",1
"330",207780,"Q-P07780","Hypochoeris radicata","Hypochaeris radicata","+",1
"331",207780,"Q-P07780","Linum angustifolium","Linum bienne","+",1
"332",207780,"Q-P07780","Medicago lupulina","Medicago lupulina","+",1
"333",207780,"Q-P07780","Polygonum persicaria","Persicaria maculosa","+",1
"334",207780,"Q-P07780","Plantago lanceolata","Plantago lanceolata","+",1
"335",207780,"Q-P07780","Festuca elatior","Schedonorus arundinaceus","+",1
"336",207780,"Q-P07780","Sonchus oleraceus","Sonchus oleraceus","1",5
"337",207780,"Q-P07780","Trifolium pratense","Trifolium pratense","+",1
"338",207780,"Q-P07780","Trifolium repens","Trifolium repens","+",1
"339",207780,"Q-P07780","Vicia tenuifolia","Vicia tenuifolia","1",5
"340",207781,"Q-P07781","Calystegia sepium","Calystegia sepium","+",1
"341",207781,"Q-P07781","Daucus carota","Daucus carota","+",1
"342",207781,"Q-P07781","Equisetum maximum","Equisetum telmateia","4",62.5
"343",207781,"Q-P07781","Erigeron canadensis","Erigeron canadensis","a",5
"344",207781,"Q-P07781","Helminthia echioides","Helminthotheca echioides","+",1
"345",207781,"Q-P07781","Holcus lanatus","Holcus lanatus","+",1
"346",207781,"Q-P07781","Hypochoeris radicata","Hypochaeris radicata","+",1
"347",207781,"Q-P07781","Linum angustifolium","Linum bienne","+",1
"348",207781,"Q-P07781","Medicago lupulina","Medicago lupulina","+",1
"349",207781,"Q-P07781","Polygonum persicaria","Persicaria maculosa","1",5
"350",207781,"Q-P07781","Plantago lanceolata","Plantago lanceolata","+",1
"351",207781,"Q-P07781","Festuca elatior","Schedonorus arundinaceus","+",1
"352",207781,"Q-P07781","Sonchus oleraceus","Sonchus oleraceus","1",5
"353",207781,"Q-P07781","Trifolium pratense","Trifolium pratense","+",1
"354",207781,"Q-P07781","Trifolium repens","Trifolium repens","+",1
"355",207781,"Q-P07781","Vicia tenuifolia","Vicia tenuifolia","1",5
"356",207782,"Q-P07782","Calystegia sepium","Calystegia sepium","+",1
"357",207782,"Q-P07782","Daucus carota","Daucus carota","1",5
"358",207782,"Q-P07782","Equisetum maximum","Equisetum telmateia","p",62.5
"359",207782,"Q-P07782","Erigeron canadensis","Erigeron canadensis","+",1
"360",207782,"Q-P07782","Helminthia echioides","Helminthotheca echioides","+",1
"361",207782,"Q-P07782","Holcus lanatus","Holcus lanatus","+",1
"362",207782,"Q-P07782","Hypochoeris radicata","Hypochaeris radicata","+",1
"363",207782,"Q-P07782","Thrincia hirta","Leontodon saxatilis ","+",1
"364",207782,"Q-P07782","Linum angustifolium","Linum bienne","a",5
"365",207782,"Q-P07782","Lotus corniculatus","Lotus corniculatus","+",1
"366",207782,"Q-P07782","Medicago lupulina","Medicago lupulina","+",1
"367",207782,"Q-P07782","Plantago lanceolata","Plantago lanceolata","+",1
"368",207782,"Q-P07782","Prunella vulgaris","Prunella vulgaris","+",1
"369",207782,"Q-P07782","Festuca elatior","Schedonorus arundinaceus","+",1
"370",207782,"Q-P07782","Senecio vulgaris","Senecio vulgaris","+",1
"371",207782,"Q-P07782","Sonchus oleraceus","Sonchus oleraceus","1",5
"372",207782,"Q-P07782","Trifolium pratense","Trifolium pratense","1",5
"373",207782,"Q-P07782","Trifolium repens","Trifolium repens","1",5
