"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"33","Q-P10416",307,"Lolio perennis-Plantaginetum maioris",1827,"Potentillion anserinae","V35","",NA,4,"2000",-6.616567662,41.93835555,"1 - UTM1x1 + Elevation",770,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"34","Q-P11853",308,"Comunidade de Plantago coronopus e Catapodium marinum",211853,"Potentillion anserinae","V34","",NA,NA,"2003",-8.681068468,41.2388078,"4 - UTM10x10 + Centroid",46,"Saginion maritimae","Saginetea maritimae",0,"Polygono-Poetea annuae"
"35","R-P09860",385,"Polycarpion tetraphylli",309860,"Potentillion anserinae","V35","",NA,3,"2000",-2.963323257,43.31737687,"1 - UTM1x1 + Elevation",10,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"36","R-P15158",461,"Polygono-Matricarietum matricarioidis",1832,"Polygono-Coronopodion","V35","",NA,NA,"1983",-2.420060421,43.12501261,"1 - UTM1x1 + Elevation",150,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"37","R-P15159",462,"Polygono-Matricarietum matricarioidis",1833,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"38","R-P15160",463,"Polygono-Matricarietum matricarioidis",1834,"Polygono-Coronopodion","V35","",NA,NA,"1983",-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"39","R-P15161",464,"Polygono-Matricarietum matricarioidis",1835,"Polygono-Coronopodion","V35","",NA,2,"1983",-2.406248527,43.02768845,"1 - UTM1x1 + Elevation",230,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"40","R-P15162",465,"Polygono-Matricarietum matricarioidis",1836,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.526641647,43.01384166,"2 - UTM1x1 + Centroid",250,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"41","R-P15163",466,"Polygono-Matricarietum matricarioidis",1837,"Polygono-Coronopodion","V35","",NA,3,"1983",-2.398831686,43.03305274,"1 - UTM1x1 + Elevation",240,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"42","R-P15164",467,"Polygono-Matricarietum matricarioidis",1838,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.409324237,43.21860748,"1 - UTM1x1 + Elevation",90,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"43","R-P15165",468,"Polygono-Matricarietum matricarioidis",1839,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.378483179,43.10318262,"2 - UTM1x1 + Centroid",200,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"44","R-P15166",469,"Polygono-Matricarietum matricarioidis",1840,"Polygono-Coronopodion","V35","",NA,NA,"1983",-2.56364605,42.98697351,"2 - UTM1x1 + Centroid",350,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"45","R-P15167",470,"Polygono-Matricarietum matricarioidis",1841,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.342099651,43.05795461,"2 - UTM1x1 + Centroid",350,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"46","R-P15168",471,"Polygono-Matricarietum matricarioidis",1842,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",280,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"47","R-P15169",472,"Polygono-Matricarietum matricarioidis",1843,"Polygono-Coronopodion","V35","",NA,NA,"1983",-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",300,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"48","R-P15170",473,"Bryo argentei-Saginetum procumbentis",1844,"Saginion procumbentis","V35","",NA,2,"1983",-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",10,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"49","R-P15171",474,"Bryo argentei-Saginetum procumbentis",1845,"Saginion procumbentis","V35","",NA,1,"1983",-2.441466447,43.20436136,"1 - UTM1x1 + Elevation",500,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"50","R-P15172",475,"Bryo argentei-Saginetum procumbentis",1846,"Saginion procumbentis","V35","",NA,2,"1983",-2.403758958,43.03127751,"2 - UTM1x1 + Centroid",350,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"51","R-P15173",476,"Bryo argentei-Saginetum procumbentis",1847,"Saginion procumbentis","V35","",NA,2,"1983",-2.531495292,43.02106567,"1 - UTM1x1 + Elevation",350,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"52","R-P15174",477,"Bryo argentei-Saginetum procumbentis",1848,"Saginion procumbentis","V35","",NA,1,"1983",-2.412753528,43.11777144,"1 - UTM1x1 + Elevation",150,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"53","R-P15175",478,"Bryo argentei-Saginetum procumbentis",1849,"Saginion procumbentis","V35","",NA,1,"1983",-2.419190755,43.21685705,"1 - UTM1x1 + Elevation",100,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"54","R-P15176",479,"Bryo argentei-Saginetum procumbentis",1850,"Saginion procumbentis","V35","",NA,2,"1983",-2.389265862,43.25452089,"1 - UTM1x1 + Elevation",50,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"55","R-P15177",480,"Bryo argentei-Saginetum procumbentis",1851,"Polygono-Coronopodion","V35","",NA,1,"1983",-2.386802073,43.25450771,"1 - UTM1x1 + Elevation",50,"Saginion procumbentis","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"56","R-P15178",481,"Bryo argentei-Saginetum procumbentis",1852,"Saginion procumbentis","V35","",NA,3,"1983",-2.354373302,43.2921487,"1 - UTM1x1 + Elevation",10,"Saginion procumbentis","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"57","R-P15231",483,"Lolio-Plantaginetum majoris",315231,"Potentillion anserinae","R36","",NA,10,"1983",-2.390664564,43.114054,"1 - UTM1x1 + Elevation",350,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"58","R-P15232",484,"Lolio-Plantaginetum majoris",315232,"Potentillion anserinae","R36","",NA,3,"1983",-2.563454837,43.013988,"2 - UTM1x1 + Centroid",250,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"59","R-P15234",485,"Lolio-Plantaginetum majoris",315234,"Potentillion anserinae","R36","",NA,2,"1983",-2.38152812,43.28869691,"1 - UTM1x1 + Elevation",200,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"60","R-P15235",486,"Lolio-Plantaginetum majoris",315235,"Potentillion anserinae","R36","",NA,5,"1983",-2.465443153,42.99556208,"2 - UTM1x1 + Centroid",250,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"61","R-P15236",487,"Lolio-Plantaginetum majoris",315236,"Potentillion anserinae","R36","",NA,8,"1983",-2.420111451,43.11960994,"1 - UTM1x1 + Elevation",150,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"62","R-P15239",488,"Lolio-Plantaginetum majoris",315239,"Potentillion anserinae","R36","",NA,5,"1983",-2.464425444,43.11262204,"2 - UTM1x1 + Centroid",190,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"63","R-P15241",489,"Lolio-Plantaginetum majoris",315241,"Potentillion anserinae","R36","",NA,4,"1983",-2.376561004,43.29227179,"1 - UTM1x1 + Elevation",180,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"64","R-P15242",490,"Lolio-Plantaginetum majoris",315242,"Potentillion anserinae","R36","",NA,5,"1983",-2.429961719,43.11785847,"1 - UTM1x1 + Elevation",250,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"65","R-P20515",493,"Spergulario marinae-Cotuletum coronopifoliae",320515,"Potentillion anserinae","R36","",NA,9,"1997",-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"Paspalo-Agrostion semiverticillati","Bidentetea",0,"Polygono-Poetea annuae"
"66","R-P22199",509,"Lolio perennis-Plantaginetum maioris",1853,"Potentillion anserinae","V35","S",NA,3,"1999",-8.001127176,41.97093036,"1 - UTM1x1 + Elevation",580,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"67","R-P22201",510,"Lolio perennis-Plantaginetum maioris",1854,"Potentillion anserinae","V35","NE",NA,4,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"68","R-P22204",511,"Lolio perennis-Plantaginetum maioris",1855,"Potentillion anserinae","V35","N",NA,2,"1999",-7.91905333,41.90786144,"1 - UTM1x1 + Elevation",875,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"69","R-P22301",568,"Polygono arenastri-Matricarietum matricarioidis",322301,"Polygono-Coronopodion","V35","",NA,2,"1999",-8.110178932,41.85627969,"1 - UTM1x1 + Elevation",390,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"70","R-P22302",569,"Polygono arenastri-Matricarietum matricarioidis",322302,"Polygono-Coronopodion","V35","",NA,2,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",400,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"71","R-P22303",570,"Polygono arenastri-Matricarietum matricarioidis",1859,"Polygono-Coronopodion","V35","",NA,2,"1999",-7.966652503,41.93101631,"1 - UTM1x1 + Elevation",795,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"72","R-P22304",571,"Polygono arenastri-Matricarietum matricarioidis",1860,"Polygono-Coronopodion","V35","",NA,2,"1999",-7.95080331,41.94430692,"1 - UTM1x1 + Elevation",810,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"73","R-P22305",572,"Polygono arenastri-Matricarietum matricarioidis",1861,"Polygono-Coronopodion","V35","NE",NA,2,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"74","R-P22306",573,"Polygono arenastri-Matricarietum matricarioidis",1862,"Polygono-Coronopodion","V35","",NA,3,"1999",-7.917203052,41.91514346,"1 - UTM1x1 + Elevation",870,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"75","R-P22307",574,"Polygono arenastri-Matricarietum matricarioidis",1863,"Polygono-Coronopodion","V35","SW",NA,3,"1999",-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"76","R-P22308",575,"Polygono arenastri-Matricarietum matricarioidis",1864,"Polygono-Coronopodion","V35","E",NA,4,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",420,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"77","R-P22309",576,"Polygono arenastri-Matricarietum matricarioidis",1865,"Polygono-Coronopodion","V35","W",10,2,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"78","R-P23904",586,"Lolio-Plantaginetum majoris",323904,"Potentillion anserinae","R36","",NA,5,"1986",-6.925970118,42.41801219,"3 - UTM10x10 + Elevation",360,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"79","R-P23906",587,"Lolio-Plantaginetum majoris",323906,"Potentillion anserinae","R36","",NA,1,"1986",-6.704060461,42.36417884,"3 - UTM10x10 + Elevation",1260,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"80","R-P23907",588,"Lolio-Plantaginetum majoris",1871,"Potentillion anserinae","V35","",NA,1,"1986",-6.805884296,42.32122055,"3 - UTM10x10 + Elevation",1000,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"81","R-P23908",589,"Lolio-Plantaginetum majoris",323908,"Potentillion anserinae","R36","S",5,2,"1986",-6.79215421,42.29466315,"3 - UTM10x10 + Elevation",980,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"82","R-P23909",590,"Lolio-Plantaginetum majoris",323909,"Potentillion anserinae","R36","SW",5,4,"1986",-6.799741313,42.29981424,"3 - UTM10x10 + Elevation",900,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"83","R-P23911",591,"Lolio-Plantaginetum majoris",323911,"Potentillion anserinae","R36","N",5,1,"1986",-7.046404243,42.36339529,"3 - UTM10x10 + Elevation",950,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"84","R-P23912",592,"Lolio-Plantaginetum majoris",1872,"Potentillion anserinae","V","",NA,10,"1986",-6.864005268,42.3192739,"3 - UTM10x10 + Elevation",1040,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"85","R-P23959",610,"Polygono-Matricarietum matricarioidis",1873,"Polygono-Coronopodion","V34","",NA,3,"1986",-6.82410259,42.42146088,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"86","R-P23960",611,"Polygono-Matricarietum matricarioidis",1874,"Polygono-Coronopodion","V35","",NA,2,"1986",-6.821895586,42.42513626,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"87","R-P23961",612,"Polygono-Matricarietum matricarioidis",1875,"Polygono-Coronopodion","V","S",3,2,"1986",-6.908769888,42.41499923,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"88","R-P23983",627,"Urtico urentis-Malvetum neglectae",1879,"Polygono-Coronopodion","V37","",NA,1,"1986",-6.781557753,42.32022567,"3 - UTM10x10 + Elevation",1000,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"89","R-P23985",629,"Urtico urentis-Malvetum neglectae",1881,"Polygono-Coronopodion","V37","",NA,4,"1986",-6.797062809,42.33592028,"3 - UTM10x10 + Elevation",900,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"90","R-P23988",630,"Urtico urentis-Malvetum neglectae",1882,"Polygono-Coronopodion","V37","",NA,1,"1986",-6.785335962,42.3831308,"3 - UTM10x10 + Elevation",1260,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"91","R-P24594",691,"Polygono arenastri-Matricarietum discoideae",1883,"Polygono-Coronopodion","V35","",NA,20,"2012",-6.792026305,42.41352377,"1 - UTM1x1 + Elevation",395,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"92","R-P24596",692,"Polygono arenastri-Matricarietum discoideae",324596,"Polygono-Coronopodion","V35","N",3,5,"2012",-6.710193216,42.42701045,"1 - UTM1x1 + Elevation",489,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"93","R-P24597",693,"Polygono arenastri-Matricarietum discoideae",1886,"Polygono-Coronopodion","V","",NA,5,"2012",-6.539325868,42.28474679,"1 - UTM1x1 + Elevation",868,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"94","R-P24598",694,"Polygono arenastri-Matricarietum discoideae",1887,"Polygono-Coronopodion","V35","",NA,10,"2012",-6.673297363,42.33635588,"1 - UTM1x1 + Elevation",920,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"95","R-P24599",695,"Polygono arenastri-Matricarietum discoideae",1888,"Polygono-Coronopodion","V35","",NA,3,"2012",-6.505503574,42.33080983,"2 - UTM1x1 + Centroid",941,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"96","R-P24600",696,"Polygono arenastri-Matricarietum discoideae",324600,"Polygono-Coronopodion","V35","",NA,1,"2012",-6.815298298,42.39654291,"1 - UTM1x1 + Elevation",738,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"97","R-P24602",697,"Polygono arenastri-Matricarietum discoideae",1891,"Polygono-Coronopodion","V35","N",10,10,"2012",-6.706388931,42.40372252,"1 - UTM1x1 + Elevation",753,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"98","R-P24603",698,"Polygono arenastri-Matricarietum discoideae",1892,"Polygono-Coronopodion","V35","NE",3,5,"2012",-6.54972355,42.34025315,"1 - UTM1x1 + Elevation",1014,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"99","R-P24604",699,"Polygono arenastri-Matricarietum discoideae",1893,"Polygono-Coronopodion","V35","S",3,4,"2012",-6.669707884,42.35808151,"1 - UTM1x1 + Elevation",858,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"100","R-P24614",704,"Euphorbietum chamaesyco-prostratae",1903,"Polygono-Coronopodion","V34","",NA,6,"2012",-6.818573607,42.45045881,"1 - UTM1x1 + Elevation",407,"Euphorbion prostratae","Digitario sanguinalis-Eragrostietea",0,"Polygono-Poetea annuae"
"101","R-P25000",782,"Lolietum perennis",325000,"Potentillion anserinae","R36","",NA,2,"2012",-6.501782801,42.30751177,"1 - UTM1x1 + Elevation",831,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"102","R-P25002",783,"Lolietum perennis",325002,"Potentillion anserinae","R36","NE",3,15,"2012",-6.666903433,42.26812708,"1 - UTM1x1 + Elevation",1054,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"103","R-P25003",784,"Lolietum perennis",325003,"Potentillion anserinae","R36","",NA,20,"2012",-6.792026305,42.41352377,"1 - UTM1x1 + Elevation",400,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
