"","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","SIVIMID","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation"
"11",207116,140,12408,"30TUP80","","Q-P07116",27847,NA,"Abaño","ES","ATL_COAST","N_DUNES",NA,"",NA,4,"236","Lolio-Plantaginetum majoris","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"12",207119,140,12408,"30TUP80","","Q-P07119",27849,NA,"El Rosal","ES","ATL_COAST","N_DUNES",NA,"",NA,2,"236","Lolio-Plantaginetum majoris","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"13",207124,140,12408,"30TUP80","","Q-P07124",27853,NA,"Abaño","ES","ATL_COAST","N_DUNES",NA,"",NA,30,"5835","Comunidad de Juncus inflexus y Rumex crispus","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"14",207125,140,12408,"30TUP80","","Q-P07125",27854,NA,"La Acebosa","ES","ATL_COAST","N_DUNES",NA,"",NA,20,"5835","Comunidad de Juncus inflexus y Rumex crispus","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"15",207768,137,14078,"30TVP41","","Q-P07768",27615,NA,"Carretera de Galizano","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R36","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"16",207769,137,14078,"30TVP41","","Q-P07769",27616,NA,"Carretera de Galizano","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R36","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"17",207770,137,14078,"30TVP41","","Q-P07770",27617,NA,"Carretera de Galizano","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R36","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"18",207771,137,14078,"30TVP41","","Q-P07771",27618,NA,"Carretera de Galizano","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R36","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"19",207772,137,14078,"30TVP41","","Q-P07772",27619,NA,"Carretera de Galizano","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R36","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"20",207777,138,14233,"30TVP30","","Q-P07777",27798,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"21",207778,138,14233,"30TVP30","","Q-P07778",27799,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"22",207779,138,14233,"30TVP30","","Q-P07779",27800,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"23",207780,138,14233,"30TVP30","","Q-P07780",27801,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"24",207781,138,14233,"30TVP30","","Q-P07781",27802,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"25",207782,138,14233,"30TVP30","","Q-P07782",27803,NA,"Granja Escuela de Heras","ES","ATL_COAST","N_DUNES",NA,"",NA,25,"0","Associació-Desconeguda","Guinea López, Emilio","1953","Geografia botánica de Santander."," Publicaciones diputación provincial de Santander. 412","R55","No forest",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"26",208526,80,9547,"30TUN55","","Q-P08526",6432,1200,"Pantano de Camporredondo","ES","ATL_COAST","N_DUNES",80,"",NA,8,"L083","Agropyro-Rumicion crispi","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","V35","No forest",-4.746745554,42.89163034,"3 - UTM10x10 + Elevation",1200
"27",208542,91,8335,"30TUN74","","Q-P08542",6448,1080,"Ventanilla","ES","ATL_COAST","N_DUNES",70,"",NA,12,"2010","Glycerio declinatae-Oenanthetum crocatae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","V39","No forest",-4.475347302,42.8090015,"3 - UTM10x10 + Elevation",1080
"28",208600,87,9235,"30TUN74","","Q-P08600",6506,1190,"Cantoral de la Peña","ES","ATL_COAST","N_DUNES",40,"W",5,40,"2933b","Linario odoratissimae-Rumicetum scutati","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","V38","No forest",-4.520068869,42.83723284,"3 - UTM10x10 + Elevation",1190
"29",208601,82,12828,"30TUN64","","Q-P08601",6507,1370,"Ermita de Nª Sª del Brezo","ES","ATL_COAST","N_DUNES",40,"S",10,40,"2933b","Linario odoratissimae-Rumicetum scutati","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","V38","No forest",-4.594200565,42.86504067,"3 - UTM10x10 + Elevation",1370
"30",208620,82,11131,"30TUN55","","Q-P08620",6526,1260,"Camporredondo de Alba","ES","ATL_COAST","N_DUNES",100,"",NA,20,"1009","Chaerophyllo hirsuti-Valerianetum pyrenaicae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R55","No forest",-4.783417577,42.88926379,"3 - UTM10x10 + Elevation",1260
"31",208681,85,10626,"30TUN64","","Q-P08681",6557,1250,"Fuente Colorada","ES","ATL_COAST","N_DUNES",100,"N",5,30,"3913","Deschampsio hispanicae-Juncetum effusi","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R36","No forest",-4.606998304,42.88647376,"3 - UTM10x10 + Elevation",1250
"32",208684,87,9361,"30TUN74","","Q-P08684",6588,1010,"Ruesga","ES","ATL_COAST","N_DUNES",100,"",NA,20,"2648","Senecio laderoi-Filipenduletum ulmariae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R55","No forest",-4.493765386,42.86279335,"3 - UTM10x10 + Elevation",1010
"33",208685,72,10615,"30TUN55","","Q-P08685",6589,1020,"Camporredondo de Alba","ES","ATL_COAST","N_DUNES",100,"",NA,30,"2648","Senecio laderoi-Filipenduletum ulmariae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R55","No forest",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020
"34",208686,72,10615,"30TUN55","","Q-P08686",6590,1040,"Camporredondo de Alba","ES","ATL_COAST","N_DUNES",100,"",NA,35,"2648","Senecio laderoi-Filipenduletum ulmariae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R55","No forest",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1040
"35",208693,65,9512,"30TUN54","","Q-P08693",6594,1540,"Valsurvio","ES","ATL_COAST","N_DUNES",100,"S",2,10,"2144","Mentho suaveolentis-Juncetum inflexi","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R36","No forest",-4.758526612,42.87524101,"3 - UTM10x10 + Elevation",1540
"36",208694,75,12132,"30TUN44","","Q-P08694",6595,1350,"Velilla del rio Carrión","ES","ATL_COAST","N_DUNES",100,"S",5,8,"2144","Mentho suaveolentis-Juncetum inflexi","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R36","No forest",-4.917278069,42.86188588,"3 - UTM10x10 + Elevation",1350
"37",208696,67,10914,"30TTN65","","Q-P08696",6596,1440,"Collada de Alonga, León","ES","ATL_COAST","N_DUNES",80,"E",10,10,"3937,,,,,GGM3","","","","","","R36","No forest",-5.827128853,42.89705114,"3 - UTM10x10 + Elevation",1440
"38",208697,76,10685,"30TTN65","","Q-P08697",6597,1440,"Collada de Alonga, León","ES","ATL_COAST","N_DUNES",80,"NE",15,20,"3937,,,,,GGM3","","","","","","R36","No forest",-5.926692425,42.93056455,"3 - UTM10x10 + Elevation",1440
"39",208698,88,10145,"30TTN95","","Q-P08698",6598,1140,"Valverdin, León","ES","ATL_COAST","N_DUNES",100,"S",10,20,"3937,,,,,GGM3","","","","","","R36","No forest",-5.529851599,42.87519655,"3 - UTM10x10 + Elevation",1140
"40",208701,75,9944,"30TUN74","","Q-P08701",6600,1330,"Brañosera, Palencia","ES","ATL_COAST","N_DUNES",100,"N",5,12,"3937,,,,,GGM3","","","","","","R36","No forest",-4.552367968,42.85661058,"3 - UTM10x10 + Elevation",1330
"41",208972,93,10280,"30TUN74","","Q-P08972",6860,1060,"Pico del Roblillo","ES","ATL_COAST","N_DUNES",100,"SW",10,30,"2239","Trifolio medii-Lathyretum nigri","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R55","No forest",-4.530432385,42.86050798,"3 - UTM10x10 + Elevation",1060
"42",208978,78,9195,"30TUN64","","Q-P08978",6864,1350,"Los Caucinos","ES","ATL_COAST","N_DUNES",80,"NE",10,40,"2191","Omphalodo nitidae-Linarietum triornithophorae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R57","No forest",-4.671981819,42.84411989,"3 - UTM10x10 + Elevation",1350
"43",208979,79,11032,"30TUN54","","Q-P08979",6865,1350,"Sierra de Canales","ES","ATL_COAST","N_DUNES",100,"",NA,20,"2191","Omphalodo nitidae-Linarietum triornithophorae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct.","R57","No forest",-4.804820884,42.86731641,"3 - UTM10x10 + Elevation",1350
"44",209515,150,14014,"29TNG12","29TNG1022","Q-P09515",6391,5,"VIANA DO CASTELO: Montedor","PT","ATL_COAST","N_DUNES",NA,"",NA,NA,"6422","Armerio pubigerae-Festucetum pruinosae","Honrado, J.; Alves, P.; Nepomuceno, H. & Barreto Caldas, F.","2002","XXXIII: Ten new syntaxa from the Miniensean biogeographic subsector (northwestern Portugal). In. Notas do Herbário da Estação Florestal Nacional (LISFA): Fasc. XVI","Silva Lusitana 10(2):","V","No forest",-8.8426134,41.80684825,"3 - UTM10x10 + Elevation",5
"45",209516,147,13993,"29TNG12","29TNG1022","Q-P09516",6392,5,"VIANA DO CASTELO: Montedor","PT","ATL_COAST","N_DUNES",NA,"",NA,NA,"6422","Armerio pubigerae-Festucetum pruinosae","Honrado, J.; Alves, P.; Nepomuceno, H. & Barreto Caldas, F.","2002","XXXIII: Ten new syntaxa from the Miniensean biogeographic subsector (northwestern Portugal). In. Notas do Herbário da Estação Florestal Nacional (LISFA): Fasc. XVI","Silva Lusitana 10(2):","V","No forest",-8.862202408,41.78424259,"3 - UTM10x10 + Elevation",5
"46",209811,109,10514,"29TPG83","29TPG8637","Q-P09811",6944,590,"Bragança, Rabal","PT","ATL_COAST","N_DUNES",90,"",NA,12,"2151","Bidenti tripartitae-Polygonetum lapathifolii","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","R36","No forest",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590
"47",209840,109,10514,"29TPG83","29TPG8535","Q-P09840",6970,590,"Bragança: Meixedo, rio Sabor","PT","ATL_COAST","N_DUNES",30,"",NA,4,"6999","Comunidad de Crypsis schoenoides y Cyperus fuscus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","R36","No forest",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590
"48",209913,101,10144,"29TPG72","29TPG7223","Q-P09913",7032,980,"Bragança: Zoio","PT","ATL_COAST","N_DUNES",70,"SW",90,4,"7006","Comunidad de Sedum hirsutum y Umbilicus rupestris","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V39","No forest",-6.871047478,41.75895828,"3 - UTM10x10 + Elevation",980
"49",209928,117,10245,"29TPG83","29TPG8630","Q-P09928",7044,690,"Bragança: St.ª Maria, junto ao Castelo","PT","ATL_COAST","N_DUNES",70,"SW",90,6,"7007","Comunidad de Phagnalon saxatile y Rumex induratus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V","No forest",-6.757534437,41.87439158,"3 - UTM10x10 + Elevation",690
"50",209944,117,11188,"29TPG53","29TPG5637","Q-P09944",7060,550,"Vinhais: Penso","PT","ATL_COAST","N_DUNES",70,"NNW",72,4,"4243b,,,,,GA12","","","","","","V32","No forest",-7.184122898,41.87582657,"3 - UTM10x10 + Elevation",550
"51",209955,116,10615,"29TPG73","29TPG7533","Q-P09955",7071,600,"Bragança: Castrelos","PT","ATL_COAST","N_DUNES",100,"",NA,2,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
"52",209956,111,9930,"29TPG82","29TPG8023","Q-P09956",7072,880,"Bragança: Rebordãos, estrada do Castelo","PT","ATL_COAST","N_DUNES",100,"",NA,8,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.832596758,41.79987008,"3 - UTM10x10 + Elevation",880
"53",209957,116,10282,"29TPG83","29TPG8637","Q-P09957",7073,640,"Bragança: Rabal","PT","ATL_COAST","N_DUNES",100,"",NA,6,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.761711225,41.86344897,"3 - UTM10x10 + Elevation",640
"54",209958,116,10615,"29TPG73","29TPG7533","Q-P09958",7074,600,"Bragança: Castrelos, ponte de Castrelos","PT","ATL_COAST","N_DUNES",100,"",NA,8,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600
"55",209959,110,10397,"29TPG63","29TPG6133","Q-P09959",7075,760,"Vinhais: Sobreiró-de-Baixo","PT","ATL_COAST","N_DUNES",100,"",NA,10,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.994015306,41.84118635,"3 - UTM10x10 + Elevation",760
"56",209960,112,9853,"29TPG93","29TPG9130","Q-P09960",7076,500,"Bragança: Gimonde","PT","ATL_COAST","N_DUNES",100,"",NA,5,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",500
"57",209961,112,9853,"29TPG93","29TPG9536","Q-P09961",7077,600,"Bragança: Labiados","PT","ATL_COAST","N_DUNES",100,"",NA,4,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600
"58",209962,110,9397,"29TPG93","29TPG9832","Q-P09962",7078,820,"Bragança: S. Julião","PT","ATL_COAST","N_DUNES",100,"",NA,8,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.605977199,41.83603333,"3 - UTM10x10 + Elevation",820
"59",209963,111,9415,"29TQG03","29TQG0036","Q-P09963",7079,900,"Bragança: Deilão","PT","ATL_COAST","N_DUNES",100,"",NA,6,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.589652048,41.8455503,"3 - UTM10x10 + Elevation",900
"60",209964,117,11005,"29TPG83","29TPG8936","Q-P09964",7080,650,"Bragança: Baçal","PT","ATL_COAST","N_DUNES",100,"",NA,16,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V33","No forest",-6.736622917,41.88768148,"3 - UTM10x10 + Elevation",650
"61",209965,104,11678,"29TPG74","29TPG7840","Q-P09965",7081,850,"Bragança: Vilarinho de Cova de Lua","PT","ATL_COAST","N_DUNES",100,"",NA,8,"7009","Comunidad de Carduus pycnocephalus y Carduus tenuiflorus","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.945049791,41.94553263,"3 - UTM10x10 + Elevation",850
"62",209971,113,9914,"29TPG83","29TPG8531","Q-P09971",7085,680,"Bragança: Sé, Quinta do Ricafé","PT","ATL_COAST","N_DUNES",80,"SW",9,8,"5324","Alysso lusitanici-Santolinetum semidentatae","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V32","No forest",-6.809002485,41.80785977,"3 - UTM10x10 + Elevation",680
"63",209986,113,9435,"29TPG82","29TPG8126","Q-P09986",7098,840,"Bragança: Nogueira, estrada para a Sr.ª da Serra","PT","ATL_COAST","N_DUNES",30,"",NA,1,"1731","Crassulo tillaeae-Saginetum apetalae","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V35","No forest",-6.827197264,41.74962379,"3 - UTM10x10 + Elevation",840
"64",209989,115,10523,"29TPG83","29TPG8637","Q-P09989",7101,640,"Bragança: Rabal","PT","ATL_COAST","N_DUNES",60,"",NA,1,"1731","Crassulo tillaeae-Saginetum apetalae","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V34","No forest",-6.766626048,41.8650886,"3 - UTM10x10 + Elevation",640
"65",209991,112,9853,"29TPG93","29TPG9130","Q-P09991",7103,620,"Bragança: Gimonde, junto à estrada Gimonde-Palácios","PT","ATL_COAST","N_DUNES",50,"",NA,2,"1731","Crassulo tillaeae-Saginetum apetalae","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V35","No forest",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",620
"66",209993,116,9901,"29TPG93","29TPG9032","Q-P09993",7105,640,"Bragança: Vale de Lamas","PT","ATL_COAST","N_DUNES",30,"",NA,3,"1731","Crassulo tillaeae-Saginetum apetalae","Gonçalves Aguiar, C.F.","2000","Flora e vegetação da Serra de Nogueira e do Parque Natural de Montesinho","Universidade Técnica de Lisboa. Inst. Superior de Agronomia. pp.","V35","No forest",-6.632766489,41.88381447,"3 - UTM10x10 + Elevation",640
