"","SIVIMID","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"22","NEW-OMAR-CA08","",15,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673131087,43.27870267,"10",255,"Unknown",NA,0,"Epilobietea angustifolii"
"23","NEW-OMAR-CA09","",16,"Dauco-Melilotion",NA,"",0,1,"2020",-5.6741795,43.27872316,"10",256,"Unknown",NA,0,"Epilobietea angustifolii"
"24","NEW-OMAR-CA10","",17,"Dauco-Melilotion",NA,"",0,1,"2020",-5.674394578,43.27800681,"10",257,"Unknown",NA,0,"Epilobietea angustifolii"
"25","NEW-OMAR-CC86","Comunidad de Cymbalaria muralis",2148,"Galio valantiae-Parietarion judaicae",NA,"NO",90,10,"1981",-5.682600619,43.32588696,"500",275,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"26","NEW-OMAR-LF10","Sisymbrio officinalis-Hordeetum murini",1789,"Polygono-Coronopodion",NA,"",0,9,"1981",-5.682204615,43.31689226,"500",210,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"27","NEW-OMAR-LF109","Comunidad de Arctium minus y Artemisia vulgaris",18,"Balloto-Conion maculati",NA,"",5,10,"1981",-5.707241301,43.32530597,"500",200,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"28","NEW-OMAR-LF95","Comunidad de Arctium minus y Artemisia vulgaris",19,"Dauco-Melilotion",NA,"S",0,40,"1981",-5.682204615,43.31689226,"500",230,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"29","NEW-OMAR-MO01","",20,"Dauco-Melilotion",NA,"",0,1,"2020",-5.680778937,43.29204762,"10",224,"Unknown",NA,0,"Polygono-Poetea annuae"
"30","NEW-OMAR-MO02","",21,"Oxalidion europaeae",NA,"",0,1,"2020",-5.680075536,43.29174898,"10",223,"Unknown",NA,0,"Polygono-Poetea annuae"
"31","NEW-OMAR-MO03","",22,"Dauco-Melilotion",NA,"",0,1,"2020",-5.679180719,43.29130174,"10",223,"Unknown",NA,0,"Polygono-Poetea annuae"
"32","NEW-OMAR-MO04","",23,"Dauco-Melilotion",NA,"",0,1,"2020",-5.678167126,43.29095633,"10",224,"Unknown",NA,0,"Polygono-Poetea annuae"
"33","NEW-OMAR-MO05","",24,"Dauco-Melilotion",NA,"",0,1,"2020",-5.676976812,43.29051601,"10",225,"Unknown",NA,0,"Polygono-Poetea annuae"
"34","NEW-OMAR-MO06","",25,"Sisymbrion officinalis",NA,"",0,1,"2020",-5.677426808,43.29065854,"10",226,"Unknown",NA,0,"Polygono-Poetea annuae"
"35","NEW-OMAR-MO07","",26,"Dauco-Melilotion",NA,"",0,1,"2020",-5.678678368,43.29080929,"10",227,"Unknown",NA,0,"Polygono-Poetea annuae"
"36","NEW-OMAR-MO08","",27,"Dauco-Melilotion",NA,"",0,1,"2020",-5.67961729,43.29113844,"10",226,"Unknown",NA,0,"Polygono-Poetea annuae"
"37","NEW-OMAR-MO09","",28,"Sisymbrion officinalis",NA,"",0,1,"2020",-5.680003752,43.29123743,"10",230,"Unknown",NA,0,"Polygono-Poetea annuae"
"38","NEW-OMAR-MO10","",29,"Sisymbrion officinalis",NA,"",0,1,"2020",-5.679940332,43.29063565,"10",233,"Unknown",NA,0,"Polygono-Poetea annuae"
"39","NEW-OMAR-NI01","",30,"Balloto-Conion maculati",NA,"",0,1,"2020",-5.702776474,43.3133463,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"40","NEW-OMAR-NI02","",31,"Dauco-Melilotion",NA,"",0,1,"2020",-5.702508627,43.31314554,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"41","NEW-OMAR-NI03","",32,"Dauco-Melilotion",NA,"",0,1,"2020",-5.702204227,43.31295465,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"42","NEW-OMAR-NI04","",33,"Dauco-Melilotion",NA,"",0,1,"2020",-5.701880334,43.31260214,"10",204,"Unknown",NA,0,"Epilobietea angustifolii"
"43","NEW-OMAR-NI05","",34,"Dauco-Melilotion",NA,"",0,1,"2020",-5.701143268,43.31266459,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"44","NEW-OMAR-NI06","",35,"Sisymbrion officinalis",NA,"",0,1,"2020",-5.701055091,43.31290077,"10",203,"Unknown",NA,0,"Polygono-Poetea annuae"
"45","NEW-OMAR-NI07","",36,"Dauco-Melilotion",NA,"",0,1,"2020",-5.700902534,43.31307545,"10",202,"Unknown",NA,0,"Epilobietea angustifolii"
"46","NEW-OMAR-NI10","",37,"Balloto-Conion maculati",NA,"",0,1,"2020",-5.70073096,43.31365576,"10",201,"Unknown",NA,0,"Epilobietea angustifolii"
"47","NEW-OMAR-PA102","Comunidad de Arctium minus y Artemisia vulgaris",38,"Balloto-Conion maculati",NA,"SE",0,20,"1981",-5.654043577,43.23651311,"500",325,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"48","NEW-OMAR-PA104","Comunidad de Arctium minus y Artemisia vulgaris",39,"Dauco-Melilotion",NA,"SE",15,80,"1981",-5.654043577,43.23651311,"500",250,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"49","NEW-OMAR-PA30","Comunidad de Poa annua",1790,"Polygono-Coronopodion",NA,"",0,3,"1981",-5.657174634,43.30847288,"500",340,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"50","NEW-OMAR-PA35","Fumario capreolatae-Veronicetum persicae",1020,"Oxalidion europaeae",NA,"S",5,20,"1981",-5.669491805,43.30818588,"500",335,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"51","NEW-OMAR-PA68","Comunidad de Cymbalaria muralis",2149,"Cymbalario-Asplenion",NA,"NO",90,10,"1981",-5.654043577,43.23651311,"500",425,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",1,"Epilobietea angustifolii"
"52","NEW-OMAR-PA97","Picridi echioides-Melilotetum albi",40,"Dauco-Melilotion",NA,"S",0,40,"1981",-5.654043577,43.23651311,"500",360,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"53","NEW-OMAR-PA98","Sisymbrio officinalis-Hordeetum murini",41,"Dauco-Melilotion",NA,"",0,15,"1981",-5.654043577,43.23651311,"500",360,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"54","NEW-OMAR-RE27","Comunidad de Poa annua",1791,"Dauco-Melilotion",NA,"O",5,3,"1981",-5.669491805,43.30818588,"500",225,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"55","NEW-OMAR-TU92","Comunidad de Cymbalaria muralis",2150,"Cymbalario-Asplenion",NA,"S",90,5,"1981",-5.666346277,43.23622682,"500",325,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"56","P-P22131","Allio vineale-Ranunculetum sardoi",1021,"Oxalidion europaeae","R","",0,1000,"2005",-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"57","P-P22132","Allio vineale-Ranunculetum sardoi",1022,"Oxalidion europaeae","V","",0,400,"2005",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"58","P-P22135","Allio vineale-Ranunculetum sardoi",1023,"Oxalidion europaeae","R","",0,500,"2005",-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"59","P-P22136","Allio vineale-Ranunculetum sardoi",1024,"Oxalidion europaeae","R","",0,600,"2005",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"60","P-P22137","Allio vineale-Ranunculetum sardoi",1025,"Oxalidion europaeae","R","",0,1000,"2005",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"61","Q-P02778","Oxalido-Parietarietum",2151,"Cymbalario-Asplenion","?","",NA,40,"1969",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"62","Q-P02779","Oxalido-Parietarietum",2152,"Cymbalario-Asplenion","?","",NA,20,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"63","Q-P02780","Oxalido-Parietarietum",2153,"Galio valantiae-Parietarion judaicae","H32d","",NA,20,"1969",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"64","Q-P02781","Oxalido-Parietarietum",2154,"Galio valantiae-Parietarion judaicae","?","",NA,50,"1969",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"65","Q-P02782","Oxalido-Parietarietum",2155,"Galio valantiae-Parietarion judaicae","V","",NA,10,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"66","Q-P02783","Oxalido-Parietarietum",2156,"Galio valantiae-Parietarion judaicae","V15","",NA,10,"1969",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"67","Q-P02785","Centrantho-Hypericetum hircini",2157,"Galio valantiae-Parietarion judaicae","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"68","Q-P02786","Centrantho-Hypericetum hircini",2158,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"69","Q-P02787","Centrantho-Hypericetum hircini",2159,"Galio valantiae-Parietarion judaicae","Sa","",NA,10,"1969",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"70","Q-P02788","Centrantho-Hypericetum hircini",2160,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"71","Q-P02789","Centrantho-Hypericetum hircini",2161,"Galio valantiae-Parietarion judaicae","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"72","Q-P02790","Centrantho-Hypericetum hircini",2162,"Galio valantiae-Parietarion judaicae","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"73","Q-P02791","Centrantho-Hypericetum hircini",2163,"Galio valantiae-Parietarion judaicae","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"74","Q-P02792","Cymbalario-Trachelietum caerulei",2164,"Galio valantiae-Parietarion judaicae","?","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"75","Q-P02793","Cymbalario-Trachelietum caerulei",2165,"Galio valantiae-Parietarion judaicae","?","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"76","Q-P02794","Cymbalario-Trachelietum caerulei",2166,"Galio valantiae-Parietarion judaicae","?","",NA,100,"1969",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"77","Q-P07031","Parietarietum judaicae",2167,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"78","Q-P07039","Parietarietum judaicae",2168,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"79","Q-P07041","Sisymbrio officinalis-Hordeetum murini",42,"Sisymbrion officinalis","V32","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"80","Q-P07045","Oxalidi latifoliae-Veronicetum persicae",1026,"Oxalidion europaeae","V37","",NA,20,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"81","Q-P07050","Comunidad de Spergularia boccomii y Sagina apetala",207050,"Polycarpion tetraphylli","V32","",NA,1,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Mesembryanthemion crystallini","Saginetea maritimae",0,"Polygono-Poetea annuae"
"82","Q-P07051","Comunidad de Spergularia boccomii y Sagina apetala",207051,"Polycarpion tetraphylli","V32","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Mesembryanthemion crystallini","Saginetea maritimae",0,"Polygono-Poetea annuae"
"83","Q-P07114","Lolio-Plantaginetum majoris",207114,"Potentillion anserinae","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"84","Q-P07115","Lolio-Plantaginetum majoris",207115,"Potentillion anserinae","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"85","Q-P07116","Lolio-Plantaginetum majoris",207116,"Polycarpion tetraphylli","R36","",NA,4,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"86","Q-P07119","Lolio-Plantaginetum majoris",207119,"Potentillion anserinae","R36","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"87","Q-P07736","Associació-Desconeguda",1027,"Oxalidion europaeae","V","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"Unknown",NA,0,"Papaveretea rhoeadis"
"88","Q-P07737","Associació-Desconeguda",1028,"Oxalidion europaeae","V15","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"Unknown",NA,0,"Papaveretea rhoeadis"
"89","Q-P07763","Associació-Desconeguda",1029,"Oxalidion europaeae","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Papaveretea rhoeadis"
"90","Q-P07764","Associació-Desconeguda",1030,"Oxalidion europaeae","V15","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Papaveretea rhoeadis"
"91","Q-P07765","Associació-Desconeguda",1031,"Oxalidion europaeae","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Papaveretea rhoeadis"
"92","Q-P07766","Associació-Desconeguda",1032,"Oxalidion europaeae","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Papaveretea rhoeadis"
"93","Q-P07767","Associació-Desconeguda",1033,"Oxalidion europaeae","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Papaveretea rhoeadis"
"94","Q-P07768","Associació-Desconeguda",207768,"Potentillion anserinae","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Polygono-Poetea annuae"
"95","Q-P07769","Associació-Desconeguda",207769,"Potentillion anserinae","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Polygono-Poetea annuae"
"96","Q-P07770","Associació-Desconeguda",207770,"Potentillion anserinae","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Unknown",NA,0,"Polygono-Poetea annuae"
"97","Q-P07777","Associació-Desconeguda",207777,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"98","Q-P07778","Associació-Desconeguda",207778,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"99","Q-P07779","Associació-Desconeguda",207779,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"100","Q-P07780","Associació-Desconeguda",207780,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"101","Q-P07781","Associació-Desconeguda",207781,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"102","Q-P07782","Associació-Desconeguda",207782,"Cynancho-Convolvulion sepium","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36,"Unknown",NA,0,"Polygono-Poetea annuae"
"103","Q-P07847","Associació-Desconeguda",1034,"Scleranthion annui","V","",NA,NA,"1953",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"Unknown",NA,0,"Papaveretea rhoeadis"
"104","Q-P07849","Associació-Desconeguda",1035,"Oxalidion europaeae","V15","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"Unknown",NA,0,"Papaveretea rhoeadis"
"105","Q-P07850","Associació-Desconeguda",1036,"Oxalidion europaeae","V","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"Unknown",NA,0,"Papaveretea rhoeadis"
"106","Q-P07851","Associació-Desconeguda",43,"Oxalidion europaeae","V15","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"Unknown",NA,0,"Papaveretea rhoeadis"
"107","Q-P07852","Associació-Desconeguda",1037,"Oxalidion europaeae","V15","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,"Unknown",NA,0,"Papaveretea rhoeadis"
"108","Q-P08150","Polycarpo tetraphylli-Coronopodetum squamati",1792,"Polygono-Coronopodion","V35","",NA,1,"2004",-8.555662357,41.10094791,"3 - UTM10x10 + Elevation",40,"Polycarpion tetraphylli","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"109","Q-P08170","Chenopodio muralis-Malvetum parviflorae",1038,"Oxalidion europaeae","V32","S",NA,2,"2004",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"Chenopodion muralis","Chenopodietea",0,"Papaveretea rhoeadis"
"110","Q-P08361","Chenopodio muralis-Malvetum parviflorae",1039,"Oxalidion europaeae","V32","S",NA,2,"2003",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"Chenopodion muralis","Chenopodietea",0,"Papaveretea rhoeadis"
"111","Q-P08687","Alliarion petiolatae",44,"Geranio pusilli-Anthriscion caucalidis","V32","",NA,15,"1990",-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"112","Q-P08735","Centaureo cyani-Raphanetum microcarpae",1040,"Scleranthion annui","V15","",NA,40,"1990",-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090,"Scleranthion annui","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"113","Q-P08736","Centaureo cyani-Raphanetum microcarpae",1041,"Oxalidion europaeae","V15","",NA,40,"1990",-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040,"Scleranthion annui","Papaveretea rhoeadis",0,"Papaveretea rhoeadis"
"114","Q-P08737","Centaureo cyani-Raphanetum microcarpae",1042,"Oxalidion europaeae","V15","",NA,40,"1990",-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120,"Scleranthion annui","Papaveretea rhoeadis",0,"Papaveretea rhoeadis"
"115","Q-P08738","Centaureo cyani-Raphanetum microcarpae",1043,"Oxalidion europaeae","V15","",NA,40,"1990",-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110,"Scleranthion annui","Papaveretea rhoeadis",0,"Papaveretea rhoeadis"
"116","Q-P08739","Centaureo cyani-Raphanetum microcarpae",1044,"Scleranthion annui","V15","",NA,80,"1990",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020,"Scleranthion annui","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
