Releve number,SIVIMID,Analysis.Names,Cover.percent
2045,NEW-OMAR-BA02,Eupatorium cannabinum,1
2045,NEW-OMAR-BA02,Helminthotheca echioides,1
2045,NEW-OMAR-BA02,Hirschfeldia incana,37.5
2045,NEW-OMAR-BA02,Holcus lanatus,1
2045,NEW-OMAR-BA02,Hypericum perforatum,5
2045,NEW-OMAR-BA02,Hypochaeris radicata,1
2045,NEW-OMAR-BA02,Juncus articulatus,1
2045,NEW-OMAR-BA02,Juncus bufonius,1
2045,NEW-OMAR-BA02,Juncus conglomeratus,5
2045,NEW-OMAR-BA02,Juncus inflexus,1
2045,NEW-OMAR-BA02,Lactuca serriola,5
2045,NEW-OMAR-BA02,Leontodon saxatilis aggr.,5
2045,NEW-OMAR-BA02,Lolium perenne,5
2045,NEW-OMAR-BA02,Lotus corniculatus,1
2045,NEW-OMAR-BA02,Medicago lupulina,5
2045,NEW-OMAR-BA02,Melilotus albus,1
2045,NEW-OMAR-BA02,Melilotus indicus,5
2045,NEW-OMAR-BA02,Mentha suaveolens,5
2045,NEW-OMAR-BA02,Ononis reclinata aggr.,1
2045,NEW-OMAR-BA02,Piptatherum miliaceum,37.5
2045,NEW-OMAR-BA02,Plantago lanceolata,5
2045,NEW-OMAR-BA02,Plantago major,5
2045,NEW-OMAR-BA02,Potentilla reptans,5
2045,NEW-OMAR-BA02,Rumex crispus,1
2045,NEW-OMAR-BA02,Salix atrocinerea,1
2045,NEW-OMAR-BA02,Salix x eriophora,1
2045,NEW-OMAR-BA02,Scrophularia auriculata,15
2045,NEW-OMAR-BA02,Solanum dulcamara,1
2045,NEW-OMAR-BA02,Sonchus oleraceus,1
2045,NEW-OMAR-BA02,Symphyotrichum squamatum,5
2045,NEW-OMAR-BA02,Trifolium arvense,1
2045,NEW-OMAR-BA02,Trifolium campestre,1
2045,NEW-OMAR-BA02,Trifolium repens,5
2045,NEW-OMAR-BA02,Trifolium strictum,1
2045,NEW-OMAR-BA02,Verbascum pulverulentum,1
2045,NEW-OMAR-BA02,Verbena officinalis,1
2045,NEW-OMAR-BA02,Vulpia myuros,1
1475,NEW-OMAR-BA05,Amaranthus hybridus aggr.,37.5
1475,NEW-OMAR-BA05,Atriplex patula,1
1475,NEW-OMAR-BA05,Borago officinalis,1
1475,NEW-OMAR-BA05,Capsella bursa-pastoris,5
1475,NEW-OMAR-BA05,Cardamine hirsuta,5
1475,NEW-OMAR-BA05,Cirsium arvense,5
1475,NEW-OMAR-BA05,Digitaria sanguinalis,1
1475,NEW-OMAR-BA05,Equisetum telmateia,5
1475,NEW-OMAR-BA05,Euphorbia helioscopia,15
1475,NEW-OMAR-BA05,Euphorbia peplus,5
1475,NEW-OMAR-BA05,Fumaria capreolata,1
1475,NEW-OMAR-BA05,Hypochaeris radicata,1
1475,NEW-OMAR-BA05,Lapsana communis,1
1475,NEW-OMAR-BA05,Lepidium didymum,5
1475,NEW-OMAR-BA05,Mercurialis annua,5
1475,NEW-OMAR-BA05,Ochlopoa annua,5
1475,NEW-OMAR-BA05,Oxalis corniculata,1
1475,NEW-OMAR-BA05,Polypogon viridis,1
1475,NEW-OMAR-BA05,Sonchus oleraceus,37.5
1475,NEW-OMAR-BA05,Stellaria media,5
1475,NEW-OMAR-BA05,Symphyotrichum squamatum,1
1475,NEW-OMAR-BA05,Taraxacum sect. Taraxacum,5
1475,NEW-OMAR-BA05,Urtica dioica,1
1475,NEW-OMAR-BA05,Vicia sativa aggr.,1
619,NEW-OMAR-BA06,Capsella bursa-pastoris,5
619,NEW-OMAR-BA06,Euphorbia helioscopia,5
619,NEW-OMAR-BA06,Euphorbia peplus,5
619,NEW-OMAR-BA06,Lavatera cretica,1
619,NEW-OMAR-BA06,Lolium perenne,5
619,NEW-OMAR-BA06,Mercurialis annua,5
619,NEW-OMAR-BA06,Ochlopoa annua,5
619,NEW-OMAR-BA06,Ranunculus repens,1
619,NEW-OMAR-BA06,Senecio vulgaris,5
619,NEW-OMAR-BA06,Solanum tuberosum,1
619,NEW-OMAR-BA06,Sonchus oleraceus,5
619,NEW-OMAR-BA06,Stellaria media,62.5
619,NEW-OMAR-BA06,Taraxacum sect. Taraxacum,1
619,NEW-OMAR-BA06,Veronica persica,1
2048,NEW-OMAR-BA08,Angelica sylvestris,1
2048,NEW-OMAR-BA08,Arum italicum,5
2048,NEW-OMAR-BA08,Centaurea nigra,1
2048,NEW-OMAR-BA08,Equisetum telmateia,62.5
2048,NEW-OMAR-BA08,Geranium robertianum,1
2048,NEW-OMAR-BA08,Glechoma hederacea,1
2048,NEW-OMAR-BA08,Holcus lanatus,1
2048,NEW-OMAR-BA08,Mentha suaveolens,5
2048,NEW-OMAR-BA08,Pulicaria dysenterica,5
2048,NEW-OMAR-BA08,Quercus robur,1
2048,NEW-OMAR-BA08,Ranunculus repens,1
2048,NEW-OMAR-BA08,Rubus ulmifolius aggr.,5
2048,NEW-OMAR-BA08,Solanum dulcamara,1
2049,NEW-OMAR-BA106,Calystegia sepium,5
2049,NEW-OMAR-BA106,Carex pendula,5
2049,NEW-OMAR-BA106,Equisetum telmateia,37.5
2049,NEW-OMAR-BA106,Galium aparine,5
2049,NEW-OMAR-BA106,Rubus ulmifolius aggr.,1
2049,NEW-OMAR-BA106,Urtica dioica,15
2050,NEW-OMAR-BA12,Anisantha diandra,1
2050,NEW-OMAR-BA12,Anisantha rigida,5
2050,NEW-OMAR-BA12,Artemisia vulgaris,5
2050,NEW-OMAR-BA12,Avena barbata,1
2050,NEW-OMAR-BA12,Centranthus calcitrapae,5
2050,NEW-OMAR-BA12,Ceratochloa cathartica,5
2050,NEW-OMAR-BA12,Cirsium vulgare,5
2050,NEW-OMAR-BA12,Conium maculatum,1
2050,NEW-OMAR-BA12,Dactylis glomerata,5
2050,NEW-OMAR-BA12,Daucus carota,5
2050,NEW-OMAR-BA12,Epilobium parviflorum,1
2050,NEW-OMAR-BA12,Erigeron canadensis,1
2050,NEW-OMAR-BA12,Euphorbia platyphyllos,5
2050,NEW-OMAR-BA12,Galium aparine,5
2050,NEW-OMAR-BA12,Geranium purpureum,5
2050,NEW-OMAR-BA12,Hirschfeldia incana,15
2050,NEW-OMAR-BA12,Holcus lanatus,15
2050,NEW-OMAR-BA12,Inula montana,5
2050,NEW-OMAR-BA12,Lactuca serriola,1
2050,NEW-OMAR-BA12,Lolium multiflorum,15
2050,NEW-OMAR-BA12,Medicago lupulina,5
2050,NEW-OMAR-BA12,Melilotus albus,5
2050,NEW-OMAR-BA12,Ochlopoa annua,5
2050,NEW-OMAR-BA12,Piptatherum miliaceum,15
2050,NEW-OMAR-BA12,Plantago major,1
2050,NEW-OMAR-BA12,Polypogon monspeliensis,1
2050,NEW-OMAR-BA12,Rubus ulmifolius aggr.,1
2050,NEW-OMAR-BA12,Rumex crispus,1
2050,NEW-OMAR-BA12,Schedonorus arundinaceus,5
2050,NEW-OMAR-BA12,Taraxacum sect. Taraxacum,1
2051,NEW-OMAR-BA13,Alliaria petiolata,5
2051,NEW-OMAR-BA13,Anisantha diandra,5
2051,NEW-OMAR-BA13,Anisantha rigida,5
2051,NEW-OMAR-BA13,Anisantha sterilis,5
2051,NEW-OMAR-BA13,Artemisia vulgaris,37.5
2051,NEW-OMAR-BA13,Calystegia sepium,15
2051,NEW-OMAR-BA13,Ceratochloa cathartica,1
2051,NEW-OMAR-BA13,Chenopodium album,1
2051,NEW-OMAR-BA13,Conium maculatum,1
2051,NEW-OMAR-BA13,Dipsacus fullonum,5
2051,NEW-OMAR-BA13,Galium aparine,5
2051,NEW-OMAR-BA13,Geranium rotundifolium,1
2051,NEW-OMAR-BA13,Hirschfeldia incana,5
2051,NEW-OMAR-BA13,Lactuca serriola,1
2051,NEW-OMAR-BA13,Lolium multiflorum,5
2051,NEW-OMAR-BA13,Lolium perenne,1
2051,NEW-OMAR-BA13,Melilotus albus,5
2051,NEW-OMAR-BA13,Oxalis corniculata,1
2051,NEW-OMAR-BA13,Rubus ulmifolius aggr.,1
2051,NEW-OMAR-BA13,Rumex crispus,5
2051,NEW-OMAR-BA13,Silene vulgaris,1
2051,NEW-OMAR-BA13,Solanum dulcamara,1
2051,NEW-OMAR-BA13,Stellaria media,1
2051,NEW-OMAR-BA13,Urtica dioica,5
2051,NEW-OMAR-BA13,Veronica persica,1
2052,NEW-OMAR-BA15,Agrostis canina,1
2052,NEW-OMAR-BA15,Arctium minus,62.5
2052,NEW-OMAR-BA15,Cirsium vulgare,5
2052,NEW-OMAR-BA15,Clematis vitalba,1
2052,NEW-OMAR-BA15,Daucus carota,1
2052,NEW-OMAR-BA15,Dipsacus fullonum,15
2052,NEW-OMAR-BA15,Dysphania ambrosioides,1
2052,NEW-OMAR-BA15,Elytrigia repens,1
2052,NEW-OMAR-BA15,Epilobium hirsutum,1
2052,NEW-OMAR-BA15,Equisetum arvense,1
2052,NEW-OMAR-BA15,Erigeron canadensis,5
2052,NEW-OMAR-BA15,Hirschfeldia incana,15
2052,NEW-OMAR-BA15,Holcus lanatus,1
2052,NEW-OMAR-BA15,Hypericum perforatum,1
2052,NEW-OMAR-BA15,Jacobaea aquatica,1
2052,NEW-OMAR-BA15,Lactuca serriola,1
2052,NEW-OMAR-BA15,Mentha suaveolens,1
2052,NEW-OMAR-BA15,Persicaria lapathifolia,1
2052,NEW-OMAR-BA15,Piptatherum miliaceum,5
2052,NEW-OMAR-BA15,Plantago major,5
2052,NEW-OMAR-BA15,Polypogon monspeliensis,1
2052,NEW-OMAR-BA15,Polypogon viridis,1
2052,NEW-OMAR-BA15,Pulicaria dysenterica,1
2052,NEW-OMAR-BA15,Robinia pseudoacacia,1
2052,NEW-OMAR-BA15,Rubus caesius,1
2052,NEW-OMAR-BA15,Rumex crispus,1
2052,NEW-OMAR-BA15,Taraxacum sect. Taraxacum,1
2052,NEW-OMAR-BA15,Torilis japonica,1
2052,NEW-OMAR-BA15,Tussilago farfara,5
2052,NEW-OMAR-BA15,Urtica dioica,5
2052,NEW-OMAR-BA15,Verbascum pulverulentum,1
2052,NEW-OMAR-BA15,Verbena officinalis,5
2052,NEW-OMAR-BA15,Vicia cracca,1
722,NEW-OMAR-BA20,Bellis perennis,5
722,NEW-OMAR-BA20,Ochlopoa annua,15
722,NEW-OMAR-BA20,Plantago major,5
722,NEW-OMAR-BA20,Ranunculus repens,5
722,NEW-OMAR-BA20,Stellaria media,1
722,NEW-OMAR-BA20,Taraxacum sect. Taraxacum,1
722,NEW-OMAR-BA20,Trifolium pratense,1
722,NEW-OMAR-BA20,Verbena officinalis,1
579,NEW-OMAR-BA34,Bellis perennis,1
579,NEW-OMAR-BA34,Capsella bursa-pastoris,1
579,NEW-OMAR-BA34,Cerastium fontanum,15
579,NEW-OMAR-BA34,Cirsium vulgare,1
579,NEW-OMAR-BA34,Dactylis glomerata,1
579,NEW-OMAR-BA34,Erigeron canadensis,1
579,NEW-OMAR-BA34,Euphorbia helioscopia,1
579,NEW-OMAR-BA34,Euphorbia peplus,1
579,NEW-OMAR-BA34,Galium aparine,1
579,NEW-OMAR-BA34,Geranium rotundifolium,1
579,NEW-OMAR-BA34,Hypericum humifusum,1
579,NEW-OMAR-BA34,Melissa officinalis,1
579,NEW-OMAR-BA34,Mentha pulegium,1
579,NEW-OMAR-BA34,Mercurialis annua,15
579,NEW-OMAR-BA34,Ochlopoa annua,5
579,NEW-OMAR-BA34,Oxalis corniculata,15
579,NEW-OMAR-BA34,Paspalum distichum,1
579,NEW-OMAR-BA34,Persicaria maculosa,1
579,NEW-OMAR-BA34,Polycarpon tetraphyllum,1
579,NEW-OMAR-BA34,Senecio vulgaris,5
579,NEW-OMAR-BA34,Solanum tuberosum,1
579,NEW-OMAR-BA34,Sonchus oleraceus,1
579,NEW-OMAR-BA34,Stachys arvensis,5
579,NEW-OMAR-BA34,Stellaria media,15
579,NEW-OMAR-BA34,Taraxacum sect. Taraxacum,1
579,NEW-OMAR-BA34,Verbena officinalis,1
579,NEW-OMAR-BA34,Veronica persica,1
579,NEW-OMAR-BA34,Viola hirta,1
536,NEW-OMAR-BA38,Anagallis arvensis,1
536,NEW-OMAR-BA38,Cardamine hirsuta,5
536,NEW-OMAR-BA38,Cirsium vulgare,1
536,NEW-OMAR-BA38,Dactylis glomerata,1
536,NEW-OMAR-BA38,Erigeron canadensis,1
536,NEW-OMAR-BA38,Euphorbia peplus,5
536,NEW-OMAR-BA38,Fumaria muralis,1
536,NEW-OMAR-BA38,Juncus inflexus,1
536,NEW-OMAR-BA38,Lavatera cretica,1
536,NEW-OMAR-BA38,Lolium perenne,5
536,NEW-OMAR-BA38,Mercurialis annua,1
536,NEW-OMAR-BA38,Ochlopoa annua,5
536,NEW-OMAR-BA38,Oxalis corniculata,1
536,NEW-OMAR-BA38,Ranunculus bulbosus,1
536,NEW-OMAR-BA38,Senecio vulgaris,15
536,NEW-OMAR-BA38,Sonchus asper,5
536,NEW-OMAR-BA38,Sonchus oleraceus,5
536,NEW-OMAR-BA38,Stellaria media,5
536,NEW-OMAR-BA38,Taraxacum sect. Taraxacum,5
536,NEW-OMAR-BA38,Veronica arvensis,1
536,NEW-OMAR-BA38,Veronica persica,5
2056,NEW-OMAR-BA42,Anthemis cotula,1
2056,NEW-OMAR-BA42,Capsella bursa-pastoris,5
2056,NEW-OMAR-BA42,Cardamine hirsuta,15
2056,NEW-OMAR-BA42,Cerastium fontanum,1
2056,NEW-OMAR-BA42,Erigeron canadensis,5
2056,NEW-OMAR-BA42,Fumaria muralis,5
2056,NEW-OMAR-BA42,Geranium dissectum,1
2056,NEW-OMAR-BA42,Lamium purpureum aggr.,15
2056,NEW-OMAR-BA42,Lepidium didymum,5
2056,NEW-OMAR-BA42,Lolium perenne,1
2056,NEW-OMAR-BA42,Oxalis corniculata,1
2056,NEW-OMAR-BA42,Polycarpon tetraphyllum,37.5
2056,NEW-OMAR-BA42,Rumex obtusifolius,1
2056,NEW-OMAR-BA42,Senecio vulgaris,15
2056,NEW-OMAR-BA42,Stellaria media,5
2056,NEW-OMAR-BA42,Taraxacum sect. Taraxacum,15
2056,NEW-OMAR-BA42,Veronica persica,1
2057,NEW-OMAR-BA43,Brassica napus,37.5
2057,NEW-OMAR-BA43,Calystegia sepium,1
2057,NEW-OMAR-BA43,Euphorbia helioscopia,1
2057,NEW-OMAR-BA43,Euphorbia peplus,15
2057,NEW-OMAR-BA43,Galium aparine,1
2057,NEW-OMAR-BA43,Lapsana communis,5
2057,NEW-OMAR-BA43,Mercurialis annua,37.5
2057,NEW-OMAR-BA43,Ranunculus repens,5
2057,NEW-OMAR-BA43,Rumex crispus,1
2057,NEW-OMAR-BA43,Senecio vulgaris,37.5
2057,NEW-OMAR-BA43,Sonchus asper,5
2057,NEW-OMAR-BA43,Sonchus oleraceus,5
2057,NEW-OMAR-BA43,Veronica persica,5
2058,NEW-OMAR-BA58,Achillea millefolium,1
2058,NEW-OMAR-BA58,Anisantha diandra,1
2058,NEW-OMAR-BA58,Anisantha madritensis,5
2058,NEW-OMAR-BA58,Avena sterilis,1
2058,NEW-OMAR-BA58,Calystegia sepium,1
2058,NEW-OMAR-BA58,Cirsium vulgare,1
2058,NEW-OMAR-BA58,Dactylis glomerata,1
2058,NEW-OMAR-BA58,Galium aparine,15
2058,NEW-OMAR-BA58,Geranium robertianum,5
2058,NEW-OMAR-BA58,Hirschfeldia incana,37.5
2058,NEW-OMAR-BA58,Hordeum murinum,1
2058,NEW-OMAR-BA58,Lavatera cretica,5
2058,NEW-OMAR-BA58,Lolium perenne,1
2058,NEW-OMAR-BA58,Papaver rhoeas,1
2058,NEW-OMAR-BA58,Piptatherum miliaceum,1
2058,NEW-OMAR-BA58,Rubus ulmifolius aggr.,15
2058,NEW-OMAR-BA58,Saponaria officinalis,1
2058,NEW-OMAR-BA58,Solidago virgaurea,1
2058,NEW-OMAR-BA58,Sonchus oleraceus,1
2058,NEW-OMAR-BA58,Symphyotrichum squamatum,62.5
2058,NEW-OMAR-BA58,Urtica dioica,15
2058,NEW-OMAR-BA58,Verbascum pulverulentum,1
2058,NEW-OMAR-BA58,Verbena officinalis,1
2058,NEW-OMAR-BA58,Veronica persica,1
2059,NEW-OMAR-CA01,Dactylis glomerata,0.5
2059,NEW-OMAR-CA01,Dipsacus fullonum,0.5
2059,NEW-OMAR-CA01,Helminthotheca echioides,0.5
2059,NEW-OMAR-CA01,Lotus corniculatus,15
2059,NEW-OMAR-CA01,Melilotus albus,30
2059,NEW-OMAR-CA01,Plantago lanceolata,0.5
2059,NEW-OMAR-CA01,Rubus ulmifolius aggr.,40
2059,NEW-OMAR-CA01,Trifolium campestre,50
2059,NEW-OMAR-CA01,Verbena officinalis,0.5
2060,NEW-OMAR-CA02,Carex cuprina,1
2060,NEW-OMAR-CA02,Dactylis glomerata,40
2060,NEW-OMAR-CA02,Daucus carota,0.5
2060,NEW-OMAR-CA02,Dipsacus fullonum,1
2060,NEW-OMAR-CA02,Geranium dissectum,0.5
2060,NEW-OMAR-CA02,Holcus lanatus,5
2060,NEW-OMAR-CA02,Juncus inflexus,25
2060,NEW-OMAR-CA02,Lactuca serriola,0.5
2060,NEW-OMAR-CA02,Leucanthemum vulgare,0.5
2060,NEW-OMAR-CA02,Linum bienne,0.5
2060,NEW-OMAR-CA02,Lotus corniculatus,0.5
2060,NEW-OMAR-CA02,Plantago lanceolata,5
2060,NEW-OMAR-CA02,Poa trivialis,1
2060,NEW-OMAR-CA02,Potentilla reptans,15
2060,NEW-OMAR-CA02,Rubus ulmifolius aggr.,0.5
2060,NEW-OMAR-CA02,Schedonorus arundinaceus,3
2061,NEW-OMAR-CA03,Carex pendula,5
2061,NEW-OMAR-CA03,Dactylis glomerata,5
2061,NEW-OMAR-CA03,Daucus carota,0.5
2061,NEW-OMAR-CA03,Holcus lanatus,5
2061,NEW-OMAR-CA03,Juncus inflexus,25
2061,NEW-OMAR-CA03,Lotus corniculatus,40
2061,NEW-OMAR-CA03,Plantago lanceolata,10
2061,NEW-OMAR-CA03,Poa trivialis,0.5
2061,NEW-OMAR-CA03,Potentilla reptans,20
2061,NEW-OMAR-CA03,Schedonorus arundinaceus,0.5
2061,NEW-OMAR-CA03,Trifolium pratense,0.5
