"SIVIMID","Revised.sintaxon","Relevé.number","CODE","EUNIS_REVISED","EUNIS2020","EUNISL1","EUNISL2","EUNISL3","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Class","Order","Alliance","Sintaxon","SS"
"NEW-OMAR-BA08","Balloto-Conion maculati",2,"V39a","R55",NA,"Ruderal","V39","V39","SO",5,15,"1981",-5.694921052,43.32559713,"500",225,"Epilobietea angustifolii","Convolvuletalia sepium","Senecionion fluviatilis","Comunidad de Equisetum telmateia",0
"NEW-OMAR-BA106","Balloto-Conion maculati",3,"V39c","R55",NA,"Ruderal","V39","V39","S",10,10,"1981",-5.707241301,43.32530597,"500",190,"Epilobietea angustifolii","Convolvuletalia sepium","Senecionion fluviatilis","Comunidad de Equisetum telmateia",0
"NEW-OMAR-BA12","Dauco-Melilotion",4,"V38c","V38",NA,"Ruderal","V37","V38","",0,4,"1981",-5.707241301,43.32530597,"500",190,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-BA13","Balloto-Conion maculati",5,"V39d","V39",NA,"Ruderal","V39","V39","",20,9,"1981",-5.707241301,43.32530597,"500",190,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-BA15","Dauco-Melilotion",6,"V38c","V38",NA,"Ruderal","V37","V38","S",20,9,"1981",-5.707241301,43.32530597,"500",190,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-BA20","Saginion procumbentis",1788,"V35","V35",NA,"Trampled","V35","V35","SO",10,1,"1981",-5.694921052,43.32559713,"500",225,"Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Comunidad de Poa annua",0
"NEW-OMAR-BA34","Oxalidion europaeae",1016,"V1c","V15",NA,"Weed","V15A","V1","SE",5,16,"1981",-5.694523235,43.31660252,"500",295,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-BA38","Oxalidion europaeae",1017,"V1c","V15",NA,"Weed","V15A","V1","",0,15,"1981",-5.707241301,43.32530597,"500",190,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-BA42","Oxalidion europaeae",1018,"V1c","V15",NA,"Weed","V15A","V1","S",5,4,"1981",-5.707241301,43.32530597,"500",190,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-BA43","Oxalidion europaeae",1019,"V1c","V15",NA,"Weed","V15A","V1","",0,12,"1981",-5.707241301,43.32530597,"500",190,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-BA58","Sisymbrion officinalis",7,"V38d","V39",NA,"Ruderal","V39","V38","",10,100,"1981",-5.694921052,43.32559713,"500",200,"Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini",1
"NEW-OMAR-CA01","Dauco-Melilotion",8,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673083717,43.27902792,"10",252,NA,NA,NA,"",0
"NEW-OMAR-CA02","Dauco-Melilotion",9,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.67282991,43.2791419,"10",252,NA,NA,NA,"",0
"NEW-OMAR-CA03","Dauco-Melilotion",10,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.672872063,43.27897884,"10",254,NA,NA,NA,"",0
"NEW-OMAR-CA04","Dauco-Melilotion",11,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673663223,43.27875325,"10",255,NA,NA,NA,"",0
"NEW-OMAR-CA05","Dauco-Melilotion",12,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673593878,43.27829566,"10",257,NA,NA,NA,"",0
"NEW-OMAR-CA06","Dauco-Melilotion",13,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673457181,43.27855097,"10",254,NA,NA,NA,"",0
"NEW-OMAR-CA07","Dauco-Melilotion",14,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673290343,43.27868093,"10",254,NA,NA,NA,"",0
"NEW-OMAR-CA08","Dauco-Melilotion",15,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.673131087,43.27870267,"10",255,NA,NA,NA,"",0
"NEW-OMAR-CA09","Dauco-Melilotion",16,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.6741795,43.27872316,"10",256,NA,NA,NA,"",0
"NEW-OMAR-CA10","Dauco-Melilotion",17,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.674394578,43.27800681,"10",257,NA,NA,NA,"",0
"NEW-OMAR-CC86","Galio valantiae-Parietarion judaicae",2148,"W2","U37",NA,"Walls","U37","J2.5","NO",90,10,"1981",-5.682600619,43.32588696,"500",275,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Comunidad de Cymbalaria muralis",0
"NEW-OMAR-LF10","Polygono-Coronopodion",1789,"V31","V37",NA,"Trampled","V35","V31","",0,9,"1981",-5.682204615,43.31689226,"500",210,"Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini",0
"NEW-OMAR-LF109","Balloto-Conion maculati",18,"V39d","V39",NA,"Ruderal","V39","V39","",5,10,"1981",-5.707241301,43.32530597,"500",200,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-LF95","Dauco-Melilotion",19,"V38c","V39",NA,"Ruderal","V39","V38","S",0,40,"1981",-5.682204615,43.31689226,"500",230,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-MO01","Dauco-Melilotion",20,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.680778937,43.29204762,"10",224,NA,NA,NA,"",0
"NEW-OMAR-MO02","Oxalidion europaeae",21,"V33","V38",NA,"Ruderal","V37","V33","",0,1,"2020",-5.680075536,43.29174898,"10",223,NA,NA,NA,"",0
"NEW-OMAR-MO03","Dauco-Melilotion",22,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.679180719,43.29130174,"10",223,NA,NA,NA,"",0
"NEW-OMAR-MO04","Dauco-Melilotion",23,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.678167126,43.29095633,"10",224,NA,NA,NA,"",0
"NEW-OMAR-MO05","Dauco-Melilotion",24,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.676976812,43.29051601,"10",225,NA,NA,NA,"",0
"NEW-OMAR-MO06","Sisymbrion officinalis",25,"V37","V38",NA,"Ruderal","V37","V37","",0,1,"2020",-5.677426808,43.29065854,"10",226,NA,NA,NA,"",0
"NEW-OMAR-MO07","Dauco-Melilotion",26,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.678678368,43.29080929,"10",227,NA,NA,NA,"",0
"NEW-OMAR-MO08","Dauco-Melilotion",27,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.67961729,43.29113844,"10",226,NA,NA,NA,"",0
"NEW-OMAR-MO09","Sisymbrion officinalis",28,"V37","V38",NA,"Ruderal","V37","V37","",0,1,"2020",-5.680003752,43.29123743,"10",230,NA,NA,NA,"",0
"NEW-OMAR-MO10","Sisymbrion officinalis",29,"V37","V37",NA,"Ruderal","V37","V37","",0,1,"2020",-5.679940332,43.29063565,"10",233,NA,NA,NA,"",0
"NEW-OMAR-NI01","Balloto-Conion maculati",30,"V39c","V39",NA,"Ruderal","V39","V39","",0,1,"2020",-5.702776474,43.3133463,"10",203,NA,NA,NA,"",0
"NEW-OMAR-NI02","Dauco-Melilotion",31,"V38c","V39",NA,"Ruderal","V37","V38","",0,1,"2020",-5.702508627,43.31314554,"10",203,NA,NA,NA,"",0
"NEW-OMAR-NI03","Dauco-Melilotion",32,"V38c","V39",NA,"Ruderal","V37","V38","",0,1,"2020",-5.702204227,43.31295465,"10",203,NA,NA,NA,"",0
"NEW-OMAR-NI04","Dauco-Melilotion",33,"V38c","V39",NA,"Ruderal","V37","V38","",0,1,"2020",-5.701880334,43.31260214,"10",204,NA,NA,NA,"",0
"NEW-OMAR-NI05","Dauco-Melilotion",34,"V38c","V39",NA,"Ruderal","V37","V38","",0,1,"2020",-5.701143268,43.31266459,"10",203,NA,NA,NA,"",0
"NEW-OMAR-NI06","Sisymbrion officinalis",35,"V37","V39",NA,"Ruderal","V37","V37","",0,1,"2020",-5.701055091,43.31290077,"10",203,NA,NA,NA,"",0
"NEW-OMAR-NI07","Dauco-Melilotion",36,"V38c","V38",NA,"Ruderal","V37","V38","",0,1,"2020",-5.700902534,43.31307545,"10",202,NA,NA,NA,"",0
"NEW-OMAR-NI10","Balloto-Conion maculati",37,"V39c","V39",NA,"Ruderal","V39","V39","",0,1,"2020",-5.70073096,43.31365576,"10",201,NA,NA,NA,"",0
"NEW-OMAR-PA102","Balloto-Conion maculati",38,"V39c","V39",NA,"Ruderal","V39","V39","SE",0,20,"1981",-5.654043577,43.23651311,"500",325,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-PA104","Dauco-Melilotion",39,"V38c","V38",NA,"Ruderal","V37","V38","SE",15,80,"1981",-5.654043577,43.23651311,"500",250,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",0
"NEW-OMAR-PA30","Polygono-Coronopodion",1790,"V31","V35",NA,"Trampled","V35","V31","",0,3,"1981",-5.657174634,43.30847288,"500",340,"Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Comunidad de Poa annua",1
"NEW-OMAR-PA35","Oxalidion europaeae",1020,"V1c","V15",NA,"Weed","V15A","V1","S",5,20,"1981",-5.669491805,43.30818588,"500",335,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-PA68","Cymbalario-Asplenion",2149,"W1","U37",NA,"Walls","U37","J2.5","NO",90,10,"1981",-5.654043577,43.23651311,"500",425,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Comunidad de Cymbalaria muralis",1
"NEW-OMAR-PA97","Dauco-Melilotion",40,"V38c","V38",NA,"Ruderal","V37","V38","S",0,40,"1981",-5.654043577,43.23651311,"500",360,"Artemisietea vulgaris","Onopordetalia acanthii","Dauco-Melilotion","Picridi echioides-Melilotetum albi",1
"NEW-OMAR-PA98","Dauco-Melilotion",41,"V38c","V37",NA,"Ruderal","V37","V38","",0,15,"1981",-5.654043577,43.23651311,"500",360,"Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini",0
"NEW-OMAR-RE27","Dauco-Melilotion",1791,"V38c","V35",NA,"Trampled","V35","V38","O",5,3,"1981",-5.669491805,43.30818588,"500",225,"Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Comunidad de Poa annua",0
"NEW-OMAR-TU92","Cymbalario-Asplenion",2150,"W2","U37",NA,"Walls","U37","J2.5","S",90,5,"1981",-5.666346277,43.23622682,"500",325,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Comunidad de Cymbalaria muralis",1
"P-P22131","Oxalidion europaeae",1021,"V1c","V37","R","Weed","V15A","V1","",0,1000,"2005",-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi",0
"P-P22132","Oxalidion europaeae",1022,"V1c","V37","V","Weed","V15A","V1","",0,400,"2005",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi",0
"P-P22135","Oxalidion europaeae",1023,"V1c","V37","R","Weed","V15A","V1","",0,500,"2005",-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi",0
"P-P22136","Oxalidion europaeae",1024,"V1c","V37","R","Weed","V15A","V1","",0,600,"2005",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi",0
"P-P22137","Oxalidion europaeae",1025,"V1c","V37","R","Weed","V15A","V1","",0,1000,"2005",-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",2,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi",0
"Q-P02778","Cymbalario-Asplenion",2151,"W2","U37","?","Walls","U37","J2.5","",NA,40,"1969",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",0
"Q-P02779","Cymbalario-Asplenion",2152,"W2","U37","?","Walls","U37","J2.5","",NA,20,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",0
"Q-P02780","Galio valantiae-Parietarion judaicae",2153,"W2","U37","H32d","Walls","U37","J2.5","",NA,20,"1969",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",1
"Q-P02781","Galio valantiae-Parietarion judaicae",2154,"W2","U37","?","Walls","U37","J2.5","",NA,50,"1969",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",1
"Q-P02782","Galio valantiae-Parietarion judaicae",2155,"W2","U37","V","Walls","U37","J2.5","",NA,10,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",1
"Q-P02783","Galio valantiae-Parietarion judaicae",2156,"W2","U37","V15","Walls","U37","J2.5","",NA,10,"1969",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum",1
"Q-P02785","Galio valantiae-Parietarion judaicae",2157,"W2","U37","?","Walls","U37","J2.5","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02786","Galio valantiae-Parietarion judaicae",2158,"W2","U37","?","Walls","U37","J2.5","",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02787","Galio valantiae-Parietarion judaicae",2159,"W2","U37","Sa","Walls","U37","J2.5","",NA,10,"1969",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02788","Galio valantiae-Parietarion judaicae",2160,"W2","U37","?","Walls","U37","J2.5","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02789","Galio valantiae-Parietarion judaicae",2161,"W2","U37","H32d","Walls","U37","J2.5","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02790","Galio valantiae-Parietarion judaicae",2162,"W2","U37","H32d","Walls","U37","J2.5","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02791","Galio valantiae-Parietarion judaicae",2163,"W2","U37","?","Walls","U37","J2.5","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini",1
"Q-P02792","Galio valantiae-Parietarion judaicae",2164,"W2","U37","?","Walls","U37","J2.5","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei",0
"Q-P02793","Galio valantiae-Parietarion judaicae",2165,"W2","U37","?","Walls","U37","J2.5","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei",0
"Q-P02794","Galio valantiae-Parietarion judaicae",2166,"W2","U37","?","Walls","U37","J2.5","",NA,100,"1969",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei",0
"Q-P07031","Galio valantiae-Parietarion judaicae",2167,"W2","U37","?","Walls","U37","J2.5","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Parietarietum judaicae",1
"Q-P07039","Galio valantiae-Parietarion judaicae",2168,"W2","U37","?","Walls","U37","J2.5","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Parietarietum judaicae",1
"Q-P07041","Sisymbrion officinalis",42,"V38d","V37","V32","Ruderal","V37","V38","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini",1
"Q-P07045","Oxalidion europaeae",1026,"V1b","V15","V37","Weed","V15B","V1","",NA,20,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Oxalidi latifoliae-Veronicetum persicae",0
"Q-P07736","Oxalidion europaeae",1027,"V33","V15","V","Weed","V15B","V33","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07737","Oxalidion europaeae",1028,"V33","V15","V15","Weed","V15A","V33","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07763","Oxalidion europaeae",1029,"V1b","V15","V37","Weed","V15B","V1","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07764","Oxalidion europaeae",1030,"V1b","V15","V15","Weed","V15B","V1","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07765","Oxalidion europaeae",1031,"V1b","V15","V37","Weed","V15B","V1","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07766","Oxalidion europaeae",1032,"V1b","V15","V37","Weed","V15B","V1","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07767","Oxalidion europaeae",1033,"V1b","V15","V37","Weed","V15B","V1","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07847","Scleranthion annui",1034,"V1a","V15","V","Weed","V15C","V1","",NA,NA,"1953",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07849","Oxalidion europaeae",1035,"V33","V15","V15","Weed","V15A","V33","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07850","Oxalidion europaeae",1036,"V33","V15","V","Weed","V15A","V33","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07851","Oxalidion europaeae",43,"V33","V15","V15","Ruderal","V37","V33","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,NA,NA,NA,"Associació-Desconeguda",0
"Q-P07852","Oxalidion europaeae",1037,"V33","V15","V15","Weed","V15A","V33","",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5,NA,NA,NA,"Associació-Desconeguda",0
"Q-P08150","Polygono-Coronopodion",1792,"V31","V34","V35","Trampled","V35","V31","",NA,1,"2004",-8.555662357,41.10094791,"3 - UTM10x10 + Elevation",40,"Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polycarpion tetraphylli","Polycarpo tetraphylli-Coronopodetum squamati",0
"Q-P08170","Oxalidion europaeae",1038,"V33","V37","V32","Weed","V15A","V33","S",NA,2,"2004",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"Chenopodietea","Chenopodietalia","Chenopodion muralis","Chenopodio muralis-Malvetum parviflorae",0
"Q-P08361","Oxalidion europaeae",1039,"V33","V37","V32","Weed","V15A","V33","S",NA,2,"2003",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350,"Chenopodietea","Chenopodietalia","Chenopodion muralis","Chenopodio muralis-Malvetum parviflorae",0
"Q-P08687","Geranio pusilli-Anthriscion caucalidis",44,"V39a","V39","V32","Ruderal","V39","V39","",NA,15,"1990",-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Alliarion petiolatae",0
"Q-P08735","Scleranthion annui",1040,"V1a","V15","V15","Weed","V15C","V1","",NA,40,"1990",-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090,"Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae",1
"Q-P08736","Oxalidion europaeae",1041,"V33","V15","V15","Weed","V15C","V33","",NA,40,"1990",-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040,"Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae",0
"Q-P08737","Oxalidion europaeae",1042,"V33","V15","V15","Weed","V15A","V33","",NA,40,"1990",-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120,"Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae",0
"Q-P08738","Oxalidion europaeae",1043,"V33","V15","V15","Weed","V15C","V33","",NA,40,"1990",-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110,"Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae",0
"Q-P08739","Scleranthion annui",1044,"V1a","V15","V15","Weed","V15C","V1","",NA,80,"1990",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020,"Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae",1
